# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
перевить	перевью,перевьёшь,перевьёт,перевьём,перевьёте,перевьют	-	перевей,перевейте	-
перевязать	перевяжу,перевяжешь,перевяжет,перевяжем,перевяжете,перевяжут	-	перевяжи,перевяжите	-
перевялить	-	-	перевяль,перевяльте	-
перегаснуть	-	перегас,перегасла,перегасло,перегасли	-	-
перегнать	перегоню,перегонишь,перегонит,перегоним,перегоните,перегонят	-	перегони,перегоните	-
перегнить	перегнию,перегниёшь,перегниёт,перегниём,перегниёте,перегниют	-	-	-
перегнуть	перегну,перегнёшь,перегнёт,перегнём,перегнёте,перегнут	-	-	-
перегревать	перегреваю,перегреваешь,перегревает,перегреваем,перегреваете,перегревают	-	перегревай,перегревайте	-
перегрести	перегребу,перегребёшь,перегребёт,перегребём,перегребёте,перегребут	перегрёб,перегребла,перегребло,перегребли	перегреби,перегребите	-
передать	передам,передашь,передаст,передадим,передадите,передадут	-	-	-
передрать	передеру,передерёшь,передерёт,передерём,передерёте,передерут	-	передери,передерите	-
передрогнуть	-	передрог,передрогла,передрогло,передрогли	-	-
переесть	переем,переешь,переест,переедим,переедите,переедят	переел,переела,переело,переели	переешь,переешьте	-
переехать	перееду,переедешь,переедет,переедем,переедете,переедут	-	переезжай,переезжайте	-
пережарить	-	-	пережарь,пережарьте	-
пережать	пережму,пережмёшь,пережмёт,пережмём,пережмёте,пережмут	-	пережми,пережмите	1
переждать	пережду,переждёшь,переждёт,переждём,переждёте,переждут	-	пережди,переждите	-
пережевать	пережую,пережуёшь,пережуёт,пережуём,пережуёте,пережуют	-	-	-
пережечь	пережгу,пережжёшь,пережжёт,пережжём,пережжёте,пережгут	пережёг,пережгла,пережгло,пережгли	пережги,пережгите	-
пережить	переживу,переживёшь,переживёт,переживём,переживёте,переживут	-	переживи,переживите	-
перезаписать	перезапишу,перезапишешь,перезапишет,перезапишем,перезапишете,перезапишут	-	перезапиши,перезапишите	-
перезревать	перезреваю,перезреваешь,перезревает,перезреваем,перезреваете,перезревают	-	перезревай,перезревайте	-
перезябнуть	-	перезяб,перезябла,перезябло,перезябли	-	-
переиначить	-	-	переиначь,переиначьте	-
переискать	переищу,переищешь,переищет,переищем,переищете,переищут	-	переищи,переищите	-
перейти	перейду,перейдёшь,перейдёт,перейдём,перейдёте,перейдут	перешёл,перешла,перешло,перешли	перейди,перейдите	-
перекиснуть	-	перекис,перекисла,перекисло,перекисли	-	-
переклевать	переклюю,переклюёшь,переклюёт,переклюём,переклюёте,переклюют	-	переклюй,переклюйте	-
переклинить	-	-	переклинь,переклиньте	-
перековать	перекую,перекуёшь,перекуёт,перекуём,перекуёте,перекуют	-	-	-
перекувырнуть	перекувырну,перекувырнёшь,перекувырнёт,перекувырнём,перекувырнёте,перекувырнут	-	-	-
переладить	-	-	переладь,переладьте	-
перелазить	-	-	перелазь,перелазьте	-
перелезть	перелезу,перелезешь,перелезет,перелезем,перелезете,перелезут	перелез,перелезла,перелезло,перелезли	перелезь,перелезьте	-
перелечь	перелягу,переляжешь,переляжет,переляжем,переляжете,перелягут	перелёг,перелегла,перелегло,перелегли	переляг,перелягте	-
перелистнуть	перелистну,перелистнёшь,перелистнёт,перелистнём,перелистнёте,перелистнут	-	-	-
перелить	перелью,перельёшь,перельёт,перельём,перельёте,перельют	-	перелей,перелейте	-
перемазать	перемажу,перемажешь,перемажет,перемажем,перемажете,перемажут	-	перемажь,перемажьте	-
перемахнуть	перемахну,перемахнёшь,перемахнёт,перемахнём,перемахнёте,перемахнут	-	-	-
перемереть	перемру,перемрёшь,перемрёт,перемрём,перемрёте,перемрут	перемер,перемерла,перемерло,перемерли	перемри,перемрите	-
перемерить	-	-	перемерь,перемерьте	-
перемести	перемету,переметёшь,переметёт,переметём,переметёте,переметут	перемёл,перемела,перемело,перемели	перемети,переметите	-
переметнуть	переметну,переметнёшь,переметнёт,переметнём,переметнёте,переметнут	-	-	-
перемкнуть	перемкну,перемкнёшь,перемкнёт,перемкнём,перемкнёте,перемкнут	-	-	-
перемокнуть	-	перемок,перемокла,перемокло,перемокли	-	-
перемучить	перемучаю,перемучаешь,перемучает,перемучаем,перемучаете,перемучают	-	перемучай,перемучайте	-
перемылить	-	-	перемыль,перемыльте	-
перемякнуть	-	перемяк,перемякла,перемякло,перемякли	-	-
перемять	перемну,перемнёшь,перемнёт,перемнём,перемнёте,перемнут	-	перемни,перемните	-
перенести	перенесу,перенесёшь,перенесёт,перенесём,перенесёте,перенесут	перенёс,перенесла,перенесло,перенесли	перенеси,перенесите	-
перенять	перейму,переймёшь,переймёт,переймём,переймёте,переймут	-	перейми,переймите	-
переодеть	переодену,переоденешь,переоденет,переоденем,переоденете,переоденут	-	переодень,переоденьте	-
переорать	переору,переорешь,переорет,переорем,переорете,переорут	-	переори,переорите	-
перепарить	-	-	перепарь,перепарьте	-
перепасть	перепаду,перепадёшь,перепадёт,перепадём,перепадёте,перепадут	перепал,перепала,перепало,перепали	перепади,перепадите	-
перепевать	перепеваю,перепеваешь,перепевает,перепеваем,перепеваете,перепевают	-	перепевай,перепевайте	-
перепереть	перепру,перепрёшь,перепрёт,перепрём,перепрёте,перепрут	перепёр,перепёрла,перепёрло,перепёрли	перепри,переприте	-
перепеть	перепою,перепоёшь,перепоёт,перепоём,перепоёте,перепоют	-	перепой,перепойте	-
перепечь	перепеку,перепечёшь,перепечёт,перепечём,перепечёте,перепекут	перепёк,перепекла,перепекло,перепекли	перепеки,перепеките	-
переписать	перепишу,перепишешь,перепишет,перепишем,перепишете,перепишут	-	перепиши,перепишите	-
перепить	перепью,перепьёшь,перепьёт,перепьём,перепьёте,перепьют	-	перепей,перепейте	-
перепихнуть	перепихну,перепихнёшь,перепихнёт,перепихнём,перепихнёте,перепихнут	-	-	-
переплеснуть	переплесну,переплеснёшь,переплеснёт,переплеснём,переплеснёте,переплеснут	-	-	-
переплести	переплету,переплетёшь,переплетёт,переплетём,переплетёте,переплетут	переплёл,переплела,переплело,переплели	переплети,переплетите	-
перепорхнуть	перепорхну,перепорхнёшь,перепорхнёт,перепорхнём,перепорхнёте,перепорхнут	-	-	-
перепоясать	перепояшу,перепояшешь,перепояшет,перепояшем,перепояшете,перепояшут	-	перепояшь,перепояшьте	-
перепревать	перепреваю,перепреваешь,перепревает,перепреваем,перепреваете,перепревают	-	перепревай,перепревайте	-
перепрячь	перепрягу,перепряжёшь,перепряжёт,перепряжём,перепряжёте,перепрягут	перепряг,перепрягла,перепрягло,перепрягли	перепряги,перепрягите	-
переранить	-	-	перерань,перераньте	-
перерезать	перережу,перережешь,перережет,перережем,перережете,перережут	-	перережь,перережьте	-
пересалить	-	-	пересаль,пересальте	-
пересахарить	-	-	пересахари,пересахарьте	-
пересдать	пересдам,пересдашь,пересдаст,пересдадим,пересдадите,пересдадут	-	-	-
пересевать	пересеваю,пересеваешь,пересевает,пересеваем,пересеваете,пересевают	-	пересевай,пересевайте	-
пересечь	пересеку,пересечёшь,пересечёт,пересечём,пересечёте,пересекут	пересёк,пересекла,пересекло,пересекли	пересеки,пересеките	-
перескрести	перескребу,перескребёшь,перескребёт,перескребём,перескребёте,перескребут	перескрёб,перескребла,перескребло,перескребли	перескреби,перескребите	-
пересмехнуть	пересмехну,пересмехнёшь,пересмехнёт,пересмехнём,пересмехнёте,пересмехнут	-	-	-
пересмотреть	пересмотрю,пересмотришь,пересмотрит,пересмотрим,пересмотрите,пересмотрят	-	пересмотри,пересмотрите	-
переснять	пересниму,переснимешь,переснимет,переснимем,переснимете,переснимут	-	пересними,переснимите	-
пересовать	пересую,пересуёшь,пересуёт,пересуём,пересуёте,пересуют	-	-	-
пересохнуть	-	пересох,пересохла,пересохло,пересохли	-	-
переспорить	-	-	переспорь,переспорьте	-
пересрочить	-	-	пересрочь,пересрочьте	-
перестать	перестану,перестанешь,перестанет,перестанем,перестанете,перестанут	-	перестань,перестаньте	-
перестегнуть	перестегну,перестегнёшь,перестегнёт,перестегнём,перестегнёте,перестегнут	-	-	-
перестлать	перестелю,перестелешь,перестелет,перестелем,перестелете,перестелют	-	перестели,перестелите	-
перестоять	перестою,перестоишь,перестоит,перестоим,перестоите,перестоят	-	перестой,перестойте	-
пересыпать	пересыплю,пересыплешь,пересыплет,пересыплем,пересыплете,пересыплют	-	пересыпь,пересыпьте	-
пересытить	пересыщу,пересытишь,пересытит,пересытим,пересытите,пересытят	-	пересыть,пересытьте	-
перетереть	перетру,перетрёшь,перетрёт,перетрём,перетрёте,перетрут	перетёр,перетёрла,перетёрло,перетёрли	перетри,перетрите	-
перетечь	перетеку,перетечёшь,перетечёт,перетечём,перетечёте,перетекут	перетёк,перетекла,перетекло,перетекли	перетеки,перетеките	-
перетихнуть	-	перетих,перетихла,перетихло,перетихли	-	-
переткнуть	переткну,переткнёшь,переткнёт,переткнём,переткнёте,переткнут	-	-	-
перетлевать	перетлеваю,перетлеваешь,перетлевает,перетлеваем,перетлеваете,перетлевают	-	перетлевай,перетлевайте	-
перетолкнуть	перетолкну,перетолкнёшь,перетолкнёт,перетолкнём,перетолкнёте,перетолкнут	-	-	-
перетрепать	перетреплю,перетреплешь,перетреплет,перетреплем,перетреплете,перетреплют	-	перетрепли,перетреплите	-
перетрусить	-	-	перетрусь,перетрусьте	-
перетряхнуть	перетряхну,перетряхнёшь,перетряхнёт,перетряхнём,перетряхнёте,перетряхнут	-	-	-
переть	пру,прёшь,прёт,прём,прёте,прут	пёр,пёрла,пёрло,пёрли	при,прите	1
перехлестнуть	перехлестну,перехлестнёшь,перехлестнёт,перехлестнём,перехлестнёте,перехлестнут	-	-	-
перечахнуть	-	перечах,перечахла,перечахло,перечахли	-	-
перечеркнуть	перечеркну,перечеркнёшь,перечеркнёт,перечеркнём,перечеркнёте,перечеркнут	-	-	-
перечерпнуть	перечерпну,перечерпнёшь,перечерпнёт,перечерпнём,перечерпнёте,перечерпнут	-	-	-
перечесть	перечту,перечтёшь,перечтёт,перечтём,перечтёте,перечтут	перечёл,перечла,перечло,перечли	перечти,перечтите	-
перечить	-	-	перечь,перечьте	-
перешагнуть	перешагну,перешагнёшь,перешагнёт,перешагнём,перешагнёте,перешагнут	-	-	-
перешарить	-	-	перешарь,перешарьте	-
перешвырнуть	перешвырну,перешвырнёшь,перешвырнёт,перешвырнём,перешвырнёте,перешвырнут	-	-	-
перешибить	перешибу,перешибёшь,перешибёт,перешибём,перешибёте,перешибут	перешиб,перешибла,перешибло,перешибли	-	-
перешить	перешью,перешьёшь,перешьёт,перешьём,перешьёте,перешьют	-	перешей,перешейте	-
перешпилить	-	-	перешпиль,перешпильте	-
песочить	-	-	песочь,песочьте	-
петь	пою,поешь,поёт,поем,поете,поют	-	пой,пойте	1
печь	пеку,печёшь,печёт,печём,печёте,пекут	пёк,пекла,пекло,пекли	пеки,пеките	1
писать	пишу,пишешь,пишет,пишем,пишете,пишут	-	пиши,пишите	1
пить	пью,пьёшь,пьёт,пьём,пьёте,пьют	-	пей,пейте	1
пихнуть	пихну,пихнёшь,пихнёт,пихнём,пихнёте,пихнут	-	-	1
пищать	пищу,пищишь,пищит,пищим,пищите,пищат	-	пищи,пищите	-
плавить	-	-	плавь,плавьте	-
плакать	плачу,плачешь,плачет,плачем,плачете,плачут	-	плачь,плачьте	1
плевать	плюю,плюёшь,плюёт,плюём,плюёте,плюют	-	плюй,плюйте	-
плескануть	плескану,плесканёшь,плесканёт,плесканём,плесканёте,плесканут	-	-	-
плеснуть	плесну,плеснёшь,плеснёт,плеснём,плеснёте,плеснут	-	-	1
плести	плету,плетёшь,плетёт,плетём,плетёте,плетут	плёл,плела,плело,плели	плети,плетите	1
плыть	плыву,плывёшь,плывёт,плывём,плывёте,плывут	-	плыви,плывите	-
плюнуть	-	-	плюнь,плюньте	-
плясать	пляшу,пляшешь,пляшет,пляшем,пляшете,пляшут	-	пляши,пляшите	-
пнуть	пну,пнёшь,пнёт,пнём,пнёте,пнут	-	-	1
побить	побью,побьёшь,побьёт,побьём,побьёте,побьют	-	побей,побейте	-
поблёкнуть	-	поблёк,поблёкла,поблёкло,поблёкли	-	-
побрать	поберу,поберёшь,поберёт,поберём,поберёте,поберут	-	побери,поберите	-
побрести	побреду,побредёшь,побредёт,побредём,побредёте,побредут	побрёл,побрела,побрело,побрели	побреди,побредите	-
побрить	побрею,побреешь,побреет,побреем,побреете,побреют	-	побрей,побрейте	-
повадить	-	-	повадь,повадьте	-
повезти	повезу,повезёшь,повезёт,повезём,повезёте,повезут	повез,повезла,повезло,повезли	повези,повезите	-
повелевать	повелеваю,повелеваешь,повелевает,повелеваем,повелеваете,повелевают	-	повелевай,повелевайте	-
повергнуть	-	поверг,повергла,повергло,повергли	-	-
поверить	-	-	поверь,поверьте	-
повернуть	поверну,повернёшь,повернёт,повернём,повернёте,повернут	-	-	-
повести	поведу,поведёшь,поведёт,поведём,поведёте,поведут	повёл,повела,повело,повели	поведи,поведите	-
повисеть	повишу,повисишь,повисит,повисим,повисите,повисят	-	повиси,повисите	-
повиснуть	-	повис,повисла,повисло,повисли	-	-
повить	повью,повьёшь,повьёт,повьём,повьёте,повьют	-	повей,повейте	-
повязать	повяжу,повяжешь,повяжет,повяжем,повяжете,повяжут	-	повяжи,повяжите	-
повялить	-	-	повяль,повяльте	-
поганить	-	-	погань,поганьте	-
погаснуть	-	погас,погасла,погасло,погасли	-	-
погибнуть	-	погиб,погибла,погибло,погибли	-	-
поглотить	поглощу,поглотишь,поглотит,поглотим,поглотите,поглотят	-	-	-
погнать	погоню,погонишь,погонит,погоним,погоните,погонят	-	погони,погоните	-
погнить	погнию,погниёшь,погниёт,погниём,погниёте,погниют	-	-	-
погнуть	погну,погнёшь,погнёт,погнём,погнёте,погнут	-	-	-
погрязнуть	-	погряз,погрязла,погрязло,погрязли	-	-
подать	подам,подашь,подаст,подадим,подадите,подадут	-	-	-
подбавить	-	-	подбавь,подбавьте	-
подбить	подобью,подобьёшь,подобьёт,подобьём,подобьёте,подобьют	-	подбей,подбейте	-
подбоченить	-	-	подбочень,подбоченьте	-
подбрести	подбреду,подбредёшь,подбредёт,подбредём,подбредёте,подбредут	подбрёл,подбрела,подбрело,подбрели	подбреди,подбредите	-
подбрить	подбрею,подбреешь,подбреет,подбреем,подбреете,подбреют	-	подбрей,подбрейте	-
подвезти	подвезу,подвезёшь,подвезёт,подвезём,подвезёте,подвезут	подвёз,подвезла,подвезло,подвезли	подвези,подвезите	-
подвергнуть	-	подверг,подвергла,подвергло,подвергли	-	-
подвернуть	подверну,подвернёшь,подвернёт,подвернём,подвернёте,подвернут	-	-	-
подвести	подведу,подведёшь,подведёт,подведём,подведёте,подведут	подвёл,подвела,подвело,подвели	подведи,подведите	-
подвигнуть	-	подвиг,подвигла,подвигло,подвигли	-	-
подвить	подовью,подовьёшь,подовьёт,подовьём,подовьёте,подовьют	-	подвей,подвейте	-
подвязать	подвяжу,подвяжешь,подвяжет,подвяжем,подвяжете,подвяжут	-	подвяжи,подвяжите	-
подвялить	-	-	подвяль,подвяльте	-
подгнить	подгнию,подгниёшь,подгниёт,подгниём,подгниёте,подгниют	-	-	-
подгрести	подгребу,подгребёшь,подгребёт,подгребём,подгребёте,подгребут	подгрёб,подгребла,подгребло,подгребли	подгреби,подгребите	-
поддать	поддам,поддашь,поддаст,поддадим,поддадите,поддадут	-	-	-
поддевать	поддеваю,поддеваешь,поддевает,поддеваем,поддеваете,поддевают	-	поддевай,поддевайте	-
поддедюлить	-	-	поддедюль,поддедюльте	-
поддеть	поддену,подденешь,подденет,подденем,подденете,подденут	-	поддень,подденьте	-
поджарить	-	-	поджарь,поджарьте	-
поджать	подожму,подожмёшь,подожмёт,подожмём,подожмёте,подожмут	-	подожми,подожмите	-
поджечь	подожгу,подожжёшь,подожжёт,подожжём,подожжёте,подожгут	поджёг,подожгла,подожгло,подожгли	подожги,подожгите	-
поджить	подживу,подживёшь,подживёт,подживём,подживёте,подживут	-	подживи,подживите	-
подкалымить	-	-	подкалымь,подкалымьте	-
подкашлянуть	-	-	подкашляни,подкашляньте	-
подкиснуть	-	подкис,подкисла,подкисло,подкисли	-	-
подклевать	подклюю,подклюёшь,подклюёт,подклюём,подклюёте,подклюют	-	подклюй,подклюйте	-
подклинить	-	-	подклинь,подклиньте	-
подковать	подкую,подкуёшь,подкуёт,подкуём,подкуёте,подкуют	-	-	-
подковырнуть	подковырну,подковырнёшь,подковырнёт,подковырнём,подковырнёте,подковырнут	-	-	-
подколупнуть	подколупну,подколупнёшь,подколупнёт,подколупнём,подколупнёте,подколупнут	-	-	-
подладить	-	-	подладь,подладьте	-
подлезть	подлезу,подлезешь,подлезет,подлезем,подлезете,подлезут	подлез,подлезла,подлезло,подлезли	подлезь,подлезьте	-
подлечь	подлягу,подляжешь,подляжет,подляжем,подляжете,подлягут	подлёг,подлегла,подлегло,подлегли	подляг,подлягте	-
подлизнуть	подлизну,подлизнёшь,подлизнёт,подлизнём,подлизнёте,подлизнут	-	-	-
подлипнуть	-	подлип,подлипла,подлипло,подлипли	-	-
подлить	подолью,подольёшь,подольёт,подольём,подольёте,подольют	-	подлей,подлейте	1
подмазать	подмажу,подмажешь,подмажет,подмажем,подмажете,подмажут	-	подмажь,подмажьте	-
подмахнуть	подмахну,подмахнёшь,подмахнёт,подмахнём,подмахнёте,подмахнут	-	-	-
подмести	подмету,подметёшь,подметёт,подметём,подметёте,подметут	подмёл,подмела,подмело,подмели	подмети,подметите	-
подметнуть	подметну,подметнёшь,подметнёт,подметнём,подметнёте,подметнут	-	-	-
подмокнуть	-	подмок,подмокла,подмокло,подмокли	-	-
подмылить	-	-	подмыль,подмыльте	-
подмякнуть	-	подмяк,подмякла,подмякло,подмякли	-	-
подмять	подомну,подомнёшь,подомнёт,подомнём,подомнёте,подомнут	-	подомни,подомните	-
поднадшить	поднадошью,поднадошьешь,поднадошьет,поднадошьем,поднадошьете,поднадошьют	-	поднадшей,поднадшейте	-
поднажать	поднажму,поднажмёшь,поднажмёт,поднажмём,поднажмёте,поднажмут	-	поднажми,поднажмите	-
подначить	-	-	подначь,подначьте	-
поднести	поднесу,поднесёшь,поднесёт,поднесём,поднесёте,поднесут	поднёс,поднесла,поднесло,поднесли	поднеси,поднесите	-
поднырнуть	поднырну,поднырнёшь,поднырнёт,поднырнём,поднырнёте,поднырнут	-	-	-
поднять	подниму,поднимешь,поднимет,поднимем,поднимете,поднимут	-	подними,поднимите	-
подобрать	подберу,подберёшь,подберёт,подберём,подберёте,подберут	-	подбери,подберите	-
подобшить	подобошью,подобошьешь,подобошьет,подобошьем,подобошьете,подобошьют	-	подобшей,подобшейте	-
подогнать	подгоню,подгонишь,подгонит,подгоним,подгоните,подгонят	-	подгони,подгоните	-
подогнуть	подогну,подогнёшь,подогнёт,подогнём,подогнёте,подогнут	-	-	-
пододрать	поддеру,поддерёшь,поддерёт,поддерём,поддерёте,поддерут	-	поддери,поддерите	-
подозвать	подзову,подзовёшь,подзовёт,подзовём,подзовёте,подзовут	-	подзови,подзовите	-
подостлать	подстелю,подстелешь,подстелет,подстелем,подстелете,подстелют	-	подстели,подстелите	-
подоткнуть	подоткну,подоткнёшь,подоткнёт,подоткнём,подоткнёте,подоткнут	-	-	-
подохнуть	-	подох,подохла,подохло,подохли	-	-
подпасть	подпаду,подпадёшь,подпадёт,подпадём,подпадёте,подпадут	подпал,подпала,подпало,подпали	подпади,подпадите	-
подпевать	подпеваю,подпеваешь,подпевает,подпеваем,подпеваете,подпевают	-	подпевай,подпевайте	-
подпереть	подопру,подопрёшь,подопрёт,подопрём,подопрёте,подопрут	подпёр,подпёрла,подпёрло,подпёрли	подопри,подоприте	-
подпеть	подпою,подпоёшь,подпоёт,подпоём,подпоёте,подпоют	-	подпой,подпойте	-
подпечь	подпеку,подпечёшь,подпечёт,подпечём,подпечёте,подпекут	подпёк,подпекла,подпекло,подпекли	подпеки,подпеките	-
подписать	подпишу,подпишешь,подпишет,подпишем,подпишете,подпишут	-	подпиши,подпишите	-
подпить	подопью,подопьёшь,подопьёт,подопьём,подопьёте,подопьют	-	подпей,подпейте	-
подпихнуть	подпихну,подпихнёшь,подпихнёт,подпихнём,подпихнёте,подпихнут	-	-	-
подплеснуть	подплесну,подплеснёшь,подплеснёт,подплеснём,подплеснёте,подплеснут	-	-	-
подплести	подплету,подплетёшь,подплетёт,подплетём,подплетёте,подплетут	подплёл,подплела,подплело,подплели	подплети,подплетите	-
подпоясать	подпояшу,подпояшешь,подпояшет,подпояшем,подпояшете,подпояшут	-	подпояшь,подпояшьте	-
подпревать	подпреваю,подпреваешь,подпревает,подпреваем,подпреваете,подпревают	-	подпревай,подпревайте	-
подпрячь	подпрягу,подпряжёшь,подпряжёт,подпряжём,подпряжёте,подпрягут	подпряг,подпрягла,подпрягло,подпрягли	подпряги,подпрягите	-
подпухнуть	-	подпух,подпухла,подпухло,подпухли	-	-
подразжать	подразожму,подразожмёшь,подразожмёт,подразожмём,подразжмете,подразожмут	-	подразожми,подразожмите	-
подразостлать	подрасстелю,подрасстелешь,подрасстелет,подрасстелем,подрасстелете,подрасстелют	-	подрасстели,подрасстелите	-
подразумевать	подразумеваю,подразумеваешь,подразумевает,подразумеваем,подразумеваете,подразумевают	-	подразумевай,подразумевайте	-
подранить	-	-	подрань,подраньте	-
подрать	подеру,подерёшь,подерёт,подерём,подерёте,подерут	-	подери,подерите	-
подрезать	подрежу,подрежешь,подрежет,подрежем,подрежете,подрежут	-	подрежь,подрежьте	-
подсалить	-	-	подсаль,подсальте	-
подсахарить	-	-	подсахари,подсахарьте	-
подсвить	подсовью,подсовьешь,подсовьет,подсовьем,подсовьете,подсовьют	-	подсвей,подсвейте	-
подсевать	подсеваю,подсеваешь,подсевает,подсеваем,подсеваете,подсевают	-	подсевай,подсевайте	-
подсечь	подсеку,подсечёшь,подсечёт,подсечём,подсечёте,подсекут	подсёк,подсекла,подсекло,подсекли	подсеки,подсеките	-
подсжать	подсожму,подсожмёшь,подсожмёт,подсожмём,подсжмете,подсожмут	-	подсожми,подсожмите	-
подскрести	подскребу,подскребёшь,подскребёт,подскребём,подскребёте,подскребут	подскрёб,подскребла,подскребло,подскребли	подскреби,подскребите	-
подслить	подсолью,подсольёшь,подсольёт,подсольём,подсольёте,подсольют	-	подслей,подслейте	-
подсмотреть	подсмотрю,подсмотришь,подсмотрит,подсмотрим,подсмотрите,подсмотрят	-	подсмотри,подсмотрите	-
подсовать	подсую,подсуёшь,подсуёт,подсуём,подсуёте,подсуют	-	-	-
подсохнуть	-	подсох,подсохла,подсохло,подсохли	-	-
подстегнуть	подстегну,подстегнёшь,подстегнёт,подстегнём,подстегнёте,подстегнут	-	-	-
подсыпать	подсыплю,подсыплешь,подсыплет,подсыплем,подсыплете,подсыплют	-	подсыпь,подсыпьте	-
подтереть	подотру,подотрёшь,подотрёт,подотрём,подотрёте,подотрут	подтёр,подтёрла,подтёрло,подтёрли	подотри,подотрите	-
подтечь	подтеку,подтечёшь,подтечёт,подтечём,подтечёте,подтекут	подтёк,подтекла,подтекло,подтекли	подтеки,подтеките	-
подтолкнуть	подтолкну,подтолкнёшь,подтолкнёт,подтолкнём,подтолкнёте,подтолкнут	-	-	-
подтрепать	подтреплю,подтреплешь,подтреплет,подтреплем,подтреплете,подтреплют	-	подтрепли,подтреплите	-
подхлестнуть	подхлестну,подхлестнёшь,подхлестнёт,подхлестнём,подхлестнёте,подхлестнут	-	-	-
подчеркнуть	подчеркну,подчеркнёшь,подчеркнёт,подчеркнём,подчеркнёте,подчеркнут	-	-	-
подшвырнуть	подшвырну,подшвырнёшь,подшвырнёт,подшвырнём,подшвырнёте,подшвырнут	-	-	-
подшибить	подшибу,подшибёшь,подшибёт,подшибём,подшибёте,подшибут	подшиб,подшибла,подшибло,подшибли	-	-
подшить	подошью,подошьёшь,подошьёт,подошьём,подошьёте,подошьют	-	подшей,подшейте	-
подшпилить	-	-	подшпиль,подшпильте	-
подщипать	подщиплю,подщиплешь,подщиплет,подщиплем,подщиплете,подщиплют	-	подщипли,подщиплите	-
подъесть	подъем,подъешь,подъест,подъедим,подъедите,подъедят	подъел,подъела,подъело,подъели	подъешь,подъешьте	-
подъехать	подъеду,подъедешь,подъедет,подъедем,подъедете,подъедут	-	подъезжай,подъезжайте	-
подыскать	подыщу,подыщешь,подыщет,подыщем,подыщете,подыщут	-	подыщи,подыщите	-
подытожить	-	-	подытожь,подытожьте	-
подёрнуть	лопну,лопнешь,лопнет,лопнем,лопнете,лопнут	лопнул,лопнула,лопнуло,лопнули	лопни,лопните	-
поесть	поем,поешь,поест,поедим,поедите,поедят	поел,поела,поело,поели	поешь,поешьте	-
поехать	поеду,поедешь,поедет,поедем,поедете,поедут	-	поезжай,поезжайте	-
пожарить	-	-	пожарь,пожарьте	-
пожать	пожму,пожмёшь,пожмёт,пожмём,пожмёте,пожмут	-	пожми,пожмите	-
пождать	пожду,пождёшь,пождёт,пождём,пождёте,пождут	-	пожди,пождите	-
пожевать	пожую,пожуёшь,пожуёт,пожуём,пожуёте,пожуют	-	-	-
пожить	поживу,поживёшь,поживёт,поживём,поживёте,поживут	-	поживи,поживите	-
пожухнуть	-	пожух,пожухла,пожухло,пожухли	-	-
позарить	-	-	позарь,позарьте	-
позвать	позову,позовёшь,позовёт,позовём,позовёте,позовут	-	позови,позовите	-
позволить	-	-	позволь,позвольте	-
поздравить	-	-	поздравь,поздравьте	-
позевать	позеваю,позеваешь,позевает,позеваем,позеваете,позевают	-	позевай,позевайте	-
позлатить	позлащу,позлатишь,позлатит,позлатим,позлатите,позлатят	-	-	-
познавать	познаю,познаёшь,познаёт,познаём,познаёте,познают	-	-	-
позорить	-	-	позорь,позорьте	-
поискать	поищу,поищешь,поищет,поищем,поищете,поищут	-	поищи,поищите	-
пойти	пойду,пойдёшь,пойдёт,пойдём,пойдёте,пойдут	пошёл,пошла,пошло,пошли	пойди,пойдите	-
покликать	покличу,покличешь,покличет,покличем,покличете,покличут	-	покличь,покличьте	-
поковать	покую,покуёшь,покуёт,покуём,покуёте,покуют	-	-	-
покоить	-	-	покой,покойте	-
поладить	-	-	поладь,поладьте	-
полазить	-	-	полазь,полазьте	-
полевать	полюю,полюешь,полюет,полюем,полюете,полюют	-	полюй,полюйте	-
полезть	полезу,полезешь,полезет,полезем,полезете,полезут	полез,полезла,полезло,полезли	полезь,полезайте	-
полечь	полягу,поляжешь,поляжет,поляжем,поляжете,полягут	полёг,полегла,полегло,полегли	поляг,полягте	-
ползти	ползу,ползёшь,ползёт,ползём,ползёте,ползут	полз,ползла,ползло,ползли	ползи,ползите	-
полить	полью,польёшь,польёт,польём,польёте,польют	-	полей,полейте	-
полоснуть	полосну,полоснёшь,полоснёт,полоснём,полоснёте,полоснут	-	-	1
полосонуть	полосону,полосонёшь,полосонёт,полосонём,полосонёте,полосонут	-	-	-
полоть	полю,полешь,полет,полем,полете,полют	-	поли,полите	-
полыхнуть	полыхну,полыхнёшь,полыхнёт,полыхнём,полыхнёте,полыхнут	-	-	-
помадить	-	-	помадь,помадьте	-
помазать	помажу,помажешь,помажет,помажем,помажете,помажут	-	помажь,помажьте	-
помереть	помру,помрёшь,помрёт,помрём,помрёте,помрут	помер,померла,померло,померли	помри,помрите	-
померить	-	-	померь,померьте	-
померкнуть	-	померк,померкла,померкло,померкли	-	-
помести	помету,пометёшь,пометёт,пометём,пометёте,пометут	помёл,помела,помело,помели	помети,пометите	-
пометать	помечу,помечешь,помечет,помечем,помечете,помечут	-	помечи,помечите	-
