# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
воздевать	воздеваю,воздеваешь,воздевает,воздеваем,воздеваете,воздевают	-	воздевай,воздевайте	-
воздеть	воздену,возденешь,возденет,возденем,возденете,возденут	-	воздень,возденьте	-
воздохнуть	воздохну,воздохнёшь,воздохнёт,воздохнём,воздохнёте,воздохнут	-	-	-
возжечь	возжгу,возжжёшь,возжжёт,возжжём,возжжёте,возжгут	возжёг,возжгла,возжгло,возжгли	возжги,возжгите	-
воззвать	воззову,воззовёшь,воззовёт,воззовём,воззовёте,воззовут	-	воззови,воззовите	-
воззреть	воззрю,воззришь,воззрит,воззрим,воззрите,воззрят	-	воззри,воззрите	-
возлечь	возлягу,возляжешь,возляжет,возляжем,возляжете,возлягут	возлёг,возлегла,возлегло,возлегли	возляг,возлягте	-
возлить	возолью,возольёшь,возольёт,возольём,возольёте,возольют	-	возлей,возлейте	-
возмутить	возмущу,возмутишь,возмутит,возмутим,возмутите,возмутят	-	-	-
вознести	вознесу,вознесёшь,вознесёт,вознесём,вознесёте,вознесут	вознёс,вознесла,вознесло,вознесли	вознеси,вознесите	-
возникнуть	-	возник,возникла,возникло,возникли	-	-
войти	войду,войдёшь,войдёт,войдём,войдёте,войдут	вошёл,вошла,вошло,вошли	войди,войдите	-
волгнуть	-	волгнул,волгла,волгло,волгли	-	-
волочь	волоку,волочёшь,волочёт,волочём,волочёте,волокут	волок,волокла,волокло,волокли	волоки,волоките	-
волынить	-	-	волынь,волыньте	-
вопиять	вопию,вопиёшь,вопиёт,вопиём,вопиёте,вопиют	-	вопий,вопийте	-
воплотить	воплощу,воплотишь,воплотит,воплотим,воплотите,воплотят	-	-	-
воркотать	воркочу,воркочешь,воркочет,воркочем,воркочете,воркочут	-	воркочи,воркочите	-
ворохнуть	ворохну,ворохнёшь,ворохнёт,ворохнём,ворохнёте,ворохнут	-	-	-
ворчать	ворчу,ворчишь,ворчит,ворчим,ворчите,ворчат	-	ворчи,ворчите	-
воспеть	воспою,воспоёшь,воспоёт,воспоём,воспоёте,воспоют	-	воспой,воспойте	-
восплескать	восплещу,восплещешь,восплещет,восплещем,восплещете,восплещут	-	восплещи,восплещите	-
воспретить	воспрещу,воспретишь,воспретит,воспретим,воспретите,воспретят	-	-	-
воспротивить	-	-	воспротивь,воспротивьте	-
воспрять	воспряну,воспрянешь,воспрянет,воспрянем,воспрянете,воспрянут	-	воспрянь,воспряньте	-
восстать	восстану,восстанешь,восстанет,восстанем,восстанете,восстанут	-	восстань,восстаньте	-
восхитить	восхищу,восхитишь,восхитит,восхитим,восхитите,восхитят	-	восхить,восхитьте	1
воткнуть	воткну,воткнёшь,воткнёт,воткнём,воткнёте,воткнут	-	-	-
впасть	впаду,впадёшь,впадёт,впадём,впадёте,впадут	впал,впала,впало,впали	впади,впадите	-
впереть	вопру,вопрёшь,вопрёт,вопрём,вопрёте,вопрут	впёр,впёрла,впёрло,впёрли	вопри,воприте	-
впечь	впеку,впечёшь,впечёт,впечём,впечёте,впекут	впёк,впекла,впекло,впекли	впеки,впеките	-
вписать	впишу,впишешь,впишет,впишем,впишете,впишут	-	впиши,впишите	-
впить	вопью,вопьёшь,вопьёт,вопьём,вопьёте,вопьют	-	впей,впейте	-
впихнуть	впихну,впихнёшь,впихнёт,впихнём,впихнёте,впихнут	-	-	-
вплеснуть	вплесну,вплеснёшь,вплеснёт,вплеснём,вплеснёте,вплеснут	-	-	-
вплести	вплету,вплетёшь,вплетёт,вплетём,вплетёте,вплетут	вплёл,вплела,вплело,вплели	вплети,вплетите	-
впорхнуть	впорхну,впорхнёшь,впорхнёт,впорхнём,впорхнёте,впорхнут	-	-	-
впрячь	впрягу,впряжёшь,впряжёт,впряжём,впряжёте,впрягут	впряг,впрягла,впрягло,впрягли	впряги,впрягите	-
впялить	-	-	впяль,впяльте	-
впятить	-	-	впять,впятьте	-
врать	вру,врёшь,врёт,врём,врёте,врут	-	ври,врите	-
врезать	врежу,врежешь,врежет,врежем,врежете,врежут	-	врежь,врежьте	-
всевать	всеваю,всеваешь,всевает,всеваем,всеваете,всевают	-	всевай,всевайте	-
всклепать	всклеплю,всклеплешь,всклеплет,всклеплем,всклеплете,всклеплют	-	всклепли,всклеплите	-
всклокочить	-	-	всклокочь,всклокочьте	-
вскользнуть	вскользну,вскользнёшь,вскользнёт,вскользнём,вскользнёте,вскользнут	-	-	-
