# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
أحمد	أَحْمَدَ	يُحْمِدُ	أُحْمِدَ	يُحْمَدُ
أحمل	أَحْمَلَ	يُحْمِلُ	أُحْمِلَ	يُحْمَلُ
أحن	أَحِنَ	يَأْحَنُ	أُحِنَ	يُؤْحَنُ
أحنك	أَحْنَكَ	يُحْنِكُ	أُحْنِكَ	يُحْنَكُ
أحنى	أَحْنَى	يُحْنِي	أُحْنِيَ	يُحْنَى
أحوج	أَحْوَجَ	يُحْوِجُ	أُحْوِجَ	يُحْوَجُ
أحيا	أَحْيَا	يُحْيِي	أُحْيِيَ	يُحْيَا
أخاف	أَخَافَ	يُخِيفُ	أُخِيفَ	يُخَافُ
أخبث	أَخْبَثَ	يُخْبِثُ	أُخْبِثَ	يُخْبَثُ
أخبر	أَخْبَرَ	يُخْبِرُ	أُخْبِرَ	يُخْبَرُ
أخجل	أَخْجَلَ	يُخْجِلُ	أُخْجِلَ	يُخْجَلُ
أخدر	أَخْدَرَ	يُخْدِرُ	أُخْدِرَ	يُخْدَرُ
أخذ	أَخَّذَ	يُؤَخِّذُ	أُخِّذَ	يُؤَخَّذُ
أخر	أَخَّرَ	يُؤَخِّرُ	أُخِّرَ	يُؤَخَّرُ
أخرج	أَخْرَجَ	يُخْرِجُ	أُخْرِجَ	يُخْرَجُ
أخرس	أَخْرَسَ	يُخْرِسُ	أُخْرِسَ	يُخْرَسُ
أخسر	أَخْسَرَ	يُخْسِرُ	أُخْسِرَ	يُخْسَرُ
أخصى	أَخْصَى	يُخْصِي	أُخْصِيَ	يُخْصَى
أخضع	أَخْضَعَ	يُخْضِعُ	أُخْضِعَ	يُخْضَعُ
أخضل	أَخْضَلَ	يُخْضِلُ	أُخْضِلَ	يُخْضَلُ
أخطأ	أَخْطَأَ	يُخْطِئُ	أُخْطِئَ	يُخْطَأُ
أخطر	أَخْطَرَ	يُخْطِرُ	أُخْطِرَ	يُخْطَرُ
أخطف	أَخْطَفَ	يُخْطِفُ	أُخْطِفَ	يُخْطَفُ
أخفق	أَخْفَقَ	يُخْفِقُ	أُخْفِقَ	يُخْفَقُ
أخفى	أَخْفَى	يُخْفِي	أُخْفِيَ	يُخْفَى
أخل	أَخَلَّ	يُخِلُّ	أُخِلَّ	يُخَلُّ
أخلد	أَخْلَدَ	يُخْلِدُ	أُخْلِدَ	يُخْلَدُ
أخلص	أَخْلَصَ	يُخْلِصُ	أُخْلِصَ	يُخْلَصُ
أخلف	أَخْلَفَ	يُخْلِفُ	أُخْلِفَ	يُخْلَفُ
أخلق	أَخْلَقَ	يُخْلِقُ	أُخْلِقَ	يُخْلَقُ
أخلى	أَخْلَى	يُخْلِي	أُخْلِيَ	يُخْلَى
أخمد	أَخْمَدَ	يُخْمِدُ	أُخْمِدَ	يُخْمَدُ
أخمر	أَخْمَرَ	يُخْمِرُ	أُخْمِرَ	يُخْمَرُ
أخنس	أَخْنَسَ	يُخْنِسُ	أُخْنِسَ	يُخْنَسُ
أخون	أَخْوَنَ	يُؤَخْوِنُ	أُخْوِنَ	يُؤَخْوَنُ
أداء	أَدَاءَ	يُدِيءُ	أُدِيءَ	يُدَاءُ
أدار	أَدَارَ	يُدِيرُ	أُدِيرَ	يُدَارُ
أداف	أَدَافَ	يُدِيفُ	أُدِيفَ	يُدَافُ
أدام	أَدَامَ	يُدِيمُ	أُدِيمَ	يُدَامُ
أدان	أَدَانَ	يُدِينُ	أُدِينَ	يُدَانُ
أدب	أَدَّبَ	يُؤَدِّبُ	أُدِّبَ	يُؤَدَّبُ
أدبر	أَدْبَرَ	يُدْبِرُ	أُدْبِرَ	يُدْبَرُ
أدجى	أَدْجَى	يُدْجِي	أُدْجِيَ	يُدْجَى
أدحض	أَدْحَضَ	يُدْحِضُ	أُدْحِضَ	يُدْحَضُ
أدخل	أَدْخَلَ	يُدْخِلُ	أُدْخِلَ	يُدْخَلُ
أدر	أَدَرَّ	يُدِرُّ	أُدِرَّ	يُدَرُّ
أدرج	أَدْرَجَ	يُدْرِجُ	أُدْرِجَ	يُدْرَجُ
أدرك	أَدْرَكَ	يُدْرِكُ	أُدْرِكَ	يُدْرَكُ
أدرى	أَدْرَى	يُدْرِي	أُدْرِيَ	يُدْرَى
أدسم	أَدْسَمَ	يُدْسِمُ	أُدْسِمَ	يُدْسَمُ
أدلج	أَدْلَجَ	يُؤَدْلِجُ	أُدْلِجَ	يُؤَدْلَجُ
أدم	أَدَمَ	يَأْدِمُ	أُدِمَ	يُؤْدَمُ
أدمن	أَدْمَنَ	يُدْمِنُ	أُدْمِنَ	يُدْمَنُ
أدمى	أَدْمَى	يُدْمِي	أُدْمِيَ	يُدْمَى
أدهش	أَدْهَشَ	يُدْهِشُ	أُدْهِشَ	يُدْهَشُ
أدوأ	أَدْوَأَ	يُدْوِئُ	أُدْوِئَ	يُدْوَأُ
أدى	أَدَّى	يُؤَدِّي	أُدِّيَ	يُؤَدَّى
أذاع	أَذَاعَ	يُذِيعُ	أُذِيعَ	يُذَاعُ
أذال	أَذَالَ	يُذِيلُ	أُذِيلَ	يُذَالُ
أذعن	أَذْعَنَ	يُذْعِنُ	أُذْعِنَ	يُذْعَنُ
أذكر	أَذْكَرَ	يُذْكِرُ	أُذْكِرَ	يُذْكَرُ
أذل	أَذَلَّ	يُذِلُّ	أُذِلَّ	يُذَلُّ
أذلق	أَذْلَقَ	يُذْلِقُ	أُذْلِقَ	يُذْلَقُ
أذن	أَذَّنَ	يُؤَذِّنُ	أُذِّنَ	يُؤَذَّنُ
أذنب	أَذْنَبَ	يُذْنِبُ	أُذْنِبَ	يُذْنَبُ
أذهب	أَذْهَبَ	يُذْهِبُ	أُذْهِبَ	يُذْهَبُ
أذوى	أَذْوَى	يُذْوِي	أُذْوِيَ	يُذْوَى
أراح	أَرَاحَ	يُرِيحُ	أُرِيحَ	يُرَاحُ
أراد	أَرَادَ	يُرِيدُ	أُرِيدَ	يُرَادُ
أراع	أَرَاعَ	يُرِيعُ	أُرِيعَ	يُرَاعُ
أراق	أَرَاقَ	يُرِيقُ	أُرِيقَ	يُرَاقُ
أربح	أَرْبَحَ	يُرْبِحُ	أُرْبِحَ	يُرْبَحُ
أربد	أَرْبَدَ	يُرْبِدُ	أُرْبِدَ	يُرْبَدُ
أربك	أَرْبَكَ	يُرْبِكُ	أُرْبِكَ	يُرْبَكُ
