# lemma	class (uje a i et-i et-eji ne)
mazuřit	i
mařit	i
mechovatět	et-i
medit	i
medovatět	et-i
mejlit	i
melouchařit	i
menšit	i
merčit	i
metelit	i
meziuložit	i
mečet	et-i
mhouřit	i
miniuložit	i
minout	ne
mizet	et-i
mladit	i
mlynařit	i
mlátit	i
mléčit	i
mlčet	et-i
mlžit	i
mnout	ne
množit	i
mocnit	i
modelařit	i
modlit	i
modřit	i
mohutnět	et-i
mokřit	i
moudřet	et-i
mozolit	i
močit	i
mořit	i
mravenčit	i
mrazit	i
mračit	i
mrcasatit	i
mrcasatět	et-i
mrholit	i
mrtvět	et-i
mručet	et-i
mrzačit	i
mrzet	et-i
mrzoutit	i
mrčet	et-i
mršit	i
mrštit	i
muset	et-i
mučit	i
muškařit	i
mužnět	et-i
mydlit	i
myslit	i
mámit	i
máčet	et-i
míjet	et-i
mínit	i
mírnit	i
mísit	i
mířit	i
mýlit	i
mýtit	i
měkčit	i
mělnit	i
měnit	i
měřit	i
nabalamutit	i
nabalit	i
nabančit	i
nabarvit	i
nabaštit	i
nabažit	i
nabečet	et-i
nabloudit	i
nablyštět	et-i
nablábolit	i
nabolet	et-i
nabořit	i
nabrebentit	i
nabrečet	et-i
nabrigádničit	i
nabrodit	i
nabrousit	i
nabruslit	i
nabručet	et-i
nabubřet	et-i
nabudit	i
nabušit	i
nabájit	i
nabásnit	i
nabíjet	et-i
nabílit	i
nabízet	et-i
nabělit	i
nacedit	i
nacenit	i
nachladit	i
nachlácholit	i
nachmelit	i
nachmuřit	i
nachodit	i
nachovět	et-i
nachraptět	et-i
nachrlit	i
nachumelit	i
nachuravět	et-i
nachválit	i
nacházet	et-i
nachýlit	i
nachřestit	i
nacigánit	i
nacikánit	i
naculit	i
nacvičit	i
nadcenit	i
nadcházet	et-i
nadejet	et-i
nadhodit	i
nadhodnotit	i
nadhánět	et-i
nadjíždět	et-i
nadklonit	i
nadlehčit	i
nadlepšit	i
nadletět	et-i
