# lemma	class (uje a i et-i et-eji ne)
rozhořčit	i
rozhraničit	i
rozhrnout	ne
rozhučet	et-i
rozhánět	et-i
rozházet	et-i
rozhýřit	i
rozhřešit	i
rozinkovatět	et-i
rozjasnit	i
rozjařit	i
rozjezdit	i
rozječet	et-i
rozježit	i
rozjitřit	i
rozjizvit	i
rozjíždět	et-i
rozkamarádit	i
rozkatit	i
rozklenout	ne
rozkloubit	i
rozklovat	a
rozklápět	et-i
rozklátit	i
rozklížit	i
rozkmotřit	i
rozkohoutit	i
rozkoulet	et-i
rozkošatit	i
rozkošatět	et-i
rozkramařit	i
rozkreslit	i
rozkrojit	i
rozkroutit	i
rozkročit	i
rozkrvácet	et-i
rozkrájet	et-i
rozkulačit	i
rozkurážit	i
rozkutálet	et-i
rozkvasit	i
rozkvílet	et-i
rozkymácet	et-i
rozkynout	ne
rozkypět	et-i
rozkřičet	et-i
rozkřídlit	i
rozladit	i
rozledět	et-i
rozletnit	i
rozletět	et-i
rozleštit	i
rozležet	et-i
rozlinout	ne
rozlišit	i
rozloučit	i
rozložit	i
rozluštit	i
rozlítit	i
rozlítostnit	i
rozmarodit	i
rozmazlit	i
rozmejšlet	et-i
rozmlátit	i
rozmlžit	i
rozmnožit	i
rozmočit	i
rozmrazit	i
rozmrzet	et-i
rozmydlit	i
rozmyslit	i
rozmáčet	et-i
rozmísit	i
rozmístit	i
rozmýšlet	et-i
rozměkčit	i
rozmělnit	i
rozměnit	i
rozměřit	i
roznosit	i
roznožit	i
roznášet	et-i
roznítit	i
rozněžnit	i
rozněžnět	et-i
rozohnit	i
rozostřit	i
rozparádit	i
rozpařit	i
rozpažit	i
rozpečetit	i
rozpištět	et-i
rozplamenit	i
rozplatit	i
rozplašit	i
rozplemenit	i
rozplevelit	i
rozplnit	i
rozplodit	i
rozplynout	ne
rozpodvracet	et-i
rozpojit	i
rozpoložit	i
rozpoltit	i
rozpomenout	ne
rozpotácet	et-i
rozpouštět	et-i
rozpražit	i
rozprdět	et-i
rozprostovlasatit	i
rozprostranit	i
rozproudit	i
rozprávět	et-i
rozprášit	i
rozpršet	et-i
rozptýlit	i
rozpustit	i
rozpučet	et-i
rozpálit	i
rozpáčit	i
rozpíjet	et-i
rozpěnit	i
rozpůjčit	i
rozpůlit	i
rozrachotit	i
rozradostnit	i
rozradostnět	et-i
rozrazit	i
rozrušit	i
rozrážet	et-i
rozrůznit	i
rozsadit	i
rozsedět	et-i
rozskočit	i
rozslzet	et-i
rozsmutnit	i
rozsněžit	i
rozsoudit	i
rozsršet	et-i
rozstavět	et-i
rozstoupit	i
rozstřelit	i
rozstřílet	et-i
rozsušit	i
rozsvištět	et-i
rozsvítit	i
rozsvěcet	et-i
rozsvědit	i
rozsvětlit	i
rozsázet	et-i
rozsídlit	i
roztančit	i
roztesknit	i
roztlačit	i
roztláčet	et-i
roztoužit	i
roztočit	i
roztrojit	i
roztroubit	i
roztrousit	i
roztroškařit	i
roztrpčit	i
roztápět	et-i
roztáčet	et-i
roztřídit	i
roztříštit	i
rozudílet	et-i
rozumět	et-i
rozusnášet	et-i
rozuzlit	i
rozvadit	i
rozvalit	i
rozvanout	ne
rozvařit	i
rozveselit	i
rozvichřit	i
rozvinout	ne
rozvlnit	i
rozvláknit	i
rozvodnit	i
rozvolnit	i
rozvonět	et-i
rozvozit	i
rozvracet	et-i
rozvrstvit	i
rozvrtit	i
rozvrtět	et-i
rozvrátit	i
rozvrčet	et-i
rozvyprávět	et-i
rozvzpomenout	ne
rozvzteklit	i
rozvádět	et-i
rozválet	et-i
rozvázat	a
rozvářet	et-i
rozvášnit	i
rozvážet	et-i
rozvážit	i
rozvíjet	et-i
rozvířit	i
rozvěsit	i
rozvětvit	i
rozvěšet	et-i
rozzměnit	i
rozzrnit	i
rozzuřit	i
rozzvracet	et-i
rozzvučet	et-i
rozzávodit	i
rozzářit	i
rozčepejřit	i
rozčepýřit	i
rozčertit	i
rozčeřit	i
rozčilit	i
rozčlenit	i
rozčtvrtit	i
rozčílit	i
rozňahňat	a
rozřadit	i
rozředit	i
rozřečnit	i
rozřešit	i
rozřinčet	et-i
rozškorpit	i
rozškvařit	i
rozškvířit	i
rozšlechtit	i
rozšpejlit	i
rozšpendlit	i
rozšrotit	i
rozšumět	et-i
rozšveholit	i
rozšvitořit	i
rozšířit	i
rozžehlit	i
rozžvanit	i
rožnit	i
rožnout	ne
rublovatět	et-i
ruměnit	i
ručit	i
rušit	i
rybařit	i
rychlit	i
rychlobruslit	i
rychlokvasit	i
rychlonabíjet	et-i
rychlonatáčet	et-i
ryčet	et-i
ryšavět	et-i
rámusit	i
ráčit	i
rýhovatět	et-i
různit	i
růžovět	et-i
sadit	i
salašit	i
samoběžet	et-i
samohojit	i
samojistit	i
samoopylit	i
samoplodit	i
samorozbalit	i
samorozpustit	i
samoshromáždit	i
samosplodit	i
samospouštět	et-i
samospustit	i
samotařit	i
samotřídit	i
samoučit	i
samovybíjet	et-i
samozavádět	et-i
samočistit	i
samořídit	i
sbalit	i
sblížit	i
sbratřit	i
sbrousit	i
sbydlet	et-i
sbíjet	et-i
scedit	i
scelit	i
schladit	i
schnout	ne
schoulit	i
schovat	a
schrastit	i
schránět	et-i
schválit	i
schvátit	i
scházet	et-i
schýlit	i
sdružit	i
sdílet	et-i
sdělit	i
sebedrtit	i
sebehodnotit	i
sebeoplodnit	i
sebepodvádět	et-i
sebepoškodit	i
sebeprznit	i
seberozpustit	i
seberozvinout	ne
seberozvíjet	et-i
sebeubíjet	et-i
sebeukájet	et-i
sebeuplatnit	i
sebeuspokojit	i
sebeutvářet	et-i
sebevraždit	i
sebevyjádřit	i
sebezachovat	a
sebezařadit	i
sebezhodnotit	i
sebečistit	i
secvičit	i
sedlačit	i
sedět	et-i
sepnout	ne
sesadit	i
seskočit	i
sesmilnit	i
sesmolit	i
sesouhlasit	i
sestoupit	i
sestrojit	i
sestrčit	i
sestřelit	i
sestřílet	et-i
sesunout	ne
sesázet	et-i
setmelit	i
setmět	et-i
setnout	ne
setřídit	i
seznámit	i
seřadit	i
seřídit	i
sešedivět	et-i
sešeřit	i
sešikmit	i
sešinout	ne
sešišatit	i
seškrtit	i
seškvařit	i
sešpendlit	i
sešpulit	i
sešrotit	i
sešvagřit	i
sešvakřit	i
sežehlit	i
sežnout	ne
shladit	i
shloučit	i
shlížet	et-i
shodit	i
shořet	et-i
shrnout	ne
shromáždit	i
shánět	et-i
sházet	et-i
sháňat	a
sirupovatět	et-i
sivět	et-i
sjednotit	i
sjezdit	i
sjíždět	et-i
skamarádit	i
skanout	ne
sklenout	ne
sklidit	i
sklonit	i
skloubit	i
sklovatět	et-i
sklánět	et-i
sklápět	et-i
sklátit	i
sklínit	i
sklízet	et-i
sklíčit	i
sklížit	i
skolit	i
skončit	i
skotačit	i
skoulet	et-i
skoupit	i
skovat	a
skočit	i
skrblit	i
skreslit	i
skrojit	i
skroutit	i
skrájet	et-i
skrápět	et-i
skrčit	i
skulit	i
skutit	i
skutálet	et-i
skučet	et-i
skvrnit	i
skvět	et-i
skácet	et-i
skřečet	et-i
skřípět	et-i
sladit	i
sladovničit	i
slanit	i
sletět	et-i
sležet	et-i
slinit	i
slizovatět	et-i
sloučit	i
sloužit	i
složit	i
slunit	i
slušet	et-i
slynout	ne
slyšet	et-i
slzet	et-i
slíbit	i
slídit	i
smažit	i
smejčit	i
smejšlet	et-i
smilnit	i
smlčet	et-i
smolit	i
smočit	i
smradit	i
smrdět	et-i
smrštit	i
smutit	i
smutnit	i
smyslit	i
smáčet	et-i
smísit	i
smířit	i
smýtit	i
smýčit	i
smýšlet	et-i
směnit	i
smět	et-i
snažit	i
snosit	i
snoubit	i
snovat	a
snožit	i
snášet	et-i
snížit	i
sněžit	i
sochařit	i
solit	i
soptit	i
soucítit	i
soudit	i
souhlasit	i
soukromničit	i
souložit	i
sounáležet	et-i
soupeřit	i
sousedit	i
soustružit	i
soustředit	i
soutěžit	i
souviset	et-i
souzvučet	et-i
souřadit	i
soužit	i
sočit	i
spasit	i
spatřit	i
spařit	i
splatit	i
splavnit	i
splašit	i
splnit	i
sploštit	i
splužit	i
splynout	ne
splácet	et-i
spojit	i
spokojit	i
spoludotvářet	et-i
spoludržet	et-i
spoluoprávnit	i
spolupocítit	i
spolupodílet	et-i
spolupojistit	i
spolusdílet	et-i
spolusrážet	et-i
spolutvořit	i
spoluutvářet	et-i
spoluuvádět	et-i
spoluvlastnit	i
spoluvychovat	a
spoluvytvořit	i
spoluvytvářet	et-i
spoluzaložit	i
spoluzapříčinit	i
spoluzavinit	i
spoluúčastnit	i
spolčit	i
spouštět	et-i
spočinout	ne
spořit	i
spražit	i
sprostit	i
sprosťačit	i
sprovodit	i
spustit	i
spájet	et-i
spálit	i
spářit	i
spíjet	et-i
spřátelit	i
spříznit	i
srazit	i
srotit	i
sroubit	i
srozumět	et-i
srážet	et-i
sršet	et-i
stahnout	ne
stanout	ne
statnět	et-i
stavět	et-i
stačit	i
stkvět	et-i
stlačit	i
stmelit	i
stolit	i
stonkovatět	et-i
stopařit	i
stočit	i
strakatit	i
stranit	i
strašit	i
stražit	i
strmět	et-i
strnout	ne
strojit	i
strpět	et-i
strávit	i
strčit	i
stržit	i
studit	i
stulit	i
stvořit	i
stvrdit	i
stydět	et-i
stápět	et-i
stáčet	et-i
stínit	i
stísnit	i
středit	i
střelit	i
střežit	i
stříbřit	i
střílet	et-i
střízlivět	et-i
sulcovatět	et-i
sunout	ne
superzabezpečit	i
superzřetězit	i
supět	et-i
surovět	et-i
sušit	i
svalit	i
svanout	ne
svatořečit	i
svačit	i
svařit	i
svinit	i
svinout	ne
svištět	et-i
svlažit	i
svolit	i
svozit	i
svraštit	i
svraštět	et-i
svrbět	et-i
svrtit	i
svádět	et-i
sválet	et-i
svářet	et-i
svářit	i
svážet	et-i
svážit	i
svíjet	et-i
svítit	i
svědit	i
svědčit	i
svěsit	i
světit	i
světlet	et-i
svěřit	i
sytit	i
syčet	et-i
sádelnatět	et-i
sázet	et-i
sídlit	i
sílit	i
sípět	et-i
sířit	i
sýřit	i
sřasit	i
sřečit	i
tajit	i
tajnůstkařit	i
tanout	ne
tančit	i
tarasit	i
tasit	i
taxikařit	i
taxíkařit	i
taškařit	i
telit	i
temnit	i
temnět	et-i
tenčit	i
tesařit	i
tesknit	i
tetelit	i
teřet	et-i
tišit	i
tknout	ne
tkvět	et-i
tlačit	i
tlumočit	i
tmavět	et-i
tmelit	i
tmět	et-i
tnout	ne
tonout	ne
topolánkovatět	et-i
topornět	et-i
topořit	i
toužit	i
točit	i
tratit	i
trmácet	et-i
trnout	ne
trojčit	i
troubit	i
trouchlivět	et-i
trouchnivět	et-i
trousit	i
troškařit	i
trpět	et-i
truchlit	i
trudit	i
truhlařit	i
trápit	i
trávit	i
trýznit	i
trčet	et-i
trčit	i
trůnit	i
tržit	i
tulit	i
tupět	et-i
tučnět	et-i
tušit	i
tužit	i
tvarohovatět	et-i
tvořit	i
tvrdit	i
tvárnit	i
tvářet	et-i
tvářit	i
tyčit	i
tyřet	et-i
tábořit	i
tísnit	i
tížit	i
týčit	i
týřet	et-i
tělnatět	et-i
tělocvičit	i
těsnit	i
těšit	i
těžit	i
třeštit	i
třpytit	i
třásnit	i
tříbit	i
třídit	i
třísnit	i
tříštit	i
uadvokátit	i
ubalit	i
ubednit	i
ubezpečit	i
ublížit	i
ubrebentit	i
ubrečet	et-i
ubrigádničit	i
ubrousit	i
ubručet	et-i
ubrzdit	i
ubránit	i
ubučet	et-i
ubíjet	et-i
ubílit	i
ucedit	i
ucejtit	i
ucelit	i
uchladit	i
uchlácholit	i
uchodit	i
uchovat	a
uchramostit	i
uchraptět	et-i
uchránit	i
uchválit	i
uchvátit	i
uchytit	i
ucházet	et-i
uchýlit	i
uchřestit	i
ucmuchtit	i
ucmudit	i
uctnostnit	i
uculit	i
ucítit	i
udařit	i
udeřit	i
udit	i
udobřit	i
udojit	i
udomácnit	i
udomácnět	et-i
udrolit	i
udržet	et-i
udusit	i
udávit	i
udílet	et-i
udělit	i
uděsit	i
ufrnět	et-i
ufunkcionařit	i
ufunět	et-i
uhamonit	i
uhasit	i
uhelnatět	et-i
uhihňat	a
uhladit	i
uhledět	et-i
uhlinit	i
uhniličit	i
uhnout	ne
uhnízdit	i
uhodit	i
uhojit	i
uhonit	i
uhorčit	i
uhospodařit	i
uhostit	i
uhovořit	i
uhořet	et-i
uhradit	i
uhranout	ne
uhrdlit	i
uhrozit	i
uhučet	et-i
uhvozdit	i
uhynout	ne
uhájit	i
uhánět	et-i
uházet	et-i
uhášet	et-i
ujasnit	i
ujařmit	i
ujedinit	i
ujednotit	i
ujemnit	i
ujezdit	i
uječet	et-i
ujistit	i
ujíždět	et-i
ukalit	i
ukanout	ne
uklidit	i
uklidnit	i
uklohnit	i
uklonit	i
uklopotit	i
uklovat	a
uklánět	et-i
uklízet	et-i
ukmochtit	i
uknotit	i
ukojit	i
ukolejnit	i
ukonejšit	i
ukončit	i
ukoptit	i
ukostřit	i
ukotvit	i
ukoulet	et-i
ukoupit	i
ukouřit	i
ukovat	a
ukořistit	i
ukrojit	i
ukrotit	i
ukroutit	i
ukročit	i
ukrvavět	et-i
ukrvácet	et-i
ukrájet	et-i
ukrápět	et-i
ukrátit	i
ukrášlit	i
ukrčit	i
ukuchtit	i
ukutit	i
ukájet	et-i
ukálet	et-i
ukáznit	i
ukřivdit	i
ukřičet	et-i
uladit	i
ulahodit	i
ulakotit	i
ulebedit	i
ulehčit	i
uletět	et-i
uležet	et-i
ulichotit	i
ulopotit	i
uloudit	i
uloupit	i
uložit	i
ulpět	et-i
uléčit	i
ulíbit	i
ulíčit	i
umanout	ne
umastit	i
umazlit	i
umařit	i
umenšit	i
umlátit	i
umlčet	et-i
umnožit	i
umocnit	i
umodlit	i
umodřit	i
umokřit	i
umoudřet	et-i
umoudřit	i
umounit	i
umoučit	i
umoučnit	i
umozolit	i
umočit	i
umořit	i
umožnit	i
umravnit	i
umrazit	i
umračit	i
umrnět	et-i
umrtvit	i
umrtvět	et-i
umučit	i
umáčet	et-i
umínit	i
umírnit	i
umísit	i
umístit	i
umístnit	i
umět	et-i
uměřit	i
uničit	i
unosit	i
unořit	i
unožit	i
unudit	i
unáhlit	i
unášet	et-i
unížit	i
uobtáčet	et-i
upachtit	i
upařit	i
upažit	i
upelešit	i
upelášit	i
upevnit	i
upečetit	i
upištět	et-i
uplahočit	i
uplatit	i
uplatnit	i
uplašit	i
uplichtit	i
uplodit	i
uplynout	ne
uplácet	et-i
upnout	ne
upodvracet	et-i
upokojit	i
upokořit	i
upomenout	ne
uponížit	i
upopelit	i
upotit	i
upouštět	et-i
upovšechnit	i
upozadit	i
upozdit	i
upozornit	i
uprasit	i
upravdit	i
upražit	i
uprdelit	i
uprocházet	et-i
uprosit	i
uprostranit	i
uprázdnit	i
uprášit	i
upustit	i
upytlačit	i
upálit	i
upáčit	i
upíjet	et-i
upěnit	i
upět	et-i
upřednostnit	i
upřednášet	et-i
upřemýšlet	et-i
upřesnit	i
upříjemnit	i
upřílišit	i
upřílišnit	i
uradit	i
urandit	i
urazit	i
urdousit	i
urmoutit	i
urodit	i
uronit	i
urosit	i
urputit	i
urputnět	et-i
uručit	i
urychlit	i
uryšit	i
uráčit	i
urážet	et-i
urýšit	i
určit	i
usadit	i
usalašit	i
usamostatnit	i
uschopnit	i
uschovat	a
uschránit	i
usedět	et-i
ushromáždit	i
ushánět	et-i
usjednotit	i
uskladnit	i
usklepnit	i
uskotačit	i
uskočit	i
uskrblit	i
uskromnit	i
uskutečnit	i
uskřinout	ne
uslinit	i
usloužit	i
uslyšet	et-i
uslzet	et-i
usmažit	i
usmolit	i
usmrtit	i
usmyslit	i
usmířit	i
usmýšlet	et-i
usměrnit	i
usnadnit	i
usnout	ne
usnášet	et-i
usoplit	i
usoptit	i
usoudit	i
usoustavnit	i
usoustružit	i
usoustředit	i
usouvztažnit	i
usoužit	i
usplavnit	i
uspokojit	i
uspořit	i
uspíšit	i
usrozumět	et-i
ustejnit	i
ustoupit	i
ustranit	i
ustrašit	i
ustrnout	ne
ustrojit	i
ustrčit	i
ustudit	i
ustupnit	i
ustvořit	i
ustydět	et-i
ustájit	i
ustálit	i
ustředit	i
ustřelit	i
ustřežit	i
ustřídmit	i
ustřílet	et-i
usunout	ne
usušit	i
usvinit	i
usvědčit	i
usvětit	i
usyčet	et-i
usázet	et-i
usídlit	i
utajit	i
utanout	ne
utančit	i
utemnit	i
utenčit	i
uteplit	i
utesknit	i
utetelit	i
utišit	i
utkvět	et-i
utlačit	i
utláčet	et-i
utmelit	i
utnout	ne
utonout	ne
utoužit	i
utočit	i
utratit	i
utrmácet	et-i
utrnout	ne
utrolit	i
utrousit	i
utroškařit	i
utrpět	et-i
utrácet	et-i
utrápit	i
utrávit	i
utrýznit	i
utrůnit	i
utržit	i
utulit	i
utušit	i
utužit	i
utvořit	i
utvrdit	i
utvárnit	i
utvářet	et-i
utábořit	i
utájet	et-i
utápět	et-i
utísnit	i
utížit	i
utěsnit	i
utěšit	i
utříbit	i
utřídit	i
uudit	i
uvalit	i
uvařit	i
uveličit	i
uveřejnit	i
uvidět	et-i
uvinout	ne
uvláčet	et-i
uvláčit	i
uvodit	i
uvolit	i
uvolnit	i
uvrstvit	i
uvrtět	et-i
uvzpomenout	ne
uvábit	i
uvádět	et-i
uválet	et-i
uvápnit	i
uvážet	et-i
uvážit	i
uvíjet	et-i
uvědomit	i
uvěznit	i
uvěčnit	i
uvěřit	i
uvřeštět	et-i
uzachovat	a
uzaplatit	i
uzapomenout	ne
uzbrojit	i
uzdit	i
uzdravět	et-i
uzemit	i
uzemnit	i
uzlit	i
uzlovatět	et-i
uzměnit	i
uzvonit	i
uzákonit	i
uzávodit	i
uzřejmit	i
učadit	i
učernit	i
učinit	i
učistit	i
učit	i
učlenit	i
učlověčit	i
učmoudit	i
učmudit	i
učoudit	i
učudit	i
uřadit	i
uřečnit	i
uřídit	i
uřítit	i
ušedivět	et-i
ušinout	ne
uškodit	i
uškotit	i
uškrtit	i
uškudlit	i
uškvařit	i
uškvířit	i
ušlechtit	i
ušpendlit	i
ušpinit	i
ušpoulit	i
ušpulit	i
uštířit	i
uštědřit	i
ušušnět	et-i
ušušňat	a
užehlit	i
uživotnit	i
užnout	ne
užulit	i
užvanit	i
vadit	i
vagabundit	i
valašit	i
valit	i
vanout	ne
varhanit	i
varhaničit	i
varhanět	et-i
varhánkovatět	et-i
vatřit	i
vařit	i
vbalit	i
vbatolit	i
vbortit	i
vbočit	i
vbořit	i
vbrousit	i
vbruslit	i
vburácet	et-i
vbájit	i
vbásnit	i
vbíjet	et-i
vbízet	et-i
vcenit	i
vchlípit	i
vchodit	i
vchoulit	i
vchrlit	i
vcházet	et-i
vcítit	i
vdláždit	i
vdrandit	i
vdědit	i
vdělit	i
vděčit	i
vehnat	a
vehřmět	et-i
vejměničit	i
vejřit	i
vekreslit	i
velet	et-i
veličit	i
velnout	ne
vemnout	ne
venkovatět	et-i
venčit	i
veselit	i
vestavět	et-i
vetlačit	i
vetrousit	i
vetšet	et-i
vevalit	i
vevanout	ne
vevlnit	i
vevláčet	et-i
vevábit	i
vevádět	et-i
večeřet	et-i
vešpendlit	i
vhalit	i
vhloubit	i
vhlížet	et-i
vhnízdit	i
vhodit	i
vhojit	i
vhostit	i
vhovořit	i
vhrnout	ne
vhroutit	i
vhrouzit	i
vhroužit	i
vhrčet	et-i
vhučet	et-i
vhánět	et-i
vházet	et-i
vhřížit	i
vichřit	i
vidět	et-i
vilnit	i
vinařit	i
vinit	i
vinklařit	i
vinout	ne
viset	et-i
vjíždět	et-i
vkanout	ne
vklenout	ne
vkloubit	i
vklátit	i
vklínit	i
vklížit	i
vkotoulet	et-i
vkotvit	i
vkoulet	et-i
vkoupit	i
vkouzlit	i
vkovat	a
vkořenit	i
vkreslit	i
vkrojit	i
vkroutit	i
vkroužit	i
vkročit	i
vkráčet	et-i
vkuklit	i
vkutálet	et-i
vkřičet	et-i
vladařit	i
vlastenčit	i
vlastnit	i
vlažit	i
vlažnět	et-i
vletět	et-i
vlhčit	i
vlichotit	i
vlinout	ne
vlnit	i
vloudit	i
vložit	i
vláčet	et-i
vláčnit	i
vláčnět	et-i
vlídnět	et-i
vlčet	et-i
vmazlit	i
vmezeřit	i
vmlátit	i
vmrštit	i
vmyslit	i
vmísit	i
vmístit	i
vmýšlet	et-i
vnadit	i
vnořit	i
vnutit	i
vnášet	et-i
vobcházet	et-i
vobjasnit	i
vobklíčit	i
voblažit	i
voblbit	i
vobložit	i
vobracet	et-i
vobroubit	i
vobrátit	i
vobsadit	i
vobsloužit	i
voběsit	i
vocenit	i
vochraptět	et-i
vochránit	i
vodbarvit	i
vodcházet	et-i
vodepnout	ne
vodhodit	i
vodhánět	et-i
vodit	i
vodjíždět	et-i
vodklidit	i
vodkoupit	i
vodkroutit	i
vodkráčet	et-i
vodložit	i
vodnatět	et-i
vodničit	i
vodoléčit	i
vodpouštět	et-i
vodpovolit	i
vodpočinout	ne
vodprdelit	i
vodpustit	i
vodpálit	i
vodrážet	et-i
vodsedět	et-i
vodskočit	i
vodsoudit	i
vodstranit	i
vodstřelit	i
vodtroubit	i
vodvalit	i
vodvařit	i
vodvádět	et-i
vodvážet	et-i
vodzvonit	i
vohlásit	i
vohnout	ne
vohodit	i
voholit	i
vohořet	et-i
vohrnout	ne
vohánět	et-i
vojančit	i
vojačit	i
vojevodit	i
vojvodit	i
vojíždět	et-i
vokounět	et-i
volačit	i
volit	i
volnit	i
vomilostnit	i
vomlátit	i
vomráčit	i
vomámit	i
vonemocnět	et-i
vonět	et-i
vopatřit	i
vopařit	i
vopouštět	et-i
voprdět	et-i
voprášit	i
vopustit	i
vorazit	i
vorařit	i
vosamotit	i
voskovatět	et-i
vosladit	i
voslnit	i
vosmažit	i
vosolit	i
vosvobodit	i
vosvětlit	i
votočit	i
votrnout	ne
votrávit	i
votužit	i
votáčet	et-i
votěhotnět	et-i
vousatět	et-i
vovlivnit	i
vověnčit	i
vozit	i
voznámit	i
vozářit	i
vočistit	i
voženit	i
vpečetit	i
vpeřit	i
vplatit	i
vplazit	i
vplichtit	i
vploužit	i
vplynout	ne
vplácet	et-i
vplížit	i
vpojit	i
vpotácet	et-i
vpouštět	et-i
vproudit	i
vprášit	i
vpudit	i
vpustit	i
vpájet	et-i
vpálit	i
vpáčit	i
vpíjet	et-i
vracet	et-i
vrachotit	i
vrazit	i
vraštit	i
vraždit	i
vražit	i
vrcholit	i
vrchovatět	et-i
vrnět	et-i
vrodit	i
vrojit	i
vronit	i
vroubit	i
vroucnit	i
vroucnět	et-i
vročit	i
vrstvit	i
vrtačit	i
vrtichvostit	i
vrtohlavět	et-i
vrtáčet	et-i
vrtět	et-i
vručit	i
vrušit	i
vráskatět	et-i
vráskovatět	et-i
vrásnit	i
vrásnět	et-i
vrásčet	et-i
vrásčit	i
vrátit	i
vráštit	i
vráščet	et-i
vrážet	et-i
vrčet	et-i
vršit	i
vsadit	i
vskočit	i
vsolit	i
vstoupit	i
vstrčit	i
vstřelit	i
vstřílet	et-i
vsunout	ne
vsupět	et-i
vsázet	et-i
vsítit	i
vtahnout	ne
vtanout	ne
vtančit	i
vtasit	i
vtipkařit	i
vtlačit	i
vtláčet	et-i
vtmelit	i
vtonout	ne
vtočit	i
vtrmácet	et-i
vtrnout	ne
vtrousit	i
vtulit	i
vtvořit	i
vtyčit	i
vtápět	et-i
vtáčet	et-i
vtísnit	i
vtělesnit	i
vtělit	i
vtěsnit	i
vtřeštit	i
vtřídit	i
vučet	et-i
vyakčnit	i
vybafčit	i
vybahnit	i
vybaletit	i
vybalit	i
vybarvit	i
vybatolit	i
vybednit	i
vybečet	et-i
vybičit	i
vybloudit	i
vyblouznit	i
vyblyštět	et-i
vyblábolit	i
vybláznit	i
vybolet	et-i
vybortit	i
vyboulit	i
vybouřit	i
vybočit	i
vybořit	i
vybrebentit	i
vybrejlit	i
vybrečet	et-i
vybrodit	i
vybrousit	i
vybruslit	i
vybručet	et-i
vybránit	i
vybrázdit	i
vybudit	i
vybujet	et-i
vybujnět	et-i
vybulit	i
vyburácet	et-i
vybučet	et-i
vybydlet	et-i
vybájit	i
vybásnit	i
vybíjet	et-i
vybílit	i
vybízet	et-i
vybělet	et-i
vybělit	i
vyběsit	i
vyběsnit	i
vycedit	i
vycejtit	i
vycenit	i
vychladit	i
vychlípit	i
vychlípět	et-i
vychodit	i
vychovat	a
vychraptět	et-i
vychrlit	i
vychrnět	et-i
vychránit	i
vychumelit	i
vychválit	i
vychvátit	i
vychvět	et-i
vychytračit	i
vycházet	et-i
vychýlit	i
vychřestit	i
vycigánit	i
vycikánit	i
vycivět	et-i
vyclonit	i
vycukernit	i
vycvičit	i
vycídit	i
vycítit	i
vydařit	i
vydejřit	i
vydivočet	et-i
vydlužit	i
vydláždit	i
vydojit	i
vydovádět	et-i
vydražit	i
vydrmolit	i
vydrnčet	et-i
vydrolit	i
vydrtit	i
vydráždit	i
vydržet	et-i
vydunět	et-i
vydusit	i
vydávit	i
vydýřit	i
vydědit	i
vydělit	i
vyděsit	i
vydřepět	et-i
vydřevnit	i
vyfajčit	i
vyfandit	i
vyfařit	i
vyfintit	i
vyfičet	et-i
vyfotit	i
vyfrnčet	et-i
vyfrčet	et-i
vyfunět	et-i
vyfučet	et-i
vyglančit	i
vygooglit	i
vyhalit	i
vyhamonit	i
vyhasit	i
vyhastrošit	i
vyhejřit	i
vyhladit	i
vyhladovět	et-i
vyhlaholit	i
vyhlatit	i
vyhledět	et-i
vyhloubit	i
vyhlučet	et-i
vyhlásit	i
vyhlášet	et-i
vyhlížet	et-i
vyhnojit	i
vyhnízdit	i
vyhodit	i
vyhodnotit	i
vyhojit	i
vyholit	i
vyhonit	i
vyhospodařit	i
vyhostit	i
vyhoulit	i
vyhovořit	i
vyhovět	et-i
vyhořet	et-i
vyhradit	i
vyhranit	i
vyhraničit	i
vyhrdlit	i
vyhrnout	ne
vyhrotit	i
vyhrozit	i
vyhrčet	et-i
vyhulit	i
vyhučet	et-i
vyhvězdit	i
vyhynout	ne
vyhánět	et-i
vyházet	et-i
vyhýřit	i
vyhřeblit	i
vyhřešit	i
vyhřmět	et-i
vyjasnit	i
vyjednotit	i
vyjemnit	i
vyjezdit	i
vyječet	et-i
vyježit	i
vyjádřit	i
vyjíždět	et-i
vykadit	i
vykalit	i
vykanout	ne
vykazit	i
vykeťasit	i
vyklanět	et-i
vyklenout	ne
vyklestit	i
vyklevetit	i
vyklečet	et-i
vykleštit	i
vyklidit	i
vyklonit	i
vyklopotit	i
vykloubit	i
vyklovat	a
vyklučit	i
vyklábosit	i
vyklánět	et-i
vyklápět	et-i
vyklátit	i
vyklínit	i
vyklízet	et-i
vyklíčit	i
vyklížit	i
vykojit	i
vykolejit	i
vykolit	i
vykosit	i
vykostit	i
vykotit	i
vykotoulet	et-i
vykoulet	et-i
vykoulit	i
vykoupit	i
vykouzlit	i
vykouřit	i
vykovat	a
vykořenit	i
vykořistit	i
vykoštit	i
vykramařit	i
vykreslit	i
vykrojit	i
vykroutit	i
vykroužit	i
vykročit	i
vykrvit	i
vykrvácet	et-i
vykrájet	et-i
vykrápět	et-i
vykrátit	i
vykráčet	et-i
vykrášlit	i
vykrčit	i
vykuchtit	i
vykudlit	i
vykuklit	i
vykulit	i
vykutálet	et-i
vykvasit	i
vykvášet	et-i
vykvílet	et-i
vykymácet	et-i
vykynout	ne
vykypět	et-i
vykyselit	i
vykácet	et-i
vykálet	et-i
vykáznit	i
vykřepčit	i
vykřičet	et-i
vyladit	i
vylakotit	i
vylačnit	i
vylehčit	i
vylenošit	i
vylepšit	i
vyletnit	i
