# lemma	p-sg1	p-sg2	p-sg3	p-du1	p-du2	p-du3	p-pl1	p-pl2	p-pl3	imp2sg	lptcp	supine ("-" = derive)
aromatizirati	aromatiziram	aromatiziraš	aromatizira	aromatizirava	aromatizirata	aromatizirata	aromatiziramo	aromatizirate	aromatizirajo	-	-	-	-	-
arondirati	arondiram	arondiraš	arondira	arondirava	arondirata	arondirata	arondiramo	arondirate	arondirajo	-	-	-	-	-
artikulirati	artikuliram	artikuliraš	artikulira	artikulirava	artikulirata	artikulirata	artikuliramo	artikulirate	artikulirajo	-	-	-	-	-
asanirati	asaniram	asaniraš	asanira	asanirava	asanirata	asanirata	asaniramo	asanirate	asanirajo	-	-	-	-	-
asfaltirati	asfaltiram	asfaltiraš	asfaltira	asfaltirava	asfaltirata	asfaltirata	asfaltiramo	asfaltirate	asfaltirajo	-	-	-	-	-
asimilirati	asimiliram	asimiliraš	asimilira	asimilirava	asimilirata	asimilirata	asimiliramo	asimilirate	asimilirajo	-	-	-	-	-
asisitirati	asisitiram	asisitiraš	asisitira	asisitirava	asisitirata	asisitirata	asisitiramo	asisitirate	asisitirajo	-	-	-	-	-
asistirati	asistiram	asistiraš	asistira	asistirava	asistirata	asistirata	asistiramo	asistirate	asistirajo	-	-	-	-	-
asociirati	asociiram	asociiraš	asociira	asociirava	asociirata	asociirata	asociiramo	asociirate	asociirajo	-	-	-	-	-
asocirati	asociram	asociraš	asocira	asocirava	asocirata	asocirata	asociramo	asocirate	asocirajo	-	-	-	-	-
aspektirati	aspektiram	aspektiraš	aspektira	aspektirava	aspektirata	aspektirata	aspektiramo	aspektirate	aspektirajo	-	-	-	-	-
aspirirati	aspiriram	aspiriraš	aspirira	aspirirava	aspirirata	aspirirata	aspiriramo	aspirirate	aspirirajo	-	-	-	-	-
atakirati	atakiram	atakiraš	atakira	atakirava	atakirata	atakirata	atakiramo	atakirate	atakirajo	-	-	-	-	-
ateizirati	ateiziram	ateiziraš	ateizira	ateizirava	ateizirata	ateizirata	ateiziramo	ateizirate	ateizirajo	-	-	-	-	-
atentirati	atentiram	atentiraš	atentira	atentirava	atentirata	atentirata	atentiramo	atentirate	atentirajo	-	-	-	-	-
aterirati	ateriram	ateriraš	aterira	aterirava	aterirata	aterirata	ateriramo	aterirate	aterirajo	-	-	-	-	-
atestirati	atestiram	atestiraš	atestira	atestirava	atestirata	atestirata	atestiramo	atestirate	atestirajo	-	-	-	-	-
atomizirati	atomiziram	atomiziraš	atomizira	atomizirava	atomizirata	atomizirata	atomiziramo	atomizirate	atomizirajo	-	-	-	-	-
atribuirati	atribuiram	atribuiraš	atribuira	atribuirava	atribuirata	atribuirata	atribuiramo	atribuirate	atribuirajo	-	-	-	-	-
atrofirati	atrofiram	atrofiraš	atrofira	atrofirava	atrofirata	atrofirata	atrofiramo	atrofirate	atrofirajo	-	-	-	-	-
auditirati	auditiram	auditiraš	auditira	auditirava	auditirata	auditirata	auditiramo	auditirate	auditirajo	-	-	-	-	-
auzglajzati	auzglajžem	auzglajžeš	auzglajže	auzglajževa	auzglajžeta	auzglajžeta	auzglajžemo	auzglajžete	auzglajžejo	auzglajži	-	-	-	-
avalirati	avaliram	avaliraš	avalira	avalirava	avalirata	avalirata	avaliramo	avalirate	avalirajo	-	-	-	-	-
avansirati	avansiram	avansiraš	avansira	avansirava	avansirata	avansirata	avansiramo	avansirate	avansirajo	-	-	-	-	-
avanzirati	avanziram	avanziraš	avanzira	avanzirava	avanzirata	avanzirata	avanziramo	avanzirate	avanzirajo	-	-	-	-	-
avizirati	aviziram	aviziraš	avizira	avizirava	avizirata	avizirata	aviziramo	avizirate	avizirajo	-	-	-	-	-
avtenticirati	avtenticiram	avtenticiraš	avtenticira	avtenticirava	avtenticirata	avtenticirata	avtenticiramo	avtenticirate	avtenticirajo	-	-	-	-	-
avtentificirati	avtentificiram	avtentificiraš	avtentificira	avtentificirava	avtentificirata	avtentificirata	avtentificiramo	avtentificirate	avtentificirajo	-	-	-	-	-
avtocenzurirati	avtocenzuriram	avtocenzuriraš	avtocenzurira	avtocenzurirava	avtocenzurirata	avtocenzurirata	avtocenzuriramo	avtocenzurirate	avtocenzurirajo	-	-	-	-	-
avtoklavirati	avtoklaviram	avtoklaviraš	avtoklavira	avtoklavirava	avtoklavirata	avtoklavirata	avtoklaviramo	avtoklavirate	avtoklavirajo	-	-	-	-	-
avtomatizirati	avtomatiziram	avtomatiziraš	avtomatizira	avtomatizirava	avtomatizirata	avtomatizirata	avtomatiziramo	avtomatizirate	avtomatizirajo	-	-	-	-	-
avtoreflektirati	avtoreflektiram	avtoreflektiraš	avtoreflektira	avtoreflektirava	avtoreflektirata	avtoreflektirata	avtoreflektiramo	avtoreflektirate	avtoreflektirajo	-	-	-	-	-
avtorizirati	avtoriziram	avtoriziraš	avtorizira	avtorizirava	avtorizirata	avtorizirata	avtoriziramo	avtorizirate	avtorizirajo	-	-	-	-	-
avtostopati	avtostopam	avtostopaš	avtostopa	avtostopava	avtostopata	avtostopata	avtostopamo	avtostopate	avtostopajo	-	-	-	-	-
avtoštopati	avtoštopam	avtoštopaš	avtoštopa	avtoštopava	avtoštopata	avtoštopata	avtoštopamo	avtoštopate	avtoštopajo	-	-	-	-	-
ažurirati	ažuriram	ažuriraš	ažurira	ažurirava	ažurirata	ažurirata	ažuriramo	ažurirate	ažurirajo	-	-	-	-	-
bagatelizirati	bagateliziram	bagateliziraš	bagatelizira	bagatelizirava	bagatelizirata	bagatelizirata	bagateliziramo	bagatelizirate	bagatelizirajo	-	-	-	-	-
bagrati	bagram	bagraš	bagra	bagrava	bagrata	bagrata	bagramo	bagrate	bagrajo	-	-	-	-	-
bahati	baham	bahaš	baha	bahava	bahata	bahata	bahamo	bahate	bahajo	-	-	-	-	-
bajati	bajam	bajaš	baja	bajava	bajata	bajata	bajamo	bajate	bajajo	-	-	-	-	-
balansirati	balansiram	balansiraš	balansira	balansirava	balansirata	balansirata	balansiramo	balansirate	balansirajo	-	-	-	-	-
baletati	baletam	baletaš	baleta	baletava	baletata	baletata	baletamo	baletate	baletajo	-	-	-	-	-
balinati	balinam	balinaš	balina	balinava	balinata	balinata	balinamo	balinate	balinajo	-	-	-	-	-
balirati	baliram	baliraš	balira	balirava	balirata	balirata	baliramo	balirate	balirajo	-	-	-	-	-
balkanizirati	balkaniziram	balkaniziraš	balkanizira	balkanizirava	balkanizirata	balkanizirata	balkaniziramo	balkanizirate	balkanizirajo	-	-	-	-	-
balvanirati	balvaniram	balvaniraš	balvanira	balvanirava	balvanirata	balvanirata	balvaniramo	balvanirate	balvanirajo	-	-	-	-	-
balzamirati	balzamiram	balzamiraš	balzamira	balzamirava	balzamirata	balzamirata	balzamiramo	balzamirate	balzamirajo	-	-	-	-	-
banalizirati	banaliziram	banaliziraš	banalizira	banalizirava	banalizirata	banalizirata	banaliziramo	banalizirate	banalizirajo	-	-	-	-	-
bandati	bandam	bandaš	banda	bandava	bandata	bandata	bandamo	bandate	bandajo	-	-	-	-	-
bandažirati	bandažiram	bandažiraš	bandažira	bandažirava	bandažirata	bandažirata	bandažiramo	bandažirate	bandažirajo	-	-	-	-	-
bankrotirati	bankrotiram	bankrotiraš	bankrotira	bankrotirava	bankrotirata	bankrotirata	bankrotiramo	bankrotirate	bankrotirajo	-	-	-	-	-
barantati	barantam	barantaš	baranta	barantava	barantata	barantata	barantamo	barantate	barantajo	-	-	-	-	-
barati	baram	baraš	bara	barava	barata	barata	baramo	barate	barajo	-	-	-	-	-
barbarizirati	barbariziram	barbariziraš	barbarizira	barbarizirava	barbarizirata	barbarizirata	barbariziramo	barbarizirate	barbarizirajo	-	-	-	-	-
barikirati	barikiram	barikiraš	barikira	barikirava	barikirata	barikirata	barikiramo	barikirate	barikirajo	-	-	-	-	-
barokizirati	barokiziram	barokiziraš	barokizira	barokizirava	barokizirata	barokizirata	barokiziramo	barokizirate	barokizirajo	-	-	-	-	-
barvati	barvam	barvaš	barva	barvava	barvata	barvata	barvamo	barvate	barvajo	-	-	-	-	-
basati	bašem	bašeš	baše	baševa	bašeta	bašeta	bašemo	bašete	bašejo	baši	-	-	-	-
