# lemma	p1sg	p3sg	pst1sg	pst3sg	nut	pass-prs	pass-pst	imp2sg ("-" = type-I default)
aiheellistua	-	-	-	-	-	-	-	-	-	-	-	aiheellistunee
aiheuttaa	aiheutan	-	aiheutin	aiheutti	-	aiheutetaan	aiheutettiin	aiheuta	-	-	-	aiheuttanee
aiheutua	aiheudun	-	aiheuduin	aiheutui	-	aiheudutaan	aiheuduttiin	aiheudu	-	-	-	aiheutunee
aikaansaada	aikaansaan	aikaansaa	aikaansain	aikaansai	aikaansaanut	aikaansaadaan	aikaansaatiin	aikaansaa	aikaansaavat	-	-	aikaansaanee
aikailla	aikailen	aikailee	aikailin	aikaili	aikaillut	aikaillaan	aikailtiin	aikaile	-	-	-	aikaillee
aikaistaa	-	-	aikaistin	aikaisti	-	aikaistetaan	aikaistettiin	-	-	-	-	aikaistanee
aikaistua	-	-	-	-	-	-	-	-	-	-	-	aikaistunee
aikakatkaista	aikakatkaisen	aikakatkaisee	aikakatkaisin	aikakatkaisi	aikakatkaissut	aikakatkaistaan	aikakatkaistiin	aikakatkaise	-	-	-	aikakatkaissee
aikatauluttaa	aikataulutan	-	aikataulutin	aikataulutti	-	aikataulutetaan	aikataulutettiin	aikatauluta	-	-	-	aikatauluttanee
aikauttaa	aikautan	-	aikautin	aikautti	-	aikautetaan	aikautettiin	aikauta	-	-	-	aikauttanee
aikoa	aion	-	aioin	aikoi	-	aiotaan	aiottiin	aio	-	-	-	aikonee
aikuistaa	-	-	aikuistin	aikuisti	-	aikuistetaan	aikuistettiin	-	-	-	-	aikuistanee
aikuistua	-	-	-	-	-	-	-	-	-	-	-	aikuistunee
ailahdella	ailahtelen	ailahtelee	ailahtelin	ailahteli	ailahdellut	ailahdellaan	ailahdeltiin	ailahtele	-	-	-	ailahdellee
ailahtaa	ailahdan	-	ailahdin	ailahti	-	ailahdetaan	ailahdettiin	ailahda	-	-	-	ailahtanee
aimottaa	aimotan	-	aimotin	aimotti	-	aimotetaan	aimotettiin	aimota	-	-	-	aimottanee
aineellistaa	-	-	aineellistin	aineellisti	-	aineellistetaan	aineellistettiin	-	-	-	-	aineellistanee
aineellistua	-	-	-	-	-	-	-	-	-	-	-	aineellistunee
aineistaa	-	-	aineistin	aineisti	-	aineistetaan	aineistettiin	-	-	-	-	aineistanee
aineistua	-	-	-	-	-	-	-	-	-	-	-	aineistunee
ainuntaa	ainunnan	-	ainunsin	ainunsi	-	ainunnetaan	ainunnettiin	ainunna	-	-	-	ainuntanee
aisata	aisaan	aisaa	aisasin	aisasi	aisannut	aisataan	aisattiin	aisaa	aisaavat	aisatkaa	-	aisannee
aistia	-	-	aistin	aisti	-	-	-	-	-	-	-	aistinee
aitailla	aitailen	aitailee	aitailin	aitaili	aitaillut	aitaillaan	aitailtiin	aitaile	-	-	-	aitaillee
aitautua	-	-	-	-	-	-	-	-	-	-	-	aitautunee
aitoa	aidon	-	aidoin	aitoi	-	aidotaan	aidottiin	aido	-	-	-	aitonee
aivastaa	-	-	aivastin	aivasti	-	aivastetaan	aivastettiin	-	-	-	-	aivastanee
aivastella	aivastelen	aivastelee	aivastelin	aivasteli	aivastellut	aivastellaan	aivasteltiin	aivastele	-	-	-	aivastellee
aivastuttaa	aivastutan	-	aivastutin	aivastutti	-	aivastutetaan	aivastutettiin	aivastuta	-	-	-	aivastuttanee
aivopeseytyä	aivopeseydyn	aivopeseytyy	aivopeseydyin	aivopeseytyi	aivopeseytynyt	aivopeseydytään	aivopeseytyttiin	aivopeseydy	aivopeseytyvät	aivopeseytykää	aivopeseytyisi	aivopeseytynee
aivopestä	aivopesen	aivopesee	aivopesin	aivopesi	aivopessyt	aivopestään	aivopestiin	aivopese	aivopesevät	aivopeskää	aivopesisi	aivopessee
ajaa	-	-	ajoin	ajoi	-	ajetaan	ajettiin	-	-	-	-	ajanee
ajaantua	ajaannun	-	ajaannuin	ajaantui	-	ajaannutaan	ajaannuttiin	ajaannu	-	-	-	ajaantunee
ajankohtaistaa	-	-	ajankohtaistin	ajankohtaisti	-	ajankohtaistetaan	ajankohtaistettiin	-	-	-	-	ajankohtaistanee
ajankohtaistua	-	-	-	-	-	-	-	-	-	-	-	ajankohtaistunee
ajanmukaistaa	-	-	ajanmukaistin	ajanmukaisti	-	ajanmukaistetaan	ajanmukaistettiin	-	-	-	-	ajanmukaistanee
ajanmukaistua	-	-	-	-	-	-	-	-	-	-	-	ajanmukaistunee
ajantasaistaa	-	-	ajantasaistin	ajantasaisti	-	ajantasaistetaan	ajantasaistettiin	-	-	-	-	ajantasaistanee
ajastaa	-	-	ajastin	ajasti	-	ajastetaan	ajastettiin	-	-	-	-	ajastanee
ajatella	ajattelen	ajattelee	ajattelin	ajatteli	ajatellut	ajatellaan	ajateltiin	ajattele	-	-	-	ajatellee
ajattaa	ajatan	-	ajatin	ajatti	-	ajatetaan	ajatettiin	ajata	-	-	-	ajattanee
ajatteluttaa	ajattelutan	-	ajattelutin	ajattelutti	-	ajattelutetaan	ajattelutettiin	ajatteluta	-	-	-	ajatteluttanee
ajautua	ajaudun	-	ajauduin	ajautui	-	ajaudutaan	ajauduttiin	ajaudu	-	-	-	ajautunee
ajelehtia	ajelehdin	-	ajelehdin	ajelehti	-	ajelehditaan	ajelehdittiin	ajelehdi	-	-	-	ajelehtinee
ajella	ajelen	ajelee	ajelin	ajeli	ajellut	ajellaan	ajeltiin	ajele	-	-	-	ajellee
ajeluttaa	ajelutan	-	ajelutin	ajelutti	-	ajelutetaan	ajelutettiin	ajeluta	-	-	-	ajeluttanee
ajettua	ajetun	-	ajetuin	ajettui	-	ajetutaan	ajetuttiin	ajetu	-	-	-	ajettunee
ajoittaa	ajoitan	-	ajoitin	ajoitti	-	ajoitetaan	ajoitettiin	ajoita	-	-	-	ajoittanee
ajoittua	ajoitun	-	ajoituin	ajoittui	-	ajoitutaan	ajoituttiin	ajoitu	-	-	-	ajoittunee
akettaa	aketan	-	aketin	aketti	-	aketetaan	aketettiin	aketa	-	-	-	akettanee
akkautua	akkaudun	-	akkauduin	akkautui	-	akkaudutaan	akkauduttiin	akkaudu	-	-	-	akkautunee
akklimatisoida	akklimatisoin	akklimatisoi	akklimatisoin	akklimatisoi	akklimatisoinut	akklimatisoidaan	akklimatisoitiin	akklimatisoi	akklimatisoivat	-	-	akklimatisoinee
akklimatisoitua	akklimatisoidun	-	akklimatisoiduin	akklimatisoitui	-	akklimatisoidutaan	akklimatisoiduttiin	akklimatisoidu	-	-	-	akklimatisoitunee
akkreditoida	akkreditoin	akkreditoi	akkreditoin	akkreditoi	akkreditoinut	akkreditoidaan	akkreditoitiin	akkreditoi	akkreditoivat	-	-	akkreditoinee
akkumuloida	akkumuloin	akkumuloi	akkumuloin	akkumuloi	akkumuloinut	akkumuloidaan	akkumuloitiin	akkumuloi	akkumuloivat	-	-	akkumuloinee
akkumuloitua	akkumuloidun	-	akkumuloiduin	akkumuloitui	-	akkumuloidutaan	akkumuloiduttiin	akkumuloidu	-	-	-	akkumuloitunee
akoittua	akoitun	-	akoituin	akoittui	-	akoitutaan	akoituttiin	akoitu	-	-	-	akoittunee
akseleroida	akseleroin	akseleroi	akseleroin	akseleroi	akseleroinut	akseleroidaan	akseleroitiin	akseleroi	akseleroivat	-	-	akseleroinee
aksentoida	aksentoin	aksentoi	aksentoin	aksentoi	aksentoinut	aksentoidaan	aksentoitiin	aksentoi	aksentoivat	-	-	aksentoinee
akseptata	akseptaan	akseptaa	akseptasin	akseptasi	akseptannut	akseptataan	akseptattiin	akseptaa	akseptaavat	akseptatkaa	-	akseptannee
akseptoida	akseptoin	akseptoi	akseptoin	akseptoi	akseptoinut	akseptoidaan	akseptoitiin	akseptoi	akseptoivat	-	-	akseptoinee
aktiivistaa	-	-	aktiivistin	aktiivisti	-	aktiivistetaan	aktiivistettiin	-	-	-	-	aktiivistanee
aktiivistua	-	-	-	-	-	-	-	-	-	-	-	aktiivistunee
aktivoida	aktivoin	aktivoi	aktivoin	aktivoi	aktivoinut	aktivoidaan	aktivoitiin	aktivoi	aktivoivat	-	-	aktivoinee
aktivoitua	aktivoidun	-	aktivoiduin	aktivoitui	-	aktivoidutaan	aktivoiduttiin	aktivoidu	-	-	-	aktivoitunee
aktuaalistaa	-	-	aktuaalistin	aktuaalisti	-	aktuaalistetaan	aktuaalistettiin	-	-	-	-	aktuaalistanee
aktuaalistua	-	-	-	-	-	-	-	-	-	-	-	aktuaalistunee
aktualisoida	aktualisoin	aktualisoi	aktualisoin	aktualisoi	aktualisoinut	aktualisoidaan	aktualisoitiin	aktualisoi	aktualisoivat	-	-	aktualisoinee
aktualisoitua	aktualisoidun	-	aktualisoiduin	aktualisoitui	-	aktualisoidutaan	aktualisoiduttiin	aktualisoidu	-	-	-	aktualisoitunee
akustoida	akustoin	akustoi	akustoin	akustoi	akustoinut	akustoidaan	akustoitiin	akustoi	akustoivat	-	-	akustoinee
akutisoida	akutisoin	akutisoi	akutisoin	akutisoi	akutisoinut	akutisoidaan	akutisoitiin	akutisoi	akutisoivat	-	-	akutisoinee
akutisoitua	-	-	-	-	-	-	-	-	-	-	-	akutisoitunee
alaskirjata	alaskirjaan	alaskirjaa	alaskirjasin	alaskirjasi	alaskirjannut	alaskirjataan	alaskirjattiin	alaskirjaa	alaskirjaavat	alaskirjatkaa	-	alaskirjannee
albaniantaa	albaniannan	-	albaniansin	albaniansi	-	albaniannetaan	albaniannettiin	albanianna	-	-	-	albaniantanee
alentaa	alennan	-	alensin	alensi	-	alennetaan	alennettiin	alenna	-	-	-	alentanee
alentua	alennun	-	alennuin	alentui	-	alennutaan	alennuttiin	alennu	-	-	-	alentunee
aleta	alenen	alenee	alenin	aleni	alennut	aletaan	alettiin	alene	-	aletkaa	-	alennee
aliarvioida	aliarvioin	aliarvioi	aliarvioin	aliarvioi	aliarvioinut	aliarvioidaan	aliarvioitiin	aliarvioi	aliarvioivat	-	-	aliarvioinee
aliarvostaa	-	-	aliarvostin	aliarvosti	-	aliarvostetaan	aliarvostettiin	-	-	-	-	aliarvostanee
aliasoida	aliasoin	aliasoi	aliasoin	aliasoi	aliasoinut	aliasoidaan	aliasoitiin	aliasoi	aliasoivat	-	-	aliasoinee
alihinnoitella	alihinnoittelen	alihinnoittelee	alihinnoittelin	alihinnoitteli	alihinnoitellut	alihinnoitellaan	alihinnoiteltiin	alihinnoittele	alihinnoittelevat	alihinnoitelkaa	alihinnoittelisi	alihinnoitellee
alijäähdyttää	alijäähdytän	alijäähdyttää	alijäähdytin	alijäähdytti	alijäähdyttänyt	alijäähdytetään	alijäähdytettiin	alijäähdytä	alijäähdyttävät	alijäähdyttäkää	alijäähdyttäisi	alijäähdyttänee
alijäähtyä	alijäähdyn	alijäähtyy	alijäähdyin	alijäähtyi	alijäähtynyt	alijäähdytään	alijäähdyttiin	alijäähdy	alijäähtyvät	alijäähtykää	alijäähtyisi	alijäähtynee
alikellottaa	alikellotan	alikellottaa	alikellotin	alikellotti	alikellottanut	alikellotetaan	alikellottettiin	alikellota	alikellottavat	alikellottakaa	alikellottaisi	alikellottanee
alimitoittaa	alimitoitan	-	alimitoitin	alimitoitti	-	alimitoitetaan	alimitoitettiin	alimitoita	-	-	-	alimitoittanee
alimyydä	alimyyn	alimyy	alimyin	alimyi	alimyynyt	alimyydään	alimyytiin	alimyy	alimyyvät	alimyykää	alimyisi	alimyynee
alipalkata	alipalkkaan	alipalkkaa	alipalkkasin	alipalkkasi	alipalkannut	alipalkataan	alipalkattiin	alipalkkaa	alipalkkaavat	alipalkatkaa	-	alipalkannee
alisovittaa	alisovitan	alisovittaa	alisovitin	alisovitti	alisovittanut	alisovitetaan	alisovittettiin	alisovita	alisovittavat	alisovittakaa	alisovittaisi	alisovittanee
alistaa	-	-	alistin	alisti	-	alistetaan	alistettiin	-	-	-	-	alistanee
alistua	-	-	-	-	-	-	-	-	-	-	-	alistunee
alisuorittaa	alisuoritan	-	alisuoritin	alisuoritti	-	alisuoritetaan	alisuoritettiin	alisuorita	-	-	-	alisuorittanee
alisuoriutua	alisuoriudun	-	alisuoriuduin	alisuoriutui	-	alisuoriudutaan	alisuoriuduttiin	alisuoriudu	-	-	-	alisuoriutunee
alittaa	alitan	-	alitin	alitti	-	alitetaan	alitettiin	alita	-	-	-	alittanee
alittua	alitun	-	alituin	alittui	-	alitutaan	alituttiin	alitu	-	-	-	alittunee
alitäyttää	alitäytän	alitäyttää	alitäytin	alitäytti	alitäyttänyt	alitäytetään	alitäytettiin	alitäytä	alitäyttävät	alitäyttäkää	alitäyttäisi	alitäyttänee
aliurakoida	aliurakoin	aliurakoi	aliurakoin	aliurakoi	aliurakoinut	aliurakoidaan	aliurakoitiin	aliurakoi	aliurakoitsevat	aliurakoikaa	aliurakoisi	aliurakoinee
alivakuuttaa	alivakuutan	-	alivakuutin	alivakuutti	-	alivakuutetaan	alivakuutettiin	alivakuuta	-	-	-	alivakuuttanee
alivalottaa	alivalotan	-	alivalotin	alivalotti	-	alivalotetaan	alivalotettiin	alivalota	-	-	-	alivalottanee
alivalottua	alivalotun	-	alivalotuin	alivalottui	-	alivalotutaan	alivalotuttiin	alivalotu	-	-	-	alivalottunee
