# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
αναπτύσσω	-	-	-	-	-	-	ανέπτυσσα	ανέπτυσσες	ανέπτυσσε	αναπτύσσαμε	αναπτύσσατε	ανέπτυσσαν	ανάπτυξα	ανάπτυξες	ανάπτυξε	αναπτύξαμε	αναπτύξατε	ανάπτυξαν	ανάπτυξε	αναπτύξτε	-
αναρρώνω	-	-	-	-	-	-	ανάρρωνα	ανάρρωνες	ανάρρωνε	αναρρώναμε	αναρρώνατε	ανάρρωναν	ανάρρωσα	ανάρρωσες	ανάρρωσε	αναρρώσαμε	αναρρώσατε	ανάρρωσαν	ανάρρωνε	αναρρώνετε	-
αναρτώ	αναρτώ	αναρτάς	αναρτά	αναρτούμε	αναρτάτε	αναρτούν	αναρτούσα	αναρτούσες	αναρτούσε	αναρτούσαμε	αναρτούσατε	αναρτούσαν	ανάρτησα	ανάρτησες	ανάρτησε	αναρτήσαμε	αναρτήσατε	ανάρτησαv	ανάρτησε	αναρτάτε	αναρτώντας
ανασαλεύω	-	-	-	-	-	-	ανασάλευα	ανασάλευες	ανασάλευε	ανασαλεύαμε	ανασαλεύατε	ανασάλευαν	ανασάλεψα	ανασάλεψες	ανασάλεψε	ανασαλέψαμε	ανασαλέψατε	ανασάλεψαν	ανασάλευ'	ανασαλέψτε	-
ανασκάβω	-	-	-	-	-	-	ανέσκαβα	ανέσκαβες	ανέσκαβε	ανασκάβαμε	ανασκάβατε	ανέσκαβαν	ανέσκαψα	ανέσκαψες	ανέσκαψε	ανασκάψαμε	ανασκάψατε	ανέσκαψαν	ανάσκαβε	ανασκάβετε	-
ανασκάφτω	-	-	-	-	-	-	ανέσκαφτα	ανέσκαφτες	ανέσκαφτε	ανασκάφταμε	ανασκάφτατε	ανέσκαφταν	ανέσκαψα	ανέσκαψες	ανέσκαψε	ανασκάψαμε	ανασκάψατε	ανέσκαψαν	ανάσκαφ'	ανασκάφτε	-
ανασκαλεύομαι	ανασκαλεύομαι	ανασκαλεύεσαι	ανασκαλεύεται	ανασκαλευόμαστε	ανασκαλευόσαστε1	ανασκαλεύονται	ανασκαλευόμουν	ανασκαλευόσουν	ανασκαλευόταν	ανασκαλευόμασταν	ανασκαλευόσασταν	ανασκαλευόντανε	ανασκαλεύτηκα	ανασκαλεύτηκες	ανασκαλεύτηκε	ανασκαλευτήκαμε	ανασκαλευτήκατε	ανασκαλευτήκανε	ανασκαλέψου	ανασκαλευτείτε	-
ανασκαλεύω	-	-	-	-	-	-	ανασκάλευα	ανασκάλευες	ανασκάλευε	ανασκαλεύαμε	ανασκαλεύατε	ανασκάλευαν	ανασκάλεψα	ανασκάλεψες	ανασκάλεψε	ανασκαλέψαμε	ανασκαλέψατε	ανασκάλεψαν	ανασκάλευε	ανασκαλέψτε	-
ανασκευάζω	-	-	-	-	-	-	ανασκεύαζα	ανασκεύαζες	ανασκεύαζε	ανασκευάζαμε	ανασκευάζατε	ανασκευάζαν	ανασκεύασα	ανασκεύασες	ανασκεύασε	ανασκευάσαμε	ανασκευάσατε	ανασκευάσαν	ανασκεύαζε	ανασκευάζετε	-
αναστέλλω	αναsτέλλω	αναsτέλλεις	αναsτέλλει	αναsτέλλομε	αναsτέλλετε	αναsτέλλουν	ανάsτελλα	ανάsτελλες	ανάsτελλε	αναsτέλλαμε	αναsτέλλατε	ανάsτελλαν	ανάsτειλα	ανάsτειλες	ανάsτειλε	αναsτείλαμε	αναsτείλατε	ανάsτειλαν	ανάsτειλε	αναsτέλλετε	αναsτέλλοντας
ανασταίνω	-	-	-	-	-	-	ανάσταινα	ανάσταινες	ανάσταινε	ανασταίναμε	ανασταίνατε	ανάσταιναν	ανάστησα	ανάστησες	ανάστησε	αναστήσαμε	αναστήσατε	ανάστησαν	ανάσταινε	αναστήστε	-
