# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
καταφρονώ	καταφρονώ	καταφρονείς	καταφρονεί	καταφρονούμε	καταφρονείτε	καταφρονούν	καταφρονούσα	καταφρονούσες	καταφρονούσε	καταφρονούσαμε	καταφρονούσατε	καταφρονούσαν	καταφρόνησα	καταφρόνησες	καταφρόνησε	καταφρονήσαμε	καταφρονήσατε	καταφρόνησαν	καταφρόνησε	καταφρονείτε	καταφρονώντας
καταφτάνω	-	-	-	-	-	-	κατέφτανα	κατέφτανες	κατέφτανε	καταφτάναμε	καταφτάνατε	κατέφταναν	κατέφτασα	κατέφτασες	κατέφτασε	καταφτάσαμε	καταφτάσατε	κατέφτασαν	-	καταφτάνετε	-
κατεβάζω	-	-	-	-	-	-	κατέβαζα	κατέβαζες	κατέβαζε	κατεβάζαμε	κατεβάζατε	κατέβαζαν	κατέβασα	κατέβασες	κατέβασε	κατεβάσαμε	κατεβάσατε	κατέβασαν	κατέβαζε	κατεβάζετε	-
κατεβαίνω	-	-	-	-	-	-	κατέβαινα	κατέβαινες	κατέβαινε	κατεβαίναμε	κατεβαίνατε	κατέβαιναν	κατέβηκα	κατέβηκες	κατέβηκε	κατεβήκαμε	κατεβήκατε	κατέβηκαν	κατέβα	κατεβαίνετε	-
κατεδαφίζω	-	-	-	-	-	-	κατεδάφιζα	κατεδάφιζες	κατεδάφιζε	κατεδαφίζαμε	κατεδαφίζατε	κατεδάφιζαν	κατεδάφισα	κατεδάφισες	κατεδάφισε	κατεδαφίσαμε	κατεδαφίσατε	κατεδάφισαν	κατεδάφιζε	κατεδαφίζετε	-
κατευνάζομαι	κατευνάζομαι	κατευνάζεσαι	κατευνάζεται	κατευναζόμαστε	κατευνάζεστε	κατευνάζονται	κατευναζόμουν	κατευναζόσουν	κατευναζόταν	κατευναζόμασταν	κατευναζόσασταν	κατευνάζονταν	κατευνάστηκα	κατευνάστηκες	κατευνάστηκε	κατευναστήκαμε	κατευναστήκατε	κατευνάστηκαν	κατευνάσου	κατευναστείτε	-
κατευνάζω	-	-	-	-	-	-	κατεύναζα	κατεύναζες	κατεύναζε	κατευνάζαμε	κατευνάζατε	κατευνάζαν	κατεύνασα	κατεύνασες	κατεύνασε	κατευνάσαμε	κατευνάσατε	κατευνάσαν	κατεύναζε	κατευνάζετε	-
κατηγορούμαι	κατηγορούμαι	κατηγορείσαι	κατηγορείται	κατηγορούμαστε	κατηγορείστε	κατηγορούνται	κατηγοριόμουν	κατηγοριόσουν	κατηγοριόταν	κατηγοριόμασταν	κατηγοριόσασταν	κατηγοριούνταν	κατηγορήθηκα	κατηγορήθηκες	κατηγορήθηκε	κατηγορηθήκαμε	κατηγορηθήκατε	κατηγορήθηκαν	κατηγορήσου	κατηγορείστε	—
κατηγορώ	κατηγορώ	κατηγορείς	κατηγορεί	κατηγορούμε	κατηγορείτε	κατηγορούν	κατηγορούσα	κατηγορούσες	κατηγορούσε	κατηγορούσαμε	κατηγορούσατε	κατηγορούσαν	κατηγόρησα	κατηγόρησες	κατηγόρησε	κατηγορήσαμε	κατηγορήσατε	κατηγορήσαν	κατηγόρησε	κατηγορήστε	κατηγορώντας
κατισχύω	-	-	-	-	-	-	κατίσχυα	κατίσχυες	κατίσχυε	κατισχύαμε	κατισχύατε	κατίσχυαν	κατίσχυσα	κατίσχυσες	κατίσχυσε	κατισχύσαμε	κατισχύσατε	κατίσχυσαν	κατίσχυε	κατισχύετε	-
κατοικώ	κατοικώ	κατοικείς	κατοικεί	κατοικούμε	κατοικείτε	κατοικούν	κατοικούσα	κατοικούσες	κατοικούσε	κατοικούσαμε	κατοικούσατε	κατοικούσαν	κατοίκησα	κατοίκησες	κατοίκησε	κατοικήσαμε	κατοικήσατε	κατοίκησαν	κατοίκησε	κατοικήστε	κατοικώντας
κατουράω	-	κατουράς	κατουρά	κατουράμε	κατουράτε	κατουράν	κατουρούσα	κατουρούσες	κατουρούσε	κατουράγαμε	κατουράγατε	κατουρούσαν	κατούρησα	κατούρησες	κατούρησε	κατουρήσαμε	κατουρήσατε	κατουρήσαν	κατούρα	κατουράτε	κατουρώντας
κατουριέμαι	κατουριέμαι	κατουριέσαι	κατουριέται	κατουριόμαστε	κατουριέστε	κατουριούνται	κατουριόμουν	κατουριόσουν	κατουριόταν	κατουριόμασταν	κατουριόσασταν	κατουριούνταν	κατουρήθηκα	κατουρήθηκες	κατουρήθηκε	κατουρηθήκαμε	κατουρηθήκατε	κατουρήθηκαν	κατουρήσου	κατουρηθείτε	—
κατουρώ	κατουράω	κατουράς	κατουρά	κατουράμε	κατουράτε	κατουράν	κατουρούσα	κατουρούσες	κατουρούσε	κατουράγαμε	κατουράγατε	κατουράγανε	κατούρησα	κατούρησες	κατούρησε	κατουρήσαμε	κατουρήσατε	κατουρήσαν	κατούρα	κατουράτε	κατουρώντας
κατσαδιάζω	-	-	-	-	-	-	κατσάδιαζα	κατσάδιαζες	κατσάδιαζε	κατσαδιάζαμε	κατσαδιάζατε	κατσάδιαζαν	κατσάδιασα	κατσάδιασες	κατσάδιασε	κατσαδιάσαμε	κατσαδιάσατε	κατσάδιασαν	κατσάδιαζε	κατσαδιάζετε	-
καυλώνω	-	-	-	-	-	-	καύλωνα	καύλωνες	καύλωνε	καυλώναμε	καυλώνατε	καυλώναν	καύλωσα	καύλωσες	καύλωσε	καυλώσαμε	καυλώσατε	καυλώσαν	καύλωνε	καυλώνετε	-
καυτηριάζω	-	-	-	-	-	-	καυτηρίαζα	καυτηρίαζες	καυτηρίαζε	καυτηριάζαμε	καυτηριάζατε	καυτηρίαζαν	καυτηρίασαα	καυτηρίασαες	καυτηρίασαε	καυτηριάσαμε	καυτηριάσατε	καυτηρίασααν	καυτηρίαζε	καυτηριάζετε	-
καψαλίζω	-	-	-	-	-	-	καψάλιζα	καψάλιζες	καψάλιζε	καψαλίζαμε	καψαλίζατε	καψάλιζαν	καψάλισα	καψάλισες	καψάλισε	καψαλίσαμε	καψαλίσατε	καψάλισαν	καψάλιζε	καψαλίζετε	-
κελαηδάω	-	κελαηδάς	κελαηδά	κελαηδάμε	κελαηδάτε	κελαηδάν	κελάηδαγα	κελάηδαγες	κελάηδαγε	κελαηδάγαμε	κελαηδάγατε	κελάηδαγαν	κελάηδησα	κελάηδησες	κελάηδησε	κελαηδήσαμε	κελαηδήσατε	κελάηδησαν	κελάηδα	κελαηδάτε	κελαηδώντας
κελαηδώ	κελαηδάω	κελαηδάς	κελαηδά	κελαηδάμε	κελαηδάτε	κελαηδάν	κελάηδαγα	κελάηδαγες	κελάηδαγε	κελαηδάγαμε	κελαηδάγατε	κελάηδαγαν	κελάηδησα	κελάηδησες	κελάηδησε	κελαηδήσαμε	κελαηδήσατε	κελάηδησαν	κελάηδα	κελαηδάτε	κελαηδώντας
κελαϊδάω	-	κελαϊδάς	κελαϊδά	κελαϊδάμε	κελαϊδάτε	κελαϊδάν	κελάιδαγα	κελάιδαγες	κελάιδαγε	κελαϊδάγαμε	κελαϊδάγατε	κελάιδαγαν	κελάιδησα	κελάιδησες	κελάιδησε	κελαϊδήσαμε	κελαϊδήσατε	κελάιδησαν	κελάιδα	κελαϊδάτε	κελαϊδώντας
κελαϊδώ	κελαϊδάω	κελαϊδάς	κελαϊδά	κελαϊδάμε	κελαϊδάτε	κελαϊδάν	κελάιδαγα	κελάιδαγες	κελάιδαγε	κελαϊδάγαμε	κελαϊδάγατε	κελάιδαγαν	κελάιδησα	κελάιδησες	κελάιδησε	κελαϊδήσαμε	κελαϊδήσατε	κελάιδησαν	κελάιδα	κελαϊδάτε	κελαϊδώντας
κεντάω	-	κεντάς	κεντά	κεντάμε	κεντάτε	κεντάν	κένταγα	κένταγες	κένταγε	κεντάγαμε	κεντάγατε	κένταγαν	κέντησα	κέντησες	κέντησε	κεντήσαμε	κεντήσατε	κέντησαν	κέντα	κεντάτε	κεντώντας
κεντρίζομαι	κεντρίζομαι	κεντρίζεσαι	κεντρίζεται	κεντριζόμαστε	κεντρίζεστε	κεντρίζονται	κεντριζόμουν	κεντριζόσουν	κεντριζόταν	κεντριζόμασταν	κεντριζόσασταν	κεντρίζονταν	κεντρίστηκα	κεντρίστηκες	κεντρίστηκε	κεντριστήκαμε	κεντριστήκατε	κεντρίστηκαν	κεντρίσου	κεντριστείτε	-
κεντρίζω	-	-	-	-	-	-	κέντριζα	κέντριζες	κέντριζε	κεντρίζαμε	κεντρίζατε	κέντριζαν	κέντρισα	κέντρισες	κέντρισε	κεντρίσαμε	κεντρίσατε	κέντρισαν	κέντριζε	κεντρίζετε	-
κεντώ	κεντάω	κεντάς	κεντά	κεντάμε	κεντάτε	κεντάν	κένταγα	κένταγες	κένταγε	κεντάγαμε	κεντάγατε	κένταγαν	κέντησα	κέντησες	κέντησε	κεντήσαμε	κεντήσατε	κέντησαν	κέντα	κεντάτε	κεντώντας
κερατώνομαι	κερατώνομαι	κερατώνεσαι	κερατώνεται	κερατωνόμαστε	κερατωνόσαστε1	κερατώνονται	κερατωνόμουν	κερατωνόσουν	κερατωνόταν	κερατωνόμασταν	κερατωνόσασταν	κερατωνόντανε	κερατώθηκα	κερατώθηκες	κερατώθηκε	κερατωθήκαμε	κερατωθήκατε	κερατωθήκανε	κερατώσου	κερατωθείτε	-
κερατώνω	-	-	-	-	-	-	κεράτωνα	κεράτωνες	κεράτωνε	κερατώναμε	κερατώνατε	κεράτωναν	κεράτωσα	κεράτωσες	κεράτωσε	κερατώσαμε	κερατώσατε	κεράτωσαν	κερατώνε	κερατώνετε	-
κερδίζομαι	κερδίζομαι	κερδίζεσαι	κερδίζεται	κερδιζόμαστε	κερδίζεστε	κερδίζονται	κερδιζόμουν	κερδιζόσουν	κερδιζόταν	κερδιζόμασταν	κερδιζόσασταν	κερδίζονταν	κερδίστηκα	κερδίστηκες	κερδίστηκε	κερδιστήκαμε	κερδιστήκατε	κερδίστηκαν	κερδίσου	κερδιστείτε	-
κερδίζω	-	-	-	-	-	-	κέρδιζα	κέρδιζες	κέρδιζε	κερδίζαμε	κερδίζατε	κέρδιζαν	κέρδισα	κέρδισες	κέρδισε	κερδίσαμε	κερδίσατε	κέρδισαν	κέρδιζε	κερδίζετε	-
κερνάω	-	κερνάς	κερνά	κερνάμε	κερνάτε	κερνάν	κέρναγα	κέρναγες	κέρναγε	κερνάγαμε	κερνάγατε	κέρναγαν	κέρασα	κέρασες	κέρασε	κεράσαμε	κεράσατε	κέρασαν	κέρασε	κεράστε	κερνώντας
κηλιδώνομαι	κηλιδώνομαι	κηλιδώνεσαι	κηλιδώνεται	κηλιδωνόμαστε	κηλιδωνόσαστε1	κηλιδώνονται	κηλιδωνόμουν	κηλιδωνόσουν	κηλιδωνόταν	κηλιδωνόμασταν	κηλιδωνόσασταν	κηλιδωνόντανε	κηλιδώθηκα	κηλιδώθηκες	κηλιδώθηκε	κηλιδωθήκαμε	κηλιδωθήκατε	κηλιδωθήκανε	κηλιδώσου	κηλιδωθείτε	-
κηλιδώνω	-	-	-	-	-	-	κηλίδωνα	κηλίδωνες	κηλίδωνε	κηλιδώναμε	κηλιδώνατε	κηλίδωναν	κηλίδωσα	κηλίδωσες	κηλίδωσε	κηλιδώσαμε	κηλιδώσατε	κηλίδωσαν	κηλίδωνε	κηλιδώνετε	-
κηρύττω	-	-	-	-	-	-	κήρυττα	κήρυττες	κήρυττε	κηρύτταμε	κηρύττατε	κήρυτταν	κήρυξα	κήρυξες	κήρυξε	κηρύξαμε	κηρύξατε	κήρυξαν	κήρυξε	κηρύξτε	-
κινάω	-	κινάς	κινά	κινάμε	κινάτε	κινάν	κίναγα	κίναγες	κίναγε	κινάγαμε	κινάγατε	κίναγαν	κίνησα	κίνησες	κίνησε	κινήσαμε	κινήσατε	κίνησαν	κίνα	κινάτε	κινώντας
κινδυνεύω	-	-	-	-	-	-	κινδύνευα	κινδύνευες	κινδύνευε	κινδυνεύαμε	κινδυνεύατε	κινδυνεύαν	κινδύνευσα	κινδύνευσες	κινδύνευσε	κινδυνέψαμε	κινδυνέψατε	κινδυνέψαν	κινδύνευε	κινδυνέψτε	-
κινητοποιώ	κινητοποιώ	κινητοποιείς	κινητοποιεί	κινητοποιούμε	κινητοποιείτε	κινητοποιούν	κινητοποιούσα	κινητοποιούσες	κινητοποιούσε	κινητοποιούσαμε	κινητοποιούσατε	κινητοποιούσαν	κινητοποίησα	κινητοποίησες	κινητοποίησε	κινητοποιήσαμε	κινητοποιήσατε	κινητοποίησαν	κινητοποίησε	κινητοποιήστε	κινητοποιώντας
κινώ	κινώ	κινείς	κινεί	κινούμε	κινείτε	κινούν	κινούσα	κινούσες	κινούσε	κινούσαμε	κινούσατε	κινούσαν	κίνησα	κίνησες	κίνησε	κινήσαμε	κινήσατε	κίνησαν	κίνησε	κινήστε	κινώντας
κλάνω	-	-	-	-	-	-	έκλανα	έκλανες	έκλανε	κλάναμε	κλάνατε	έκλαναν	έκλασα	έκλασες	έκλασε	κλάσαμε	κλάσατε	έκλασαν	κλάνε	κλάνετε	-
κλέβω	-	-	-	-	-	-	έκλεβα	έκλεβες	έκλεβε	κλέβαμε	κλέβατε	έκλεβαν	έκλεψα	έκλεψες	έκλεψε	κλέψαμε	κλέψατε	έκλεψαν	κλέβε	κλέβετε	-
κλίνομαι	κλίνομαι	κλίνεσαι	κλίνεται	κλινόμαστε	κλίνεστε	κλίνονται	κλινόμουν	κλινόσουν	κλινόταν	κλινόμασταν	κλινόσασταν	κλίνονταν	κλίθηκα	κλίθηκες	κλίθηκε	κλιθήκαμε	κλιθήκατε	κλίθηκαν	κλίσου	κλιθείτε	-
κλίνω	-	-	-	-	-	-	έκλινα	έκλινες	έκλινε	κλίναμε	κλίνατε	έκλιναν	έκλινα	έκλινες	έκλινε	κλίναμε	κλίνατε	έκλιναν	κλίνε	κλίνετε	-
κλαίγω	-	-	-	κλαίγομε	-	-	έκλαιγα	έκλαιγες	έκλαιγε	κλαίγαμε	κλαίγατε	έκλαιγαν	έκλαψα	έκλαψες	έκλαψε	κλάψαμε	κλάψατε	έκλαψαν	κλάψε	κλάψτε	-
κλαίω	-	[{κλαίεις}]	-	[{κλαίομε}]	κλαίτε	[{κλαίουν}]	[{έκλαια}]	[{έκλαιες}]	[{έκλαιε}]	[{κλαίαμε}]	[{κλαίατε}]	[{έκλαιαν}]	[{έκλαυσα}]	[{έκλαυσες}]	[{έκλαυσε}]	[{εκλαύσαμεν}]	[{εκλαύσατε}]	[{έκλαυσαν}]	[{κλαίε}]	[{κλαύσετε}]	[{κλαίοντας}]
κλαδεύω	-	-	-	-	-	-	κλάδευα	κλάδευες	κλάδευε	κλαδεύαμε	κλαδεύατε	κλάδευαν	κλάδεψα	κλάδεψες	κλάδεψε	κλαδέψαμε	κλαδέψατε	κλάδεψαν	κλάδευε	κλαδέψτε	-
κλείνομαι	κλείνομαι	κλείνεσαι	κλείνεται	κλεινόμαστε	κλείνεστε	κλείνονται	κλεινόμουν	κλεινόσουν	κλεινόταν	κλεινόμασταν	κλεινόσασταν	κλείνονταν	κλείστηκα	κλείστηκες	κλείστηκε	κλειστήκαμε	κλειστήκατε	κλείστηκαν	κλείσου	κλειστείτε	-
κλειδώνομαι	κλειδώνομαι	κλειδώνεσαι	κλειδώνεται	κλειδωνόμαστε	κλειδωνόσαστε1	κλειδώνονται	κλειδωνόμουν	κλειδωνόσουν	κλειδωνόταν	κλειδωνόμασταν	κλειδωνόσασταν	κλειδωνόντανε	κλειδώθηκα	κλειδώθηκες	κλειδώθηκε	κλειδωθήκαμε	κλειδωθήκατε	κλειδωθήκανε	κλειδώσου	κλειδωθείτε	-
κλειδώνω	-	-	-	-	-	-	κλείδωνα	κλείδωνες	κλείδωνε	κλειδώναμε	κλειδώνατε	κλείδωναν	κλείδωσα	κλείδωσες	κλείδωσε	κλειδώσαμε	κλειδώσατε	κλείδωσαν	κλείδωνε	κλειδώνετε	-
κλικάρω	-	-	-	-	-	-	κλίκαρα	κλίκαρες	κλίκαρε	κλικάραμε	κλικάρατε	κλίκαραν	κλίκαρα	κλίκαρες	κλίκαρε	κλικάραμε	κλικάρατε	κλίκαραν	κλίκαρε	κλικάρετε	-
κλιμακώνομαι	κλιμακώνομαι	κλιμακώνεσαι	κλιμακώνεται	κλιμακωνόμαστε	κλιμακωνόσαστε1	κλιμακώνονται	κλιμακωνόμουν	κλιμακωνόσουν	κλιμακωνόταν	κλιμακωνόμασταν	κλιμακωνόσασταν	κλιμακωνόντανε	κλιμακώθηκα	κλιμακώθηκες	κλιμακώθηκε	κλιμακωθήκαμε	κλιμακωθήκατε	κλιμακωθήκανε	κλιμακώσου	κλιμακωθείτε	-
κλιμακώνω	-	-	-	-	-	-	κλιμάκωνα	κλιμάκωνες	κλιμάκωνε	κλιμακώναμε	κλιμακώνατε	κλιμάκωναν	κλιμάκωσα	κλιμάκωσες	κλιμάκωσε	κλιμακώσαμε	κλιμακώσατε	κλιμάκωσαν	κλιμάκωνε	κλιμακώνετε	-
κοιμάμαι	κοιμάμαι	κοιμάσαι	κοιμάται	κοιμούμαστε	κοιμάστε	κοιμούνται	κοιμόμουν	κοιμόσουν	κοιμόταν	κοιμούμαστε	κοιμόσασταν	κοιμούνταν	κοιμήθηκα	κοιμήθηκες	κοιμήθηκε	κοιμηθήκαμε	κοιμηθήκατε	κοιμήθηκαν	κοιμήσου	κοιμάστε	—
κοιμίζω	-	-	-	-	-	-	κοίμιζα	κοίμιζες	κοίμιζε	κοιμίζαμε	κοιμίζατε	κοίμιζαν	κοίμισα	κοίμισες	κοίμισε	κοιμίσαμε	κοιμίσατε	κοίμισαν	κοίμιζε	κοιμίζετε	-
κοινοποιώ	κοινοποιώ	κοινοποιείς	κοινοποιεί	κοινοποιούμε	κοινοποιείτε	κοινοποιούν	κοινοποιούσα	κοινοποιούσες	κοινοποιούσε	κοινοποιούσαμε	κοινοποιούσατε	κοινοποιούσαν	κοινοποίησα	κοινοποίησες	κοινοποίησε	κοινοποιήσαμε	κοινοποιήσατε	κοινοποίησαν	κοινοποίησε	κοινοποιήστε	κοινοποιώντας
κοινωνάω	-	κοινωνάς	κοινωνά	κοινωνάμε	κοινωνάτε	κοινωνάν	κοινωνούσα	κοινωνούσες	κοινωνούσε	κοινωνάγαμε	κοινωνάγατε	κοινωνάγανε	κοινώνησα	κοινώνησες	κοινώνησε	κοινωνήσαμε	κοινωνήσατε	κοινωνήσαν	κοινώνα	κοινωνάτε	κοινωνώντας
κοινωνώ	κοινωνάω	κοινωνάς	κοινωνάει	κοινωνάμε	κοινωνάτε	κοινωνάν	κοινωνούσα	κοινωνούσες	κοινωνούσε	κοινωνάγαμε	κοινωνάγατε	κοινωνάγανε	κοινώνησα	κοινώνησες	κοινώνησε	κοινωνήσαμε	κοινωνήσατε	κοινωνήσαν	κοινώνα	κοινωνήστε	κοινωνώντας
κοιτάζομαι	κοιτάζομαι	κοιτάζεσαι	κοιτάζεται	κοιταζόμαστε	κοιτάζεστε	κοιτάζονται	κοιταζόμουν	κοιταζόσουν	κοιταζόταν	κοιταζόμασταν	κοιταζόσασταν	κοιτάζονταν	κοιτάχτηκα	κοιτάχτηκες	κοιτάχτηκε	κοιταχτήκαμε	κοιταχτήκατε	κοιτάχτηκαν	κοιτάξου	κοιταχτείτε	-
κοιτάζω	-	-	-	-	-	-	κοίταζα	κοίταζες	κοίταζε	κοιτάζαμε	κοιτάζατε	κοίταζαν	κοίταξα	κοίταξες	κοίταξε	κοιτάξαμε	κοιτάξατε	κοίταξαν	κοίταζε	κοιτάζετε	-
κοιτάω	-	κοιτάς	κοιτά	κοιτάμε	κοιτάτε	κοιτάν	κοίταγα	κοίταγες	κοίταγε	κοιτάγαμε	κοιτάγατε	κοίταγαν	κοίταξα	κοίταξες	κοίταξε	κοιτάξαμε	κοιτάξατε	κοίταξαν	κοίτα	κοιτάξτε	κοιτώντας
κοιτιέμαι	κοιτιέμαι	κοιτιέσαι	κοιτιέται	κοιτιόμαστε	κοιτιέστε	κοιτιούνται	κοιτιόμουν	κοιτιόσουν	κοιτιόταν	κοιτιόμασταν	κοιτιόσασταν	κοιτιούνταν	κοιτάχτηκα	κοιτάχτηκες	κοιτάχτηκε	κοιταχτήκαμε	κοιταχτήκατε	κοιτάχτηκαν	κοιτάξου	κοιταχτείτε	—
κοιτώ	κοιτάω	κοιτάς	κοιτά	κοιτάμε	κοιτάτε	κοιτάν	κοίταγα	κοίταγες	κοίταγε	κοιτάγαμε	κοιτάγατε	κοίταγαν	κοίταξα	κοίταξες	κοίταξε	κοιτάξαμε	κοιτάξατε	κοίταξαν	κοίτα	κοιτάξτε	κοιτώντας
κοκαλώνω	-	-	-	-	-	-	κοκάλωνα	κοκάλωνες	κοκάλωνε	κοκαλώναμε	κοκαλώνατε	κοκάλωναν	κοκάλωσα	κοκάλωσες	κοκάλωσε	κοκαλώσαμε	κοκαλώσατε	κοκάλωσαν	κοκάλωνε	κοκαλώνετε	-
κοκκινίζω	-	-	-	-	-	-	κοκκίνιζα	κοκκίνιζες	κοκκίνιζε	κοκκινίζαμε	κοκκινίζατε	κοκκίνιζαν	κοκκίνισα	κοκκίνισες	κοκκίνισε	κοκκινίσαμε	κοκκινίσατε	κοκκίνισαν	κοκκίνιζε	κοκκινίζετε	-
κολλάω	-	κολλάς	κολλά	κολλάμε	κολλάτε	κολλάν	κολλούσα	κολλούσες	κολλούσε	κολλάγαμε	κολλάγατε	κολλούσαν	κόλλησα	κόλλησες	κόλλησε	κολλήσαμε	κολλήσατε	κολλήσαν	κόλλα	κολλάτε	κολλώντας
κολλώ	κολλάω	κολλάς	κολλά	κολλάμε	κολλάτε	κολλάν	κολλούσα	κολλούσες	κολλούσε	κολλάγαμε	κολλάγατε	κολλάγανε	κόλλησα	κόλλησες	κόλλησε	κολλήσαμε	κολλήσατε	κολλήσαν	κόλλα	κολλάτε	κολλώντας
κολυμπάω	-	κολυμπάς	κολυμπά	κολυμπάμε	κολυμπάτε	κολυμπάν	κολυμπούσα	κολυμπούσες	κολυμπούσε	κολυμπάγαμε	κολυμπάγατε	κολυμπούσαν	κολύμπησα	κολύμπησες	κολύμπησε	κολυμπήσαμε	κολυμπήσατε	κολυμπήσαν	κολύμπα	κολυμπάτε	κολυμπώντας
κονταίνω	-	-	-	-	-	-	κόνταινα	κόνταινες	κόνταινε	κονταίναμε	κονταίνατε	κονταίναν	κόντυνα	κόντυνες	κόντυνε	κοντύναμε	κοντύνατε	κοντύναν	κόνταινε	κονταίνετε	-
κοντρολάρω	-	-	-	-	-	-	κοντρολάριζα	κοντρολάριζες	κοντρολάριζε	κοντρολάραμε	κοντρολάρατε	κοντρολάραν	κοντρολάρισα	κοντρολάρισες	κοντρολάρισε	κοντρολάραμε	κοντρολάρατε	κοντρολάραν	κοντρολάριζε	κοντρολάρετε	-
κοπανίζω	-	-	-	-	-	-	κοπάνιζα	κοπάνιζες	κοπάνιζε	κοπανίζαμε	κοπανίζατε	κοπάνιζαν	κοπάνισα	κοπάνισες	κοπάνισε	κοπανίσαμε	κοπανίσατε	κοπάνισαν	κοπάνιζε	κοπανίζετε	-
κοπιάζω	-	-	-	-	-	-	κοπίαζα	κοπίαζες	κοπίαζε	κοπιάζαμε	κοπιάζατε	κοπίαζαν	κοπίασα	κοπίασες	κοπίασε	κοπιάσαμε	κοπιάσατε	κοπίασαν	κοπίαζε	κοπιάζετε	-
κορνάρω	-	-	-	-	-	-	κορνάριζα	κορνάριζες	κορνάριζε	κορνάραμε	κορνάρατε	κορνάραν	κορνάρισα	κορνάρισες	κορνάρισε	κορνάραμε	κορνάρατε	κορνάραν	κορνάριζε	κορνάρετε	-
κοροϊδεύω	-	-	-	-	-	-	κορόιδευα	κορόιδευες	κορόιδευε	κοροϊδεύαμε	κοροϊδεύατε	κοροϊδεύαν	κορόιδεψα	κορόιδεψες	κορόιδεψε	κοροϊδέψαμε	κοροϊδέψατε	κοροϊδέψαν	κορόιδευε	κοροϊδέψτε	-
κορυφώνω	-	-	-	-	-	-	κορύφωνα	κορύφωνες	κορύφωνε	κορυφώναμε	κορυφώνατε	κορυφώναν	κορύφωσα	κορύφωσες	κορύφωσε	κορυφώσαμε	κορυφώσατε	κορυφώσαν	κορύφωνε	κορυφώνετε	-
κοστίζω	-	-	-	-	-	-	κόστιζα	κόστιζες	κόστιζε	κοστίζαμε	κοστίζατε	κοστίζαν	κόστισα	κόστισες	κόστισε	κοστίσαμε	κοστίσατε	κοστίσαν	κόστιζε	κοστίζετε	-
κοτσάρω	-	-	-	-	-	-	κοτσάριζα	κοτσάριζες	κοτσάριζε	κοτσάραμε	κοτσάρατε	κοτσάραν	κοτσάρισα	κοτσάρισες	κοτσάρισε	κοτσάραμε	κοτσάρατε	κοτσάρανε	κοτσάριζε	κοτσάρετε	-
κουβαλάω	-	κουβαλάς	κουβαλά	κουβαλάμε	κουβαλάτε	κουβαλάν	κουβάλαγα	κουβάλαγες	κουβάλαγε	κουβαλάγαμε	κουβαλάγατε	κουβάλαγαν	κουβάλησα	κουβάλησες	κουβάλησε	κουβαλήσαμε	κουβαλήσατε	κουβάλησαν	κουβάλα	κουβαλάτε	κουβαλώντας
κουβαλώ	κουβαλάω	κουβαλάς	κουβαλά	κουβαλάμε	κουβαλάτε	κουβαλάν	κουβάλαγα	κουβάλαγες	κουβάλαγε	κουβαλάγαμε	κουβαλάγατε	κουβάλαγαν	κουβάλησα	κουβάλησες	κουβάλησε	κουβαλήσαμε	κουβαλήσατε	κουβάλησαν	κουβάλα	κουβάλα	κουβαλώντας
κουβεντιάζω	-	-	-	-	-	-	κουβέντιαζα	κουβέντιαζες	κουβέντιαζε	κουβεντιάζαμε	κουβεντιάζατε	κουβέντιαζαν	κουβέντιασα	κουβέντιασες	κουβέντιασε	κουβεντιάσαμε	κουβεντιάσατε	κουβέντιασαν	κουβέντιαζε	κουβεντιάζετε	-
κουδουνίζω	-	-	-	-	-	-	κουδούνιζα	κουδούνιζες	κουδούνιζε	κουδουνίζαμε	κουδουνίζατε	κουδουνίζαν	κουδούνισα	κουδούνισες	κουδούνισε	κουδουνίσαμε	κουδουνίσατε	κουδουνίσαν	κουδούνιζε	κουδουνίζετε	-
κουλουριάζομαι	κουλουριάζομαι	κουλουριάζεσαι	κουλουριάζεται	κουλουριαζόμαστε	κουλουριάζεστε	κουλουριάζονται	κουλουριαζόμουν	κουλουριαζόσουν	κουλουριαζόταν	κουλουριαζόμασταν	κουλουριαζόσασταν	κουλουριάζονταν	κουλουριάστηκα	κουλουριάστηκες	κουλουριάστηκε	κουλουριαστήκαμε	κουλουριαστήκατε	κουλουριάστηκαν	κουλουριάσου	κουλουριαστείτε	-
κουλουριάζω	-	-	-	-	-	-	κουλούριαζα	κουλούριαζες	κουλούριαζε	κουλουριάζαμε	κουλουριάζατε	κουλουριάζαν	κουλούριασα	κουλούριασες	κουλούριασε	κουλουριάσαμε	κουλουριάσατε	κουλουριάσαν	κουλούριαζε	κουλουριάζετε	-
