# lemma(infinitive)	V;NFIN	V;GER	V;PTCP;MASC;SG	V;PTCP;FEM;SG	V;PTCP;MASC;PL	V;PTCP;FEM;PL	V;IND;PRS;1;SG	V;IND;PRS;1;PL	V;IND;PRS;2;SG	V;IND;PRS;2;PL	V;IND;PRS;3;SG	V;IND;PRS;3;PL	V;IND;IPFV;1;SG	V;IND;IPFV;1;PL	V;IND;IPFV;2;SG	V;IND;IPFV;2;PL	V;IND;IPFV;3;SG	V;IND;IPFV;3;PL	V;IND;PRET;1;SG	V;IND;PRET;1;PL	V;IND;PRET;2;SG	V;IND;PRET;2;PL	V;IND;PRET;3;SG	V;IND;PRET;3;PL	V;IND;PLUP;1;SG	V;IND;PLUP;1;PL	V;IND;PLUP;2;SG	V;IND;PLUP;2;PL	V;IND;PLUP;3;SG	V;IND;PLUP;3;PL	V;IND;FUT;1;SG	V;IND;FUT;1;PL	V;IND;FUT;2;SG	V;IND;FUT;2;PL	V;IND;FUT;3;SG	V;IND;FUT;3;PL	V;COND;1;SG	V;COND;1;PL	V;COND;2;SG	V;COND;2;PL	V;COND;3;SG	V;COND;3;PL	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	V;SBJV;PST;1;PL	V;SBJV;PST;2;SG	V;SBJV;PST;2;PL	V;SBJV;PST;3;SG	V;SBJV;PST;3;PL	V;SBJV;FUT;1;SG	V;SBJV;FUT;1;PL	V;SBJV;FUT;2;SG	V;SBJV;FUT;2;PL	V;SBJV;FUT;3;SG	V;SBJV;FUT;3;PL	V;INF;1;SG	V;INF;1;PL	V;INF;2;SG	V;INF;2;PL	V;INF;3;SG	V;INF;3;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
encruzilhar	-	-	-	-	-	-	-	-	-	-	-	encruzilham	encruzilhava	encruzilhávamos	encruzilhavas	encruzilhávades	encruzilhava	encruzilhavam	-	-	encruzilhache	-	-	encruzilharam	-	encruzilháramos	-	encruzilhárades	-	encruzilharam	-	-	-	-	-	encruzilharám	encruzilharia	encruzilharíamos	encruzilharias	encruzilharíades	encruzilharia	encruzilhariam	-	-	-	-	-	encruzilhem	encruzilhasse	encruzilhássemos	encruzilhasses	encruzilhássedes	encruzilhasse	encruzilhassem	-	-	-	-	-	encruzilharem	-	-	-	-	-	encruzilharem	-	-
endegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	endeguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	endegue	endeguemos	endegues	endeguedes	endegue	endeguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enderezar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enderecei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enderece	enderecemos	endereces	enderecedes	enderece	enderecen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
endrogar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	endroguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	endrogue	endroguemos	endrogues	endroguedes	endrogue	endroguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
endurecer	-	-	-	-	-	-	endurezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	endureza	endurezamos	endurezas	endurezades	endureza	endurezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enfeitizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfeiticei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfeitice	enfeiticemos	enfeitices	enfeiticedes	enfeitice	enfeiticen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enfiar	-	-	-	-	-	-	-	-	-	-	-	enfiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enforcar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enforquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enforque	enforquemos	enforques	enforquedes	enforque	enforquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enfoscar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfosquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfosque	enfosquemos	enfosques	enfosquedes	enfosque	enfosquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enfouzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfoucei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfouce	enfoucemos	enfouces	enfoucedes	enfouce	enfoucen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enfraquecer	-	-	-	-	-	-	enfraquezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	enfraqueza	enfraquezamos	enfraquezas	enfraquezades	enfraqueza	enfraquezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
