# lemma(infinitive)	V;NFIN	V;GER	V;PTCP;MASC;SG	V;PTCP;FEM;SG	V;PTCP;MASC;PL	V;PTCP;FEM;PL	V;IND;PRS;1;SG	V;IND;PRS;1;PL	V;IND;PRS;2;SG	V;IND;PRS;2;PL	V;IND;PRS;3;SG	V;IND;PRS;3;PL	V;IND;IPFV;1;SG	V;IND;IPFV;1;PL	V;IND;IPFV;2;SG	V;IND;IPFV;2;PL	V;IND;IPFV;3;SG	V;IND;IPFV;3;PL	V;IND;PRET;1;SG	V;IND;PRET;1;PL	V;IND;PRET;2;SG	V;IND;PRET;2;PL	V;IND;PRET;3;SG	V;IND;PRET;3;PL	V;IND;PLUP;1;SG	V;IND;PLUP;1;PL	V;IND;PLUP;2;SG	V;IND;PLUP;2;PL	V;IND;PLUP;3;SG	V;IND;PLUP;3;PL	V;IND;FUT;1;SG	V;IND;FUT;1;PL	V;IND;FUT;2;SG	V;IND;FUT;2;PL	V;IND;FUT;3;SG	V;IND;FUT;3;PL	V;COND;1;SG	V;COND;1;PL	V;COND;2;SG	V;COND;2;PL	V;COND;3;SG	V;COND;3;PL	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	V;SBJV;PST;1;PL	V;SBJV;PST;2;SG	V;SBJV;PST;2;PL	V;SBJV;PST;3;SG	V;SBJV;PST;3;PL	V;SBJV;FUT;1;SG	V;SBJV;FUT;1;PL	V;SBJV;FUT;2;SG	V;SBJV;FUT;2;PL	V;SBJV;FUT;3;SG	V;SBJV;FUT;3;PL	V;INF;1;SG	V;INF;1;PL	V;INF;2;SG	V;INF;2;PL	V;INF;3;SG	V;INF;3;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
esburgar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esburguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esburgue	esburguemos	esburgues	esburguedes	esburgue	esburguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escarnecer	-	-	-	-	-	-	escarnezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escarneza	escarnezamos	escarnezas	escarnezades	escarneza	escarnezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escocer	-	-	-	-	-	-	escozo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escoza	escozamos	escozas	escozades	escoza	escozan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escolarizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escolaricen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escolher	-	-	-	-	-	-	-	-	-	-	-	escolhem	escolhia	escolhíamos	escolhias	escolhíades	escolhia	escolhiam	escolhi	-	escolheche	-	-	escolheram	-	escolhêramos	-	escolhêrades	-	escolheram	-	-	-	-	-	escolherám	escolheria	escolheríamos	escolherias	escolheríades	escolheria	escolheriam	-	-	-	-	-	escolham	escolhesse	escolhêssemos	escolhesses	escolhêssedes	escolhesse	escolhessem	-	-	-	-	-	escolherem	-	-	-	-	-	escolherem	-	-
escomezar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escomecei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escomece	escomecemos	escomeces	escomecedes	escomece	escomecen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escorregar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escorreguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escorregue	escorreguemos	escorregues	escorreguedes	escorregue	escorreguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escravizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escravicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escrever	-	-	escrito	escrita	escritos	escritas	-	-	-	-	-	escrevem	escrevia	escrevíamos	escrevias	escrevíades	escrevia	escreviam	escrevi	-	escreveche	-	-	escreveram	-	escrevêramos	-	escrevêrades	-	escreveram	-	-	-	-	-	escreverám	escreveria	escreveríamos	escreverias	escreveríades	escreveria	escreveriam	-	-	-	-	-	escrevam	escrevesse	escrevêssemos	escrevesses	escrevêssedes	escrevesse	escrevessem	-	-	-	-	-	escreverem	-	-	-	-	-	escreverem	-	-
escribir	-	-	escrito	escrita	escritos	escritas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esculcar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esculquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esculque	esculquemos	esculques	esculquedes	esculque	esculquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
escurecer	-	-	-	-	-	-	escurezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	escureza	escurezamos	escurezas	escurezades	escureza	escurezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esfiar	-	-	-	-	-	-	-	-	-	-	-	esfiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esfiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esforzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esforcei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esforce	esforcemos	esforces	esforcedes	esforce	esforcen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esfregar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esfreguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esfregue	esfreguemos	esfregues	esfreguedes	esfregue	esfreguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esfuracar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esfuraquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esfuraque	esfuraquemos	esfuraques	esfuraquedes	esfuraque	esfuraquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esgazar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esgacei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esgace	esgacemos	esgaces	esgacedes	esgace	esgacen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esguizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esguicei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esguice	esguicemos	esguices	esguicedes	esguice	esguicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esmagar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmaguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmague	esmaguemos	esmagues	esmaguedes	esmague	esmaguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esmelgar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmelguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmelgue	esmelguemos	esmelgues	esmelguedes	esmelgue	esmelguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esmiuzar	-	-	-	-	-	-	esmiúzo	-	esmiúzas	-	esmiúza	esmiúzan	-	-	-	-	-	-	esmiucei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmiúce	esmiucemos	esmiúces	esmiucedes	esmiúce	esmiúcen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmiúza	-
esmolicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmoliquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmolique	esmoliquemos	esmoliques	esmoliquedes	esmolique	esmoliquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esmorecer	-	-	-	-	-	-	esmorezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmoreza	esmorezamos	esmorezas	esmorezades	esmoreza	esmorezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esmoucar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmouquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esmouque	esmouquemos	esmouques	esmouquedes	esmouque	esmouquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esnacar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esnaquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esnaque	esnaquemos	esnaques	esnaquedes	esnaque	esnaquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esnaquizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esnaquicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esnogar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esnoguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esnogue	esnoguemos	esnogues	esnoguedes	esnogue	esnoguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espalecer	-	-	-	-	-	-	espalezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espaleza	espalezamos	espalezas	espalezades	espaleza	espalezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espanholizar	-	-	-	-	-	-	-	-	-	-	-	espanholizam	espanholizava	espanholizávamos	espanholizavas	espanholizávades	espanholizava	espanholizavam	-	-	espanholizache	-	-	espanholizaram	-	espanholizáramos	-	espanholizárades	-	espanholizaram	-	-	-	-	-	espanholizarám	espanholizaria	espanholizaríamos	espanholizarias	espanholizaríades	espanholizaria	espanholizariam	-	-	-	-	-	espanholizem	espanholizasse	espanholizássemos	espanholizasses	espanholizássedes	espanholizasse	espanholizassem	-	-	-	-	-	espanholizarem	-	-	-	-	-	espanholizarem	-	-
españolizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	españolicei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	españolice	españolicemos	españolices	españolicedes	españolice	españolicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
especializar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	especialicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espelir	-	-	-	-	-	-	espilo	-	-	-	-	espelem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espila	espilamos	espilas	espilades	espila	espilam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espiar	-	-	-	-	-	-	-	-	-	-	-	espiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espigar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espiguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espigue	espiguemos	espigues	espiguedes	espigue	espiguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espir	-	-	-	-	-	-	ispo	-	-	-	-	espem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ispa	ispamos	ispas	ispades	ispa	ispam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
espreguizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espreguicei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	espreguice	espreguicemos	espreguices	espreguicedes	espreguice	espreguicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esquecer	-	-	-	-	-	-	esquezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esqueza	esquezamos	esquezas	esquezades	esqueza	esquezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esquencer	-	-	-	-	-	-	esquenzo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esquenza	esquenzamos	esquenzas	esquenzades	esquenza	esquenzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esquiar	-	-	-	-	-	-	-	-	-	-	-	esquiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esquiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estancar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estanquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estanque	estanquemos	estanques	estanquedes	estanque	estanquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estandarizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estandaricen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estar	-	-	-	-	-	-	estou	-	estás	-	está	estám	-	-	-	-	-	-	estive	estivemos	estiveche	estivestes	esteve	estiveram	estivera	estiveramos	estiveras	estiverades	estivera	estiveram	-	-	-	-	-	-	-	-	-	-	-	-	estea	esteamos	esteas	esteades	estea	estean	estivese	estivésemos	estiveses	estivésedes	estivese	estivesen	estiver	estivermos	estiveres	estiverdes	estiver	estiverem	-	-	-	-	-	-	está	-
estarrecer	-	-	-	-	-	-	estarrezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estarreza	estarrezamos	estarrezas	estarrezades	estarreza	estarrezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estarricar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estarriquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estarrique	estarriquemos	estarriques	estarriquedes	estarrique	estarriquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estemorecer	-	-	-	-	-	-	estemorezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estemoreza	estemorezamos	estemorezas	estemorezades	estemoreza	estemorezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estercar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esterquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esterque	esterquemos	esterques	esterquedes	esterque	esterquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esterilizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esterilicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estiar	-	-	-	-	-	-	-	-	-	-	-	estiam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estiem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estigmatizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estigmaticen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estordegar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estordeguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estordegue	estordeguemos	estordegues	estordeguedes	estordegue	estordeguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estragar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estraguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estrague	estraguemos	estragues	estraguedes	estrague	estraguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estralouzar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estraloucei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estralouce	estraloucemos	estralouces	estraloucedes	estralouce	estraloucen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estrelecer	-	-	-	-	-	-	estrelezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estreleza	estrelezamos	estrelezas	estrelezades	estreleza	estrelezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estremecer	-	-	-	-	-	-	estremezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estremeza	estremezamos	estremezas	estremezades	estremeza	estremezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estricar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estriquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estrique	estriquemos	estriques	estriquedes	estrique	estriquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
estrigar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estriguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	estrigue	estriguemos	estrigues	estriguedes	estrigue	estriguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esvaecer	-	-	-	-	-	-	esvaezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esvaeza	esvaezamos	esvaezas	esvaezades	esvaeza	esvaezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esvaer	-	-	esvaído	esvaída	esvaídos	esvaídas	esvaio	-	-	-	-	-	-	esvaïamos	-	esvaïades	-	-	-	-	esvaíches	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	esvaia	esvaiamos	esvaias	esvaiades	esvaia	esvaian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
europeizar	-	-	-	-	-	-	europeízo	-	europeízas	-	europeíza	europeízam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	europeíce	-	europeíces	-	europeíce	europeícen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	europeíza	-
evocar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	evoquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	evoque	evoquemos	evoques	evoquedes	evoque	evoquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
excomungar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	excomunguei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	excomungue	excomunguemos	excomungues	excomunguedes	excomungue	excomunguem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
exibir	-	-	-	-	-	-	-	-	-	-	-	exibem	exibia	exibíamos	exibias	exibíades	exibia	exibiam	exibi	-	exibiche	-	-	exibiram	-	exibíramos	-	exibírades	-	exibiram	-	-	-	-	-	exibirám	exibiria	exibiríamos	exibirias	exibiríades	exibiria	exibiriam	-	-	-	-	-	exibam	exibisse	exibíssemos	exibisses	exibíssedes	exibisse	exibissem	-	-	-	-	-	exibirem	-	-	-	-	-	exibirem	-	-
expedir	-	-	-	-	-	-	expeço	-	-	-	-	expedem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	expeça	expeçamos	expeças	expeçais	expeça	expeçam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
expelir	-	-	-	-	-	-	expilo	-	-	-	-	expelem	expelia	expelíamos	expelias	expelíades	expelia	expeliam	expeli	-	expeliche	-	-	expeliram	-	expelíramos	-	expelírades	-	expeliram	-	-	-	-	-	expelirám	expeliria	expeliríamos	expelirias	expeliríades	expeliria	expeliriam	expila	expilamos	expilas	expilades	expila	expilam	expelisse	expelíssemos	expelisses	expelíssedes	expelisse	expelissem	-	-	-	-	-	expelirem	-	-	-	-	-	expelirem	-	-
explicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	expliquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	explique	expliquemos	expliques	expliquedes	explique	expliquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
expoñer	-	-	exposto	exposta	expostos	expostas	-	-	expós	-	expón	-	-	-	-	-	-	-	expuxen	expuxemos	expuxeches	expuxestes	expuxo	expuxeron	expuxera	expuxeramos	expuxeras	expuxerades	expuxera	expuxeran	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	expuxese	expuxésemos	expuxeses	expuxésedes	expuxese	expuxesen	expuxer	expuxermos	expuxeres	expuxerdes	expuxer	expuxeren	-	-	-	-	-	-	expón	-
expressar	-	-	-	-	-	-	-	-	-	-	-	expressam	expressava	expressávamos	expressavas	expressávades	expressava	expressavam	-	-	expressache	-	-	expressaram	-	expressáramos	-	expressárades	-	expressaram	-	-	-	-	-	expressarám	expressaria	expressaríamos	expressarias	expressaríades	expressaria	expressariam	-	-	-	-	-	expressem	expressasse	expressássemos	expressasses	expressássedes	expressasse	expressassem	-	-	-	-	-	expressarem	-	-	-	-	-	expressarem	-	-
externalizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	externalicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
facer	-	-	feito	feita	feitos	feitas	fago	-	fas	-	fai	fan	-	-	-	-	-	-	fixen	fixemos	fixeches	fixestes	fixo	fixeron	fixera	fixeramos	fixeras	fixerades	fixera	fixeran	farei	faremos	farás	faredes	fará	farán	faría	fariamos	farías	fariades	faría	farían	faga	fagamos	fagas	fagades	faga	fagan	fixese	fixésemos	fixeses	fixésedes	fixese	fixesen	fixer	fixermos	fixeres	fixerdes	fixer	fixeren	-	-	-	-	-	-	fai	-
falecer	-	-	-	-	-	-	falezo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	faleza	falezamos	falezas	falezades	faleza	falezan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
familiarizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	familiaricen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fanicar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	faniquei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fanique	faniquemos	faniques	faniquedes	fanique	faniquem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fazer	-	-	feito	feita	feitos	feitas	fago	-	-	-	fai	fam	fazia	fazíamos	fazias	fazíades	fazia	faziam	figem	figemos	figeche	figestes	fez	figérom	figera	figéramos	figeras	figérades	figera	figeram	farei	faremos	farás	faredes	fará	farám	faria	faríamos	farias	faríades	faria	fariam	faga	fagamos	fagas	fagades	faga	fagam	figesse	figéssemos	figesses	figéssedes	figesse	figessem	figer	figermos	figeres	figerdes	figer	figerem	-	-	-	-	-	fazerem	fai	-
feminizar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	feminicen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ferir	-	-	-	-	-	-	firo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fira	firamos	firas	firades	fira	firam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
