# lemma	p1sg	p3sg	da	pst1sg	nud	tud	imp2sg	gu	takse ("-" = derive)
paukuma	paugun	paugub	-	-	-	paugutud	paugu	-	paugutakse
peitma	peidan	peidab	peita	peitsin	-	peidetud	peida	peitku	peidetakse	peitis	peitev
peksma	peksan	peksab	peksta	peksin	-	pekstud	peksa	peksku	pekstakse	peksis	peksev
pelgama	-	-	peljata	-	peljanud	peljatud	-	peljaku	peljatakse
pesema	-	-	pesta	pesin	pesnud	pestud	-	pesku	pestakse	pesi	-
petma	petan	petab	petta	petsin	-	petetud	peta	petku	petetakse	pettis	pettev
pidama	pean	peab	-	-	-	peetud	-	-	peetakse	-	-
piinama	-	-	piinata	-	-	-	-	piinaku	-
piirama	-	-	piirata	-	-	-	-	piiraku	-
piisama	-	-	piisata	-	-	-	-	piisaku	-
pistma	pistan	pistab	pista	pistsin	-	pistetud	pista	pistku	pistetakse	pistis	pistev
puistama	-	-	puistata	-	-	-	-	puistaku	-
päästma	päästan	päästab	päästa	päästsin	-	päästetud	päästa	päästku	päästetakse	päästis	päästev
põkkama	-	-	põkata	-	põkanud	põkatud	-	põkaku	põkatakse
pöörama	-	-	pöörata	-	-	-	-	pööraku	-
pöörlema	-	-	pöörelda	-	pöörelnud	pööreldud	-	pöörelgu	pööreldakse	-	-
pühkima	pühin	pühib	-	-	-	pühitud	pühi	-	pühitakse
püüdma	püüan	püüab	püüda	püüdsin	-	püütud	püüa	püüdku	püütakse	püüdis	püüdev
raiskama	-	-	raisata	-	raisanud	raisatud	-	raisaku	raisatakse
reetma	reedan	reedab	reeta	reetsin	-	reedetud	reeda	reetku	reedetakse	reetis	reetev
rikkuma	rikun	rikub	-	-	-	rikutud	riku	-	rikutakse
rippuma	ripun	ripub	-	-	-	riputud	ripu	-	riputakse
roojama	-	-	roojata	-	-	-	-	roojaku	-
ruigama	-	-	ruiata	-	ruianud	ruiatud	-	ruiaku	ruiatakse
rändama	-	-	rännata	-	rännanud	rännatud	-	rännaku	rännatakse
rääkima	räägin	räägib	-	-	-	räägitud	räägi	-	räägitakse
ründama	-	-	rünnata	-	rünnanud	rünnatud	-	rünnaku	rünnatakse
rüüpama	-	-	rüübata	-	rüübanud	rüübatud	-	rüübaku	rüübatakse
rüüstama	-	-	rüüstata	-	-	-	-	rüüstaku	-
saama	-	-	-	sain	-	saadud	-	-	saadakse
saatma	saadan	saadab	saata	saatsin	-	saadetud	saada	saatku	saadetakse	saatis	saatev
sadama	sajan	sajab	-	-	-	sajatud	saja	-	sajatakse
seadma	sean	seab	seada	seadsin	-	seatud	sea	seadku	seatakse	seadis	seadev
