# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
podkadzać	podkadzam	podkadzasz	podkadza	podkadzamy	podkadzacie	podkadzają	-	-	-	-	-	-	-	-	-	-	-	podkadzaj	podkadzajmy	podkadzajcie	-
podkadzić	-	-	-	-	-	-	podkadzę	podkadzisz	podkadzi	podkadzimy	podkadzicie	podkadzą	-	-	-	-	-	podkadź	podkadźmy	podkadźcie	-
podkarmiać	podkarmiam	podkarmiasz	podkarmia	podkarmiamy	podkarmiacie	podkarmiają	-	-	-	-	-	-	-	-	-	-	-	podkarmiaj	podkarmiajmy	podkarmiajcie	-
podkarmić	-	-	-	-	-	-	podkarmię	podkarmisz	podkarmi	podkarmimy	podkarmicie	podkarmią	-	-	-	-	-	podkarm	podkarmmy	podkarmcie	-
podkasać	-	-	-	-	-	-	podkasam	podkasasz	podkasa	podkasamy	podkasacie	podkasają	-	-	-	-	-	podkasaj	podkasajmy	podkasajcie	-
podkasywać	podkasuję	podkasujesz	podkasuje	podkasujemy	podkasujecie	podkasują	-	-	-	-	-	-	-	-	-	-	-	podkasuj	podkasujmy	podkasujcie	-
podkaszać	podkaszam	podkaszasz	podkasza	podkaszamy	podkaszacie	podkaszają	-	-	-	-	-	-	-	-	-	-	-	podkaszaj	podkaszajmy	podkaszajcie	-
podkańczać	podkańczam	podkańczasz	podkańcza	podkańczamy	podkańczacie	podkańczają	-	-	-	-	-	-	-	-	-	-	-	podkańczaj	podkańczajmy	podkańczajcie	-
podkiełkować	-	-	-	-	-	-	podkiełkuję	podkiełkujesz	podkiełkuje	podkiełkujemy	podkiełkujecie	podkiełkują	-	-	-	-	-	podkiełkuj	podkiełkujmy	podkiełkujcie	-
podkiełkowywać	podkiełkowuję	podkiełkowujesz	podkiełkowuje	podkiełkowujemy	podkiełkowujecie	podkiełkowują	-	-	-	-	-	-	-	-	-	-	-	podkiełkowuj	podkiełkowujmy	podkiełkowujcie	-
podkisnąć	-	-	-	-	-	-	podkisnę	podkiśniesz	podkiśnie	podkiśniemy	podkiśniecie	podkisną	-	podkisnęła	podkisnęło	podkisnęli	podkisnęły	podkiśnij	podkiśnijmy	podkiśnijcie	-
podkleić	-	-	-	-	-	-	podkleję	podkleisz	podklei	podkleimy	podkleicie	podkleją	-	-	-	-	-	podklej	podklejmy	podklejcie	-
podklejać	podklejam	podklejasz	podkleja	podklejamy	podklejacie	podklejają	-	-	-	-	-	-	-	-	-	-	-	podklejaj	podklejajmy	podklejajcie	-
podklinać	podklinam	podklinasz	podklina	podklinamy	podklinacie	podklinają	-	-	-	-	-	-	-	-	-	-	-	podklinaj	podklinajmy	podklinajcie	-
podkląć	-	-	-	-	-	-	podklnę	podklniesz	podklnie	podklniemy	podklniecie	podklną	-	podklęła	podklęło	podklęli	podklęły	podklnij	podklnijmy	podklnijcie	-
podkochiwać	podkochuję	podkochujesz	podkochuje	podkochujemy	podkochujecie	podkochują	-	-	-	-	-	-	-	-	-	-	-	podkochuj	podkochujmy	podkochujcie	-
podkolorować	-	-	-	-	-	-	podkoloruję	podkolorujesz	podkoloruje	podkolorujemy	podkolorujecie	podkolorują	-	-	-	-	-	podkoloruj	podkolorujmy	podkolorujcie	-
podkolorowywać	podkolorowuję	podkolorowujesz	podkolorowuje	podkolorowujemy	podkolorowujecie	podkolorowują	-	-	-	-	-	-	-	-	-	-	-	podkolorowuj	podkolorowujmy	podkolorowujcie	-
podkoloryzować	-	-	-	-	-	-	podkoloryzuję	podkoloryzujesz	podkoloryzuje	podkoloryzujemy	podkoloryzujecie	podkoloryzują	-	-	-	-	-	podkoloryzuj	podkoloryzujmy	podkoloryzujcie	-
podkoloryzowywać	podkoloryzowuję	podkoloryzowujesz	podkoloryzowuje	podkoloryzowujemy	podkoloryzowujecie	podkoloryzowują	-	-	-	-	-	-	-	-	-	-	-	podkoloryzowuj	podkoloryzowujmy	podkoloryzowujcie	-
podkopać	-	-	-	-	-	-	podkopię	podkopiesz	podkopie	podkopiemy	podkopiecie	podkopią	-	-	-	-	-	podkop	podkopmy	podkopcie	-
podkopcić	-	-	-	-	-	-	podkopcę	podkopcisz	podkopci	podkopcimy	podkopcicie	podkopcą	-	-	-	-	-	podkopć	podkopćmy	podkopćcie	-
podkopywać	podkopuję	podkopujesz	podkopuje	podkopujemy	podkopujecie	podkopują	-	-	-	-	-	-	-	-	-	-	-	podkopuj	podkopujmy	podkopujcie	-
podkosić	-	-	-	-	-	-	podkoszę	podkosisz	podkosi	podkosimy	podkosicie	podkoszą	-	-	-	-	-	podkoś	podkośmy	podkoście	-
podkołować	-	-	-	-	-	-	podkołuję	podkołujesz	podkołuje	podkołujemy	podkołujecie	podkołują	-	-	-	-	-	podkołuj	podkołujmy	podkołujcie	-
podkołowywać	podkołowuję	podkołowujesz	podkołowuje	podkołowujemy	podkołowujecie	podkołowują	-	-	-	-	-	-	-	-	-	-	-	podkołowuj	podkołowujmy	podkołowujcie	-
podkończać	podkończam	podkończasz	podkończa	podkończamy	podkończacie	podkończają	-	-	-	-	-	-	-	-	-	-	-	podkończaj	podkończajmy	podkończajcie	-
podkończyć	-	-	-	-	-	-	podkończę	podkończysz	podkończy	podkończymy	podkończycie	podkończą	-	-	-	-	-	podkończ	podkończmy	podkończcie	-
podkpiwać	podkpiwam	podkpiwasz	podkpiwa	podkpiwamy	podkpiwacie	podkpiwają	-	-	-	-	-	-	-	-	-	-	-	podkpiwaj	podkpiwajmy	podkpiwajcie	-
podkradać	podkradam	podkradasz	podkrada	podkradamy	podkradacie	podkradają	-	-	-	będziemy podkradały	będziecie podkradały	będą podkradały	-	-	-	-	-	podkradaj	podkradajmy	podkradajcie	-
podkraść	-	-	-	-	-	-	podkradnę	podkradniesz	podkradnie	podkradniemy	podkradniecie	podkradną	-	podkradła	podkradło	podkradli	podkradły	podkradnij	podkradnijmy	podkradnijcie	podkradnąć
podkreślać	podkreślam	podkreślasz	podkreśla	podkreślamy	podkreślacie	podkreślają	-	-	-	będziemy podkreślały	będziecie podkreślały	będą podkreślały	-	-	-	-	-	podkreślaj	podkreślajmy	podkreślajcie	-
podkreślić	-	-	-	-	-	-	podkreślę	podkreślisz	podkreśli	podkreślimy	podkreślicie	podkreślą	-	-	-	-	-	podkreśl	podkreślmy	podkreślcie	-
podkroić	-	-	-	-	-	-	podkroję	podkroisz	podkroi	podkroimy	podkroicie	podkroją	-	-	-	-	-	podkrój	podkrójmy	podkrójcie	-
podkryślać	podkryślam	podkryślasz	podkryśla	podkryślamy	podkryślacie	podkryślają	-	-	-	-	-	-	-	-	-	-	-	podkryślaj	podkryślajmy	podkryślajcie	-
podkryślić	-	-	-	-	-	-	podkryślę	podkryślisz	podkryśli	podkryślimy	podkryślicie	podkryślą	-	-	-	-	-	podkryśl	podkryślmy	podkryślcie	-
podkrzesać	-	-	-	-	-	-	podkrzesam	podkrzesasz	podkrzesa	podkrzesamy	podkrzesacie	podkrzesają	-	-	-	-	-	podkrzesaj	podkrzesajmy	podkrzesajcie	-
podkrzesywać	podkrzesuję	podkrzesujesz	podkrzesuje	podkrzesujemy	podkrzesujecie	podkrzesują	-	-	-	-	-	-	-	-	-	-	-	podkrzesuj	podkrzesujmy	podkrzesujcie	-
podkrążyć	-	-	-	-	-	-	podkrążę	podkrążysz	podkrąży	podkrążymy	podkrążycie	podkrążą	-	-	-	-	-	podkrąż	podkrążmy	podkrążcie	-
podkręcać	podkręcam	podkręcasz	podkręca	podkręcamy	podkręcacie	podkręcają	-	-	-	-	-	-	-	-	-	-	-	podkręcaj	podkręcajmy	podkręcajcie	-
podkręcić	-	-	-	-	-	-	podkręcę	podkręcisz	podkręci	podkręcimy	podkręcicie	podkręcą	-	-	-	-	-	podkręć	podkręćmy	podkręćcie	-
podkształcać	podkształcam	podkształcasz	podkształca	podkształcamy	podkształcacie	podkształcają	-	-	-	-	-	-	-	-	-	-	-	podkształcaj	podkształcajmy	podkształcajcie	-
podkształcić	-	-	-	-	-	-	podkształcę	podkształcisz	podkształci	podkształcimy	podkształcicie	podkształcą	-	-	-	-	-	podkształć	podkształćmy	podkształćcie	-
podkulać	podkulam	podkulasz	podkula	podkulamy	podkulacie	podkulają	-	-	-	-	-	-	-	-	-	-	-	podkulaj	podkulajmy	podkulajcie	-
podkulić	-	-	-	-	-	-	podkulę	podkulisz	podkuli	podkulimy	podkulicie	podkulą	-	-	-	-	-	podkul	podkulmy	podkulcie	-
podkupić	-	-	-	-	-	-	podkupię	podkupisz	podkupi	podkupimy	podkupicie	podkupią	-	-	-	-	-	podkup	podkupmy	podkupcie	-
podkupywać	podkupuję	podkupujesz	podkupuje	podkupujemy	podkupujecie	podkupują	-	-	-	-	-	-	-	-	-	-	-	podkupuj	podkupujmy	podkupujcie	-
podkurczać	podkurczam	podkurczasz	podkurcza	podkurczamy	podkurczacie	podkurczają	-	-	-	-	-	-	-	-	-	-	-	podkurczaj	podkurczajmy	podkurczajcie	-
podkurczyć	-	-	-	-	-	-	podkurczę	podkurczysz	podkurczy	podkurczymy	podkurczycie	podkurczą	-	-	-	-	-	podkurcz	podkurczmy	podkurczcie	-
podkurować	-	-	-	-	-	-	podkuruję	podkurujesz	podkuruje	podkurujemy	podkurujecie	podkurują	-	-	-	-	-	podkuruj	podkurujmy	podkurujcie	-
podkurwiać	podkurwiam	podkurwiasz	podkurwia	podkurwiamy	podkurwiacie	podkurwiają	-	-	-	-	-	-	-	-	-	-	-	podkurwiaj	podkurwiajmy	podkurwiajcie	-
podkurwić	-	-	-	-	-	-	podkurwię	podkurwisz	podkurwi	podkurwimy	podkurwicie	podkurwią	-	-	-	-	-	podkurw	podkurwijmy	podkurwcie	-
podkurzać	podkurzam	podkurzasz	podkurza	podkurzamy	podkurzacie	podkurzają	-	-	-	-	-	-	-	-	-	-	-	podkurzaj	podkurzajmy	podkurzajcie	-
podkurzyć	-	-	-	-	-	-	podkurzę	podkurzysz	podkurzy	podkurzymy	podkurzycie	podkurzą	-	-	-	-	-	podkurz	podkurzmy	podkurzcie	-
podkusić	-	-	-	-	-	-	podkuszę	podkusisz	podkusi	podkusimy	podkusicie	podkuszą	-	-	-	-	-	podkuś	podkuśmy	podkuście	-
podkuwać	podkuwam	podkuwasz	podkuwa	podkuwamy	podkuwacie	podkuwają	-	-	-	-	-	-	-	-	-	-	-	podkuwaj	podkuwajmy	podkuwajcie	-
podkuć	-	-	-	-	-	-	podkuję	podkujesz	podkuje	podkujemy	podkujecie	podkują	-	-	-	-	-	podkuj	podkujmy	podkujcie	-
podkwasić	-	-	-	-	-	-	podkwaszę	podkwasisz	podkwasi	podkwasimy	podkwasicie	podkwaszą	-	-	-	-	-	podkwaś	podkwaśmy	podkwaście	-
podkwaszać	podkwaszam	podkwaszasz	podkwasza	podkwaszamy	podkwaszacie	podkwaszają	-	-	-	-	-	-	-	-	-	-	-	podkwaszaj	podkwaszajmy	podkwaszajcie	-
podkładać	podkładam	podkładasz	podkłada	podkładamy	podkładacie	podkładają	-	-	-	-	-	-	-	-	-	-	-	podkładaj	podkładajmy	podkładajcie	-
podlatać	podlatam	podlatasz	podlata	podlatamy	podlatacie	podlatają	-	-	-	-	-	-	-	-	-	-	-	podlataj	podlatajmy	podlatajcie	-
podlatywać	podlatuję	podlatujesz	podlatuje	podlatujemy	podlatujecie	podlatują	-	-	-	-	-	-	-	-	-	-	-	podlatuj	podlatujmy	podlatujcie	-
podlać	-	-	-	-	-	-	podleję	podlejesz	podleje	podlejemy	podlejecie	podleją	-	-	-	-	-	podlej	podlejmy	podlejcie	-
podlec:V	-	-	-	-	-	-	podlegnę	podlegniesz	podlegnie	podlegniemy	podlegniecie	podlegną	-	podległa	podległo	podlegli	podległy	podlegnij	podlegnijmy	podlegnijcie	podlec
podlecieć	-	-	-	-	-	-	podlecę	podlecisz	podleci	podlecimy	podlecicie	podlecą	-	podleciała	podleciało	-	podleciały	podleć	podlećmy	podlećcie	-
podleczyć	-	-	-	-	-	-	podleczę	podleczysz	podleczy	podleczymy	podleczycie	podleczą	-	-	-	-	-	podlecz	podleczmy	podleczcie	-
podlegać	podlegam	podlegasz	podlega	podlegamy	podlegacie	podlegają	-	-	-	-	-	-	-	-	-	-	-	podlegaj	podlegajmy	podlegajcie	-
podlepiać	podlepiam	podlepiasz	podlepia	podlepiamy	podlepiacie	podlepiają	-	-	-	-	-	-	-	-	-	-	-	podlepiaj	podlepiajmy	podlepiajcie	-
podlepić	-	-	-	-	-	-	podlepię	podlepisz	podlepi	podlepimy	podlepicie	podlepią	-	-	-	-	-	podlep	podlepmy	podlepcie	-
podlewać	podlewam	podlewasz	podlewa	podlewamy	podlewacie	podlewają	-	-	-	będziemy podlewały	będziecie podlewały	będą podlewały	-	-	-	-	-	podlewaj	podlewajmy	podlewajcie	-
podleć	podleję	podlejesz	podleje	podlejemy	podlejecie	podleją	-	-	-	-	-	-	-	podlała	podlało	-	podlały	podlej	podlejmy	podlejcie	-
podleźć	-	-	-	-	-	-	podlezę	podleziesz	podlezie	podleziemy	podleziecie	podlezą	-	podlazła	podlazło	-	podlazły	podleź	podleźmy	podleźcie	-
podlicencjonować	-	-	-	-	-	-	podlicencjonuję	podlicencjonujesz	podlicencjonuje	podlicencjonujemy	podlicencjonujecie	podlicencjonują	-	-	-	-	-	podlicencjonuj	podlicencjonujmy	podlicencjonujcie	-
podlicencjonowywać	podlicencjonowuję	podlicencjonowujesz	podlicencjonowuje	podlicencjonowujemy	podlicencjonowujecie	podlicencjonowują	-	-	-	-	-	-	-	-	-	-	-	podlicencjonowuj	podlicencjonowujmy	podlicencjonowujcie	-
podliczać	podliczam	podliczasz	podlicza	podliczamy	podliczacie	podliczają	-	-	-	-	-	-	-	-	-	-	-	podliczaj	podliczajmy	podliczajcie	-
podliczyć	-	-	-	-	-	-	podliczę	podliczysz	podliczy	podliczymy	podliczycie	podliczą	-	-	-	-	-	podlicz	podliczmy	podliczcie	-
podlinkować	-	-	-	-	-	-	podlinkuję	podlinkujesz	podlinkuje	podlinkujemy	podlinkujecie	podlinkują	-	-	-	-	-	podlinkuj	podlinkujmy	podlinkujcie	-
podlizać	-	-	-	-	-	-	podliżę	podliżesz	podliże	podliżemy	podliżecie	podliżą	-	-	-	-	-	podliż	podliżmy	podliżcie	-
podlizywać	podlizuję	podlizujesz	podlizuje	podlizujemy	podlizujecie	podlizują	-	-	-	-	-	-	-	-	-	-	-	podlizuj	podlizujmy	podlizujcie	-
podlić	podlę	podlisz	podli	podlimy	podlicie	podlą	-	-	-	-	-	-	-	-	-	-	-	podlij	podlijmy	podlijcie	-
podmacać	-	-	-	-	-	-	podmacam	podmacasz	podmaca	podmacamy	podmacacie	podmacają	-	-	-	-	-	podmacaj	podmacajmy	podmacajcie	-
podmacywać	podmacuję	podmacujesz	podmacuje	podmacujemy	podmacujecie	podmacują	-	-	-	-	-	-	-	-	-	-	-	podmacuj	podmacujmy	podmacujcie	-
podmakać	podmakam	podmakasz	podmaka	podmakamy	podmakacie	podmakają	-	-	-	-	-	-	-	-	-	-	-	podmakaj	podmakajmy	podmakajcie	-
podmalować	-	-	-	-	-	-	podmaluję	podmalujesz	podmaluje	podmalujemy	podmalujecie	podmalują	-	-	-	-	-	podmaluj	podmalujmy	podmalujcie	-
podmalowywać	podmalowuję	podmalowujesz	podmalowuje	podmalowujemy	podmalowujecie	podmalowują	-	-	-	-	-	-	-	-	-	-	-	podmalowuj	podmalowujmy	podmalowujcie	-
podmarszczyć	-	-	-	-	-	-	podmarszczę	podmarszczysz	podmarszczy	podmarszczymy	podmarszczycie	podmarszczą	-	-	-	-	-	podmarszcz	podmarszczmy	podmarszczcie	-
podmarzać	podmarzam	podmarzasz	podmarza	podmarzamy	podmarzacie	podmarzają	-	-	-	-	-	-	-	-	-	-	-	podmarzaj	podmarzajmy	podmarzajcie	-
podmarznąć	-	-	-	-	-	-	podmarznę	podmarzniesz	podmarznie	podmarzniemy	podmarzniecie	podmarzną	-	podmarznęła	podmarznęło	podmarzli	podmarznęły	podmarznij	podmarznijmy	podmarznijcie	-
podmawiać	podmawiam	podmawiasz	podmawia	podmawiamy	podmawiacie	podmawiają	-	-	-	-	-	-	-	-	-	-	-	podmawiaj	podmawiajmy	podmawiajcie	-
podmazać	-	-	-	-	-	-	podmażę	podmażesz	podmaże	podmażemy	podmażecie	podmażą	-	-	-	-	-	podmaż	podmażmy	podmażcie	-
podmazywać	podmazuję	podmazujesz	podmazuje	podmazujemy	podmazujecie	podmazują	-	-	-	-	-	-	-	-	-	-	-	podmazuj	podmazujmy	podmazujcie	-
podmaślać	podmaślam	podmaślasz	podmaśla	podmaślamy	podmaślacie	podmaślają	-	-	-	-	-	-	-	-	-	-	-	podmaślaj	podmaślajmy	podmaślajcie	-
podmaślić	-	-	-	-	-	-	podmaślę	podmaślisz	podmaśli	podmaślimy	podmaślicie	podmaślą	-	-	-	-	-	podmaśl	podmaślijmy	podmaślcie	-
podmiatać	podmiatam	podmiatasz	podmiata	podmiatamy	podmiatacie	podmiatają	-	-	-	-	-	-	-	-	-	-	-	podmiataj	podmiatajmy	podmiatajcie	-
podmieniać	podmieniam	podmieniasz	podmienia	podmieniamy	podmieniacie	podmieniają	-	-	-	-	-	-	-	-	-	-	-	podmieniaj	podmieniajmy	podmieniajcie	-
podmienić	-	-	-	-	-	-	podmienię	podmienisz	podmieni	podmienimy	podmienicie	podmienią	-	-	-	-	-	podmień	podmieńmy	podmieńcie	-
podmieść	-	-	-	-	-	-	podmiotę	podmieciesz	podmiecie	podmieciemy	podmieciecie	podmiotą	-	podmiotła	podmiotło	podmietli	podmiotły	podmieć	podmiećmy	podmiećcie	-
podminować	-	-	-	-	-	-	podminuję	podminujesz	podminuje	podminujemy	podminujecie	podminują	-	-	-	-	-	podminuj	podminujmy	podminujcie	-
podminowywać	podminowuję	podminowujesz	podminowuje	podminowujemy	podminowujecie	podminowują	-	-	-	-	-	-	-	-	-	-	-	podminowuj	podminowujmy	podminowujcie	-
podmięknąć	-	-	-	-	-	-	podmięknę	podmiękniesz	podmięknie	podmiękniemy	podmiękniecie	podmiękną	-	podmięknęła	podmięknęło	podmiękli	podmięknęły	podmięknij	podmięknijmy	podmięknijcie	-
podmoczyć	-	-	-	-	-	-	podmoczę	podmoczysz	podmoczy	podmoczymy	podmoczycie	podmoczą	-	-	-	-	-	podmocz	podmoczmy	podmoczcie	-
podmoknąć	-	-	-	-	-	-	podmoknę	podmokniesz	podmoknie	podmokniemy	podmokniecie	podmokną	-	podmoknęła	podmoknęło	podmokli	podmoknęły	podmoknij	podmoknijmy	podmoknijcie	-
podmrażać	podmrażam	podmrażasz	podmraża	podmrażamy	podmrażacie	podmrażają	-	-	-	-	-	-	-	-	-	-	-	podmrażaj	podmrażajmy	podmrażajcie	-
podmrozić	-	-	-	-	-	-	podmrożę	podmrozisz	podmrozi	podmrozimy	podmrozicie	podmrożą	-	-	-	-	-	podmroź	podmroźmy	podmroźcie	-
podmrugać	-	-	-	-	-	-	podmrugam	podmrugasz	podmruga	podmrugamy	podmrugacie	podmrugają	-	-	-	-	-	podmrugaj	podmrugajmy	podmrugajcie	-
podmrugiwać	podmruguję	podmrugujesz	podmruguje	podmrugujemy	podmrugujecie	podmrugują	-	-	-	-	-	-	-	-	-	-	-	podmruguj	podmrugujmy	podmrugujcie	-
podmrugnąć	-	-	-	-	-	-	podmrugnę	podmrugniesz	podmrugnie	podmrugniemy	podmrugniecie	podmrugną	-	podmrugnęła	podmrugnęło	podmrugnęli	podmrugnęły	podmrugnij	podmrugnijmy	podmrugnijcie	-
podmuchać	-	-	-	-	-	-	podmucham	podmuchasz	podmucha	podmuchamy	podmuchacie	podmuchają	-	-	-	-	-	podmuchaj	podmuchajmy	podmuchajcie	-
podmuchiwać	podmuchuję	podmuchujesz	podmuchuje	podmuchujemy	podmuchujecie	podmuchują	-	-	-	-	-	-	-	-	-	-	-	podmuchuj	podmuchujmy	podmuchujcie	-
podmulać	podmulam	podmulasz	podmula	podmulamy	podmulacie	podmulają	-	-	-	-	-	-	-	-	-	-	-	podmulaj	podmulajmy	podmulajcie	-
podmulić	-	-	-	-	-	-	podmulę	podmulisz	podmuli	podmulimy	podmulicie	podmulą	-	-	-	-	-	podmul	podmulmy	podmulcie	-
podmurować	-	-	-	-	-	-	podmuruję	podmurujesz	podmuruje	podmurujemy	podmurujecie	podmurują	-	-	-	-	-	podmuruj	podmurujmy	podmurujcie	-
podmurowywać	podmurowuję	podmurowujesz	podmurowuje	podmurowujemy	podmurowujecie	podmurowują	-	-	-	-	-	-	-	-	-	-	-	podmurowuj	podmurowujmy	podmurowujcie	-
podmuskać	-	-	-	-	-	-	podmuskam	podmuskasz	podmuska	podmuskamy	podmuskacie	podmuskają	-	-	-	-	-	podmuskaj	podmuskajmy	podmuskajcie	-
podmydlić	-	-	-	-	-	-	podmydlę	podmydlisz	podmydli	podmydlimy	podmydlicie	podmydlą	-	-	-	-	-	podmydl	podmydlijmy	podmydlcie	-
podmykać	podmykam	podmykasz	podmyka	podmykamy	podmykacie	podmykają	-	-	-	-	-	-	-	-	-	-	-	podmykaj	podmykajmy	podmykajcie	-
podmywać	podmywam	podmywasz	podmywa	podmywamy	podmywacie	podmywają	-	-	-	-	-	-	-	-	-	-	-	podmywaj	podmywajmy	podmywajcie	-
podmyć	-	-	-	-	-	-	podmyję	podmyjesz	podmyje	podmyjemy	podmyjecie	podmyją	-	-	-	-	-	podmyj	podmyjmy	podmyjcie	-
podmówić	-	-	-	-	-	-	podmówię	podmówisz	podmówi	podmówimy	podmówicie	podmówią	-	-	-	-	-	podmów	podmówmy	podmówcie	-
podnajmować	podnajmuję	podnajmujesz	podnajmuje	podnajmujemy	podnajmujecie	podnajmują	-	-	-	-	-	-	-	-	-	-	-	podnajmuj	podnajmujmy	podnajmujcie	-
podnająć	-	-	-	-	-	-	podnajmę	podnajmiesz	podnajmie	podnajmiemy	podnajmiecie	podnajmą	-	podnajęła	podnajęło	podnajęli	podnajęły	podnajmij	podnajmijmy	podnajmijcie	-
podnaszać	podnaszam	podnaszasz	podnasza	podnaszamy	podnaszacie	podnaszają	-	-	-	-	-	-	-	-	-	-	-	podnaszaj	podnaszajmy	podnaszajcie	-
podniecać	podniecam	podniecasz	podnieca	podniecamy	podniecacie	podniecają	-	-	-	-	-	-	-	-	-	-	-	podniecaj	podniecajmy	podniecajcie	-
podniecić	-	-	-	-	-	-	podniecę	podniecisz	podnieci	podniecimy	podniecicie	podniecą	-	-	-	-	-	podnieć	podniećmy	podniećcie	-
podnieść	-	-	-	-	-	-	podniosę	podniesiesz	podniesie	podniesiemy	podniesiecie	podniosą	podniosł	podniosła	podniosło	-	podniosły	podnieś	podnieśmy	podnieście	-
podniszczyć	-	-	-	-	-	-	podniszczę	podniszczysz	podniszczy	podniszczymy	podniszczycie	podniszczą	-	-	-	-	-	podniszcz	podniszczmy	podniszczcie	-
podnocować	-	-	-	-	-	-	podnocuję	podnocujesz	podnocuje	podnocujemy	podnocujecie	podnocują	-	-	-	-	-	podnocuj	podnocujmy	podnocujcie	-
podnosić	podnoszę	podnosisz	podnosi	podnosimy	podnosicie	podnoszą	-	-	-	będziemy podnosiły	będziecie podnosiły	będą podnosiły	-	-	-	-	-	podnoś	podnośmy	podnoście	-
podobać	podobam	podobasz	podoba	podobamy	podobacie	podobają	-	-	-	-	-	-	-	-	-	-	-	podobaj	podobajmy	podobajcie	-
podobierać	-	-	-	-	-	-	podobieram	podobierasz	podobiera	podobieramy	podobieracie	podobierają	-	-	-	-	-	podobieraj	podobierajmy	podobierajcie	-
podobijać	-	-	-	-	-	-	podobijam	podobijasz	podobija	podobijamy	podobijacie	podobijają	-	-	-	-	-	podobijaj	podobijajmy	podobijajcie	-
podobywać	-	-	-	-	-	-	podobywam	podobywasz	podobywa	podobywamy	podobywacie	podobywają	-	-	-	-	-	podobywaj	podobywajmy	podobywajcie	-
podochacać	podochacam	podochacasz	podochaca	podochacamy	podochacacie	podochacają	-	-	-	-	-	-	-	-	-	-	-	podochacaj	podochacajmy	podochacajcie	-
podochocić	-	-	-	-	-	-	podochocę	podochocisz	podochoci	podochocimy	podochocicie	podochocą	-	-	-	-	-	podochoć	podochoćmy	podochoćcie	-
podochodzić	-	-	-	-	-	-	podochodzę	podochodzisz	podochodzi	podochodzimy	podochodzicie	podochodzą	-	-	-	-	-	podochodź	podochodźmy	podochodźcie	-
podoczepiać	-	-	-	-	-	-	podoczepiam	podoczepiasz	podoczepia	podoczepiamy	podoczepiacie	podoczepiają	-	-	-	-	-	podoczepiaj	podoczepiajmy	podoczepiajcie	-
pododawać	-	-	-	-	-	-	pododaję	pododajesz	pododaje	pododajemy	pododajecie	pododają	-	-	-	-	-	pododawaj	pododawajmy	pododawajcie	-
podoić	-	-	-	-	-	-	podoję	podoisz	podoi	podoimy	podoicie	podoją	-	-	-	-	-	podój	podójmy	podójcie	-
podokazywać	-	-	-	-	-	-	podokazuję	podokazujesz	podokazuje	podokazujemy	podokazujecie	podokazują	-	-	-	-	-	podokazuj	podokazujmy	podokazujcie	-
podokuczać	-	-	-	-	-	-	podokuczam	podokuczasz	podokucza	podokuczamy	podokuczacie	podokuczają	-	-	-	-	-	podokuczaj	podokuczajmy	podokuczajcie	-
podolewać	-	-	-	-	-	-	podolewam	podolewasz	podolewa	podolewamy	podolewacie	podolewają	-	-	-	-	-	podolewaj	podolewajmy	podolewajcie	-
podopalać	-	-	-	-	-	-	podopalam	podopalasz	podopala	podopalamy	podopalacie	podopalają	-	-	-	-	-	podopalaj	podopalajmy	podopalajcie	-
podopinać	-	-	-	-	-	-	podopinam	podopinasz	podopina	podopinamy	podopinacie	podopinają	-	-	-	-	-	podopinaj	podopinajmy	podopinajcie	-
podopisywać	-	-	-	-	-	-	podopisuję	podopisujesz	podopisuje	podopisujemy	podopisujecie	podopisują	-	-	-	-	-	podopisuj	podopisujmy	podopisujcie	-
podorabiać	-	-	-	-	-	-	podorabiam	podorabiasz	podorabia	podorabiamy	podorabiacie	podorabiają	-	-	-	-	-	podorabiaj	podorabiajmy	podorabiajcie	-
podorastać	-	-	-	-	-	-	podorastam	podorastasz	podorasta	podorastamy	podorastacie	podorastają	-	-	-	-	-	podorastaj	podorastajmy	podorastajcie	-
podorać	-	-	-	-	-	-	podoram	podorasz	podora	podoramy	podoracie	podorają	-	-	-	-	-	podoraj	podorajmy	podorajcie	-
podorywać	podoruję	podorujesz	podoruje	podorujemy	podorujecie	podorują	-	-	-	-	-	-	-	-	-	-	-	podoruj	podorujmy	podorujcie	-
podosadzać	-	-	-	-	-	-	podosadzam	podosadzasz	podosadza	podosadzamy	podosadzacie	podosadzają	-	-	-	-	-	podosadzaj	podosadzajmy	podosadzajcie	-
podosiadać	-	-	-	-	-	-	podosiadam	podosiadasz	podosiada	podosiadamy	podosiadacie	podosiadają	-	-	-	-	-	podosiadaj	podosiadajmy	podosiadajcie	-
podostawać	-	-	-	-	-	-	podostaję	podostajesz	podostaje	podostajemy	podostajecie	podostają	-	-	-	-	-	podostawaj	podostawajmy	podostawajcie	-
podostawiać	-	-	-	-	-	-	podostawiam	podostawiasz	podostawia	podostawiamy	podostawiacie	podostawiają	-	-	-	-	-	podostawiaj	podostawiajmy	podostawiajcie	-
