# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;3;SG;MASC	V;PST;3;SG;FEM	V;PST;3;SG;NEUT	V;PST;3;PL;MASC;HUM	V;PST;3;PL	V;IMP;2;SG	V;IMP;1;PL	V;IMP;2;PL	V;NFIN  ("-" = productive default)
wtranżolić	-	-	-	-	-	-	wtranżolę	wtranżolisz	wtranżoli	wtranżolimy	wtranżolicie	wtranżolą	-	-	-	-	-	wtranżol	wtranżolmy	wtranżolcie	-
wtratować	-	-	-	-	-	-	wtratuję	wtratujesz	wtratuje	wtratujemy	wtratujecie	wtratują	-	-	-	-	-	wtratuj	wtratujmy	wtratujcie	-
wtrawiać	wtrawiam	wtrawiasz	wtrawia	wtrawiamy	wtrawiacie	wtrawiają	-	-	-	-	-	-	-	-	-	-	-	wtrawiaj	wtrawiajmy	wtrawiajcie	-
wtrawić	-	-	-	-	-	-	wtrawię	wtrawisz	wtrawi	wtrawimy	wtrawicie	wtrawią	-	-	-	-	-	wtraw	wtrawmy	wtrawcie	-
wtroczyć	-	-	-	-	-	-	wtroczę	wtroczysz	wtroczy	wtroczymy	wtroczycie	wtroczą	-	-	-	-	-	wtrocz	wtroczmy	wtroczcie	-
wtroić	-	-	-	-	-	-	wtroję	wtroisz	wtroi	wtroimy	wtroicie	wtroją	-	-	-	-	-	wtrój	wtrójmy	wtrójcie	-
wtrumnić	-	-	-	-	-	-	wtrumnię	wtrumnisz	wtrumni	wtrumnimy	wtrumnicie	wtrumnią	-	-	-	-	-	wtrumnij	wtrumnijmy	wtrumnijcie	-
wtryniać	wtryniam	wtryniasz	wtrynia	wtryniamy	wtryniacie	wtryniają	-	-	-	-	-	-	-	-	-	-	-	wtryniaj	wtryniajmy	wtryniajcie	-
wtrynić	-	-	-	-	-	-	wtrynię	wtrynisz	wtryni	wtrynimy	wtrynicie	wtrynią	-	-	-	-	-	wtryń	wtryńmy	wtryńcie	-
wtryskać	-	-	-	-	-	-	wtryskam	wtryskasz	wtryska	wtryskamy	wtryskacie	wtryskają	-	-	-	-	-	wtryskaj	wtryskajmy	wtryskajcie	-
wtryskiwać	wtryskuję	wtryskujesz	wtryskuje	wtryskujemy	wtryskujecie	wtryskują	-	-	-	-	-	-	-	-	-	-	-	wtryskuj	wtryskujmy	wtryskujcie	-
wtrysnąć	-	-	-	-	-	-	wtrysnę	wtryśniesz	wtryśnie	wtryśniemy	wtryśniecie	wtrysną	-	wtrysnęła	wtrysnęło	wtrysnęli	wtrysnęły	wtryśnij	wtryśnijmy	wtryśnijcie	-
wtrząchać	wtrzącham	wtrząchasz	wtrzącha	wtrząchamy	wtrząchacie	wtrząchają	-	-	-	-	-	-	-	-	-	-	-	wtrząchaj	wtrząchajmy	wtrząchajcie	-
wtrząchiwać	wtrząchuję	wtrząchujesz	wtrząchuje	wtrząchujemy	wtrząchujecie	wtrząchują	-	-	-	-	-	-	-	-	-	-	-	wtrząchuj	wtrząchujmy	wtrząchujcie	-
wtrząchnąć	-	-	-	-	-	-	wtrząchnę	wtrząchniesz	wtrząchnie	wtrząchniemy	wtrząchniecie	wtrząchną	-	wtrząchnęła	wtrząchnęło	wtrząchnęli	wtrząchnęły	wtrząchnij	wtrząchnijmy	wtrząchnijcie	-
wtrąbić	-	-	-	-	-	-	wtrąbię	wtrąbisz	wtrąbi	wtrąbimy	wtrąbicie	wtrąbią	-	-	-	-	-	wtrąb	wtrąbmy	wtrąbcie	-
wtrącać	wtrącam	wtrącasz	wtrąca	wtrącamy	wtrącacie	wtrącają	-	-	-	-	-	-	-	-	-	-	-	wtrącaj	wtrącajmy	wtrącajcie	-
wtrącić	-	-	-	-	-	-	wtrącę	wtrącisz	wtrąci	wtrącimy	wtrącicie	wtrącą	-	-	-	-	-	wtrąć	wtrąćmy	wtrąćcie	-
wtulać	wtulam	wtulasz	wtula	wtulamy	wtulacie	wtulają	-	-	-	-	-	-	-	-	-	-	-	wtulaj	wtulajmy	wtulajcie	-
wtulić	-	-	-	-	-	-	wtulę	wtulisz	wtuli	wtulimy	wtulicie	wtulą	-	-	-	-	-	wtul	wtulmy	wtulcie	-
wturlać	-	-	-	-	-	-	wturlam	wturlasz	wturla	wturlamy	wturlacie	wturlają	-	-	-	-	-	wturlaj	wturlajmy	wturlajcie	-
wturliwać	wturliwam	wturliwasz	wturliwa	wturliwamy	wturliwacie	wturliwają	-	-	-	-	-	-	-	-	-	-	-	wturliwaj	wturliwajmy	wturliwajcie	-
wtwarzyć	-	-	-	-	-	-	wtwarzę	wtwarzysz	wtwarzy	wtwarzymy	wtwarzycie	wtwarzą	-	-	-	-	-	wtwarz	wtwarzmy	wtwarzcie	-
wtykać	wtykam	wtykasz	wtyka	wtykamy	wtykacie	wtykają	-	-	-	-	-	-	-	-	-	-	-	wtykaj	wtykajmy	wtykajcie	-
wtórować	wtóruję	wtórujesz	wtóruje	wtórujemy	wtórujecie	wtórują	-	-	-	-	-	-	-	-	-	-	-	wtóruj	wtórujmy	wtórujcie	-
wtórzyć	wtórzę	wtórzysz	wtórzy	wtórzymy	wtórzycie	wtórzą	-	-	-	-	-	-	-	-	-	-	-	wtórz	wtórzmy	wtórzcie	-
wtłaczać	wtłaczam	wtłaczasz	wtłacza	wtłaczamy	wtłaczacie	wtłaczają	-	-	-	-	-	-	-	-	-	-	-	wtłaczaj	wtłaczajmy	wtłaczajcie	-
wtłoczyć	-	-	-	-	-	-	wtłoczę	wtłoczysz	wtłoczy	wtłoczymy	wtłoczycie	wtłoczą	-	-	-	-	-	wtłocz	wtłoczmy	wtłoczcie	-
wtłuc	-	-	-	-	-	-	wtłukę	wtłuczesz	wtłucze	wtłuczemy	wtłuczecie	wtłuką	-	wtłukła	wtłukło	wtłukli	wtłukły	wtłucz	wtłuczmy	wtłuczcie	-
wuczać	wuczam	wuczasz	wucza	wuczamy	wuczacie	wuczają	-	-	-	-	-	-	-	-	-	-	-	wuczaj	wuczajmy	wuczajcie	-
wuczyć	-	-	-	-	-	-	wuczę	wuczysz	wuczy	wuczymy	wuczycie	wuczą	-	-	-	-	-	wucz	wuczmy	wuczcie	-
wujaszkować	wujaszkuję	wujaszkujesz	wujaszkuje	wujaszkujemy	wujaszkujecie	wujaszkują	-	-	-	-	-	-	-	-	-	-	-	wujaszkuj	wujaszkujmy	wujaszkujcie	-
wulgarnieć	wulgarnieję	wulgarniejesz	wulgarnieje	wulgarniejemy	wulgarniejecie	wulgarnieją	-	-	-	-	-	-	-	wulgarniała	wulgarniało	-	wulgarniały	wulgarniej	wulgarniejmy	wulgarniejcie	-
wulgaryzować	wulgaryzuję	wulgaryzujesz	wulgaryzuje	wulgaryzujemy	wulgaryzujecie	wulgaryzują	-	-	-	-	-	-	-	-	-	-	-	wulgaryzuj	wulgaryzujmy	wulgaryzujcie	-
wulkanizować	wulkanizuję	wulkanizujesz	wulkanizuje	wulkanizujemy	wulkanizujecie	wulkanizują	-	-	-	-	-	-	-	-	-	-	-	wulkanizuj	wulkanizujmy	wulkanizujcie	-
wwalać	wwalam	wwalasz	wwala	wwalamy	wwalacie	wwalają	-	-	-	-	-	-	-	-	-	-	-	wwalaj	wwalajmy	wwalajcie	-
wwalcować	-	-	-	-	-	-	wwalcuję	wwalcujesz	wwalcuje	wwalcujemy	wwalcujecie	wwalcują	-	-	-	-	-	wwalcuj	wwalcujmy	wwalcujcie	-
wwalić	-	-	-	-	-	-	wwalę	wwalisz	wwali	wwalimy	wwalicie	wwalą	-	-	-	-	-	wwal	wwalmy	wwalcie	-
wwiadywać	wwiaduję	wwiadujesz	wwiaduje	wwiadujemy	wwiadujecie	wwiadują	-	-	-	-	-	-	-	-	-	-	-	wwiaduj	wwiadujmy	wwiadujcie	-
wwiać	-	-	-	-	-	-	wwieję	wwiejesz	wwieje	wwiejemy	wwiejecie	wwieją	-	-	-	-	-	wwiej	wwiejmy	wwiejcie	-
wwiedzieć	-	-	-	-	-	-	wwiem	wwiesz	wwie	wwiemy	wwiecie	wwiedzą	-	wwiedziała	wwiedziało	-	wwiedziały	wwiedz	wwiedzmy	wwiedzcie	-
wwiercać	wwiercam	wwiercasz	wwierca	wwiercamy	wwiercacie	wwiercają	-	-	-	-	-	-	-	-	-	-	-	wwiercaj	wwiercajmy	wwiercajcie	-
wwiercić	-	-	-	-	-	-	wwiercę	wwiercisz	wwierci	wwiercimy	wwiercicie	wwiercą	-	-	-	-	-	wwierć	wwierćmy	wwierćcie	-
wwiewać	wwiewam	wwiewasz	wwiewa	wwiewamy	wwiewacie	wwiewają	-	-	-	-	-	-	-	-	-	-	-	wwiewaj	wwiewajmy	wwiewajcie	-
wwieść	-	-	-	-	-	-	wwiodę	wwiedziesz	wwiedzie	wwiedziemy	wwiedziecie	wwiodą	-	wwiodła	wwiodło	wwiedli	wwiodły	wwiedź	wwiedźmy	wwiedźcie	-
wwieźć	-	-	-	-	-	-	wwiozę	wwieziesz	wwiezie	wwieziemy	wwieziecie	wwiozą	-	wwiozła	wwiozło	-	wwiozły	wwieź	wwieźmy	wwieźcie	-
wwikłać	-	-	-	-	-	-	wwikłam	wwikłasz	wwikła	wwikłamy	wwikłacie	wwikłają	-	-	-	-	-	wwikłaj	wwikłajmy	wwikłajcie	-
wwikływać	wwikłuję	wwikłujesz	wwikłuje	wwikłujemy	wwikłujecie	wwikłują	-	-	-	-	-	-	-	-	-	-	-	wwikłuj	wwikłujmy	wwikłujcie	-
wwindować	-	-	-	-	-	-	wwinduję	wwindujesz	wwinduje	wwindujemy	wwindujecie	wwindują	-	-	-	-	-	wwinduj	wwindujmy	wwindujcie	-
wwionąć	-	-	-	-	-	-	wwionę	wwioniesz	wwionie	wwioniemy	wwioniecie	wwioną	-	wwionęła	wwionęło	wwionęli	wwionęły	wwioń	wwiońmy	wwiońcie	-
wwiązać	-	-	-	-	-	-	wwiążę	wwiążesz	wwiąże	wwiążemy	wwiążecie	wwiążą	-	-	-	-	-	wwiąż	wwiążmy	wwiążcie	-
wwiązywać	wwiązuję	wwiązujesz	wwiązuje	wwiązujemy	wwiązujecie	wwiązują	-	-	-	-	-	-	-	-	-	-	-	wwiązuj	wwiązujmy	wwiązujcie	-
wwlec	-	-	-	-	-	-	wwlekę	wwleczesz	wwlecze	wwleczemy	wwleczecie	wwleką	-	wwlekła	wwlekło	wwlekli	wwlekły	wwlecz	wwleczmy	wwleczcie	-
wwlekać	wwlekam	wwlekasz	wwleka	wwlekamy	wwlekacie	wwlekają	-	-	-	-	-	-	-	-	-	-	-	wwlekaj	wwlekajmy	wwlekajcie	-
wwodzić	wwodzę	wwodzisz	wwodzi	wwodzimy	wwodzicie	wwodzą	-	-	-	-	-	-	-	-	-	-	-	wwodź	wwodźmy	wwodźcie	-
wwozić	wwożę	wwozisz	wwozi	wwozimy	wwozicie	wwożą	-	-	-	-	-	-	-	-	-	-	-	wwoź	wwoźmy	wwoźcie	-
wwędrować	-	-	-	-	-	-	wwędruję	wwędrujesz	wwędruje	wwędrujemy	wwędrujecie	wwędrują	-	-	-	-	-	wwędruj	wwędrujmy	wwędrujcie	-
wwędrowywać	wwędrowuję	wwędrowujesz	wwędrowuje	wwędrowujemy	wwędrowujecie	wwędrowują	-	-	-	-	-	-	-	-	-	-	-	wwędrowuj	wwędrowujmy	wwędrowujcie	-
wwłaszczać	wwłaszczam	wwłaszczasz	wwłaszcza	wwłaszczamy	wwłaszczacie	wwłaszczają	-	-	-	-	-	-	-	-	-	-	-	wwłaszczaj	wwłaszczajmy	wwłaszczajcie	-
wwłaszczyć	-	-	-	-	-	-	wwłaszczę	wwłaszczysz	wwłaszczy	wwłaszczymy	wwłaszczycie	wwłaszczą	-	-	-	-	-	wwłaszcz	wwłaszczmy	wwłaszczcie	-
wyabstrahować	-	-	-	-	-	-	wyabstrahuję	wyabstrahujesz	wyabstrahuje	wyabstrahujemy	wyabstrahujecie	wyabstrahują	-	-	-	-	-	wyabstrahuj	wyabstrahujmy	wyabstrahujcie	-
wyabstrahowywać	wyabstrahowuję	wyabstrahowujesz	wyabstrahowuje	wyabstrahowujemy	wyabstrahowujecie	wyabstrahowują	-	-	-	-	-	-	-	-	-	-	-	wyabstrahowuj	wyabstrahowujmy	wyabstrahowujcie	-
wyagitować	-	-	-	-	-	-	wyagituję	wyagitujesz	wyagituje	wyagitujemy	wyagitujecie	wyagitują	-	-	-	-	-	wyagituj	wyagitujmy	wyagitujcie	-
wyagitowywać	wyagitowuję	wyagitowujesz	wyagitowuje	wyagitowujemy	wyagitowujecie	wyagitowują	-	-	-	-	-	-	-	-	-	-	-	wyagitowuj	wyagitowujmy	wyagitowujcie	-
wyakcentować	-	-	-	-	-	-	wyakcentuję	wyakcentujesz	wyakcentuje	wyakcentujemy	wyakcentujecie	wyakcentują	-	-	-	-	-	wyakcentuj	wyakcentujmy	wyakcentujcie	-
