# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
afbrokkel	-	-	afgebrokkel	-	-
afbuie	-	-	afgebuie	-	-
afbuig	-	-	afgebuig	-	-
afbuk	-	-	afgebuk	-	-
afbyt	-	-	afgebyt	-	-
afdaal	-	-	afgedaal	-	-
afdam	-	-	afgedam	-	-
afdamp	-	-	afgedamp	-	-
afdank	-	-	afgedank	-	-
afdeel	-	-	afgedeel	-	-
afdek	-	-	afgedek	-	-
afdemp	-	-	afgedemp	-	-
afdig	-	-	afgedig	-	-
afding	-	-	afgeding	-	-
afdoen	-	-	afgedoen	-	-
afdonder	-	-	afgedonder	-	-
afdonner	-	-	afgedonner	-	-
afdop	-	-	afgedop	-	-
afdra	-	-	afgedra	-	-
afdraad	-	-	afgedraad	-	-
afdraai	-	-	afgedraai	-	-
afdraf	-	-	afgedraf	-	-
afdrawwe	-	-	afgedrawwe	-	-
afdreig	-	-	afgedreig	-	-
afdreun	-	-	afgedreun	-	-
afdro	-	-	afgedro	-	-
afdroog	-	-	afgedroog	-	-
afdroë	-	-	afgedroë	-	-
afdruip	-	-	afgedruip	-	-
afdruk	-	-	afgedruk	-	-
afdrup	-	-	afgedrup	-	-
afdruppel	-	-	afgedruppel	-	-
afdryf	-	-	afgedryf	-	-
afdrywe	-	-	afgedrywe	-	-
afduiwel	-	-	afgeduiwel	-	-
afdwaal	-	-	afgedwaal	-	-
afdwing	-	-	afgedwing	-	-
afeet	-	-	afgeëet	-	-
afent	-	-	afgeënt	-	-
afets	-	-	afgeëts	-	-
affeil	-	-	afgefeil	-	-
affiets	-	-	afgefiets	-	-
affoeter	-	-	afgefoeter	-	-
afgaan	-	-	afgegaan	afgaande	-
afgee	-	-	afgegee	-	-
afgelas	-	-	afgelas	-	-
afgiet	-	-	afgegiet	-	-
afglip	-	-	afgeglip	-	-
afgly	-	-	afgegly	-	-
afgooi	-	-	afgegooi	-	-
afgord	-	-	afgegord	-	-
afgraaf	-	-	afgegraaf	-	-
afgraas	-	-	afgegraas	-	-
afgradeer	-	-	afgegradeer	-	-
afgrawe	-	-	afgegrawe	-	-
afgrendel	-	-	afgegrendel	-	-
afgrens	-	-	afgegrens	-	-
afgrou	-	-	afgegrou	-	-
afhaak	-	-	afgehaak	-	-
afhaal	-	-	afgehaal	-	-
afhaar	-	-	afgehaar	-	-
afhak	-	-	afgehak	-	-
afhandel	-	-	afgehandel	-	-
afhang	-	-	afgehang	-	-
afhardloop	-	-	afgehardloop	-	-
afhark	-	-	afgehark	-	-
