# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
deurkook	-	-	deurgekook	-	-
deurkronkel	-	-	deurkronkel	-	-
deurkruip	-	-	deurgekruip	-	-
deurkruis	-	-	deurgekruis	-	-
deurkry	-	-	deurgekry	-	-
deurkyk	-	-	deurgekyk	-	-
deurlaat	-	-	deurgelaat	-	-
deurleef	-	-	deurleef	-	-
deurlees	-	-	deurgelees	-	-
deurlek	-	-	deurgelek	-	-
deurlewe	-	-	deurlewe	-	-
deurlig	-	-	deurgelig	-	-
deurloods	-	-	deurgeloods	-	-
deurloop	-	-	deurgeloop	-	-
deurlug	-	-	deurlug	-	-
deurlê	-	-	deurgelê	-	-
deurmaak	-	-	deurgemaak	-	-
deurmekaargooi	-	-	deurmekaargegooi	-	-
deurmekaarklits	-	-	deurmekaargeklits	-	-
deurmekaarloop	-	-	deurmekaargeloop	-	-
deurmekaarmaak	-	-	deurmekaargemaak	-	-
deurmekaarraak	-	-	deurmekaargeraak	-	-
deurmekaarskud	-	-	deurmekaargeskud	-	-
deurmekaarvleg	-	-	deurmekaargevleg	-	-
deurmekaarwoel	-	-	deurmekaargewoel	-	-
deurmeng	-	-	deurgemeng	-	-
deurneem	-	-	deurgeneem	-	-
deurpeil	-	-	deurpeil	-	-
deurploeg	-	-	deurgeploeg	-	-
deurpraat	-	-	deurgepraat	-	-
deurpriem	-	-	deurpriem	-	-
deurreis	-	-	deurgereis	-	-
deurroer	-	-	deurgeroer	-	-
deurroes	-	-	deurgeroes	-	-
deurry	-	-	deurgery	-	-
deurryg	-	-	deurgeryg	-	-
deursaag	-	-	deurgesaag	-	-
deursak	-	-	deurgesak	-	-
deurseil	-	-	deurgeseil	-	-
deursein	-	-	deurgesein	-	-
deursend	-	-	deurgesend	-	-
deursien	-	-	deurgesien	-	-
deursif	-	-	deurgesif	-	-
deursit	-	-	deurgesit	-	-
deurskaaf	-	-	deurgeskaaf	-	-
deurskakel	-	-	deurgeskakel	-	-
deurskawe	-	-	deurgeskawe	-	-
deurskemer	-	-	deurgeskemer	-	-
deurskeur	-	-	deurgeskeur	-	-
deurskiet	-	-	deurskiet	-	-
deurskou	-	-	deurskou	-	-
deurskraap	-	-	deurgeskraap	-	-
deurskryf	-	-	deurgeskryf	-	-
deurskuif	-	-	deurgeskuif	-	-
deurskuld	-	-	deurgeskuld	-	-
deurskuur	-	-	deurgeskuur	-	-
deurskyn	-	-	deurgeskyn	-	-
deurslaan	-	-	deurgeslaan	-	-
deurslaap	-	-	deurgeslaap	-	-
deursleep	-	-	deurgesleep	-	-
deursluip	-	-	deurgesluip	-	-
deurslyt	-	-	deurgeslyt	-	-
deursmelt	-	-	deurgesmelt	-	-
deursmokkel	-	-	deurgesmokkel	-	-
deursnuffel	-	-	deurgesnuffel	-	-
deursny	-	-	deurgesny	-	-
deursoek	-	-	deurgesoek	-	-
deurspartel	-	-	deurgespartel	-	-
deurspek	-	-	deurspek	-	-
deurspoel	-	-	deurgespoel	-	-
deurspring	-	-	deurgespring	-	-
deurstaan	-	-	deurgestaan	-	-
deurstamp	-	-	deurgestamp	-	-
deurstap	-	-	deurgestap	-	-
deursteek	-	-	deurgesteek	-	-
deurstoomroller	-	-	deurgestoomroller	-	-
deurstoot	-	-	deurgestoot	-	-
deurstraal	-	-	deurgestraal	-	-
deurstreep	-	-	deurgestreep	-	-
deurstrengel	-	-	deurstrengel	-	-
deurstroom	-	-	deurgestroom	-	-
deurstudeer	-	-	deurgestudeer	-	-
deurstuur	-	-	deurgestuur	-	-
deursukkel	-	-	deurgesukkel	-	-
deursuur	-	-	deursuur	-	-
deurswaai	-	-	deurgeswaai	-	-
deursweet	-	-	deurgesweet	-	-
deurswem	-	-	deurgeswem	-	-
deursyfer	-	-	deurgesyfer	-	-
deursyg	-	-	deurgesyg	-	-
deursypel	-	-	deurgesypel	-	-
deurtintel	-	-	deurtintel	-	-
deurtrap	-	-	deurgetrap	-	-
deurtrek	-	-	deurtrek	-	-
deurvaar	-	-	deurgevaar	-	-
deurval	-	-	deurgeval	-	-
deurvat	-	-	deurgevat	-	-
deurveg	-	-	deurgeveg	-	-
deurvleg	-	-	deurgevleg	-	-
deurvlieg	-	-	deurgevlieg	-	-
deurvlug	-	-	deurgevlug	-	-
deurvoel	-	-	deurgevoel	-	-
deurvoer	-	-	deurgevoer	-	-
deurvors	-	-	deurvors	-	-
deurvreet	-	-	deurgevreet	-	-
deurvroetel	-	-	deurgevroetel	-	-
deurvrot	-	-	deurgevrot	-	-
deurvryf	-	-	deurgevryf	-	-
deurvrywe	-	-	deurgevrywe	-	-
deurvyl	-	-	deurgevyl	-	-
deurwaad	-	-	deurwaad	-	-
deurwaai	-	-	deurgewaai	-	-
deurwaak	-	-	deurgewaak	-	-
deurwandel	-	-	deurgewandel	-	-
deurweek	-	-	deurweek	-	-
deurwerk	-	-	deurgewerk	-	-
deurworstel	-	-	deurgeworstel	-	-
deurwurg	-	-	deurgewurg	-	-
diepbraai	-	-	diepgebraai	-	-
dig	-	-	-	digtende	-
diggroei	-	-	diggegroei	-	-
dighou	-	-	diggehou	-	-
digmaak	-	-	diggemaak	-	-
dikteer	-	-	dikteer	-	-
dineer	-	-	dineer	-	-
dink	-	dog	gedag	denkende	-
dishonereer	dishonoreer	-	gedishonoreer	-	-
doebleer	-	-	doebleer	-	-
doet	-	-	-	doende	-
dok	-	-	-	dokkende	-
doldraai	-	-	dolgedraai	-	-
doleer	-	-	doleer	-	-
dood	-	-	-	dodende	-
doodbind	-	-	doodgebind	-	-
doodblaas	-	-	doodgeblaas	-	-
doodbloei	-	-	doodgebloei	-	-
doodbrand	-	-	doodgebrand	-	-
doodbyt	-	-	doodgebyt	-	-
dooddrink	-	-	doodgedrink	-	-
dooddruk	-	-	doodgedruk	-	-
doodeet	-	-	doodgeëet	-	-
doodgaan	-	-	doodgegaan	doodgaande	-
doodgooi	-	-	doodgegooi	-	-
doodkap	-	-	doodgekap	-	-
doodklap	-	-	doodgeklap	-	-
doodknies	-	-	doodgeknies	-	-
doodkook	-	-	doodgekook	-	-
doodkry	-	-	doodgekry	-	-
doodlag	-	-	doodgelag	-	-
doodloop	-	-	doodgeloop	-	-
doodlê	-	-	doodgelê	-	-
doodmaak	-	-	doodgemaak	doodmakende	-
doodmartel	-	-	doodgemartel	-	-
doodpraat	-	-	doodgepraat	-	-
doodreent	-	-	doodgereent	-	-
doodreën	-	-	doodgereën	-	-
doodry	-	-	doodgery	-	-
doodryp	-	-	doodgeryp	-	-
doodsit	-	-	doodgesit	-	-
doodskaam	-	-	doodgeskaam	-	-
doodskiet	-	-	doodgeskiet	-	-
doodskok	-	-	doodgeskok	-	-
doodskop	-	-	doodgeskop	-	-
doodskree	-	-	doodgeskree	-	-
doodskreeu	-	-	doodgeskreeu	-	-
doodskrik	-	-	doodgeskrik	-	-
doodslaan	-	-	doodgeslaan	-	-
doodslaap	-	-	doodgeslaap	-	-
doodsmoor	-	-	doodgesmoor	-	-
doodspuit	-	-	doodgespuit	-	-
doodsteek	-	-	doodgesteek	-	-
doodswoeg	-	-	doodgeswoeg	-	-
doodswoeë	-	-	doodgeswoeë	-	-
doodswye	-	-	doodgeswye	-	-
doodswyg	-	-	doodgeswyg	-	-
doodtrap	-	-	doodgetrap	-	-
doodtrek	-	-	doodgetrek	-	-
doodtreur	-	-	doodgetreur	-	-
doodval	-	-	doodgeval	-	-
doodvat	-	-	doodgevat	-	-
doodverf	-	-	doodgeverf	-	-
doodvreet	-	-	doodgevreet	-	-
doodwaai	-	-	doodgewaai	-	-
doodwerk	-	-	doodgewerk	-	-
doodwurg	-	-	doodgewurg	-	-
dophou	-	-	dopgehou	dophoudende	-
doseer	-	-	doseer	-	-
draadtrek	-	-	draadgetrek	draadtrekkende	-
drapeer	-	-	drapeer	-	-
dreineer	-	-	dreineer	-	-
dresseer	-	-	dresseer	-	-
dronkbestuur	-	-	dronkbestuur	-	-
dronkslaan	-	-	dronkgeslaan	-	-
droog	-	-	-	drogende	-
droogbak	-	-	drooggebak	-	-
droogblaas	-	-	drooggeblaas	-	-
droogkook	-	-	drooggekook	-	-
droogloop	-	-	drooggeloop	-	-
drooglê	-	-	drooggelê	-	-
droogmaak	-	-	drooggemaak	-	-
droogpomp	-	-	drooggepomp	-	-
droogsit	-	-	drooggesit	-	-
droogskoonmaak	-	-	droogskoongemaak	-	-
droogvryf	-	-	drooggevryf	-	-
droogvrywe	-	-	drooggevrywe	-	-
droom	-	-	-	dromende	-
druk	-	-	-	drukkende	-
drup	-	-	-	druppende	-
dryf	-	-	-	drywende	-
duimgooi	-	-	duimgegooi	-	-
duimry	-	-	duimgery	-	-
dwaal	-	-	-	dwalende	-
dwarsdraai	-	-	dwarsgedraai	-	-
dwarslê	-	-	dwarsgelê	-	-
dwarstrek	-	-	dwarsgetrek	-	-
e-pos	-	-	ge-e-pos	-	-
eet	-	-	-	etend	-
eg	-	-	-	eggende	-
eggo	-	-	-	eggoënde	-
endkry	-	-	endgekry	-	-
erbarm	-	-	erbarm	-	-
erken	-	-	erken	erkennende	-
erlang	-	-	erlang	-	-
ervaar	-	-	ervaar	-	-
faseer	-	-	faseer	-	-
fassineer	-	-	-	fassinerende	-
fees	-	-	-	feestende	-
feesvier	-	-	feesgevier	-	-
fietsry	-	-	fietsgery	-	-
fikseer	-	-	fikseer	-	-
fileer	-	-	fileer	-	-
filtreer	-	-	filtreer	-	-
fineer	-	-	fineer	-	-
finesse	-	-	finesse	-	-
fingeer	-	-	fingeer	-	-
flaneer	-	-	flaneer	-	-
flankeer	-	-	flankeer	-	-
flekteer	-	-	flekteer	-	-
flirteer	-	-	flirteer	-	-
floreer	-	-	floreer	-	-
floteer	-	-	floteer	-	-
flotteer	-	-	flotteer	-	-
formeer	-	-	formeer	-	-
forseer	-	-	-	forserende	-
fouteer	-	-	fouteer	fouterende	-
foutvind	-	-	foutgevind	-	-
frankeer	-	-	frankeer	-	-
fraseer	-	-	fraseer	-	-
friseer	-	-	friseer	-	-
fronteer	-	-	fronteer	-	-
frustreer	-	-	frustreer	-	-
fundeer	-	-	fundeer	-	-
fungeer	-	-	fungeer	-	-
fyndruk	-	-	fyngedruk	-	-
fynkam	-	-	fyngekam	-	-
fynkap	-	-	fyngekap	-	-
fynkook	-	-	fyngekook	-	-
fynkou	-	-	fyngekou	-	-
fynmaak	-	-	fyngemaak	-	-
fynmaal	-	-	fyngemaal	-	-
fynskuur	-	-	fyngeskuur	-	-
fynslaan	-	-	fyngeslaan	-	-
fynslyp	-	-	fyngeslyp	-	-
fynstamp	-	-	fyngestamp	-	-
fynstop	-	-	fyngestop	-	-
fyntrap	-	-	fyngetrap	-	-
fynvryf	-	-	fyngevryf	-	-
fêteer	-	-	fêteer	-	-
gaan	-	-	-	gaande	-
gaarbak	-	-	gaargebak	-	-
gaarmaak	-	-	gaargemaak	-	-
gaat	-	-	-	gaande	-
gadeslaan	-	-	gadegeslaan	-	-
galop	-	-	galop	galoppende	-
galoppeer	-	-	galoppeer	-	-
galpeer	-	-	galpeer	-	-
garneer	-	-	garneer	-	-
gatkruip	-	-	gatgekruip	-	-
gatlek	-	-	gatgelek	-	-
gatomgooi	-	-	gatomgegooi	-	-
gatomswaai	-	-	gatomgeswaai	-	-
gatskeer	-	-	gatgeskeer	-	-
gatskoonmaak	-	-	gatskoongemaak	-	-
gatskop	-	-	gatgeskop	-	-
gatswaai	-	-	gatgeswaai	-	-
gebaar	-	-	gebaar	gebarende	-
gebeur	-	-	gebeur	-	-
gebied	-	-	gebied	-	-
gebruik	-	-	gebruik	-	-
gebruikmaak	-	-	gebruikgemaak	-	-
gedenk	-	-	gedenk	-	-
gedoog	-	-	gedoog	-	-
gedoë	-	-	gedoë	-	-
gedra	-	-	gedra	-	-
gedy	-	-	gedy	-	-
gee	-	-	-	gewende	-
gehoorsaam	-	-	gehoorsaam	-	-
gelas	-	-	gelas	-	-
gelei	-	-	gelei	-	-
geloof	-	-	geloof	-	-
geluk	-	-	geluk	-	-
gelukwens	-	-	gelukgewens	-	-
gelykknip	-	-	gelykgeknip	-	-
gelykmaak	-	-	gelykgemaak	-	-
gelykrig	-	-	gelykgerig	-	-
gelyksit	-	-	gelykgesit	-	-
gelykspeel	-	-	gelykgespeel	-	-
gelykstaan	-	-	gelykgestaan	-	-
gelykstel	-	-	gelykgestel	-	-
gelykstoot	-	-	gelykgestoot	-	-
genaak	-	-	genaak	-	-
geneer	-	-	geneer	-	-
genees	-	-	genees	-	-
geniet	-	-	geniet	-	-
geopen	-	-	geopen	-	-
gepaardgaan	-	-	gepaardgegaan	-	-
geraak	-	-	geraak	-	-
gereedmaak	-	-	gereedgemaak	-	-
geringag	-	-	geringgeag	-	-
geringskat	-	-	geringgeskat	-	-
gerusstel	-	-	gerusgestel	-	-
gesels	-	-	gesels	-	-
geskied	-	-	geskied	-	-
gestikuleer	-	-	gestikuleer	-	-
gesê	-	-	gesê	-	-
getroos	-	-	getroos	-	-
getuie	-	-	getuie	-	-
getuig	-	-	getuig	-	-
geval	-	-	geval	-	-
gevoel	-	-	gevoel	-	-
gewaag	-	-	gewaag	-	-
gewaar	-	-	gewaar	-	-
gewaarword	-	-	gewaargeword	-	-
gewen	-	-	gewen	-	-
gewigstoot	-	-	gewiggestoot	-	-
gewillig	-	-	gewillig	-	-
gladmaak	-	-	gladgemaak	-	-
gladskaaf	-	-	gladgeskaaf	-	-
gladskawe	-	-	gladgeskawe	-	-
gladskuur	-	-	gladgeskuur	-	-
gladslyt	-	-	gladgeslyt	-	-
gladstryk	-	-	gladgestryk	-	-
gladvyl	gladgevyl	-	-	-	-
glimlag	-	-	-	glimlaggende	-
glo	-	-	-	gloënde	-
goeddink	-	-	goedgedink	-	-
goeddoen	-	-	goedgedoen	-	-
goedhou	-	-	goedgehou	-	-
goedkeur	-	-	goedgekeur	-	-
goedmaak	-	-	goedgemaak	-	-
goedpraat	-	-	goedgepraat	-	-
goedskryf	-	-	goedgeskryf	-	-
goedstaan	-	-	goedgestaan	-	-
goedvind	-	-	goedgevind	-	-
golfry	-	-	golfgery	-	-
grawe	-	-	-	grawende	-
grewe	groewe	-	gegroewe	-	-
groenpoets	-	-	groengepoets	-	-
grofspat	-	-	grofgespat	-	-
grondvat	-	-	grondgevat	-	-
grootbring	-	-	grootgebring	-	-
groothou	-	-	grootgehou	-	-
grootmaak	-	-	grootgemaak	-	-
grootpraat	-	-	grootgepraat	-	-
grootword	-	-	grootgeword	-	-
haat	-	-	-	hatende	-
handeldryf	-	-	handelgedryf	-	-
handgee	-	-	handgegee	-	-
handhaaf	-	-	-	handhawende	-
handjiesklap	-	-	handjiesgeklap	-	-
handkyk	-	-	handgekyk	-	-
handlees	-	-	handgelees	-	-
hardloop	-	-	-	hardlopende	-
heelmaak	-	-	heelgemaak	-	-
heendring	-	-	heengedring	-	-
heengaan	-	-	heengegaan	-	-
heenglip	-	-	heengeglip	-	-
heengly	-	-	heengegly	-	-
heenhelp	-	-	heengehelp	-	-
heenreis	-	-	heengereis	-	-
heenskeer	-	-	heengeskeer	-	-
heensluip	-	-	heengesluip	-	-
heensnel	-	-	heengesnel	-	-
heenstap	-	-	heengestap	-	-
heenvaar	-	-	heengevaar	-	-
heenwys	-	-	heengewys	-	-
hekkiesloop	-	-	hekkiesgeloop	-	-
helgee	-	-	helgegee	-	-
heraanbied	-	-	heraangebied	-	-
heraankondig	-	-	heraangekondig	-	-
heraanpas	-	-	heraangepas	-	-
heraanskakel	-	-	heraangeskakel	-	-
heraanwend	-	-	heraanwend	-	-
heradem	-	-	heradem	-	-
herbedink	-	-	herbedink	-	-
herbedraad	-	-	herbedraad	-	-
herbegin	-	-	herbegin	-	-
herbegraaf	-	-	herbegraaf	-	-
herbegrawe	-	-	herbegrawe	-	-
herbekendstel	-	-	herbekendgestel	-	-
herbeklemtoon	-	-	herbeklemtoon	-	-
herbekragtig	-	-	herbekragtig	-	-
herbelê	-	-	herbelê	-	-
herbenoem	-	-	herbenoem	-	-
herbeplan	-	-	herbeplan	-	-
herbesin	-	-	herbesin	-	-
herbesmet	-	-	herbesmet	-	-
herbesnaar	-	-	herbesnaar	-	-
herbevestig	-	-	herbevestig	-	-
herbewapen	-	-	herbewapen	-	-
herbewerk	-	-	herbewerk	-	-
herbind	-	-	herbind	-	-
herboor	-	-	herboor	-	-
herbou	-	-	herbou	-	-
herbus	-	-	herbus	-	-
herdenk	-	-	herdenk	-	-
herdomestiseer	-	-	herdomestiseer	-	-
herdoop	-	-	herdoop	-	-
herdruk	-	-	herdruk	-	-
herenig	-	-	herenig	-	-
herfokus	-	-	herfokus	-	-
hergiet	-	-	hergiet	-	-
hergroei	-	-	hergroei	-	-
herhaal	-	-	herhaal	-	-
herinasem	-	-	heringeasem	-	-
herindeel	-	-	heringedeel	-	-
herinner	-	-	herinner	-	-
herinskryf	-	-	heringeskryf	-	-
herinstel	-	-	heringestel	-	-
herinterpreteer	-	-	herinterpreteer	-	-
herken	-	-	herken	herkennende	-
herkies	-	-	herkies	-	-
herkry	-	-	herkry	-	-
herlaai	-	-	herlaai	-	-
herleef	-	-	herleef	-	-
herlees	-	-	herlees	-	-
herlei	-	-	herlei	-	-
herlewe	-	-	herlewe	-	-
herlê	-	-	herlê	-	-
herneem	-	-	herneem	-	-
hernieu	-	-	hernieu	-	-
hernoem	-	-	hernoem	-	-
hernu	-	-	hernu	-	-
hernuwe	-	-	hernuwe	-	-
herondersoek	-	-	herondersoek	-	-
herontdek	-	-	herontdek	-	-
herontwerp	-	-	herontwerp	-	-
herontwikkel	-	-	herontwikkel	-	-
heroorweeg	-	-	heroorweeg	-	-
heropbou	-	-	heropgebou	-	-
heropen	-	-	heropen	-	-
heropstel	-	-	heropgestel	-	-
herower	-	-	herower	-	-
herplaas	-	-	herplaas	-	-
herplant	-	-	herplant	-	-
herregistreer	-	-	herregistreer	-	-
herreël	-	-	herreël	-	-
herroep	-	-	herroep	-	-
hersaamstel	-	-	hersaamgestel	-	-
herset	-	-	herset	-	-
herseël	-	-	herseël	-	-
hersien	-	-	hersien	-	-
herskat	-	-	herskat	-	-
herskep	-	-	herskep	-	-
herskik	-	-	herskik	-	-
herskou	-	-	herskou	-	-
herskryf	-	-	herskryf	-	-
herskrywe	-	-	herskrywe	-	-
herslyp	-	-	herslyp	-	-
herspeel	-	-	herspeel	-	-
herstel	-	-	herstel	-	-
herstem	-	-	herstem	-	-
herstempel	-	-	herstempel	-	-
herstig	-	-	herstig	-	-
hertel	-	-	hertel	-	-
hertoelaat	-	-	hertoegelaat	-	-
hertoets	-	-	hertoets	-	-
hertrou	-	-	hertrou	-	-
hertwiet	-	-	hertwiet	-	-
heruitreik	-	-	heruitgereik	-	-
heruitsaai	-	-	heruitgesaai	-	-
heruitsend	-	-	heruitgesend	-	-
hervat	-	-	hervat	-	-
herverbeel	-	-	herverbeel	-	-
herverdeel	-	-	herverdeel	-	-
herverdubbel	-	-	herverdubbel	-	-
herverhit	-	-	herverhit	-	-
herverhoor	-	-	herverhoor	-	-
herverhuur	-	-	herverhuur	-	-
herverkies	-	-	herverkies	-	-
herverkoop	-	-	herverkoop	-	-
herverseker	-	-	herverseker	-	-
herverskyn	-	-	herverskyn	-	-
hervertaal	-	-	hervertaal	-	-
hervestig	-	-	hervestig	-	-
hervind	-	-	hervind	-	-
hervorm	-	-	hervorm	-	-
hervries	-	-	hervries	-	-
hervrystel	-	-	hervrygestel	-	-
hervul	-	-	hervul	-	-
herwapen	-	-	herwapen	-	-
herwin	-	-	herwin	-	-
herwy	-	-	herwy	-	-
heryk	-	-	heryk	-	-
het	-	had	-	-	-
hoijaag	-	-	hoigejaag	-	-
hoistaan	-	-	hoigestaan	-	-
hokja	-	-	hokgeja	-	-
hokjaag	-	-	hokgejaag	-	-
hokjae	-	-	hokgejae	-	-
hokslaan	-	-	hokgeslaan	-	-
holhang	-	-	holgehang	-	-
hoogag	-	-	hooggeag	-	-
hooghou	-	-	hooggehou	-	-
hoogskat	-	-	hooggeskat	-	-
hoogspring	-	-	hooggespring	-	-
hoop	-	-	-	hopende	-
hoor	-	-	-	horende	-
huishou	-	-	huisgehou	-	-
huisves	-	-	-	huisfestende	-
hê	het	had	gehad	hebbende	-
idealiseer	-	-	geïdealiseer	-	-
identifiseer	-	-	geïdentifiseer	-	-
iftaar	-	-	geïftaar	-	-
ignoreer	-	-	geïgnoreer	-	-
illumineer	-	-	geïllumineer	-	-
illustreer	-	-	geïllustreer	-	-
imbibeer	-	-	geïmbibeer	-	-
imineer	-	-	geïmineer	-	-
imiteer	-	-	geïmiteer	-	-
immatrikuleer	-	-	geïmmatrikuleer	-	-
immigreer	-	-	geïmmigreer	-	-
immobiliseer	-	-	geïmmobiliseer	-	-
immoleer	-	-	geïmmoleer	-	-
immuniseer	-	-	geïmmuniseer	-	-
impasteer	-	-	geïmpasteer	-	-
impedieer	-	-	geïmpedieer	-	-
implementeer	-	-	geïmplementeer	-	-
impliseer	-	-	geïmpliseer	-	-
implodeer	-	-	geïmplodeer	-	-
imponeer	-	-	geïmponeer	-	-
importeer	-	-	geïmporteer	-	-
importuneer	-	-	geïmportuneer	-	-
impregneer	-	-	geïmpregneer	-	-
improviseer	-	-	geïmproviseer	-	-
imputeer	-	-	geïmputeer	-	-
in	-	-	geïn	-	-
inadem	-	-	ingeadem	-	-
inaktiveer	-	-	geïnaktiveer	-	-
inasem	-	-	ingeasem	-	-
inbak	-	-	ingebak	-	-
inbaker	-	-	ingebaker	-	-
inbalsem	-	-	ingebalsem	-	-
inbars	-	-	ingebars	-	-
inbed	-	-	ingebed	-	-
inbeeld	-	-	ingebeeld	-	-
inbeitel	-	-	ingebeitel	-	-
inbel	-	-	ingebel	-	-
inbespreek	-	-	inbespreek	-	-
inbetaal	-	-	inbetaal	-	-
inbeur	-	-	ingebeur	-	-
inbeweeg	-	-	inbeweeg	-	-
inbind	-	-	ingebind	-	-
inblaas	-	-	ingeblaas	-	-
inblik	-	-	ingeblik	-	-
inbly	-	-	ingebly	-	-
inboek	-	-	ingeboek	-	-
inboender	-	-	ingeboender	-	-
inboesem	-	-	ingeboesem	-	-
inboet	-	-	ingeboet	-	-
inbondel	-	-	ingebondel	-	-
inbottel	-	-	ingebottel	-	-
inbou	-	-	ingebou	-	-
inbraak	-	-	ingebraak	-	-
inbrand	-	-	ingebrand	-	-
inbreek	-	-	ingebreek	-	-
inbring	-	-	ingebring	-	-
inbrokkel	-	-	ingebrokkel	-	-
inbrou	-	-	ingebrou	-	-
inbuie	-	-	ingebuie	-	-
inbuig	-	-	ingebuig	-	-
inbuk	-	-	ingebuk	-	-
inburger	-	-	ingeburger	-	-
inbyt	-	-	ingebyt	-	-
incheck	-	-	ingecheck	-	-
indaba	-	-	geïndaba	-	-
indam	-	-	ingedam	-	-
indamp	-	-	ingedamp	-	-
indeel	-	-	ingedeel	-	-
indekseer	-	-	geïndekseer	-	-
indemniseer	-	-	geïndemniseer	-	-
indeuk	-	-	ingedeuk	-	-
indien	-	-	ingedien	-	-
indik	-	-	ingedik	-	-
indink	-	-	ingedink	-	-
indiwidualiseer	-	-	geïndiwidualiseer	-	-
indoesel	-	-	ingedoesel	-	-
indoktrineer	-	-	geïndoktrineer	-	-
indommel	-	-	ingedommel	-	-
indompel	-	-	ingedompel	-	-
indons	-	-	ingedons	-	-
indoof	-	-	ingedoof	-	-
indoop	-	-	ingedoop	-	-
indra	-	-	ingedra	-	-
indraad	-	-	ingedraad	-	-
indraag	-	-	ingedraag	-	-
indraai	-	-	ingedraai	-	-
indrae	-	-	ingedrae	-	-
indraf	-	-	ingedraf	-	-
indril	-	-	ingedril	-	-
indring	-	-	ingedring	-	-
indrink	-	-	ingedrink	-	-
indroog	-	-	ingedroog	-	-
indroë	-	-	ingedroë	-	-
indruis	-	-	ingedruis	-	-
indruk	-	-	ingedruk	-	-
indrup	-	-	ingedrup	-	-
indruppel	-	-	ingedruppel	-	-
indryf	-	-	ingedryf	-	-
indrywe	-	-	ingedrywe	-	-
induik	-	-	ingeduik	-	-
induiwel	-	-	ingeduiwel	-	-
induseer	-	-	geïnduseer	-	-
industrialiseer	-	-	geïndustrialiseer	-	-
indut	-	-	ingedut	-	-
indwarrel	-	-	ingedwarrel	-	-
indwing	-	-	ingedwing	-	-
indyk	-	-	ingedyk	-	-
ineendraai	-	-	ineengedraai	-	-
ineendring	-	-	ineengedring	-	-
ineengroei	-	-	ineengegroei	-	-
ineenkrimp	-	-	ineengekrimp	-	-
ineenloop	-	-	ineengeloop	-	-
ineenplof	-	-	ineengeplof	-	-
ineenrol	-	-	ineengerol	-	-
ineensak	-	-	ineengesak	-	-
ineensink	-	-	ineengesink	-	-
ineenskakel	-	-	ineengeskakel	-	-
ineensluit	-	-	ineengesluit	-	-
ineensmelt	-	-	ineengesmelt	-	-
ineenstort	-	-	ineengestort	-	-
ineenstrengel	-	-	ineengestrengel	-	-
ineentuimel	-	-	ineengetuimel	-	-
ineenvleg	-	-	ineengevleg	-	-
ineenvloei	-	-	ineengevloei	-	-
ineg	-	-	ingeëg	-	-
inent	-	-	ingeënt	-	-
inets	-	-	ingeëts	-	-
infantiliseer	-	-	geïnfantiliseer	-	-
infaseer	-	-	geïnfaseer	-	-
infekteer	-	-	geïnfekteer	-	-
infesteer	-	-	geïnfesteer	-	-
infiltreer	-	-	geïnfiltreer	-	-
inflammeer	-	-	geïnflammeer	-	-
inflans	-	-	ingeflans	-	-
inflasioneer	-	-	geïnflasioneer	-	-
inflekteer	-	-	geïnflekteer	-	-
influenseer	-	-	geïnfluenseer	-	-
influister	-	-	ingefluister	-	-
infoeter	-	-	ingefoeter	-	-
informeer	-	-	geïnformeer	-	-
ingaan	-	-	ingegaan	ingaande	-
ingaar	-	-	ingegaar	-	-
ingee	-	-	ingegee	-	-
ingehelp	-	-	ingehelpte	-	-
ingespe	-	-	ingegespe	-	-
inghrop	-	-	ingeghrop	-	-
ingiet	-	-	ingegiet	-	-
inglip	-	-	ingeglip	-	-
ingly	-	-	ingegly	-	-
ingooi	-	-	ingegooi	-	-
ingord	-	-	ingegord	-	-
ingraaf	-	-	ingegraaf	-	-
ingraveer	-	-	ingegraveer	-	-
ingrawe	-	-	ingegrawe	-	-
ingrif	-	-	ingegrif	-	-
ingroei	-	-	ingegroei	-	-
ingryp	-	-	ingegryp	-	-
inhaak	-	-	ingehaak	-	-
inhaal	-	-	ingehaal	-	-
inhaleer	-	-	geïnhaleer	-	-
inhamer	-	-	ingehamer	-	-
inhandig	-	-	ingehandig	-	-
inhardloop	-	-	ingehardloop	-	-
inhei	-	-	ingehei	-	-
inhelp	-	-	ingehelp	-	-
inhibeer	-	-	geïnhibeer	-	-
inhok	-	-	ingehok	-	-
inhol	-	-	ingehol	-	-
inhou	-	-	ingehou	-	-
inhul	-	-	ingehul	-	-
inhuldig	-	-	ingehuldig	-	-
inhuppel	-	-	ingehuppel	-	-
inhuur	-	-	ingehuur	-	-
inhê	-	-	ingehad	-	-
inisieer	-	-	geïnisieer	-	-
inja	-	-	ingeja	-	-
injaag	-	-	ingejaag	-	-
injae	-	-	ingejae	-	-
injekteer	-	-	geïnjekteer	-	-
ink	-	-	geïnk	-	-
inkalf	-	-	ingekalf	-	-
inkalwe	-	-	ingekalwe	-	-
inkalwer	-	-	ingekalwer	-	-
inkam	-	-	ingekam	-	-
inkamp	-	-	ingekamp	-	-
inkanker	-	-	ingekanker	-	-
inkanteer	-	-	geïnkanteer	-	-
inkap	-	-	ingekap	-	-
inkapsel	-	-	ingekapsel	-	-
inkarneer	-	-	geïnkarneer	-	-
inkas	-	-	ingekas	-	-
inkasseer	-	-	geïnkasseer	-	-
inkatrol	-	-	ingekatrol	-	-
inkeep	-	-	ingekeep	-	-
