# lemma(infinitive)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG;IPFV	V;IND;PST;2;SG;IPFV	V;IND;PST;3;SG;IPFV	V;IND;PST;1;PL;IPFV	V;IND;PST;2;PL;IPFV	V;IND;PST;3;PL;IPFV	V;IND;PST;1;SG;PFV	V;IND;PST;2;SG;PFV	V;IND;PST;3;SG;PFV	V;IND;PST;1;PL;PFV	V;IND;PST;2;PL;PFV	V;IND;PST;3;PL;PFV	V;1;SG;IND;FUT	V;2;SG;IND;FUT	V;3;SG;IND;FUT	V;1;PL;IND;FUT	V;2;PL;IND;FUT	V;3;PL;IND;FUT	V;1;SG;COND	V;2;SG;COND	V;3;SG;COND	V;1;PL;COND	V;2;PL;COND	V;3;PL;COND	V;1;SG;SBJV;PRS	V;2;SG;SBJV;PRS	V;3;SG;SBJV;PRS	V;1;PL;SBJV;PRS	V;2;PL;SBJV;PRS	V;3;PL;SBJV;PRS	V;1;SG;SBJV;PST;IPFV	V;2;SG;SBJV;PST;IPFV	V;3;SG;SBJV;PST;IPFV	V;1;PL;SBJV;PST;IPFV	V;2;PL;SBJV;PST;IPFV	V;3;PL;SBJV;PST;IPFV	V;2;SG;IMP	V;1;PL;IMP	V;2;PL;IMP	V;NFIN	V.PTCP;PST	V.CVB;PRS  ("-" = productive default)
assostar	assoste	-	-	-	-	-	assostava	-	-	assostaviam	assostaviatz	-	assostei	assosteras	assostet	assostem	assosteriatz	assosteran	-	-	-	assostaram	assostaratz	-	assostariá	assostariàs	-	assostarem	assostaretz	-	-	-	-	assostassiam	assostassiatz	assostan	assostesse	-	assostesse	assostessiam	assostessiatz	assostesson	-	assostassiam	-	-	-	-
assucar	-	-	-	-	-	-	assucava	-	-	assucaviam	assucaviatz	-	-	-	-	-	-	-	-	-	-	assucaram	assucaratz	-	assucariá	assucariàs	-	assucarem	assucaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
atudar	atude	-	-	-	-	-	atudava	-	-	atudaviam	atudaviatz	-	atudei	atuderas	atudet	atudem	atuderiatz	atuderan	-	-	-	atudaram	atudaratz	-	atudariá	atudariàs	-	atudarem	atudaretz	-	-	-	-	atudassiam	atudassiatz	atudan	atudesse	-	atudesse	atudessiam	atudessiatz	atudesson	-	atudassiam	-	-	-	-
aturar	ature	-	-	-	-	-	aturava	-	-	aturaviam	aturaviatz	-	aturei	atureras	aturet	aturem	atureriatz	atureran	-	-	-	aturaram	aturaratz	-	aturariá	aturariàs	-	aturarem	aturaretz	-	-	-	-	aturassiam	aturassiatz	aturan	aturesse	-	aturesse	aturessiam	aturessiatz	aturesson	-	aturassiam	-	-	-	-
auçar	-	auces	-	-	-	-	auçava	-	-	auçaviam	auçaviatz	-	-	-	-	-	-	-	-	-	-	auçaram	auçaratz	-	auçariá	auçariàs	-	auçarem	auçaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aver	ai	as	a	avèm	avètz	an	aviái	aviás	aviá	aviam	aviatz	avián	aguèri	aguères	aguèt	aguèrem	aguèretz	aguèron	aurai	auràs	aurà	aurem	auretz	auràn	auriái	auriás	auriá	auriam	auriatz	aurián	aigui	-	aja	ajam	ajatz	ajan	aguèsse	-	aguèsse	aguèssem	aguèssetz	aguèsson	aigue	ajam	ajatz	aguer	agut	-
badalhar	badalhe	-	-	-	-	-	badalhava	-	-	badalhaviam	badalhaviatz	-	badalhei	badalheras	badalhet	badalhem	badalheriatz	badalheran	-	-	-	badalharam	badalharatz	-	badalhariá	badalhariàs	-	badalharem	badalharetz	-	-	-	-	badalhassiam	badalhassiatz	badalhan	badalhesse	-	badalhesse	badalhessiam	badalhessiatz	badalhesson	-	badalhassiam	-	-	-	-
bailejar	-	baileges	-	-	-	-	bailejava	-	-	bailejaviam	bailejaviatz	-	-	-	-	-	-	-	-	-	-	bailejaram	bailejaratz	-	bailejariá	bailejariàs	-	bailejarem	bailejaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
balajar	-	balages	-	-	-	-	balajava	-	-	balajaviam	balajaviatz	-	-	-	-	-	-	-	-	-	-	balajaram	balajaratz	-	balajariá	balajariàs	-	balajarem	balajaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
balhar	balhe	-	-	-	-	-	balhava	-	-	balhaviam	balhaviatz	-	balhei	balheras	balhet	balhem	balheriatz	balheran	-	-	-	balharam	balharatz	-	balhariá	balhariàs	-	balharem	balharetz	-	-	-	-	balhassiam	balhassiatz	balhan	balhesse	-	balhesse	balhessiam	balhessiatz	balhesson	-	balhassiam	-	-	-	-
