# Dutch irregular verbs — mined from the kaikki ∩ Apertium agreement,
# restricted to the lemmas the rule engine misses (empty-lexicon capture,
# scripts/nld/capture_irregulars.sh). Exact match.
# Regenerate: python3 scripts/nld/mine_verbs.py
# lemma	stem	pres	past_sg	past_pl	pp	imp	prespart
weigeren	weiger	weiger,weigert,weigert,weigeren,weigeren,weigeren	weigerde	weigerden	geweigerd	weiger	weigerend
werpen	werp	werp,werpt,werpt,werpen,werpen,werpen	wierp	wierpen	geworpen	werp	werpend
werven	werf	werf,werft,werft,werven,werven,werven	wierf	wierven	geworven	werf	wervend
weten	weet	weet,weet,weet,weten,weten,weten	wist	wisten	geweten	weet	wetend
wijken	wijk	wijk,wijkt,wijkt,wijken,wijken,wijken	week	weken	geweken	wijk	wijkend
wijten	wijt	wijt,wijt,wijt,wijten,wijten,wijten	weet	weten	geweten	wijt	wijtend
wijzen	wijs	wijs,wijst,wijst,wijzen,wijzen,wijzen	wees	wezen	gewezen	wijs	wijzend
wijzigen	wijzig	wijzig,wijzigt,wijzigt,wijzigen,wijzigen,wijzigen	wijzigde	wijzigden	gewijzigd	wijzig	wijzigend
willen	wil	wil,wilt,wil,willen,willen,willen	wilde	wilden	gewild	wil	willend
winden	wind	wind,windt,windt,winden,winden,winden	wond	wonden	gewonden	wind	windend
winnen	win	win,wint,wint,winnen,winnen,winnen	won	wonnen	gewonnen	win	winnend
worden	word	word,wordt,wordt,worden,worden,worden	werd	werden	geworden	word	wordend
wrijven	wrijf	wrijf,wrijft,wrijft,wrijven,wrijven,wrijven	wreef	wreven	gewreven	wrijf	wrijvend
wringen	wring	wring,wringt,wringt,wringen,wringen,wringen	wrong	wrongen	gewrongen	wring	wringend
zaligen	zalig	zalig,zaligt,zaligt,zaligen,zaligen,zaligen	zaligde	zaligden	gezaligd	zalig	zaligend
zenden	zend	zend,zendt,zendt,zenden,zenden,zenden	zond	zonden	gezonden	zend	zendend
zien	zie	zie,ziet,ziet,zien,zien,zien	zag	zagen	gezien	zie	ziend
zijgen	zijg	zijg,zijgt,zijgt,zijgen,zijgen,zijgen	zeeg	zegen	gezegen	zijg	zijgend
zijn	ben	ben,bent,is,zijn,zijn,zijn	was	waren	geweest	wees	zijnd
zingen	zing	zing,zingt,zingt,zingen,zingen,zingen	zong	zongen	gezongen	zing	zingend
zinken	zink	zink,zinkt,zinkt,zinken,zinken,zinken	zonk	zonken	gezonken	zink	zinkend
zinnigen	zinnig	zinnig,zinnigt,zinnigt,zinnigen,zinnigen,zinnigen	zinnigde	zinnigden	gezinnigd	zinnig	zinnigend
zitten	zit	zit,zit,zit,zitten,zitten,zitten	zat	zaten	gezeten	zit	zittend
zoeken	zoek	zoek,zoekt,zoekt,zoeken,zoeken,zoeken	zocht	zochten	gezocht	zoek	zoekend
zuigen	zuig	zuig,zuigt,zuigt,zuigen,zuigen,zuigen	zoog	zogen	gezogen	zuig	zuigend
zuipen	zuip	zuip,zuipt,zuipt,zuipen,zuipen,zuipen	zoop	zopen	gezopen	zuip	zuipend
zuiveren	zuiver	zuiver,zuivert,zuivert,zuiveren,zuiveren,zuiveren	zuiverde	zuiverden	gezuiverd	zuiver	zuiverend
zullen	zal	zal,zult,zal,zullen,zullen,zullen	zou	zouden	-	-	zullend
zwabberen	zwabber	zwabber,zwabbert,zwabbert,zwabberen,zwabberen,zwabberen	zwabberde	zwabberden	gezwabberd	zwabber	zwabberend
zwellen	zwel	zwel,zwelt,zwelt,zwellen,zwellen,zwellen	zwol	zwollen	gezwollen	zwel	zwellend
zwemmen	zwem	zwem,zwemt,zwemt,zwemmen,zwemmen,zwemmen	zwom	zwommen	gezwommen	zwem	zwemmend
zwerven	zwerf	zwerf,zwerft,zwerft,zwerven,zwerven,zwerven	zwierf	zwierven	gezworven	zwerf	zwervend
zwijgen	zwijg	zwijg,zwijgt,zwijgt,zwijgen,zwijgen,zwijgen	zweeg	zwegen	gezwegen	zwijg	zwijgend
zwinden	zwind	zwind,zwindt,zwindt,zwinden,zwinden,zwinden	zwond	zwonden	gezwonden	zwind	zwindend
