# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
אָפּמאָרקען	-	-	-	-	-	-	-	-	אָפּמאָרקנדיק	-	-
אָפּקלינגען	-	-	-	-	-	-	-	-	-	אָפּגעקלונגען	-
אָפּקלײַבן	-	-	-	-	-	-	-	-	-	אָפּגעקליבן	-
אָפּרופֿן	-	-	-	-	-	-	-	-	-	אָפּגערופֿן	-
אָפּרײַסן	-	-	-	-	-	-	-	-	-	אָפּגעריסן	-
אָפּשפּרעכן	-	-	-	-	-	-	-	-	-	אָפּגעשפּראָכן	-
אָפּשרעקן	-	-	-	-	-	-	-	-	-	אָפּגעשראָקן	-
אָרדענען	אָרדן	אָרדנסט	אָרדנט	-	אָרדנט	-	אָרדן	אָרדנט	-	געאָרדנט	-
אויסבאָדן	-	-	-	-	-	-	-	-	-	אויסגעבאָדן	-
אויסגעבן	-	-	-	-	-	-	-	-	-	אויסגעגעבן	-
אויסזאָגן	-	-	-	-	-	-	-	-	אויסזאָגנענדיק	אויסגעזאָגנט	-
אויסזען	-	-	-	-	-	-	-	-	אויסזעענדיק	אויסגעזען	-
אויסטראַכטן	-	-	-	-	-	-	-	-	-	אויסגעטראַכט	-
אויסלעשן	-	-	-	-	-	-	-	-	-	אויסגעלאָשן	-
אויסמענטשלען	-	-	-	-	-	-	-	-	אויסמענטשלנדיק	-	-
אויסמעסטן	-	-	-	-	-	-	-	-	-	אויסגעמאָסטן	-
אויסמײַדן	-	-	-	-	-	-	-	-	-	אויסגעמיטן	-
אויסנעמען	-	-	-	-	-	-	-	-	-	אויסגענומען	-
אויספֿאַלן	-	-	-	-	-	-	-	-	-	אויסגעפֿאַלן	-
אויסרופֿן	-	-	-	-	-	-	-	-	-	אויסגערופֿן	-
אויסרײַסן	-	-	-	-	-	-	-	-	-	אויסגעריסן	-
אויסשטאַרבן	-	-	-	-	-	-	-	-	-	אויסגעשטאָרבן	-
אויסשטשערבען	-	-	-	-	-	-	-	-	אויסשטשערבנדיק	-	-
אויסשרײַבן	-	-	-	-	-	-	-	-	-	אויסגעשריבן	-
אויסשרײַען	-	-	-	-	-	-	-	-	אויסשרײַנדיק	אויסגעשריגן	-
אויפֿבליִען	-	-	-	-	-	-	-	-	-	אויפֿגעבליט	-
אויפֿהייבן	-	-	-	-	-	-	-	-	-	אויפֿגעהויבן	-
אויפֿטאָן	-	-	-	-	-	-	-	-	אויפֿטוענדיק	אויפֿגעטאָן	-
אויפֿטרעטן	-	-	-	-	-	-	-	-	-	אויפֿגעטראָטן	-
אויפֿעפֿענען	-	-	-	-	-	-	-	-	-	אויפֿגעעפֿנט	-
אויפֿריכטן	-	-	-	-	-	-	-	-	אויףריכטנדיק	אויפֿגעריכט	-
אויפֿרײַסן	-	-	-	-	-	-	-	-	-	אויפֿגעריסן	-
אויפֿשטיין	-	-	-	-	-	-	-	-	אויפֿשטייענדיק	אויפֿגעשטאַנען	-
אויפֿשנײַדן	-	-	-	-	-	-	-	-	אויףשנײַדנדיק	אויפֿגעשניטן	-
אויפֿשרײַבן	-	-	-	-	-	-	-	-	-	אויפֿגעשריבן	-
אומברענגען	-	-	-	-	-	-	-	-	-	אומגעבראַכט	-
אומקערן	-	-	-	-	-	-	-	-	אוםקערנדיק	אומגעקערט	-
