# lemma	past	future	present	infinitive
קלף	קלף	יקלף	קולף	-
קם	קם	יקום	קם	לקום
קמץ	קמץ	יקמץ	קומץ	-
קנה	קנה	יקנה	קונה	לקנות
קעקע	קעקע	יקעקע	מקעקע	-
קפא	קפא	יקפא	קופא	לקפוא
קפץ	קפץ	יקפץ	קופץ	-
קצף	קצף	יקצוף	קוצף	לקצוף
קצץ	קצץ	יקצץ	קוצץ	-
קצר	קצר	יקצור	קוצר	לקצור
קרא	קרא	יקרא	קורא	לקרוא
קרב	קרב	יקרב	קרב	לקרוב
קרה	קרה	יקרה	קורה	לקרות
קרן	קרן	יקרן	קורן	לקרון
קרס	קרס	יקרס	קורס	-
קרע	קרע	יקרע	קורע	לקרוע
קרץ	קרץ	יקרץ	קורץ	-
קשר	קשר	יקשור	קושר	לקשור
ראה	ראה	יראה	רואה	לראות
רב	רב	יריב	רב	-
רבה	רבה	ירבה	רובה	לרבות
רבץ	רבץ	ירבץ	רובץ	-
רגם	רגם	ירגם	רוגם	-
רדה	רדה	ירדה	רודה	-
רדף	רדף	ירדף	רודף	-
רוהט	רוהט	ירוהט	מרוהט	-
רוכך	רכך	ירכך	מרכך	-
רומם	רומם	ירומם	מרומם	לרומם
רופא	רופא	ירופא	מרופא	-
רופד	רופד	ירופד	מרופד	-
רוקן	רוקן	ירוקן	מרוקן	לרוקן
רושש	רושש	ירושש	מרושש	-
רותך	רותך	ירותך	מרותך	-
רזה	רזה	ירזה	רזה	לרזות
רחם	רחם	ירחם	רוחם	-
רחף	רחף	ירחף	רוחף	-
רחץ	רחץ	ירחץ	רוחץ	לרחוץ
רטן	רטן	ירטן	רוטן	-
ריגל	רגל	ירגל	מרגל	-
ריגש	רגש	ירגש	מרגש	-
רידד	רדד	ירדד	מרדד	-
ריהט	ריהט	ירהט	מרהט	לרהט
ריחף	ריחף	ירחף	מרחף	לרחף
ריחרח	ריחרח	ירחרח	מרחרח	לרחרח
ריטט	רטט	ירטט	מרטט	-
ריכז	רכז	ירכז	מרכז	-
ריכך	רכך	ירכך	מרכך	-
ריכל	רכל	ירכל	מרכל	-
רימה	רימה	ירמה	מרמה	לרמות
ריסס	ריסס	ירסס	מרסס	לרסס
ריסק	רסק	ירסק	מרסק	-
ריפא	ריפא	ירפא	מרפא	לרפא
ריפד	ריפד	ירפד	מרפד	לרפד
ריפה	רפה	ירפה	מרפה	-
ריצד	ריצד	ירצד	מרצד	לרצד
ריצה	ריצה	ירצה	מרצה	לרצות
ריקע	ריקע	ירקע	מרקע	לרקע
רישת	רישת	ירשת	מרשת	לרשת
ריתך	ריתך	ירתך	מרתך	לרתך
רכב	רכב	ירכוב	רוכב	לרכוב
רכש	רכש	ירכש	רוכש	-
רמז	רמז	ירמוז	רומז	לרמוז
רמש	רמש	ירמש	רומש	-
רעב	רעב	ירעב	רעב	לרעוב
רעד	רעד	ירעד	רועד	-
רעה	רעה	ירעה	רועה	לרעות
רעש	רעש	ירעש	רועש	-
רפא	רפא	ירפא	רופא	לרפוא
רפה	רפה	ירפה	רופה	-
רץ	רץ	ירוץ	רץ	לרוץ
רצה	רצה	ירצה	רוצה	לרצות
רצח	רצח	ירצח	רוצח	לרצוח
רקד	רקד	ירקוד	רוקד	לרקוד
רקע	רקע	ירקע	רוקע	לרקוע
רשם	רשם	ירשום	רושם	לרשום
רתח	רתח	ירתח	רותח	-
רתם	רתם	ירתם	רותם	-
שאב	שאב	ישאב	שואב	-
שאל	שאל	ישאל	שואל	לשאול
שאף	שאף	ישאף	שואף	-
שב	שב	ישוב	שב	לשוב
שבה	שבה	ישבה	שובה	לשבות
שבע	שבע	ישבע	שבע	לשבוע
שבר	שבר	ישבור	שובר	לשבור
שבת	שבת	ישבות	שובת	לשבות
שגה	שגה	ישגה	שוגה	-
שגל	שגל	ישגל	שוגל	-
שגשג	שגשג	ישגשג	משגשג	-
שהה	שהה	ישהה	שוהה	לשהות
שודרג	שדרג	ישדרג	משדרג	-
שוחד	שוחד	ישוחד	משוחד	-
שוחח	שוחח	ישוחח	משוחח	לשוחח
שוחרר	שוחרר	ישוחרר	משוחרר	-
שוטט	שוטט	ישוטט	משוטט	לשוטט
שוכנע	שכנע	ישכנע	משכנע	-
שומן	שמן	ישמן	משמן	-
שומר	שומר	ישומר	משומר	-
שונה	שונה	ישונה	משונה	-
שורש	שורש	ישורש	משורש	-
שותק	שותק	ישותק	משותק	-
שזף	שזף	ישזף	שוזף	-
שחה	שחה	ישחה	שוחה	לשחות
שחט	שחט	ישחט	שוחט	לשחוט
שחף	שחף	ישחף	שוחף	-
שחק	שחק	ישחק	שוחק	לשחוק
שחרר	שחרר	ישחרר	משחרר	-
שט	שט	ישוט	שט	לשוט
שטח	שטח	ישטח	שוטח	-
שטף	שטף	ישטוף	שוטף	לשטוף
שיבח	שיבח	ישבח	משבח	לשבח
שיבט	שבט	ישבט	משבט	-
שיבר	שבר	ישבר	משבר	-
שיגע	שיגע	ישגע	משגע	לשגע
שיגר	שיגר	ישגר	משגר	לשגר
שידל	שדל	ישדל	משדל	-
שידר	שידר	ישדר	משדר	לשדר
שידרג	שדרג	ישדרג	משדרג	-
שיווק	שוק	ישוק	משוק	-
שיחד	שיחד	ישחד	משחד	לשחד
שיחק	שיחק	ישחק	משחק	לשחק
שיחרר	שיחרר	ישחרר	משחרר	לשחרר
שיטח	שטח	ישטח	משטח	-
שייט	שיט	ישיט	משיט	-
שייף	שיף	ישיף	משיף	-
שיכנע	שכנע	ישכנע	משכנע	-
שיכר	שכר	ישכר	משכר	-
שיכתב	שיכתב	ישכתב	משכתב	לשכתב
שילב	שילב	ישלב	משלב	לשלב
שילח	שילח	ישלח	משלח	לשלח
שילם	שילם	ישלם	משלם	לשלם
שימן	שימן	ישמן	משמן	לשמן
שימר	שימר	ישמר	משמר	לשמר
שימש	שימש	ישמש	משמש	לשמש
שינה	שינה	ישנה	משנה	לשנות
שינן	שנן	ישנן	משנן	-
שיעמם	שעמם	ישעמם	משעמם	-
שיער	שיער	ישער	משער	לשער
שיעשע	שעשע	ישעשע	משעשע	-
שיפר	שיפר	ישפר	משפר	לשפר
שיקף	שקף	ישקף	משקף	-
שיקר	שיקר	ישקר	משקר	לשקר
שירת	שירת	ישרת	משרת	לשרת
שיתף	שתף	ישתף	משתף	-
שיתק	שיתק	ישתק	משתק	לשתק
שכב	שכב	ישכב	שוכב	לשכב
שכח	שכח	ישכח	שוכח	לשכוח
שכל	שכל	ישכל	שוכל	-
שכן	שכן	ישכון	שוכן	לשכון
שכפל	שכפל	ישכפל	משכפל	-
שכר	שכר	ישכר	שוכר	-
שכתב	שכתב	ישכתב	משכתב	-
שלה	שלה	ישלה	שולה	-
שלח	שלח	ישלח	שולח	לשלוח
שלט	שלט	ישלוט	שולט	לשלוט
שלל	שלל	ישלל	שולל	-
שלם	שלם	ישלם	שולם	-
שלף	שלף	ישלוף	שולף	לשלוף
שלק	שלק	ישלק	שולק	-
שם	שם	ישים	שם	לשים
שמח	שמח	ישמח	שמח	לשמוח
שמט	שמט	ישמט	שומט	-
שמכר	שמכר	ישמכר	משמכר	-
שמן	שמן	ישמן	שמן	-
שמע	שמע	ישמע	שומע	לשמוע
שמר	שמר	ישמור	שומר	לשמור
שנא	שנא	ישנא	שונא	לשנוא
שנה	שנה	ישנה	שונה	-
שעבד	שעבד	ישעבד	משעבד	-
שעה	שעה	ישעה	שועה	-
שף	שף	ישוף	שף	לשוף
שפט	שפט	ישפוט	שופט	לשפוט
שפך	שפך	ישפוך	שופך	לשפוך
שפע	שפע	ישפע	שופע	לשפוע
שפשף	שפשף	ישפשף	משפשף	-
שקד	שקד	ישקד	שוקד	-
שקט	שקט	ישקוט	שוקט	לשקוט
שקל	שקל	ישקול	שוקל	לשקול
שקלל	שקלל	ישקלל	משקלל	-
שקע	שקע	ישקע	שוקע	-
שר	שר	ישיר	שר	לשיר
שרד	שרד	ישרוד	שורד	לשרוד
שרה	שרה	ישרה	שורה	-
שרטט	שרטט	ישרטט	משרטט	-
שרף	שרף	ישרוף	שורף	לשרוף
שרץ	שרץ	ישרץ	שורץ	-
שרק	שרק	ישרוק	שורק	לשרוק
שש	שש	ישיש	שש	לשיש
שת	שת	ישית	שת	לשית
שתה	שתה	ישתה	שותה	לשתות
שתל	שתל	ישתול	שותל	לשתול
שתק	שתק	ישתוק	שותק	לשתוק
שתת	שתת	ישתת	שותת	-
תאם	תאם	יתאם	תואם	-
תבע	תבע	יתבע	תובע	לתבוע
תגבר	תגבר	יתגבר	מתגבר	-
תדלק	תדלק	יתדלק	מתדלק	-
תהה	תהה	יתהה	תוהה	לתהות
תואר	תואר	יתואר	מתואר	-
תובל	תובל	יתובל	מתובל	-
תודלק	תדלק	יתדלק	מתדלק	-
תוחם	תחם	יתחם	מתחם	-
תוחקר	תחקר	יתחקר	מתחקר	-
תויק	תיק	יתיק	מתיק	-
תוסכל	תסכל	יתסכל	מתסכל	-
תועד	תעד	יתעד	מתעד	-
תופף	תופף	יתופף	מתופף	-
תזמן	תזמן	יתזמן	מתזמן	-
תחב	תחב	יתחב	תוחב	-
תחזק	תחזק	יתחזק	מתחזק	-
תחם	תחם	יתחם	תוחם	-
תחקר	תחקר	יתחקר	מתחקר	-
תיאר	תיאר	יתאר	מתאר	לתאר
תיבל	תיבל	יתבל	מתבל	לתבל
תיווך	תוך	יתוך	מתוך	-
תיחם	תחם	יתחם	מתחם	-
תייג	תיג	יתיג	מתיג	-
תייק	תיק	יתיק	מתיק	-
תיכנת	תיכנת	יתכנת	מתכנת	לתכנת
תילתל	תילתל	יתלתל	מתלתל	לתלתל
תיעב	תיעב	יתעב	מתעב	לתעב
תיעד	תיעד	יתעד	מתעד	לתעד
תיקן	תיקן	יתקן	מתקן	לתקן
תירגל	תירגל	יתרגל	מתרגל	לתרגל
תירגם	תירגם	יתרגם	מתרגם	לתרגם
תירץ	תרץ	יתרץ	מתרץ	-
תכנן	תכנן	יתכנן	מתכנן	-
תכנת	תכנת	יתכנת	מתכנת	-
תלה	תלה	יתלה	תולה	-
תלתל	תלתל	יתלתל	מתלתל	-
תמה	תמה	יתמה	תמה	לתמוה
תמך	תמך	יתמוך	תומך	לתמוך
תמרן	תמרן	יתמרן	מתמרן	-
תסכל	תסכל	יתסכל	מתסכל	-
תסס	תסס	יתסס	תוסס	-
תעה	תעה	יתעה	תועה	-
תפח	תפח	יתפח	תופח	-
תפס	תפס	יתפוס	תופס	לתפוס
תפעל	תפעל	יתפעל	מתפעל	-
תפקד	תפקד	יתפקד	מתפקד	-
תפר	תפר	יתפור	תופר	לתפור
תפש	תפש	יתפש	תופש	-
תקע	תקע	יתקע	תוקע	-
תקף	תקף	יתקף	תוקף	-
תר	תר	יתור	תר	לתור
תרבת	תרבת	יתרבת	מתרבת	-
תרגל	תרגל	יתרגל	מתרגל	-
תרגם	תרגם	יתרגם	מתרגם	-
תרם	תרם	יתרום	תורם	לתרום
