# lemma	past	future	present	infinitive
התחתן	התחתן	יתחתן	מתחתן	-
התיוון	התיון	יתיון	מתיון	-
התיז	התיז	יתיז	מתיז	-
התייאש	התיאש	יתיאש	מתיאש	-
התייבש	התיבש	יתיבש	מתיבש	-
התייהד	התיהד	יתיהד	מתיהד	-
התייחס	התיחס	יתיחס	מתיחס	-
התייפח	התיפח	יתיפח	מתיפח	-
התייצב	התיצב	יתיצב	מתיצב	-
התייקר	התיקר	יתיקר	מתיקר	-
התיישב	התישב	יתישב	מתישב	-
התיר	התיר	יתיר	מתיר	להתיר
התיש	התיש	יתיש	מתיש	-
התכוון	התכון	יתכון	מתכון	-
התכווץ	התכוץ	יתכוץ	מתכוץ	-
התכונן	התכונן	יתכונן	מתכונן	להתכונן
התכופף	התכופף	יתכופף	מתכופף	להתכופף
התכייף	התכיף	יתכיף	מתכיף	-
התכנס	התכנס	יתכנס	מתכנס	להתכנס
התכרבל	התכרבל	יתכרבל	מתכרבל	-
התכתב	התכתב	יתכתב	מתכתב	להתכתב
התלבש	התלבש	יתלבש	מתלבש	להתלבש
התלווה	התלוה	יתלוה	מתלוה	-
התלונן	התלונן	יתלונן	מתלונן	להתלונן
התלכלך	התלכלך	יתלכלך	מתלכלך	להתלכלך
התלקח	התלקח	יתלקח	מתלקח	-
התמהמה	התמהמה	יתמהמה	מתמהמה	להתמהמה
התמודד	התמודד	יתמודד	מתמודד	להתמודד
התמוטט	התמוטט	יתמוטט	מתמוטט	-
התמיד	התמיד	יתמיד	מתמיד	-
התמכר	התמכר	יתמכר	מתמכר	להתמכר
התמלא	התמלא	יתמלא	מתמלא	להתמלא
התמצא	התמצא	יתמצא	מתמצא	להתמצא
התמקח	התמקח	יתמקח	מתמקח	-
התמרמר	התמרמר	יתמרמר	מתמרמר	-
התמתח	התמתח	יתמתח	מתמתח	להתמתח
התנבא	התנבא	יתנבא	מתנבא	להתנבא
התנגד	התנגד	יתנגד	מתנגד	להתנגד
התנגש	התנגש	יתנגש	מתנגש	-
התנדב	התנדב	יתנדב	מתנדב	להתנדב
התנדנד	התנדנד	יתנדנד	מתנדנד	-
התנהג	התנהג	יתנהג	מתנהג	להתנהג
התנהל	התנהל	יתנהל	מתנהל	-
התנודב	התנדב	יתנדב	מתנדב	-
התנודד	התנודד	יתנודד	מתנודד	-
התנזר	התנזר	יתנזר	מתנזר	להתנזר
