# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
spamáil	spamálann	spamáil	spamálfaidh	spamáil	spamáilte	-	spamálaigí	spamáiltear
sparr	-	-	-	-	sparrtha	-	-	-
spear	-	-	-	-	speartha	-	-	-
speir	-	-	speirfidh	-	speirthe	-	-	-
spladhsáil	spladhsálann	spladhsáil	spladhsálfaidh	spladhsáil	spladhsáilte	-	spladhsálaigí	spladhsáiltear
splanc	-	-	-	-	splanctha	-	-	-
splancáil	splancálann	splancáil	splancálfaidh	splancáil	splancáilte	-	splancálaigí	splancáiltear
spleantráil	spleantrálann	spleantráil	spleantrálfaidh	spleantráil	spleantráilte	-	spleantrálaigí	spleantráiltear
spor	-	-	-	-	sportha	-	-	-
spotseiceáil	spotseiceálann	spotseiceáil	spotseiceálfaidh	spotseiceáil	spotseiceáilte	-	spotseiceálaigí	spotseiceáiltear
spotáil	spotálann	spotáil	spotálfaidh	spotáil	spotáilte	-	spotálaigí	spotáiltear
spraephéinteáil	spraephéinteálann	spraephéinteáil	spraephéinteálfaidh	spraephéinteáil	spraephéinteáilte	-	spraephéinteálaigí	spraephéinteáiltear
spraeáil	spraeálann	spraeáil	spraeálfaidh	spraeáil	spraeáilte	-	spraeálaigí	spraeáiltear
spreag	-	-	-	-	spreagtha	-	-	-
sprioc	-	-	-	-	sprioctha	-	-	-
spruigeáil	spruigeálann	spruigeáil	spruigeálfaidh	spruigeáil	spruigeáilte	-	spruigeálaigí	spruigeáiltear
spréigh	spréann	spréigh	spréifidh	spré	spréite	-	spréigí	spréitear
sprúill	-	-	sprúillfidh	-	-	-	-	-
spágáil	spágálann	spágáil	spágálfaidh	spágáil	spágáilte	-	spágálaigí	spágáiltear
spáráil	spárálann	spáráil	spárálfaidh	spáráil	spáráilte	-	spárálaigí	spáráiltear
spásáil	spásálann	spásáil	spásálfaidh	spásáil	spásáilte	-	spásálaigí	spásáiltear
spéiceáil	spéiceálann	spéiceáil	spéiceálfaidh	spéiceáil	spéiceáilte	-	spéiceálaigí	spéiceáiltear
spíceáil	spíceálann	spíceáil	spíceálfaidh	spíceáil	spíceáilte	-	spíceálaigí	spíceáiltear
spúinseáil	spúinseálann	spúinseáil	spúinseálfaidh	spúinseáil	spúinseáilte	-	spúinseálaigí	spúinseáiltear
srac	-	-	-	-	sractha	-	-	-
sram	-	-	-	-	sramtha	-	-	-
sraoill	-	-	sraoillfidh	-	-	-	-	-
srathnaigh	-	-	srathnóidh	-	-	-	-	-
sreabh	-	-	-	-	sreafa	-	-	-
sreang	-	-	-	-	sreangtha	-	-	-
sreangtharraing	sreangtharraingíonn	sreangtharraing	sreangtharraingeoidh	sreangtharraingt	sreangtharraingthe	-	sreangtharraingígí	sreangtharraingítear
sroich	-	-	sroichfidh	-	-	-	-	-
sroighill	-	-	sroighillfidh	sroighleadh	-	-	-	-
stad	-	-	-	stad	-	-	-	-
stalc	-	-	-	-	stalctha	-	-	-
stampáil	stampálann	stampáil	stampálfaidh	stampáil	stampáilte	-	stampálaigí	stampáiltear
stang	-	-	-	-	stangtha	-	-	-
steanc	-	-	-	-	steanctha	-	-	-
