# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
bruis	bruis	bruisidh	bruiseadh	bruiste
brunndail	brunndail	brunndailidh	brunndail	brunndailte
brùnndail	brùnndail	brùnndailidh	brùnndail	brùnndailte
buail	buail	buailidh	bualadh	buailte
buain	buain	buainidh	buain	buainte
buair	buair	buairidh	buaireadh	buairte
buannaich	buannaich	buannaichidh	buannachadh	buannaichte
builg	builg	builgidh	builgeadh	builgte
buin	buin	buinidh	buntainn	buinte
buinnig	buinnig	buinnigidh	buinnigeadh	-
bàsaich	bàsaich	bàsaichidh	bàsachadh	bàsaichte
bàth	bàth	bàthaidh	bàthadh	bàthte
bòc	bòc	bòcaidh	bòcadh	bòcte
bòrd	bòrd	bòrdaidh	bòrdadh	bòrdte
cac	cac	cacaidh	cac	cacte
cadail	-	-	cadal	-
cagainn	cagainn	cagnaidh	cagnadh	cagainnte
cagair	cagair	cagairidh	cagar	cagairte
caidil	caidil	caidlidh	cadal	caidilte
caill	caill	caillidh	call	caillte
caisg	caisg	caisgidh	casg	caisgte
caith	caith	caithidh	caitheamh	caithte
callaich	callaich	callaichidh	callachadh	callaichte
can	can	canaidh	cantainn	cante
caochail	caochail	caochailidh	caochladh	caochailte
caog	caog	caogaidh	caogadh	caogte
caoidh	caoidh	caoidhidh	caoidh	caoidhte
caoin	caoin	caoinidh	caoineadh	caointe
caomhainn	caomhainn	caoimhnidh	caomhnadh	caomhainnte
caraich	caraich	caraichidh	carachadh	caraichte
ceangail	ceangail	ceanglaidh	ceangal	ceangailte
ceannaich	ceannaich	ceannaichidh	ceannach	ceannaichte
ceannsaich	ceannsaich	ceannsaichidh	ceannsachadh	ceannsaichte
ceileir	ceileir	ceileiridh	ceileireadh	ceileirte
ceumnaich	ceumnaich	ceumnaichidh	ceumnachadh	ceumnaichte
ciallaich	ciallaich	ciallaichidh	ciallachadh	ciallaichte
cinn	cinn	cinnidh	cinntinn	cinnte
ciùrr	ciùrr	ciùrraidh	ciùrradh	ciùrrte
clach	clach	clachaidh	clachadh	clachte
cladh	cladh	cladhaidh	cladh	cladhte
cladhaich	cladhaich	cladhaichidh	cladhach	cladhaichte
claon	claon	claonaidh	claonadh	claonte
cleachd	cleachd	cleachdaidh	cleachdadh	cleachdte
cleasaich	cleasaich	cleasaichidh	cleasachd	cleasaichte
cliath	cliath	cliathaidh	cliathadh	cliathte
cliog	cliog	cliogaidh	cliogadh	cliogte
cliop	cliop	cliopaidh	cliopadh	-
clisg	clisg	clisgidh	clisgeadh	clisgte
cluich	cluich	cluichidh	cluich	cluichte
cluinn	cuala	cluinnidh	cluinntinn	cluinnte
clàraich	clàraich	clàraichidh	clàrachadh	clàraichte
clìoraig	clìoraig	clìoraigidh	clìoraigeadh	-
clò-bhuail	clò-bhuail	clò-bhuailidh	clò-bhualadh	clò-bhuailte
clò-sgrìobh	clò-sgrìobh	clò-sgrìobhaidh	clò-sgrìobhadh	clò-sgrìobhte
cnag	cnag	cnagaidh	cnagadh	cnagte
cnuasaich	cnuasaich	cnuasaichidh	cnuasachadh	cnuasaichte
cnàmh	cnàmh	cnàmhaidh	cnàmh	cnàmhte
cnàmh-loisg	cnàmh-loisg	cnàmh-loisgidh	cnàmh-losgadh	cnàmh-loisgte
co-aonaich	co-aonaich	co-aonaichidh	co-aonachadh	co-aonaichte
co-aontaich	co-aontaich	co-aontaichidh	co-aontachadh	co-aontaichte
