# Macedonian mined principal parts, from the apertium-mkd ∩ UniMorph agreement (stress stripped). Columns: lemma, prs1sg..3pl, impf1sg..3pl, lp_masc/fem/neut/pl, imp2sg, imp2pl, pass, converb, vnoun.
# '-' = the productive rule in src/mkd.rs; '|' separates variants.
олесни	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	олеснет	-	-
опее	-	-	-	-	-	-	-	-	-	-	-	опееја	-	-	-	-	опеј	опејте	опеан	-	-
опие	опијам	опииш	опии	опииме	опиите	опијат	-	-	-	-	-	опиеја	-	-	-	-	опиј	опијте	-	-	-
опише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	опишан	-	-
опседне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	опседнат	-	-
опцуе	опцујам	-	-	-	-	опцујат	-	-	-	-	-	опцуеја	-	-	-	-	опцуј	опцујте	-	-	-
освои	освојам	-	-	-	-	освојат	-	-	-	-	-	освоеја	-	-	-	-	освој	освојте	-	-	-
осознае	-	-	-	-	-	-	-	-	-	-	-	осознаеја	-	-	-	-	осознај	осознајте	-	-	-
остане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	останат	-	-
откаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	откажан	-	-
открие	откријам	-	-	-	-	откријат	-	-	-	-	-	откриеја	-	-	-	-	откриј	откријте	-	-	-
отпадне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	отпаднат	-	-
отпее	-	-	-	-	-	-	-	-	-	-	-	отпееја	-	-	-	-	отпеј	отпејте	отпеан	-	-
отруе	отрујам	-	-	-	-	отрујат	-	-	-	-	-	отруеја	-	-	-	-	отруј	отрујте	-	-	-
отстрани	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	отстранет	-	-
оцени	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	оценет	-	-
падне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	паднат	-	-
пее	-	-	-	-	-	-	-	-	-	-	-	пееја	-	-	-	-	пеј	пејте	-	-	-
пие	пијам	-	-	-	-	пијат	-	-	-	-	-	пиеја	-	-	-	-	пиј	пијте	-	-	-
побие	побијам	-	-	-	-	побијат	-	-	-	-	-	побиеја	-	-	-	-	побиј	побијте	-	-	-
повие	повијам	-	-	-	-	повијат	-	-	-	-	-	повиеја	-	-	-	-	повиј	повијте	-	-	-
поврзе	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	поврзан	-	-
подаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	подај	подајте	-	-	-
поддржи	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	поддржан	-	-
подигне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	подигнат	-	-
поживее	-	-	-	-	-	-	-	-	-	-	-	поживееја	-	-	-	-	поживеј	поживејте	-	-	-
познае	-	-	-	-	-	-	-	-	-	-	-	познаеја	-	-	-	-	познај	познајте	-	-	-
пои	појам	-	-	-	-	појат	-	-	-	-	-	поеја	-	-	-	-	пој	појте	-	-	-
покаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	покажан	-	-
покани	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	поканет	-	-
покрене	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	покренат	-	-
покрие	покријам	-	-	-	-	покријат	-	-	-	-	-	покриеја	-	-	-	-	покриј	покријте	-	-	-
полие	полијам	-	-	-	-	полијат	-	-	-	-	-	полиеја	-	-	-	-	полиј	полијте	-	-	-
помине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	поминат	-	-
попее	-	-	-	-	-	-	-	-	-	-	-	попееја	-	-	-	-	попеј	попејте	попеан	-	-
попише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	попишан	-	-
порасне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пораснат	-	-
посвои	посвојам	-	-	-	-	посвојат	-	-	-	-	-	посвоеја	-	-	-	-	посвој	посвојте	-	-	-
посее	-	-	-	-	-	-	-	-	-	-	-	посееја	-	-	-	-	посеј	посејте	посеан	-	-
постигне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	постигнат	-	-
постои	постојам	-	-	-	-	постојат	-	-	-	-	-	постоеја	-	-	-	-	постој	постојте	-	-	-
построи	постројам	-	-	-	-	постројат	-	-	-	-	-	построеја	-	-	-	-	построј	постројте	-	-	-
потпише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	потпишан	-	-
потрае	-	-	-	-	-	-	-	-	-	-	-	потраеја	-	-	-	-	потрај	потрајте	-	-	-
поттикне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	поттикнат	-	-
почине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	починат	-	-
почне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	почнат	-	-
пребои	пребојам	-	-	-	-	пребојат	-	-	-	-	-	пребоеја	-	-	-	-	пребој	пребојте	-	-	-
превие	превијам	-	-	-	-	превијат	-	-	-	-	-	превиеја	-	-	-	-	превиј	превијте	-	-	-
предаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	предај	предајте	-	-	-
преживее	-	-	-	-	-	-	-	-	-	-	-	преживееја	-	-	-	-	преживеј	преживејте	преживеан	-	-
прекине	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прекинат	-	-
прекрие	прекријам	-	-	-	-	прекријат	-	-	-	-	-	прекриеја	-	-	-	-	прекриј	прекријте	-	-	-
прелие	прелијам	-	-	-	-	прелијат	-	-	-	-	-	прелиеја	-	-	-	-	прелиј	прелијте	-	-	-
премие	премијам	-	-	-	-	премијат	-	-	-	-	-	премиеја	-	-	-	-	премиј	премијте	-	-	-
препее	-	-	-	-	-	-	-	-	-	-	-	препееја	-	-	-	-	препеј	препејте	препеан	-	-
препознае	-	-	-	-	-	-	-	-	-	-	-	препознаеја	-	-	-	-	препознај	препознајте	-	-	-
препои	препојам	-	-	-	-	препојат	-	-	-	-	-	препоеја	-	-	-	-	препој	препојте	-	-	-
прераскаже	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прераскажан	-	-
престане	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	престанат	-	-
придаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	придај	придајте	-	-	-
признае	-	-	-	-	-	-	-	-	-	-	-	признаеја	-	-	-	-	признај	признајте	-	-	-
прикрие	прикријам	-	-	-	-	прикријат	-	-	-	-	-	прикриеја	-	-	-	-	прикриј	прикријте	-	-	-
присвои	присвојам	-	-	-	-	присвојат	-	-	-	-	-	присвоеја	-	-	-	-	присвој	присвојте	-	-	-
пристигне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пристигнат	-	-
пробие	пробијам	-	-	-	-	пробијат	-	-	-	-	-	пробиеја	-	-	-	-	пробиј	пробијте	-	-	-
продаде	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	продај	продајте	-	-	-
промие	промијам	-	-	-	-	промијат	-	-	-	-	-	промиеја	-	-	-	-	промиј	промијте	-	-	-
пропадне	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пропаднат	-	-
пропише	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пропишан	-	-
просее	-	-	-	-	-	-	-	-	-	-	-	просееја	-	-	-	-	просеј	просејте	просеан	-	-
протрие	протријам	-	-	-	-	протријат	-	-	-	-	-	протриеја	-	-	-	-	протриј	протријте	-	-	-
процени	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	проценет	-	-
пцуе	пцујам	-	-	-	-	пцујат	-	-	-	-	-	пцуеја	-	-	-	-	пцуј	пцујте	-	-	-
разбие	разбијам	-	-	-	-	разбијат	-	-	-	-	-	разбиеја	-	-	-	-	разбиј	разбијте	-	-	-
