# Japanese verbs — inflection class mined from IPADIC 活用型,
# restricted to the kaikki ∩ IPADIC agreement set.
# Regenerate: python3 scripts/jpn/mine_verbs.py
# lemma\tclass
みなす	godan
みのがす	godan
みわける	ichidan
むかつく	godan
むくれる	ichidan
むしかえす	godan
むす	godan
むせかえる	godan
むせぶ	godan
むせる	ichidan
むれる	ichidan
めあわせる	ichidan
めく	godan
めくるめく	godan
めげる	ichidan
めざす	godan
めばえる	ichidan
めぶく	godan
もうでる	ichidan
もがく	godan
もぎとる	godan
もくろむ	godan
もぐ	godan
もげる	ichidan
もじる	godan
もす	godan
もたつく	godan
もたらす	godan
もたれる	ichidan
もちかえる	godan
もつれあう	godan
もつれる	ichidan
もてあそぶ	godan
もてあます	godan
もてなす	godan
ものもうす	godan
もらう	godan
もらす	godan
もれる	ichidan
やきつく	godan
やきつける	ichidan
やくす	godan
やけつく	godan
やすまる	godan
やすむ	godan
やすめる	ichidan
やっつける	ichidan
やってくる	kuru
やつす	godan
やつれる	ichidan
やられる	ichidan
やりかえす	godan
やりこなす	godan
やりなおす	godan
やる	godan
ゆがく	godan
ゆきづまる	godan
ゆだねる	ichidan
ゆる	godan
ゆわえる	ichidan
よぎる	godan
よこぎる	godan
よこす	godan
よこたえる	ichidan
よす	godan
よだつ	godan
よどむ	godan
よばれる	ichidan
よみあげる	ichidan
よみとる	godan
よみふける	godan
よりかかる	godan
よれる	ichidan
よろめく	godan
る	ichidan
わかす	godan
わかる	godan
わかれる	ichidan
わきおこる	godan
わきでる	ichidan
わく	godan
わすれかける	ichidan
わななく	godan
わめく	godan
わらいこける	ichidan
わらう	godan
わるびれる	ichidan
アガる	godan
アジる	godan
サボる	godan
ダブる	godan
ハマる	godan
ポシャる	godan
一旗揚げる	ichidan
上がる	godan
上回る	godan
上擦る	godan
下がる	godan
下げる	ichidan
下さる	rspecial
下す	godan
下りる	ichidan
下る	godan
下ろす	godan
下回る	godan
不貞腐れる	ichidan
世慣れる	ichidan
並ぶ	godan
並べる	ichidan
並外れる	ichidan
中る	godan
丸まる	godan
丸める	ichidan
乗じる	ichidan
乗せる	ichidan
乗っ取る	godan
乗りこなす	godan
乗り上げる	ichidan
乗り入れる	ichidan
乗り出す	godan
乗り切る	godan
乗り換える	ichidan
乗り継ぐ	godan
乗り越える	ichidan
乗り越す	godan
乗り込む	godan
乗り過ごす	godan
乗る	godan
乱す	godan
乱れる	ichidan
乾かす	godan
乾く	godan
争う	godan
事切れる	ichidan
事欠く	godan
亡くす	godan
亡くなる	godan
交える	ichidan
交わす	godan
交わる	godan
仄めかす	godan
介す	godan
介する	suru
仕える	ichidan
仕る	godan
仕上がる	godan
仕上げる	ichidan
仕入れる	ichidan
仕出かす	godan
仕分ける	ichidan
仕切る	godan
仕掛ける	ichidan
仕留める	ichidan
仕組む	godan
仕込む	godan
付き合う	godan
付き添う	godan
付き纏う	godan
付く	godan
付ける	ichidan
付け入る	godan
付け加える	ichidan
付け狙う	godan
付け足す	godan
付け込む	godan
付す	godan
付する	suru
代える	ichidan
代わる	godan
仰ぐ	godan
仰け反る	godan
任じる	ichidan
任す	godan
任せる	ichidan
企てる	ichidan
企む	godan
伍する	suru
伏せる	ichidan
休する	suru
会う	godan
伝う	godan
伝える	ichidan
伝わる	godan
伴う	godan
伸し上がる	godan
伸す	godan
伸ばす	godan
伸びる	ichidan
伸び上がる	godan
伸び悩む	godan
伸べる	ichidan
伺う	godan
似る	ichidan
似合う	godan
似通う	godan
位する	suru
位置付ける	ichidan
低まる	godan
低める	ichidan
住む	godan
余す	godan
余る	godan
作り上げる	ichidan
作り出す	godan
作る	godan
使いこなす	godan
使い分ける	ichidan
使い切る	godan
使い古す	godan
使い果たす	godan
使う	godan_u
使える	ichidan
例える	ichidan
侍する	suru
侍る	godan
侘びる	ichidan
供える	ichidan
供する	suru
侮る	godan
侵す	godan
係る	godan
促す	godan
保する	suru
保つ	godan
信じる	ichidan
信ずる	zuru
修まる	godan
修める	ichidan
俯く	godan
俯せる	ichidan
倒す	godan
倒れる	ichidan
倒れ込む	godan
候う	godan
借りる	ichidan
借り上げる	ichidan
借り倒す	godan
借る	godan
倣う	godan
値する	suru
値切る	godan
倦む	godan
停める	ichidan
偲ぶ	godan
偽る	godan
備える	ichidan
備え付ける	ichidan
備わる	godan
催す	godan
傭う	godan
傷つく	godan
傷つける	ichidan
傷む	godan
傷める	ichidan
傾く	godan
傾ぐ	godan
傾ける	ichidan
傾げる	ichidan
働かせる	ichidan
働き掛ける	ichidan
働く	godan
僻む	godan
償う	godan
優れる	ichidan
儲かる	godan
儲ける	ichidan
充てる	ichidan
兆す	godan
先んじる	ichidan
先んずる	zuru
先立つ	godan
先走る	godan
先駆ける	ichidan
光り輝く	godan
光る	godan
免れる	ichidan
入り乱れる	ichidan
入り組む	godan
入り込む	godan
入る	godan
入れる	ichidan
入れ替える	ichidan
入れ替わる	godan
兼ねる	ichidan
兼ね備える	ichidan
冒す	godan
写す	godan
写る	godan
冠す	godan
冠する	suru
冴える	ichidan
冴え渡る	godan
冷える	ichidan
冷え込む	godan
冷ます	godan
冷める	ichidan
冷やかす	godan
冷やす	godan
凌ぐ	godan
凍みる	ichidan
凍る	godan
凝らす	godan
処す	godan
処する	suru
凪ぐ	godan
凹ます	godan
凹む	godan
出しゃばる	godan
出し合う	godan
出し抜く	godan
出す	godan
出る	ichidan
出会う	godan
出切る	godan
出回る	godan
出掛ける	ichidan
出揃う	godan
出来上がる	godan
出迎える	ichidan
出遅れる	ichidan
分かつ	godan
分かれる	ichidan
分ける	ichidan
分け与える	ichidan
切らす	godan
切り上げる	ichidan
切り下げる	ichidan
切り付ける	ichidan
切り倒す	godan
切り出す	godan
切り分ける	ichidan
切り取る	godan
切り抜く	godan
切り捨てる	ichidan
切り替える	ichidan
切り立つ	godan
切り落とす	godan
切り裂く	godan
切り詰める	ichidan
切り返す	godan
切り開く	godan
切り離す	godan
切る	godan
切れる	ichidan
切羽詰まる	godan
刈り取る	godan
刈り込む	godan
刈る	godan
列する	suru
初める	ichidan
判じる	ichidan
判ずる	zuru
別れる	ichidan
利く	godan
利する	suru
到る	godan
刳り貫く	godan
刳る	godan
制す	godan
制する	suru
刷り込む	godan
刷る	godan
刺さる	godan
刺す	godan
刻む	godan
剃る	godan
則る	godan
削ぐ	godan
削る	godan
剥がす	godan
剥がれる	ichidan
剥く	godan
剥ぐ	godan
剥ける	ichidan
剥げる	ichidan
剪む	godan
割く	godan
割り出す	godan
割り切る	godan
割り切れる	ichidan
割り引く	godan
割り当てる	ichidan
割り振る	godan
割り込む	godan
割る	godan
割れる	ichidan
創る	godan
劈く	godan
力む	godan
加える	ichidan
加わる	godan
劣る	godan
助かる	godan
助ける	ichidan
助け出す	godan
助け合う	godan
努める	ichidan
励ます	godan
励む	godan
労う	godan
効く	godan
勇む	godan
動かす	godan
動き回る	godan
動く	godan
動じる	ichidan
勘繰る	godan
務まる	godan
務める	ichidan
勝ち取る	godan
勝ち誇る	godan
勝つ	godan
勝る	godan
募る	godan
勢い込む	godan
勤しむ	godan
勤まる	godan
勤める	ichidan
勧める	ichidan
匂わす	godan
包み隠す	godan
包む	godan
包める	ichidan
化かす	godan
化す	godan
区切る	godan
匿う	godan
卑しめる	ichidan
卒する	suru
博す	godan
博する	suru
占う	godan
占める	ichidan
印す	godan
印する	suru
危ぶむ	godan
即す	godan
即する	suru
卸す	godan
厭う	godan
厭く	godan
去る	godan
参じる	ichidan
参らす	godan
参らせる	ichidan
参る	godan
及ぶ	godan
及ぼす	godan
反する	suru
反らす	godan
反り返る	godan
反る	godan
収まる	godan
収める	ichidan
取っちめる	ichidan
取っ付く	godan
取り上げる	ichidan
取り仕切る	godan
取り付く	godan
取り付ける	ichidan
取り入れる	ichidan
取り出す	godan
取り分ける	ichidan
取り合う	godan
取り囲む	godan
取り外す	godan
取り巻く	godan
取り戻す	godan
取り払う	godan
取り扱う	godan
取り持つ	godan
取り掛かる	godan
取り替える	ichidan
取り止める	ichidan
取り残す	godan
取り決める	ichidan
取り消す	godan
取り留める	ichidan
取り立てる	ichidan
取り組む	godan
取り締まる	godan
取り繕う	godan
取り纏める	ichidan
取り置く	godan
取り計らう	godan
取り調べる	ichidan
取り込む	godan
取り返す	godan
取り逃がす	godan
取り除く	godan
取り除ける	ichidan
取り零す	godan
取れる	ichidan
取繕う	godan
受かる	godan
受ける	ichidan
受け付ける	ichidan
受け入れる	ichidan
受け取る	godan
受け持つ	godan
受け止める	ichidan
受け継ぐ	godan
口説き落とす	godan
口説く	godan
口走る	godan
叩き付ける	ichidan
叩き込む	godan
叩く	godan
叫ぶ	godan
召し上がる	godan
召し抱える	ichidan
召す	godan
可愛がる	godan
叱り付ける	ichidan
叱る	godan
叶う	godan
叶える	ichidan
号する	suru
司る	godan
吃る	godan
合う	godan
合わさる	godan
合わす	godan
合わせる	ichidan
吊り上げる	ichidan
吊る	godan
吊るす	godan
同じる	ichidan
名乗り出る	ichidan
名乗る	godan
名付ける	ichidan
吐き出す	godan
吐く	godan
向かい合う	godan
向かい合わせる	ichidan
向かう	godan
向き合う	godan
向き直る	godan
向く	godan
向ける	ichidan
吟じる	ichidan
吠える	ichidan
否む	godan
含む	godan
含める	ichidan
吸い上げる	ichidan
吸い取る	godan
吸い寄せる	ichidan
吸い込む	godan
吸う	godan_u
吹かす	godan
吹き出す	godan
吹き抜ける	ichidan
吹き込む	godan
吹き飛ぶ	godan
吹き鳴らす	godan
吹く	godan
吹っ飛ぶ	godan
吹雪く	godan
呆れる	ichidan
呈する	suru
告ぐ	godan
告げる	ichidan
呟く	godan
呪う	godan
味わう	godan
呻く	godan
呼ばれる	ichidan
呼び出す	godan
呼び寄せる	ichidan
呼び掛ける	ichidan
呼び止める	ichidan
呼び起こす	godan
呼ぶ	godan
命じる	ichidan
命ずる	zuru
和える	ichidan
和む	godan
和らぐ	godan
和らげる	ichidan
咎める	ichidan
咲き乱れる	ichidan
咲く	godan
哀れむ	godan
唆す	godan
唱える	ichidan
唸る	godan
啀み合う	godan
啄む	godan
商う	godan
問い合わせる	ichidan
問い掛ける	ichidan
問い詰める	ichidan
問い質す	godan
問う	godan_u
啜り泣く	godan
啜る	godan
喘ぐ	godan
喜ぶ	godan
喫す	godan
喫する	suru
営む	godan
嗅ぎ付ける	ichidan
嗅ぐ	godan
嗜む	godan
嘆く	godan
嘉する	suru
嘯く	godan
嘱する	suru
嘲る	godan
嘲笑う	godan
噛み合う	godan
噛み殺す	godan
噛み締める	ichidan
噛む	godan
噴く	godan
囀る	godan
囁く	godan
囃す	godan
囚われる	ichidan
回す	godan
回る	godan
因む	godan
因る	godan
困る	godan
囲う	godan
囲む	godan
図る	godan
固まる	godan
固める	ichidan
圧す	godan
均す	godan
垂らす	godan
垂れる	ichidan
垢抜ける	ichidan
垣間見る	ichidan
埋まる	godan
埋める	ichidan
埋め合わせる	ichidan
埋め立てる	ichidan
埋め込む	godan
埋もれる	ichidan
執り行う	godan
基づく	godan
堪える	ichidan
堪え忍ぶ	godan
堪り兼ねる	ichidan
堪る	godan
報いる	ichidan
報う	godan
報じる	ichidan
報ずる	zuru
塗り替える	ichidan
塗る	godan
塞がる	godan
塞ぎ込む	godan
塞ぐ	godan
塞げる	ichidan
増える	ichidan
増さる	godan
増す	godan
増やす	godan
壊す	godan
壊れる	ichidan
売り付ける	ichidan
売り出す	godan
売り切れる	ichidan
売り払う	godan
売り捌く	godan
売り渡す	godan
売り込む	godan
売り飛ばす	godan
売る	godan
売れる	ichidan
売れ残る	godan
変える	ichidan
変じる	ichidan
変ずる	zuru
変わり果てる	ichidan
変わる	godan
外す	godan
外れる	ichidan
夢見る	ichidan
大人ぶる	godan
天下る	godan
太る	godan
失う	godan
失せる	ichidan
奏す	godan
奏する	suru
奏でる	ichidan
契る	godan
奢る	godan
奪い合う	godan
奪う	godan
好く	godan
好む	godan
妨げる	ichidan
妬く	godan
妬む	godan
始まる	godan
始める	ichidan
威張る	godan
娶る	godan
媚びる	ichidan
嫁ぐ	godan
嫉む	godan
嫌う	godan
嫌がる	godan
嬲る	godan
孕む	godan
存じる	ichidan
存じ上げる	ichidan
存する	suru
存ずる	zuru
学ぶ	godan
孵す	godan
孵る	godan
守り抜く	godan
守り立てる	ichidan
守る	godan
定まる	godan
定める	ichidan
宛てる	ichidan
実る	godan
宣する	suru
宣る	godan
宥める	ichidan
害す	godan
害する	suru
宿す	godan
宿る	godan
寄せる	ichidan
寄り添う	godan
寄る	godan
富む	godan
寛ぐ	godan
寝かし付ける	ichidan
寝かす	godan
寝かせる	ichidan
寝そべる	godan
寝っ転がる	godan
寝る	ichidan
寝付く	godan
寝入る	godan
寝取る	godan
寝転がる	godan
寝転ぶ	godan
寝込む	godan
寝返る	godan
寝違える	ichidan
寝静まる	godan
察する	suru
対する	suru
寿ぐ	godan
封じる	ichidan
封じ込める	ichidan
射す	godan
射る	ichidan
射止める	ichidan
尊ぶ	godan
尋ねる	ichidan
導く	godan
就く	godan
就ける	ichidan
尽かす	godan
尽きる	ichidan
尽くす	godan
居合わせる	ichidan
居座る	godan
居直る	godan
屈す	godan
屈する	suru
屈む	godan
届く	godan
届ける	ichidan
属す	godan
属する	suru
屠る	godan
履く	godan
屯する	suru
峙つ	godan
崇める	ichidan
崩す	godan
崩れる	ichidan
嵌める	ichidan
巡らす	godan
巡り会う	godan
巡る	godan
巣立つ	godan
巣食う	godan
差し上げる	ichidan
差し伸べる	ichidan
差し入れる	ichidan
差し出す	godan
差し引く	godan
差し戻す	godan
差し挟む	godan
差し掛かる	godan
差し控える	ichidan
差し支える	ichidan
差し替える	ichidan
差し止める	ichidan
差し繰る	godan
差し置く	godan
差し込む	godan
差す	godan
巻き上げる	ichidan
巻き付ける	ichidan
巻き起こす	godan
巻き込む	godan
巻き返す	godan
巻く	godan
帯びる	ichidan
帰す	godan
帰る	godan
干す	godan
干る	ichidan
干上がる	godan
平らげる	ichidan
年老いる	ichidan
庇う	godan
座り込む	godan
座る	godan
庶幾う	godan
廃る	godan
廃れる	ichidan
延ばす	godan
延びる	ichidan
延べる	ichidan
建つ	godan
建てる	ichidan
廻る	godan
弁える	ichidan
弄する	suru
弄る	godan
引き上げる	ichidan
引き下がる	godan
引き下げる	ichidan
引き付ける	ichidan
引き出す	godan
引き分ける	ichidan
引き取る	godan
引き受ける	ichidan
引き寄せる	ichidan
引き払う	godan
引き抜く	godan
引き摺る	godan
引き渡す	godan
引き留める	ichidan
引き立てる	ichidan
引き継ぐ	godan
引き続く	godan
引き締まる	godan
引き締める	ichidan
引き裂く	godan
引き起こす	godan
引き返す	godan
引き離す	godan
引く	godan
引ける	ichidan
引っ張る	godan
引っ掛かる	godan
引っ掛ける	ichidan
引っ掻く	godan
引っ提げる	ichidan
引っ繰り返る	godan
引っ込む	godan
引っ込める	ichidan
引っ返す	godan
弛む	godan
弱まる	godan
弱める	ichidan
弱る	godan
張り上げる	ichidan
張り付く	godan
張り付ける	ichidan
張り倒す	godan
張り切る	godan
張り合う	godan
張り合わせる	ichidan
張り替える	ichidan
張り裂ける	ichidan
張り詰める	ichidan
張り込む	godan
張る	godan
強いる	ichidan
強がる	godan
強まる	godan
強める	ichidan
強請る	godan
弾き出す	godan
弾く	godan
弾ける	ichidan
弾む	godan
当たり散らす	godan
当たる	godan
当てはまる	godan
当てる	ichidan
当て込む	godan
形作る	godan
彩る	godan
彫る	godan
役に立つ	godan
役立つ	godan
役立てる	ichidan
待たす	godan
待ちくたびれる	ichidan
待ち伏せる	ichidan
待ち侘びる	ichidan
待ち兼ねる	ichidan
待ち受ける	ichidan
待ち合わせる	ichidan
待ち望む	godan
待ち構える	ichidan
待つ	godan
従う	godan
従える	ichidan
得する	suru
得る	ichidan
御する	suru
微睡む	godan
微笑む	godan
徴する	suru
