# lemma	auxiliary (default: avere)
riscaldare	essere/avere
riscaldarsi	essere
riscattarsi	essere
riscendere	essere/avere
rischiarare	essere/avere
rischiararsi	essere
rischiare	essere/avere
rischizzare	essere/avere
risciacquarsi	essere
riscolare	essere/avere
riscontrarsi	essere
riscoppiare	essere
riscorrere	essere/avere
riscuotersi	essere
risdegnarsi	essere
risdrucciolare	essere/avere
riseccare	essere/avere
risecchire	essere
risedere	essere
riseguitare	essere/avere
risembrare	essere
risentirsi	essere
riserbarsi	essere
riservarsi	essere
riservire	essere/avere
risgocciolare	essere/avere
risgorgare	essere
risgusciare	essere
risimigliare	essere/avere
risolidificare	essere/avere
risolidificarsi	essere
risollevarsi	essere
risolversi	essere
risomigliare	essere/avere
risommare	essere/avere
risonare	essere/avere
risorgere	essere
risovvenire	essere/avere
risovvenirsi	essere
risparmiarsi	essere
rispecchiarsi	essere
rispettarsi	essere
risplendere	essere/avere
rispondersi	essere
risposarsi	essere
rispuntare	essere/avere
ristabilirsi	essere
ristabilizzarsi	essere
ristare	essere
ristillare	essere/avere
ristorarsi	essere
ristramazzare	essere
ristringersi	essere
ristruggere	essere/avere
risultare	essere
risuonare	essere/avere
risurgere	essere
risuscitare	essere/avere
risvegliarsi	essere
risvenire	essere
risvoltare	essere/avere
ritagliarsi	essere
ritemprarsi	essere
ritenersi	essere
ritirarsi	essere
ritombolare	essere
ritonare	essere/avere
ritorcersi	essere
ritornare	essere/avere
ritornarsene	essere
ritornarsi	essere
ritrarsi	essere
ritrovarsi	essere
rituffarsi	essere
rituonare	essere/avere
riunificarsi	essere
riunirsi	essere
riusare	essere/avere
riuscire	essere
riuscirsene	essere
rivaccinarsi	essere
rivalersi	essere
rivedersi	essere
rivelarsi	essere
rivenire	essere
riverberare	essere/avere
riverberarsi	essere
rivergognarsi	essere
riversarsi	essere
rivestirsi	essere
rivitalizzarsi	essere
rivivere	essere/avere
rivolare	essere/avere
rivolgersi	essere
rivoltarsi	essere
rizzarsi	essere
robotizzarsi	essere
rodersi	essere
rompersi	essere
rotolare	essere/avere
rotolarsi	essere
rovesciarsi	essere
rovinare	essere/avere
rovinarsi	essere
rubarsi	essere
ruzzolare	essere/avere
saccarificare	essere/avere
sacrificarsi	essere
saettare	essere/avere
saglire	essere/avere
saldarsi	essere
salificare	essere/avere
salire	essere/avere
salpare	essere/avere
saltare	essere/avere
salutarsi	essere
salvaguardarsi	essere
salvarsi	essere
sanarsi	essere
sanguificarsi	essere
sapere	essere/avere
sapersi	essere
saponificare	essere/avere
saporirsi	essere
satollarsi	essere
saziarsi	essere
sbaciucchiarsi	essere
sbagliarsi	essere
sbaldire	essere
sbalordire	essere/avere
sbalordirsi	essere
sbaluginare	essere/avere
sbalzare	essere/avere
sbambagiare	essere
sbancare	essere/avere
sbandare	essere/avere
sbandarsi	essere
sbarazzarsi	essere
sbarbarsi	essere
sbarcare	essere/avere
sbasire	essere
sbattersene	essere
sbattersi	essere
sbattezzarsi	essere
sbaudire	essere
sbavarsi	essere
sbellicarsi	essere
sbiadire	essere/avere
sbiadirsi	essere
sbiancare	essere/avere
sbiascicarsi	essere
sbiellare	essere/avere
sbiettare	essere/avere
sbigottire	essere/avere
sbigottirsi	essere
sbilanciarsi	essere
sbilencare	essere/avere
sbirbarsela	essere
sbisciare	essere
sbizzarrirsi	essere
sbizzire	essere
sbloccarsi	essere
sboccare	essere/avere
sbocciare	essere/avere
sbollentarsi	essere
sbollire	essere/avere
sborniarsi	essere
sbottare	essere
sbottonarsi	essere
sbozzacchire	essere/avere
sbracarsi	essere
sbracciarsi	essere
sbranarsi	essere
sbrancarsi	essere
sbreccarsi	essere
sbrecciarsi	essere
sbriciolarsi	essere
sbrigarsela	essere
sbrigarsi	essere
sbrigliarsi	essere
sbrodolarsi	essere
sbrogliarsi	essere
sbronzarsi	essere
sbucare	essere/avere
sbucciarsi	essere
sbudellarsi	essere
sbugiardarsi	essere
sbullonarsi	essere
scaccolarsi	essere
scadere	essere
scagionarsi	essere
scagliarsi	essere
scalare	essere/avere
scaldarsi	essere
scalducciarsi	essere
scalfirsi	essere
scalmanarsi	essere
scalmarsi	essere
scaltrirsi	essere
scalzarsi	essere
scambiarsi	essere
scamiciarsi	essere
scampare	essere/avere
scandalizzarsi	essere
scannarsi	essere
scansarsi	essere
scaparsi	essere
scapicollarsi	essere
scappare	essere
scappellarsi	essere
scaraventarsi	essere
scardinarsi	essere
scaricare	essere/avere
scarmigliarsi	essere
scassarsi	essere
scatenarsi	essere
scattare	essere/avere
scaturire	essere
scavalcare	essere/avere
scavallare	essere/avere
scazzarsi	essere
scazzottarsi	essere
scegliersi	essere
scemare	essere/avere
scendere	essere/avere
scervellarsi	essere
scheggiare	essere/avere
scheggiarsi	essere
schermirsi	essere
schiacciarsi	essere
schiantare	essere/avere
schiantarsi	essere
schiarire	essere/avere
schiarirsi	essere
schiattare	essere
schierarsi	essere
schifarsi	essere
schiodarsi	essere
schiostrarsi	essere
schiudersi	essere
schizzare	essere/avere
sciacquarsi	essere
scialarsi	essere
sciamare	essere/avere
sciancarsi	essere
sciarrare	essere/avere
scindersi	essere
sciogliersi	essere
scionnarsi	essere
sciorare	essere/avere
sciuparsi	essere
scivolare	essere/avere
sclerotizzarsi	essere
scoccare	essere/avere
scocciarsi	essere
scoglionarsi	essere
scolare	essere/avere
scollacciarsi	essere
scollarsi	essere
scollinare	essere/avere
scolorare	essere/avere
scolorarsi	essere
scolorire	essere/avere
scolorirsi	essere
scolparsi	essere
scommettersi	essere
scomodarsi	essere
scompaginarsi	essere
scompagnarsi	essere
scomparire	essere
scompisciarsi	essere
scomporsi	essere
sconcertarsi	essere
scondizionarsi	essere
sconfinare	essere/avere
sconfortarsi	essere
scongelarsi	essere
sconquassarsi	essere
scontrarsi	essere
sconvenire	essere
sconvolgersi	essere
scoparsi	essere
scoppiare	essere/avere
scoprirsi	essere
scoraggiarsi	essere
scorarsi	essere
scorciare	essere/avere
scorciarsi	essere
scordarsi	essere
scornarsi	essere
scorrere	essere/avere
scorrucciarsi	essere
scorticarsi	essere
scorzarsi	essere
scoscendere	essere/avere
scosciarsi	essere
scostarsi	essere
scottare	essere/avere
scottarsi	essere
screpolare	essere/avere
screpolarsi	essere
screscere	essere
scriversi	essere
scrollarsi	essere
scrosciare	essere/avere
scrostarsi	essere
scuocere	essere/avere
scuotersi	essere
scurire	essere/avere
scurirsi	essere
scusarsi	essere
sdebitarsi	essere
sdegnarsi	essere
sdentarsi	essere
sdigiunarsi	essere
sdilinquire	essere/avere
sdilinquirsi	essere
sdolere	essere
sdoppiarsi	essere
sdraiarsi	essere
sdrucciolare	essere/avere
sdrucirsi	essere
seccare	essere/avere
seccarsi	essere
sedere	essere
sedersi	essere
sedimentare	essere/avere
sedimentarsi	essere
segarsi	essere
segnalarsi	essere
segnarsi	essere
seguire	essere/avere
seguirsi	essere
seguitare	essere/avere
sembiare	essere
semblare	essere
sembrare	essere
sentirsela	essere
sentirsi	essere
separarsi	essere
seppellirsi	essere
serbarsi	essere
serenarsi	essere
serrarsi	essere
servire	essere/avere
servirsi	essere
sfagiolare	essere
sfagliare	essere/avere
sfaldarsi	essere
sfamarsi	essere
sfanfanare	essere/avere
sfangare	essere/avere
sfarinarsi	essere
sfarsi	essere
sfasciarsi	essere
sfebbrare	essere
sfegatarsi	essere
sfiancarsi	essere
sfiatarsi	essere
sfidarsi	essere
sfiduciarsi	essere
sfilacciare	essere/avere
sfilacciarsi	essere
sfilare	essere/avere
sfilarsi	essere
sfinirsi	essere
sfiorarsi	essere
sfiorire	essere
sfociare	essere/avere
sfogare	essere/avere
sfogarsi	essere
sfollare	essere/avere
sfoltirsi	essere
sfondarsi	essere
sfondolare	essere/avere
sformarsi	essere
sforzarsi	essere
sfottersi	essere
sfracellarsi	essere
sfrangersi	essere
sfratarsi	essere
sfrattare	essere/avere
sfrecciare	essere
sfreddarsi	essere
sfregarsi	essere
sfrenarsi	essere
sfrondarsi	essere
sfuggire	essere/avere
sfumare	essere/avere
sganasciarsi	essere
sganciarsi	essere
sgangherarsi	essere
sgattaiolare	essere
sgelarsi	essere
sghiacciare	essere/avere
sgocciolare	essere/avere
sgolarsi	essere
sgomentarsi	essere
sgomitolarsi	essere
sgonfiare	essere/avere
sgonfiarsi	essere
sgorgare	essere/avere
sgradire	essere/avere
sgranchirsi	essere
sgratare	essere
sgravarsi	essere
sgretolarsi	essere
sgrillettarsi	essere
sgualcirsi	essere
sguizzare	essere
sgusciare	essere/avere
sincerarsi	essere
sincronizzarsi	essere
sindacalizzarsi	essere
sintonizzarsi	essere
sistemarsi	essere
situarsi	essere
slabbrare	essere/avere
slabbrarsi	essere
slacciarsi	essere
slamare	essere/avere
slanciarsi	essere
slargarsi	essere
slegarsi	essere
slittare	essere/avere
smagliarsi	essere
smagnetizzarsi	essere
smagrire	essere/avere
smaliziarsi	essere
smaltarsi	essere
smammolarsi	essere
smanicarsi	essere
smantellarsi	essere
smarcarsi	essere
smarrire	essere/avere
smarrirsi	essere
smascellarsi	essere
smascherarsi	essere
smaterializzarsi	essere
smembrarsi	essere
smemorare	essere
smemorarsi	essere
smencire	essere/avere
smentirsi	essere
smerlucciare	essere
sminuire	essere/avere
sminuirsi	essere
smogliarsi	essere
smollicarsi	essere
smonacarsi	essere
smontare	essere/avere
smontarsi	essere
smortire	essere/avere
smorzarsi	essere
smottare	essere/avere
smuoversi	essere
smussarsi	essere
smutandarsi	essere
snaturarsi	essere
snellirsi	essere
snervarsi	essere
snidare	essere/avere
sobbarcarsi	essere
soccorrere	essere/avere
soddisfarsi	essere
soffermarsi	essere
soffiarsi	essere
soffocare	essere/avere
soffocarsi	essere
soffogare	essere/avere
soggiacere	essere
sognarsi	essere
solidificare	essere/avere
solidificarsi	essere
solimare	essere/avere
sollazzarsi	essere
sollevarsi	essere
somigliare	essere/avere
somigliarsi	essere
sommare	essere/avere
sommarsi	essere
sommosciare	essere/avere
sopirsi	essere
sopportarsi	essere
soprabbondare	essere/avere
sopraccorrere	essere
sopraccrescere	essere
sopraelevarsi	essere
sopraggiungere	essere/avere
soprarrivare	essere
sopravanzare	essere/avere
sopravvalutarsi	essere
sopravvenire	essere/avere
sopravvivere	essere
sorare	essere/avere
sorbirsi	essere
sorgere	essere
sorgiungere	essere/avere
sormontare	essere/avere
sorprendersi	essere
sorridersi	essere
sortire	essere/avere
sorvenire	essere
sostantivarsi	essere
sostanziarsi	essere
sostenersi	essere
sostentarsi	essere
sostituirsi	essere
sottentrare	essere
sottogiacere	essere
sottomettersi	essere
sottoporsi	essere
sottostare	essere
sottovalutarsi	essere
sottrarsi	essere
sovrabbondare	essere/avere
sovraccaricarsi	essere
sovraffaticarsi	essere
sovraggiungere	essere/avere
sovrapporsi	essere
sovrastare	essere/avere
sovvenire	essere/avere
spaccarsi	essere
spacciarsi	essere
spalancarsi	essere
spallarsi	essere
spalleggiarsi	essere
spalmarsi	essere
spanciarsi	essere
spandersi	essere
spaparacchiarsi	essere
spaparanzarsi	essere
spappolarsi	essere
spararsi	essere
sparere	essere
spargersi	essere
sparire	essere
sparpagliarsi	essere
spartirsi	essere
spassarsela	essere
spassarsi	essere
spaurarsi	essere
spaurirsi	essere
spaventarsi	essere
spawnare	essere
spaziarsi	essere
spazientire	essere/avere
spazientirsi	essere
spazzolarsi	essere
specchiarsi	essere
specializzarsi	essere
spedirsi	essere
spegnersi	essere
spelagare	essere/avere
spelagarsi	essere
spelarsi	essere
spellarsi	essere
spendersi	essere
spengersi	essere
spennarsi	essere
spenzolarsi	essere
spericolarsi	essere
spersonalizzarsi	essere
sperticarsi	essere
spessire	essere/avere
spettare	essere
spettinarsi	essere
spezzarsi	essere
spiaccicarsi	essere
spiacere	essere
spiacersi	essere
spiaggiare	essere/avere
spianarsi	essere
spicciare	essere/avere
spicciarsi	essere
spiccicarsi	essere
spiegarsi	essere
spiegazzarsi	essere
spiemontizzarsi	essere
spigare	essere/avere
spigionarsi	essere
spillare	essere/avere
spingersi	essere
spiovere	essere/avere
spirare	essere/avere
spogliarsi	essere
spolmonarsi	essere
spoltrirsi	essere
spopolarsi	essere
sporcarsi	essere
sporgere	essere/avere
sporgersi	essere
sposarsi	essere
spostarsi	essere
spregiudicarsi	essere
spremersi	essere
spretarsi	essere
sprigionarsi	essere
sprizzare	essere/avere
sprofondare	essere/avere
sprofondarsi	essere
sprovarsi	essere
spuleggiare	essere
spulezzare	essere
spuntare	essere/avere
squagliarsela	essere
squagliarsi	essere
squarciarsi	essere
squilibrarsi	essere
sradicarsi	essere
stabilirsi	essere
stabilizzarsi	essere
staccarsi	essere
staffarsi	essere
stagionare	essere/avere
stagionarsi	essere
stagliarsi	essere
stallare	essere/avere
stamparsi	essere
stancarsi	essere
stanziarsi	essere
stare	essere
starsene	essere
starsi	essere
stasarsi	essere
stecchire	essere/avere
stemperarsi	essere
stempiarsi	essere
stendersi	essere
stillare	essere/avere
stimarsi	essere
stingere	essere/avere
stingersi	essere
stiparsi	essere
stiracchiarsi	essere
stirarsi	essere
stizzare	essere/avere
stizzire	essere/avere
stizzirsi	essere
stomacarsi	essere
storcersi	essere
stordire	essere/avere
stordirsi	essere
storpiarsi	essere
strabalzare	essere/avere
strabattersene	essere
strabiliarsi	essere
straboccare	essere/avere
stracciarsi	essere
strafarsi	essere
strafogarsi	essere
strafottersene	essere
strafregarsene	essere
stramazzare	essere/avere
strangolarsi	essere
strapparsi	essere
straripare	essere/avere
strascicarsi	essere
strascinarsi	essere
stratificarsi	essere
strattonarsi	essere
stravaccarsi	essere
striarsi	essere
striminzirsi	essere
strinarsi	essere
stringersi	essere
strisciarsi	essere
strofinarsi	essere
stropicciarsene	essere
stropicciarsi	essere
strozzarsi	essere
struccarsi	essere
struggersi	essere
strusciarsi	essere
strutturarsi	essere
studiarsi	essere
stufarsi	essere
stupefare	essere/avere
stupefarsi	essere
stupire	essere/avere
stupirsi	essere
stuzzicarsi	essere
subentrare	essere
subirsi	essere
subissare	essere/avere
sublimare	essere/avere
subsistere	essere
succedere	essere
succedersi	essere
succhiarsi	essere
sudarsi	essere
suddividersi	essere
suggerirsi	essere
suggestionarsi	essere
suicidarsi	essere
suonare	essere/avere
superarsi	essere
suppurare	essere/avere
surgelarsi	essere
surgere	essere
surriscaldarsi	essere
surrogarsi	essere
susseguire	essere
susseguirsi	essere
sussistere	essere
sussurrarsi	essere
svaccarsi	essere
svagarsi	essere
svalutarsi	essere
svampire	essere
svanire	essere
svaporare	essere
svariare	essere/avere
svegliarsi	essere
svelarsi	essere
svelenirsi	essere
svenarsi	essere
svendersi	essere
svenire	essere
svestirsi	essere
sviarsi	essere
svicolare	essere/avere
svignare	essere
svignarsela	essere
svigorirsi	essere
svillaneggiarsi	essere
svilupparsi	essere
svincolarsi	essere
svolgersi	essere
svuotarsi	essere
tagliarsi	essere
talentare	essere
tallire	essere/avere
tapparsi	essere
tardare	essere/avere
tarlare	essere/avere
tarlarsi	essere
tarmare	essere/avere
tarmarsi	essere
tassarsi	essere
tediarsi	essere
telare	essere
telecopiarsi	essere
telefonarsi	essere
teletrasportarsi	essere
temersi	essere
temperarsi	essere
tenersi	essere
tepefarsi	essere
terminare	essere/avere
tesserarsi	essere
tingersi	essere
tintinnare	essere/avere
tirarsela	essere
tirarsi	essere
toccarsi	essere
togliersi	essere
tomare	essere/avere
tombolare	essere
tonare	essere/avere
tonchiare	essere
tondeggiare	essere/avere
tonfare	essere/avere
torcere	essere/avere
torcersi	essere
tormentarsi	essere
tornare	essere/avere
tornarsene	essere
tornarsi	essere
torturarsi	essere
toscanizzarsi	essere
trabaltare	essere
traboccare	essere/avere
trabucarsi	essere
trabuccare	essere/avere
tracollare	essere
tradirsi	essere
tradursi	essere
trafiggersi	essere
tralignare	essere/avere
trambasciare	essere
tramontare	essere
tramortire	essere/avere
tramutarsi	essere
tranquillare	essere/avere
tranquillarsi	essere
tranquillizzarsi	essere
transandare	essere/avere
transandarsi	essere
transcendere	essere/avere
transcorrere	essere/avere
transfluire	essere
transire	essere
transitare	essere
transumanare	essere
transumare	essere/avere
transustanziarsi	essere
trapassare	essere/avere
trapelare	essere/avere
trarsi	essere
trarupare	essere
trasalire	essere/avere
trasandare	essere/avere
trasandarsi	essere
trasbordare	essere/avere
trascendere	essere/avere
trascinarsi	essere
trascolorare	essere/avere
trascolorarsi	essere
trascorrere	essere/avere
trascurarsi	essere
trasecolare	essere/avere
trasferirsi	essere
trasfigurarsi	essere
trasformarsi	essere
traslocarsi	essere
trasmettersi	essere
trasmigrare	essere/avere
trasmutarsi	essere
trasparere	essere
trasparire	essere
traspirare	essere/avere
trasportarsi	essere
trastullarsi	essere
trasudare	essere/avere
trasumanare	essere
trasvolare	essere/avere
trattarsi	essere
trattenersi	essere
travagliarsi	essere
travestirsi	essere
traviarsi	essere
trincerarsi	essere
triplicarsi	essere
trovarsi	essere
truccarsi	essere
tuffarsi	essere
tumefarsi	essere
tuonare	essere/avere
turarsi	essere
turbarsi	essere
tutelarsi	essere
ubriacarsi	essere
uccidersi	essere
ulcerarsi	essere
umanarsi	essere
umanizzarsi	essere
umiliarsi	essere
ungersi	essere
uniformarsi	essere
unirsi	essere
universalizzarsi	essere
uprire	essere
urtarsi	essere
usare	essere/avere
usarsi	essere
uscire	essere
uscirne	essere
uscirsene	essere
ustionarsi	essere
usurarsi	essere
vacare	essere/avere
vaccinarsi	essere
vagare	essere/avere
vagheggiarsi	essere
vaiare	essere
vaiolare	essere
valere	essere/avere
valersi	essere
valorizzarsi	essere
valutarsi	essere
vanagloriarsi	essere
vanire	essere
vantarsi	essere
vaporare	essere/avere
vaporizzarsi	essere
varcare	essere/avere
vedersela	essere
vedersi	essere
velarsi	essere
velocizzarsi	essere
vendersi	essere
vendicarsi	essere
venire	essere
venirne	essere
venirsene	essere
vergognarsi	essere
verificarsi	essere
verminare	essere/avere
versare	essere/avere
versarsi	essere
vestirsi	essere
vetrificare	essere/avere
vetrificarsi	essere
vezzeggiarsi	essere
vienire	essere
vigorire	essere/avere
vincersi	essere
visitarsi	essere
vivere	essere/avere
viversi	essere
vivificarsi	essere
volare	essere/avere
volatilizzare	essere/avere
volatilizzarsi	essere
volercene	essere
volerci	essere
volere	essere/avere
volersi	essere
volgere	essere/avere
volgersi	essere
voltarsi	essere
voltolarsi	essere
votarsi	essere
vuotarsi	essere
zampillare	essere/avere
zittirsi	essere
zompare	essere/avere
zoppare	essere
