# lemma	auxiliary (default: avere)
attribuirsi	essere
attrupparsi	essere
attuarsi	essere
attutirsi	essere
augurarsi	essere
aumentare	essere/avere
aumentarsi	essere
aunarsi	essere
ausarsi	essere
auspicarsi	essere
autenticarsi	essere
autoaccusarsi	essere
autoadempiersi	essere
autoaffondarsi	essere
autoalimentarsi	essere
autoassemblarsi	essere
autoassolversi	essere
autoavverarsi	essere
autocandidarsi	essere
autocensurarsi	essere
autocitarsi	essere
autocommiserarsi	essere
autocontraddirsi	essere
autocontrarsi	essere
autocontrollarsi	essere
autoconvincersi	essere
autodefinirsi	essere
autodenunciarsi	essere
autodeterminarsi	essere
autodichiararsi	essere
autodistruggersi	essere
autoeccitarsi	essere
autoescludersi	essere
autoesiliarsi	essere
autofinanziarsi	essere
autogestirsi	essere
autogiustificarsi	essere
autogovernarsi	essere
autoimmolarsi	essere
autoimporsi	essere
autoincensarsi	essere
autoinfliggersi	essere
autointersecarsi	essere
autoinvitarsi	essere
autolesionarsi	essere
autolimitarsi	essere
automedicarsi	essere
automotivarsi	essere
autonominarsi	essere
autoproclamarsi	essere
autopromuoversi	essere
autoproteggersi	essere
autopubblicizzarsi	essere
autorealizzarsi	essere
autoregolamentarsi	essere
autoregolarsi	essere
autoripararsi	essere
autorizzarsi	essere
autosospendersi	essere
autosostenersi	essere
autosuggestionarsi	essere
autotassarsi	essere
autotrattarsi	essere
avanzare	essere/avere
avanzarsi	essere
avariarsi	essere
aversela	essere
avvalersi	essere
avvallare	essere/avere
avvallarsi	essere
avvampare	essere/avere
avvantaggiarsi	essere
avvanzare	essere
avvedersi	essere
avvelenarsi	essere
avvenire	essere
avventarsi	essere
avventurarsi	essere
avverarsi	essere
avvezzarsi	essere
avviarsi	essere
avvicendarsi	essere
avvicinarsi	essere
avvilirsi	essere
avvilupparsi	essere
avvinazzarsi	essere
avvincersi	essere
avvinghiarsi	essere
avvisarsi	essere
avvitarsi	essere
avviticchiarsi	essere
avvivarsi	essere
avvizzire	essere/avere
avvolgersi	essere
avvoltolarsi	essere
azzardarsi	essere
azzimarsi	essere
azzoppare	essere/avere
azzopparsi	essere
azzoppirsi	essere
azzuffarsi	essere
azzurrarsi	essere
bacare	essere/avere
bacarsi	essere
baciarsi	essere
badarsi	essere
bagnarsi	essere
balenare	essere/avere
baloccarsi	essere
baluginare	essere
balzare	essere
barcamenarsi	essere
bardarsi	essere
barricarsi	essere
basarsi	essere
basire	essere
bastare	essere
bastonarsi	essere
battersela	essere
battersi	essere
battezzarsi	essere
battibeccarsi	essere
bearsi	essere
beccarsi	essere
becchettarsi	essere
beffarsi	essere
bendarsi	essere
bersela	essere
bersi	essere
bianchire	essere/avere
biasimarsi	essere
biforcarsi	essere
bilanciarsi	essere
biodegradarsi	essere
bipartirsi	essere
bisognare	essere
bisticciarsi	essere
bloccarsi	essere
boriarsi	essere
brinare	essere/avere
bruciacchiarsi	essere
bruciare	essere/avere
bruciarsi	essere
bucarsi	essere
bufare	essere
burlarsi	essere
buscarsi	essere
buttare	essere/avere
buttarsi	essere
cacarsi	essere
cacciarsi	essere
cadere	essere
caducarsi	essere
cagarsi	essere
cagliare	essere/avere
calare	essere/avere
calarsi	essere
calcificare	essere/avere
calcificarsi	essere
calcolarsi	essere
calmarsi	essere
calzare	essere/avere
cambiare	essere/avere
cambiarsi	essere
campare	essere/avere
camuffarsi	essere
cancellarsi	essere
cancerizzarsi	essere
candidarsi	essere
cangiare	essere/avere
capacitare	essere/avere
capacitarsi	essere
capirsi	essere
capitare	essere
capitombolare	essere
capovolgersi	essere
capovoltarsi	essere
caratterizzarsi	essere
carbonizzare	essere/avere
carbonizzarsi	essere
carezzarsi	essere
cariarsi	essere
caricarsi	essere
cascarci	essere
cascare	essere
cascolare	essere
catapultarsi	essere
cautelarsi	essere
cavarsela	essere
cavarsi	essere
cazzottarsi	essere
celarsi	essere
cementarsi	essere
centuplicarsi	essere
cercarsela	essere
cercarsi	essere
cessare	essere/avere
chetarsi	essere
chiamarsi	essere
chiarire	essere/avere
chiarirsi	essere
chiedersi	essere
chilificare	essere/avere
chimificare	essere/avere
chinarsi	essere
chiudersi	essere
cibarsi	essere
cicatrizzare	essere/avere
cicatrizzarsi	essere
cimentarsi	essere
cincinnarsi	essere
circolare	essere/avere
circoncidersi	essere
circondarsi	essere
circonfluire	essere/avere
circulare	essere/avere
citarsi	essere
ciucciarsi	essere
classificarsi	essere
cloroformizzare	essere/avere
coagularsi	essere
coalizzarsi	essere
coccolarsi	essere
coesistere	essere
colare	essere/avere
collassare	essere/avere
collegarsi	essere
collocarsi	essere
colluttarsi	essere
colorarsi	essere
colorirsi	essere
colpevolizzarsi	essere
colpirsi	essere
combattersi	essere
combinarsi	essere
cominciare	essere/avere
commiserarsi	essere
commuoversi	essere
comparire	essere
compatirsi	essere
compattarsi	essere
compenetrarsi	essere
compensarsi	essere
compiacersi	essere
compiangersi	essere
compiersi	essere
compire	essere/avere
completarsi	essere
complicarsi	essere
complimentarsi	essere
comporsi	essere
comportarsi	essere
comprarsi	essere
comprendersi	essere
compromettersi	essere
compungersi	essere
comunicarsi	essere
concedersi	essere
concentrarsi	essere
concepirsi	essere
concertarsi	essere
conciliarsi	essere
concludersi	essere
concrescere	essere
concretarsi	essere
concretizzarsi	essere
condannarsi	essere
condensarsi	essere
condolersi	essere
condursi	essere
confarsi	essere
confederarsi	essere
conferirsi	essere
confermarsi	essere
confessarsi	essere
confidarsi	essere
configurarsi	essere
confinarsi	essere
conflagrare	essere
confluire	essere/avere
confondersi	essere
conformarsi	essere
confortarsi	essere
confrontarsi	essere
congedarsi	essere
congelarsi	essere
congiungersi	essere
conglutinarsi	essere
congratularsi	essere
congregarsi	essere
coniugarsi	essere
connaturarsi	essere
connettersi	essere
conoscersi	essere
conquistarsi	essere
consacrarsi	essere
consapevolizzarsi	essere
consegnarsi	essere
conseguire	essere/avere
consentirsi	essere
conservarsi	essere
considerarsi	essere
consigliarsi	essere
consistere	essere
consociarsi	essere
consolarsi	essere
consolidarsi	essere
consorziarsi	essere
constare	essere
consultarsi	essere
consumarsi	essere
contaminarsi	essere
contarsela	essere
contarsi	essere
contattarsi	essere
contemplarsi	essere
contendersi	essere
contenersi	essere
contentarsi	essere
continuare	essere/avere
contorcersi	essere
contornarsi	essere
contraddirsi	essere
contraddistinguersi	essere
contraffarsi	essere
contrappesare	essere/avere
contrappesarsi	essere
contrapporsi	essere
contrariarsi	essere
contrarsi	essere
contravvalere	essere/avere
contristarsi	essere
controllarsi	essere
convenire	essere/avere
convenirsi	essere
convenzionarsi	essere
convergere	essere/avere
convertirsi	essere
convincersi	essere
convivere	essere/avere
convolare	essere
coordinarsi	essere
copiarsi	essere
coprirsi	essere
corazzarsi	essere
coricarsi	essere
cornarsi	essere
correggersi	essere
corrercene	essere
correre	essere/avere
corrersi	essere
corrispondersi	essere
corrodersi	essere
corrompersi	essere
corrucciarsi	essere
corrugarsi	essere
cospargersi	essere
costare	essere
costernarsi	essere
costicchiare	essere/avere
costituirsi	essere
costringersi	essere
costruirsi	essere
crashare	essere
crearsi	essere
credersi	essere
crepare	essere
creparsi	essere
crescere	essere/avere
