# Norwegian Bokmål mined principal parts. Columns: lemma, present, past, past_participle, imperative, present_participle, present_passive.
# '-' = the productive default in src/nob.rs; '|' separates variants.
dekontaminere	-	dekontaminerte	dekontaminert	-	-	-
dekorere	-	dekorerte	dekorert	-	-	-
dele	-	delte	delt	-	-	-
delegere	-	delegerte	delegert	-	-	-
delta	-	deltok	deltatt	-	deltakende	-
demilitarisere	-	demilitariserte	demilitarisert	-	-	-
demme	-	-	-	dem	-	-
demonisere	-	demoniserte	demonisert	-	-	-
demonstrere	-	demonstrerte	demonstrert	-	-	-
demontere	-	demonterte	demontert	-	-	-
demoralisere	-	demoraliserte	demoralisert	-	-	-
denotere	-	denoterte	denotert	-	-	-
deponere	-	deponerte	deponert	-	-	-
deportere	-	deporterte	deportert	-	-	-
derivere	-	deriverte	derivert	-	-	-
desarmere	-	desarmerte	desarmert	-	-	-
desensitivisere	-	desensitiviserte	desensitivisert	-	-	-
desentralisere	-	desentraliserte	desentralisert	-	-	-
desertere	-	deserterte	desertert	-	-	-
desillusjonere	-	desillusjonerte	desillusjonert	-	-	-
desinfisere	-	desinfiserte	desinfisert	-	-	-
destabilisere	-	destabiliserte	destabilisert	-	-	-
destillere	-	destillerte	destillert	-	-	-
destruere	-	destruerte	destruert	-	-	-
detektere	-	detekterte	detektert	-	-	-
detonere	-	detonerte	detonert	-	-	-
diagnostisere	-	diagnostiserte	diagnostisert	-	-	-
die	-	dia|diet	dia|diet	di	-	-
differensiere	-	differensierte	differensiert	-	-	-
diffundere	-	diffunderte	diffundert	-	-	-
digitalisere	-	digitaliserte	digitalisert	-	-	-
diktere	-	dikterte	diktert	-	-	-
dimensjonere	-	dimensjonerte	dimensjonert	-	-	-
dirigere	-	dirigerte	dirigert	-	-	-
diskriminere	-	diskriminerte	diskriminert	-	-	-
diskutere	-	diskuterte	diskutert	-	-	-
diskvalifisere	-	diskvalifiserte	diskvalifisert	-	-	-
disponere	-	disponerte	disponert	-	-	-
dissekere	-	dissekerte	dissekert	-	-	-
dissosiere	-	dissosierte	dissosiert	-	-	-
distansere	-	distanserte	distansert	-	-	-
distrahere	-	distraherte	distrahert	-	-	-
distribuere	-	distribuerte	distribuert	-	-	-
divergere	-	divergerte	divergert	-	-	-
diversifisere	-	diversifiserte	diversifisert	-	-	-
dividere	-	dividerte	dividert	-	-	-
dokumentere	-	dokumenterte	dokumentert	-	-	-
domestisere	-	domestiserte	domestisert	-	-	-
dominere	-	dominerte	dominert	-	-	-
donere	-	donerte	donert	-	-	-
dra	-	dro|drog	dradd|dratt	-	dragende	-
drage	-	dro|drog	-	-	-	-
dramatisere	-	dramatiserte	dramatisert	-	-	-
dreie	-	dreia|dreide|dreiet	dreia|dreid|dreiet	drei	-	-
drenere	-	drenerte	drenert	-	-	-
drepe	-	drepte	drept	-	-	-
drikke	-	drakk	drukket	-	-	-
drite	-	dreit|dret	-	-	-	-
drive	-	dreiv|drev	drevet	-	-	-
drømme	-	drømte	drømt	drøm	-	-
drøse	-	drøste	drøst	-	-	-
due	-	duet	duet	du	-	-
dypfryse	-	dypfrøs	dypfrosset	-	-	-
dømme	-	dømte	dømt	døm	-	-
døpe	-	døpte	døpt	-	-	-
effektivisere	-	effektiviserte	effektivisert	-	-	-
eie	-	eide|eiet|åtte	eid|eiet|ått	ei	-	-
ejakulere	-	ejakulerte	ejakulert	-	-	-
eksaminere	-	eksaminerte	eksaminert	-	-	-
eksemplifisere	-	eksemplifiserte	eksemplifisert	-	-	-
eksistere	-	eksisterte	eksistert	-	-	-
eksitere	-	eksiterte	eksitert	-	-	-
ekskludere	-	ekskluderte	ekskludert	-	-	-
ekspandere	-	ekspanderte	ekspandert	-	-	-
eksperimentere	-	eksperimenterte	eksperimentert	-	-	-
eksploatere	-	eksploaterte	eksploatert	-	-	-
eksplodere	-	eksploderte	eksplodert	-	-	-
eksponere	-	eksponerte	eksponert	-	-	-
eksportere	-	eksporterte	eksportert	-	-	-
ekstrahere	-	ekstraherte	ekstrahert	-	-	-
eldes	-	eldedes	eldes	-	-	-
elektrifisere	-	elektrifiserte	elektrifisert	-	-	-
eliminere	-	eliminerte	eliminert	-	-	-
embarkere	-	embarkerte	embarkert	-	-	-
emigrere	-	emigrerte	emigrert	-	-	-
emittere	-	emitterte	emittert	-	-	-
ende	-	endte	endt	-	-	-
engasjere	-	engasjerte	engasjert	-	-	-
erfare	-	erfarte	erfart	-	-	-
erigere	-	erigerte	erigert	-	-	-
erkjenne	-	erkjente	erkjent	-	-	-
erklære	-	erklærte	erklært	-	-	-
erodere	-	eroderte	erodert	-	-	-
eskalere	-	eskalerte	eskalert	-	-	-
estimere	-	estimerte	estimert	-	-	-
etablere	-	etablerte	etablert	-	-	-
ete	-	åt	ett	-	-	-
etterfylle	-	etterfylte	etterfylt	-	-	-
etterfølge	-	etterfulgte	etterfulgt	-	-	-
etterlate	-	etterlot	etterlatt	-	-	-
etterleve	-	etterlevde	etterlevd	-	-	-
etterse	-	etterså	ettersett	etterse	-	-
evakuere	-	evakuerte	evakuert	-	-	-
evaluere	-	evaluerte	evaluert	-	-	-
fabrikkere	-	fabrikkerte	fabrikkert	-	-	-
falle	-	falt	falt	-	-	-
fantasere	-	fantaserte	fantasert	-	-	-
fare	-	for	fart	-	-	-
fargelegge	-	fargela	fargelagt	-	-	-
fascinere	-	fascinerte	fascinert	-	-	-
fasinere	-	fasinerte	fasinert	-	-	-
fastlegge	-	fastla	fastlagt	-	-	-
fastsette	-	fastsatte	fastsatt	-	-	-
fastslå	-	fastslo	fastslått	-	-	-
fattes	-	fattedes	-	-	-	-
favorisere	-	favoriserte	favorisert	-	-	-
feie	-	feia|feide|feiet	feia|feid|feiet	fei	-	-
felle	-	felte	felt	-	-	-
ferdes	-	ferdedes	ferdes	-	-	-
ferdigstille	-	ferdigstilte	ferdigstilt	-	-	-
feriere	-	ferierte	feriert	-	-	-
fiksjonalisere	-	fiksjonaliserte	fiksjonalisert	-	-	-
filetere	-	fileterte	filetert	-	-	-
filmatisere	-	filmatiserte	filmatisert	-	-	-
filosofere	-	filosoferte	filosofert	-	-	-
filtrere	-	filtrerte	filtrert	-	-	-
finansiere	-	finansierte	finansiert	-	-	-
finjustere	-	finjusterte	finjustert	-	-	-
finne	-	fant	funnet	-	-	-
finnes	-	fans|fantes	funnes	-	-	-
fise	-	feis|fes|fiste	feset|fist	-	-	-
fjernstyre	-	fjernstyrte	fjernstyrt	-	-	-
flamme	-	-	-	flam	-	-
flankere	-	flankerte	flankert	-	-	-
flokkes	-	flokkedes|floktes	-	-	-	-
flombelyse	-	flombelyste	flombelyst	-	-	-
flomme	-	-	-	flom	-	-
fluktuere	-	fluktuerte	fluktuert	-	-	-
fly	-	fløy	flydd|fløyet	-	-	-
flyge	-	fløy	fløyet	-	-	-
flyte	-	fløt|fløyt	flytt	-	-	-
flå	-	flådde	flådd	-	-	-
fokusere	-	fokuserte	fokusert	-	-	-
forbeholde	-	forbeholdt	forbeholdt	-	-	-
forberede	-	forberedte	forberedt	-	-	-
forbigå	-	forbigikk	forbigått	-	-	-
forbinde	-	forbandt	forbundet	-	-	-
forbli	-	forble|forblei	forblitt	-	forblivende	-
forblø	-	forblødde	forblødd	-	-	-
forbrenne	-	forbrant	forbrent	-	-	-
forbruke	-	forbrukte	forbrukt	-	-	-
forby	-	forbydde|forbød|forbøy	forbudt|forbydd	-	-	-
fordele	-	fordelte	fordelt	-	-	-
fordra	-	-	-	-	fordragende	-
fordrive	-	fordreiv|fordrev	fordrevet	-	-	-
fordømme	-	fordømte	fordømt	fordøm	-	-
fordøye	-	fordøya|fordøyde|fordøyet	fordøya|fordøyd|fordøyet	fordøy	-	-
foregripe	-	foregreip|foregrep	foregrepet	-	-	-
foregå	-	foregikk	foregått	-	-	-
forekomme	-	forekom	-	-	-	-
foreldes	-	foreldedes	foreldes	-	-	-
forelegge	-	forela	forelagt	-	-	-
foreligge	-	forelå	-	-	-	-
foreskrive	-	foreskreiv|foreskrev	foreskrevet	-	-	-
foreslå	-	foreslo	foreslått	-	-	-
forespørre	forespør	forespurte	forespurt	forespør	-	-
forestille	-	forestilte	forestilt	-	-	-
forestå	-	foresto|forestod	forestått	-	-	-
foreta	-	foretok	foretatt	-	foretakende	-
foretrekke	-	foretrakk	foretrukket	-	-	-
