# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
unpay	unpaid	unpaid	-	-
unpeg	unpegged	unpegged	unpegging	-
unpen	unpenned	unpenned	unpenning	-
unpin	unpinned	unpinned	unpinning	-
unplug	unplugged	unplugged	unplugging	-
unprop	unpropped	unpropped	unpropping	-
unrig	unrigged	unrigged	unrigging	-
unrip	unripped	unripped	unripping	-
unsay	unsaid	unsaid	-	-
unsell	unsold	unsold	-	-
unset	unset	unset	unsetting	-
unshed	unshed	unshed	unshedding	-
unship	unshipped	unshipped	unshipping	-
unshut	unshut	unshut	unshutting	-
unsling	unslung	unslung	-	-
unsnag	unsnagged	unsnagged	unsnagging	-
unsnap	unsnapped	unsnapped	unsnapping	-
unspar	unsparred	unsparred	unsparring	-
unspeak	unspoke	unspoken	-	-
unstep	unstepped	unstepped	unstepping	-
unstick	unstuck	unstuck	-	-
unstop	unstopped	unstopped	unstopping	-
unstrap	unstrapped	unstrapped	unstrapping	-
unstrip	unstripped	unstripped	unstripping	-
unswear	unswore	unsworn	-	-
unteach	untaught	untaught	-	-
unthink	unthought	unthought	-	-
untin	untinned	untinned	untinning	-
untread	untrod	untrod	-	-
untrim	untrimmed	untrimmed	untrimming	-
unweave	-	unwoven	-	-
unwind	unwound	unwound	-	-
unwit	unwitted	unwitted	unwitting	-
unwrap	unwrapped	unwrapped	unwrapping	-
unwrite	unwrote	unwritten	-	-
unzip	unzipped	unzipped	unzipping	-
up	upped	upped	upping	-
upbear	upbore	upborne	-	-
upbind	upbound	upbound	-	-
upblow	-	upblown	-	-
upbreak	upbroke	upbroken	-	-
upbuild	upbuilt	upbuilt	-	-
upcatch	upcaught	upcaught	-	-
upcome	-	upcome	-	-
updrag	updragged	updragged	updragging	-
updraw	updrew	updrawn	-	-
upfling	upflung	upflung	-	-
upgrow	upgrew	upgrown	-	-
uphang	uphung	uphung	-	-
uphold	upheld	upheld	-	-
upjet	upjetted	upjetted	upjetting	-
upknit	upknitted	upknitted	upknitting	-
uplay	uplaid	uplaid	-	-
uplead	upled	upled	-	-
uppercut	uppercut	uppercut	uppercutting	-
upprop	uppropped	uppropped	uppropping	-
uprise	uprose	uprisen	-	-
uprun	upran	uprun	uprunning	-
upsend	upsent	upsent	-	-
upset	upset	upset	upsetting	-
upshoot	upshot	upshot	-	-
upspeak	upspoke	upspoken	-	-
upspring	upsprang	upsprung	-	-
upstand	upstood	upstood	-	-
upstep	upstepped	upstepped	upstepping	-
upstir	upstirred	upstirred	upstirring	-
upsweep	upswept	upswept	-	-
upswing	upswung	upswung	-	-
uptear	-	uptorn	-	-
upthrow	upthrew	upthrown	-	-
vac	vacked	vacked	vacking	-
van	vanned	vanned	vanning	-
vat	vatted	vatted	vatting	-
veg	vegged	vegged	vegging	veges
velcro	-	-	-	velcros
venge	-	-	venging	-
verbal	verballed	verballed	verballing	-
vet	vetted	vetted	vetting	-
voodoo	-	-	-	voodoos
vowel	vowelled	vowelled	vowelling	-
wad	wadded	wadded	wadding	-
wadset	wadsetted	wadsetted	wadsetting	-
wag	wagged	wagged	wagging	-
wake	woke	waked	-	-
wan	wanned	wanned	wanning	-
wap	wapped	wapped	wapping	-
war	warred	warred	warring	-
watchdog	watchdogged	watchdogged	watchdogging	-
waterlog	waterlogged	waterlogged	waterlogging	-
waylay	waylaid	waylaid	-	-
wear	wore	worn	-	-
weatherstrip	weatherstripped	weatherstripped	weatherstripping	-
weave	-	woven	-	-
web	webbed	webbed	webbing	-
webcast	webcast	webcast	-	-
wed	wed	wed	wedding	-
weep	wept	wept	-	-
wet	wet	wet	wetting	-
wham	whammed	whammed	whamming	-
whap	whapped	whapped	whapping	-
wheenge	-	-	wheenging	-
whet	whetted	whetted	whetting	-
whid	whidded	whidded	whidding	-
whig	whigged	whigged	whigging	-
whim	whimmed	whimmed	whimming	-
whip	whipped	whipped	whipping	-
whir	whirred	whirred	whirring	-
whirligig	whirligigged	whirligigged	whirligigging	-
whisker	-	-	whiskerring	-
whistlestop	whistlestopped	whistlestopped	whistlestopping	-
whiz	whizzed	whizzed	whizzing	whizzes
whop	whopped	whopped	whopping	-
whup	whupped	whupped	whupping	-
wig	wigged	wigged	wigging	-
wigwag	wigwagged	wigwagged	wigwagging	-
wildcat	wildcatted	wildcatted	wildcatting	-
win	won	won	winning	-
winterfeed	winterfed	winterfed	-	-
wiredraw	wiredrew	wiredrawn	-	-
wiretap	wiretapped	wiretapped	wiretapping	-
wis	wissed	wissed	wissing	-
withdraw	withdrew	withdrawn	-	-
withhold	withheld	withheld	-	-
withstand	withstood	withstood	-	-
won	wonned	wonned	wonning	-
wongi	-	-	-	wongies
woo	-	-	-	woos
woodcut	woodcut	woodcut	woodcutting	-
woodshed	woodshedded	woodshedded	woodshedding	-
wop	wopped	wopped	wopping	-
wot	wotted	wotted	wotting	-
wrap	wrapped	wrapped	wrapping	-
wring	wrung	wrung	-	-
write	wrote	written	-	-
wud	wudded	wudded	wudding	-
yak	yakked	yakked	yakking	-
yap	yapped	yapped	yapping	-
yelloch	-	-	-	yellochs
yen	yenned	yenned	yenning	-
yip	yipped	yipped	yipping	-
yok	yokked	yokked	yokking	-
yuk	yukked	yukked	yukking	-
zag	zagged	zagged	zagging	-
zap	zapped	zapped	zapping	-
zen	zenned	zenned	zenning	-
zig	zigged	zigged	zigging	-
zigzag	zigzagged	zigzagged	zigzagging	-
zip	zipped	zipped	zipping	-
ziz	zizzed	zizzed	zizzing	zizzes
