# lemma	past	past-participle	present-participle	third-singular ("-" = derive)
drug	drugged	drugged	drugging	-
drum	drummed	drummed	drumming	-
drumbeat	drumbeat	drumbeat	-	-
dub	dubbed	dubbed	dubbing	-
duet	duetted	duetted	duetting	-
dun	dunned	dunned	dunning	-
dup	dupped	dupped	dupping	-
earwig	earwigged	earwigged	earwigging	-
eat	ate	eaten	-	-
eavesdrop	eavesdropped	eavesdropped	eavesdropping	-
egotrip	egotripped	egotripped	egotripping	-
electro	-	-	-	electros
embar	embarred	embarred	embarring	-
embed	embedded	embedded	embedding	-
embus	embussed	embussed	embussing	embusses
emit	emitted	emitted	emitting	-
employe	-	-	employing	-
enfreeze	enfroze	enfrozen	-	-
englut	englutted	englutted	englutting	-
enrol	enrolled	enrolled	enrolling	-
enthral	enthralled	enthralled	enthralling	-
entrammel	entrammelled	entrammelled	entrammelling	-
entrap	entrapped	entrapped	entrapping	-
enwrap	enwrapped	enwrapped	enwrapping	-
equip	equipped	equipped	equipping	-
estop	estopped	estopped	estopping	-
estrange	-	-	estranging	-
excel	excelled	excelled	excelling	-
exchange	-	-	exchanging	-
expel	expelled	expelled	expelling	-
expunge	-	-	expunging	-
extol	extolled	extolled	extolling	-
fag	fagged	fagged	fagging	-
fall	fell	fallen	-	-
fan	fanned	fanned	fanning	-
farebeat	farebeat	farebeat	-	-
fat	fatted	fatted	fatting	-
featherbed	featherbedded	featherbedded	featherbedding	-
feed	fed	fed	-	-
feel	felt	felt	-	-
fes	fessed	fessed	fessing	fesses
fet	-	-	fetting	-
fib	fibbed	fibbed	fibbing	-
fieldstrip	fieldstripped	fieldstripped	fieldstripping	-
fig	figged	figged	figging	-
fight	fought	fought	-	-
filmset	filmset	filmset	filmsetting	-
fin	finned	finned	finning	-
find	found	found	-	-
finedraw	-	finedrawn	-	-
fines	finessed	finessed	finessing	finesses
fir	-	-	firring	-
firefight	firefought	firefought	-	-
fit	fit	fit	fitting	-
fiz	fizzed	fizzed	fizzing	fizzes
flag	flagged	flagged	flagging	-
flam	flammed	flammed	flamming	-
flambe	flambeed	flambeed	flambeing	-
flange	-	-	flanging	-
flap	flapped	flapped	flapping	-
flat	flatted	flatted	flatting	-
flee	fled	fled	-	-
flic	flicked	flicked	flicking	-
flimflam	flimflammed	flimflammed	flimflamming	-
fling	flung	flung	-	-
flip	flipped	flipped	flipping	-
flit	flitted	flitted	flitting	-
flog	flogged	flogged	flogging	-
flop	flopped	flopped	flopping	-
flub	flubbed	flubbed	flubbing	-
fly	-	flown	-	-
flyblow	flyblew	flyblown	-	-
fob	fobbed	fobbed	fobbing	-
fog	fogged	fogged	fogging	-
folio	-	-	-	folios
footslog	footslogged	footslogged	footslogging	-
fop	fopped	fopped	fopping	-
forbear	forbore	forborne	-	-
forbid	forbad	forbidden	forbidding	-
forebear	forebore	foreborne	-	-
forefeel	forefelt	forefelt	-	-
forego	forewent	foregone	-	-
foreknow	foreknew	foreknown	-	-
forelay	forelaid	forelaid	-	-
foreplan	foreplanned	foreplanned	foreplanning	-
foreread	foreread	foreread	-	-
forerun	foreran	forerun	forerunning	-
foresay	foresaid	foresaid	-	-
foresee	foresaw	foreseen	-	-
forespeak	forespoke	forespoken	-	-
forespend	forespent	forespent	-	-
foreswear	foreswore	foresworn	-	-
foretell	foretold	foretold	-	-
forethink	forethought	forethought	-	-
forget	forgot	forgotten	forgetting	-
forgive	forgave	forgiven	-	-
forgo	forwent	forgone	-	-
format	formatted	formatted	formatting	-
forsake	forsook	forsaken	-	-
forspeak	forspoke	forspoken	-	-
forspend	forspent	forspent	-	-
forswear	forswore	forsworn	-	-
foxtrot	foxtrotted	foxtrotted	foxtrotting	-
frag	fragged	fragged	fragging	-
frap	frapped	frapped	frapping	-
freeze	froze	frozen	-	-
fret	fretted	fretted	fretting	-
frig	frigged	frigged	frigging	-
fringe	-	-	fringing	-
frit	fritted	fritted	fritting	-
friz	frizzed	frizzed	frizzing	frizzes
frog	frogged	frogged	frogging	-
frolic	frolicked	frolicked	frolicking	-
frostbite	frostbit	frostbitten	-	-
frug	frugged	frugged	frugging	-
fub	fubbed	fubbed	fubbing	-
fug	fugged	fugged	fugging	-
fulfil	fulfilled	fulfilled	fulfilling	-
fun	funned	funned	funning	-
fur	furred	furred	furring	-
gab	gabbed	gabbed	gabbing	-
gad	gadded	gadded	gadding	-
gae	-	-	gaeing	-
gag	gagged	gagged	gagging	-
gainsay	gainsaid	gainsaid	-	-
gainstrive	gainstrove	gainstriven	-	-
gal	galled	galled	galling	-
gam	gammed	gammed	gamming	-
gap	gapped	gapped	gapping	-
gar	-	-	garring	-
garlic	garlicked	garlicked	garlicking	-
gas	gassed	gassed	gassing	-
gavot	gavotted	gavotted	gavotting	-
gel	gelled	gelled	gelling	-
gem	gemmed	gemmed	gemming	-
