# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
повести	поведу	поведеш	поведе	поведем	поведете	поведуть	поведи	поведім	поведіте	повів	повела	повело	повели
повестися	поведусь	поведешся	поведеться	поведемось	поведетесь	поведуться	поведись	поведімось	поведіться	повівсь	повелась	повелось	повелись
повзти	повзу	повзеш	повзе	повзем	повзете	повзуть	повзи	повзім	повзіть	повз	повзла	повзло	повзли
повилазити	повилажу	повилазиш	повилазить	повилазим	повилазите	повилазять	повилазь	повилазьмо	повилазьте	повилазив	повилазила	повилазило	повилазили
повити	пов'ю	пов'єш	пов'є	пов'єм	пов'єте	пов'ють	повий	повиймо	повийте	повив	повила	повило	повили
повставати	повстаю	повстаєш	повстає	повстаєм	повстаєте	повстають	повставай	повставаймо	повставайте	повставав	повставала	повставало	повставали
повстати	повстану	повстанеш	повстане	повстанем	повстанете	повстануть	повстань	повстаньмо	повстаньте	повстав	повстала	повстало	повстали
повторюватися	повторююсь	повторюєшся	повторюється	повторюємось	повторюєтесь	повторюються	повторюйсь	повторюймось	повторюйтесь	повторювавсь	повторювалась	повторювалось	повторювались
повторятися	повторяюсь	повторяєшся	повторяється	повторяємось	повторяєтесь	повторяються	повторяйсь	повторяймось	повторяйтесь	повторявсь	повторялась	повторялось	повторялись
повідомити	повідомлю	повідомиш	повідомить	повідомим	повідомите	повідомлять	повідом	повідоммо	повідомте	повідомив	повідомила	повідомило	повідомили
повідомлятися	повідомляюсь	повідомляєшся	повідомляється	повідомляємось	повідомляєтесь	повідомляються	повідомляйсь	повідомляймось	повідомляйтесь	повідомлявсь	повідомлялась	повідомлялось	повідомлялись
повірити	повірю	повіриш	повірить	повірим	повірите	повірять	повір	повірмо	повірте	повірив	повірила	повірило	повірили
повісити	повішу	повісиш	повісить	повісим	повісите	повісять	повісь	повісьмо	повісьте	повісив	повісила	повісило	повісили
повіситися	повішусь	повісишся	повіситься	повісимось	повіситесь	повісяться	повісься	повісьмось	повісьтесь	повісивсь	повісилась	повісилось	повісились
повісти	повім	повіси	повість	повімо	повісте	повідять	повіж	повіжмо	повіжте	повів	повіла	повіло	повіли
поглибити	поглиблю	поглибиш	поглибить	поглибим	поглибите	поглиблять	поглиб	поглибмо	поглибте	поглибив	поглибила	поглибило	поглибили
поглинатися	поглинаюсь	поглинаєшся	поглинається	поглинаємось	поглинаєтесь	поглинаються	поглинайсь	поглинаймось	поглинайтесь	поглинавсь	поглиналась	поглиналось	поглинались
поглинути	поглину	поглинеш	поглине	поглинем	поглинете	поглинуть	поглинь	поглиньмо	поглиньте	поглинув	поглинула	поглинуло	поглинули
поглянути	погляну	поглянеш	погляне	поглянем	поглянете	поглянуть	поглянь	погляньмо	погляньте	поглянув	поглянула	поглянуло	поглянули
погнати	пожену	поженеш	пожене	поженем	поженете	поженуть	пожени	поженім	поженіть	погнав	погнала	погнало	погнали
погоджуватися	погоджуюсь	погоджуєшся	погоджується	погоджуємось	погоджуєтесь	погоджуються	погоджуйсь	погоджуймось	погоджуйтесь	погоджувавсь	погоджувалась	погоджувалось	погоджувались
погіршуватися	-	-	погіршується	-	-	погіршуються	-	погіршуймось	погіршуйтесь	погіршувавсь	погіршувалась	погіршувалось	погіршувались
подати	подам	подаси	подасть	подамо	подасте	подадуть	подай	подаймо	подайте	подав	подала	подало	подали
подвоюватися	подвоююсь	подвоюєшся	подвоюється	подвоюємось	подвоюєтесь	подвоюються	подвоюйсь	подвоюймось	подвоюйтесь	подвоювавсь	подвоювалась	подвоювалось	подвоювались
подвоїти	подвою	подвоїш	подвоїть	подвоїм	подвоїте	подвоять	подвій	подвіймо	подвійте	подвоїв	подвоїла	подвоїло	подвоїли
подвоїтися	подвоюсь	подвоїшся	подвоїться	подвоїмось	подвоїтесь	подвояться	подвійсь	подвіймось	подвійтесь	подвоївсь	подвоїлась	подвоїлось	подвоїлись
подобатися	подобаюсь	подобаєшся	подобається	подобаємось	подобаєтесь	подобаються	подобайсь	подобаймось	подобайтесь	подобавсь	подобалась	подобалось	подобались
подобріти	подобрію	подобрієш	подобріє	подобрієм	подобрієте	подобріють	подобрій	подобріймо	подобрійте	подобрів	подобріла	подобріло	подобріли
подовжити	подовжу	подовжиш	подовжить	подовжим	подовжите	подовжать	подовж	подовжмо	подовжте	подовжив	подовжила	подовжило	подовжили
подохнути	подохну	подохнеш	подохне	подохнем	подохнете	подохнуть	подохни	подохнім	подохніть	подох	подохла	подохло	подохли
поділятися	поділяюсь	поділяєшся	поділяється	поділяємось	поділяєтесь	поділяються	поділяйсь	поділяймось	поділяйтесь	поділявсь	поділялась	поділялось	поділялись
пожаліти	пожалію	пожалієш	пожаліє	пожалієм	пожалієте	пожаліють	пожалій	пожаліймо	пожалійте	пожалів	пожаліла	пожаліло	пожаліли
пожалітися	пожаліюсь	пожалієшся	пожаліється	пожаліємось	пожалієтесь	пожаліються	пожалійсь	пожаліймось	пожалійтесь	пожалівсь	пожалілась	пожалілось	пожалілись
пожати	пожну	пожнеш	пожне	пожнем	пожнете	пожнуть	пожни	пожнім	пожніть	пожав	пожала	пожало	пожали
пожвавити	пожвавлю	пожвавиш	пожвавить	пожвавим	пожвавите	пожвавлять	пожвав	пожвавмо	пожвавте	пожвавив	пожвавила	пожвавило	пожвавили
позбавити	позбавлю	позбавиш	позбавить	позбавим	позбавите	позбавлять	позбав	позбавмо	позбавте	позбавив	позбавила	позбавило	позбавили
позбавитися	позбавлюсь	позбавишся	позбавиться	позбавимось	позбавитесь	позбавляться	позбався	позбавмось	позбавтесь	позбавивсь	позбавилась	позбавилось	позбавились
позбавлятися	позбавляюсь	позбавляєшся	позбавляється	позбавляємось	позбавляєтесь	позбавляються	позбавляйсь	позбавляймось	позбавляйтесь	позбавлявсь	позбавлялась	позбавлялось	позбавлялись
позбуватися	позбуваюсь	позбуваєшся	позбувається	позбуваємось	позбуваєтесь	позбуваються	позбувайсь	позбуваймось	позбувайтесь	позбувавсь	позбувалась	позбувалось	позбувались
позбутися	позбудусь	позбудешся	позбудеться	позбудемось	позбудетесь	позбудуться	позбудься	позбудьмось	позбудьтесь	позбувсь	позбулась	позбулось	позбулись
поздоровити	поздоровлю	поздоровиш	поздоровить	поздоровим	поздоровите	поздоровлять	поздоров	поздоровмо	поздоровте	поздоровив	поздоровила	поздоровило	поздоровили
позеленіти	позеленію	позеленієш	позеленіє	позеленієм	позеленієте	позеленіють	позеленій	позеленіймо	позеленійте	позеленів	позеленіла	позеленіло	позеленіли
позичити	позичу	позичиш	позичить	позичим	позичите	позичать	позич	позичмо	позичте	позичив	позичила	позичило	позичили
позловтішатися	позловтішаюсь	позловтішаєшся	позловтішається	позловтішаємось	позловтішаєтесь	позловтішаються	позловтішайсь	позловтішаймось	позловтішайтесь	позловтішавсь	позловтішалась	позловтішалось	позловтішались
познайомити	познайомлю	познайомиш	познайомить	познайомим	познайомите	познайомлять	познайом	познайоммо	познайомте	познайомив	познайомила	познайомило	познайомили
познайомитися	познайомлюсь	познайомишся	познайомиться	познайомимось	познайомитесь	познайомляться	познайомся	познайоммось	познайомтесь	познайомивсь	познайомилась	познайомилось	познайомились
позначатися	позначаюсь	позначаєшся	позначається	позначаємось	позначаєтесь	позначаються	позначайсь	позначаймось	позначайтесь	позначавсь	позначалась	позначалось	позначались
познущатися	познущаюсь	познущаєшся	познущається	познущаємось	познущаєтесь	познущаються	познущайсь	познущаймось	познущайтесь	познущавсь	познущалась	познущалось	познущались
показати	покажу	покажеш	покаже	покажем	покажете	покажуть	покажи	покажім	покажіте	показав	показала	показало	показали
показатися	покажусь	покажешся	покажеться	покажемось	покажетесь	покажуться	покажись	покажімось	покажіться	показавсь	показалась	показалось	показались
поквапити	покваплю	поквапиш	поквапить	поквапим	поквапите	покваплять	поквап	поквапмо	поквапте	поквапив	поквапила	поквапило	поквапили
покинути	покину	покинеш	покине	покинем	покинете	покинуть	покинь	покиньмо	покиньте	покинув	покинула	покинуло	покинули
покладатися	покладаюсь	покладаєшся	покладається	покладаємось	покладаєтесь	покладаються	покладайсь	покладаймось	покладайтесь	покладавсь	покладалась	покладалось	покладались
покласти	покладу	покладеш	покладе	покладем	покладете	покладуть	поклади	покладім	покладіте	поклав	поклала	поклало	поклали
покластися	покладусь	покладешся	покладеться	покладемось	покладетесь	покладуться	покладись	покладімось	покладіться	поклавсь	поклалась	поклалось	поклались
поклонятися	поклоняюсь	поклоняєшся	поклоняється	поклоняємось	поклоняєтесь	поклоняються	поклоняйсь	поклоняймось	поклоняйтесь	поклонявсь	поклонялась	поклонялось	поклонялись
покращити	покращу	покращиш	покращить	покращим	покращите	покращать	покращ	покращмо	покращте	покращив	покращила	покращило	покращили
покращитися	покращусь	покращишся	покращиться	покращимось	покращитесь	покращаться	покращся	покращмось	покращтесь	покращивсь	покращилась	покращилось	покращились
покрити	покрию	покриєш	покриє	покриєм	покриєте	покриють	покрий	покриймо	покрийте	покрив	покрила	покрило	покрили
полагодити	полагоджу	полагодиш	полагодить	полагодим	полагодите	полагодять	полагодь	полагодьмо	полагодьте	полагодив	полагодила	полагодило	полагодили
полоти	полю	полеш	поле	полем	полете	полють	поли	полім	політь	полов	полола	пололо	пололи
поліпшуватися	поліпшуюсь	поліпшуєшся	поліпшується	поліпшуємось	поліпшуєтесь	поліпшуються	поліпшуйсь	поліпшуймось	поліпшуйтесь	поліпшувавсь	поліпшувалась	поліпшувалось	поліпшувались
пом'якшуватися	пом'якшуюсь	пом'якшуєшся	пом'якшується	пом'якшуємось	пом'якшуєтесь	пом'якшуються	пом'якшуйсь	пом'якшуймось	пом'якшуйтесь	пом'якшувавсь	пом'якшувалась	пом'якшувалось	пом'якшувались
померти	помру	помреш	помре	помрем	помрете	помруть	помри	помрім	помріть	помер	померла	померло	померли
помилятися	помиляюсь	помиляєшся	помиляється	помиляємось	помиляєтесь	помиляються	помиляйсь	помиляймось	помиляйтесь	помилявсь	помилялась	помилялось	помилялись
помити	помию	помиєш	помиє	помиєм	помиєте	помиють	помий	помиймо	помийте	помив	помила	помило	помили
помножити	помножу	помножиш	помножить	помножим	помножите	помножать	помнож	помножмо	помножте	помножив	помножила	помножило	помножили
помінятися	поміняюсь	поміняєшся	поміняється	поміняємось	поміняєтесь	поміняються	поміняйсь	поміняймось	поміняйтесь	помінявсь	помінялась	помінялось	помінялись
помітити	помічу	помітиш	помітить	помітим	помітите	помітять	поміть	помітьмо	помітьте	помітив	помітила	помітило	помітили
поневолити	поневолю	поневолиш	поневолить	поневолим	поневолите	поневолять	поневоль	поневольмо	поневольте	поневолив	поневолила	поневолило	поневолили
понести	понесу	понесеш	понесе	понесем	понесете	понесуть	понеси	понесім	понесіте	поніс	понесла	понесло	понесли
поникнути	поникну	поникнеш	поникне	поникнем	поникнете	поникнуть	поникни	поникнім	поникніть	поник	поникла	поникло	поникли
попасти	попаду	попадеш	попаде	попадем	попадете	попадуть	попади	попадім	попадіть	попав	попала	попало	попали
попрощатися	попрощаюсь	попрощаєшся	попрощається	попрощаємось	попрощаєтесь	попрощаються	попрощайсь	попрощаймось	попрощайтесь	попрощавсь	попрощалась	попрощалось	попрощались
попітніти	попітнію	попітнієш	попітніє	попітнієм	попітнієте	попітніють	попітній	попітніймо	попітнійте	попітнів	попітніла	попітніло	попітніли
порадити	пораджу	порадиш	порадить	порадим	порадите	порадять	порадь	порадьмо	порадьте	порадив	порадила	порадило	порадили
поранити	пораню	пораниш	поранить	пораним	пораните	поранять	порань	пораньмо	пораньте	поранив	поранила	поранило	поранили
пороти	порю	пореш	поре	порем	порете	порють	пори	порім	поріть	поров	порола	пороло	пороли
порушити	порушу	порушиш	порушить	порушим	порушите	порушать	поруш	порушмо	поруште	порушив	порушила	порушило	порушили
порятуватися	порятуюсь	порятуєшся	порятується	порятуємось	порятуєтесь	порятуються	порятуйсь	порятуймось	порятуйтесь	порятувавсь	порятувалась	порятувалось	порятувались
посидіти	посиджу	посидиш	посидить	посидим	посидите	посидять	посидь	посидьмо	посидьте	посидів	посиділа	посиділо	посиділи
посилатися	посилаюсь	посилаєшся	посилається	посилаємось	посилаєтесь	посилаються	посилайсь	посилаймось	посилайтесь	посилавсь	посилалась	посилалось	посилались
посилити	посилю	посилиш	посилить	посилим	посилите	посилять	посиль	посильмо	посильте	посилив	посилила	посилило	посилили
посилюватися	посилююсь	посилюєшся	посилюється	посилюємось	посилюєтесь	посилюються	посилюйсь	посилюймось	посилюйтесь	посилювавсь	посилювалась	посилювалось	посилювались
посипатися	посипаюсь	посипаєшся	посипається	посипаємось	посипаєтесь	посипаються	посипайсь	посипаймось	посипайтесь	посипавсь	посипалась	посипалось	посипались
поскаржитися	поскаржусь	поскаржишся	поскаржиться	поскаржимось	поскаржитесь	поскаржаться	поскаржся	поскаржмось	поскаржтесь	поскарживсь	поскаржилась	поскаржилось	поскаржились
послабити	послаблю	послабиш	послабить	послабим	послабите	послаблять	послаб	послабмо	послабте	послабив	послабила	послабило	послабили
послаблюватися	послаблююсь	послаблюєшся	послаблюється	послаблюємось	послаблюєтесь	послаблюються	послаблюйсь	послаблюймось	послаблюйтесь	послаблювавсь	послаблювалась	послаблювалось	послаблювались
послати	пошлю	пошлеш	пошле	пошлем	пошлете	пошлють	пошли	пошлім	пошліть	послав	послала	послало	послали
послатися	пошлюсь	пошлешся	пошлеться	пошлемось	пошлетесь	пошлються	пошлись	пошлімось	пошліться	пославсь	послалась	послалось	послались
послуговуватися	послуговуюсь	послуговуєшся	послуговується	послуговуємось	послуговуєтесь	послуговуються	послуговуйсь	послуговуймось	послуговуйтесь	послуговувавсь	послуговувалась	послуговувалось	послуговувались
послухатися	послухаюсь	послухаєшся	послухається	послухаємось	послухаєтесь	послухаються	послухайсь	послухаймось	послухайтесь	послухавсь	послухалась	послухалось	послухались
посміхатися	посміхаюсь	посміхаєшся	посміхається	посміхаємось	посміхаєтесь	посміхаються	посміхайсь	посміхаймось	посміхайтесь	посміхавсь	посміхалась	посміхалось	посміхались
посміхнутися	посміхнусь	посміхнешся	посміхнеться	посміхнемось	посміхнетесь	посміхнуться	посміхнись	посміхнімось	посміхніться	посміхнувсь	посміхнулась	посміхнулось	посміхнулись
поспати	посплю	поспиш	поспить	поспим	поспите	посплять	поспи	поспім	поспіть	поспав	поспала	поспало	поспали
посперечатися	посперечаюсь	посперечаєшся	посперечається	посперечаємось	посперечаєтесь	посперечаються	посперечайсь	посперечаймось	посперечайтесь	посперечавсь	посперечалась	посперечалось	посперечались
поспілкуватися	поспілкуюсь	поспілкуєшся	поспілкується	поспілкуємось	поспілкуєтесь	поспілкуються	поспілкуйсь	поспілкуймось	поспілкуйтесь	поспілкувавсь	поспілкувалась	поспілкувалось	поспілкувались
поссати	поссу	поссеш	поссе	поссем	поссете	поссуть	посси	поссім	поссіть	поссав	поссала	поссало	поссали
поставати	постаю	постаєш	постає	постаєм	постаєте	постають	поставай	поставаймо	поставайте	поставав	поставала	поставало	поставали
поставити	поставлю	поставиш	поставить	поставим	поставите	поставлять	постав	поставмо	поставте	поставив	поставила	поставило	поставили
поставитися	поставлюсь	поставишся	поставиться	поставимось	поставитесь	поставляться	постався	поставмось	поставтесь	поставивсь	поставилась	поставилось	поставились
постаратися	постараюсь	постараєшся	постарається	постараємось	постараєтесь	постараються	постарайсь	постараймось	постарайтесь	постаравсь	постаралась	постаралось	постарались
постаріти	постарію	постарієш	постаріє	постарієм	постарієте	постаріють	постарій	постаріймо	постарійте	постарів	постаріла	постаріло	постаріли
постати	постану	постанеш	постане	постанем	постанете	постануть	постань	постаньмо	постаньте	постав	постала	постало	постали
постояти	постою	постоїш	постоїть	постоїм	постоїте	постоять	постій	постіймо	постійте	постояв	постояла	постояло	постояли
поступатися	поступаюсь	поступаєшся	поступається	поступаємось	поступаєтесь	поступаються	поступайсь	поступаймось	поступайтесь	поступавсь	поступалась	поступалось	поступались
посіяти	посію	посієш	посіє	посієм	посієте	посіють	посій	посіймо	посійте	посіяв	посіяла	посіяло	посіяли
потиснути	потисну	потиснеш	потисне	потиснем	потиснете	потиснуть	потисни	потиснім	потисніть	потис	потисла	потисло	потисли
потовстіти	потовстію	потовстієш	потовстіє	потовстієм	потовстієте	потовстіють	потовстій	потовстіймо	потовстійте	потовстів	потовстіла	потовстіло	потовстіли
потрапити	потраплю	потрапиш	потрапить	потрапим	потрапите	потраплять	потрап	потрапмо	потрапте	потрапив	потрапила	потрапило	потрапили
потріскатися	потріскаюсь	потріскаєшся	потріскається	потріскаємось	потріскаєтесь	потріскаються	потріскайсь	потріскаймось	потріскайтесь	потріскавсь	потріскалась	потріскалось	потріскались
потьмяніти	потьмянію	потьмянієш	потьмяніє	потьмянієм	потьмянієте	потьмяніють	потьмяній	потьмяніймо	потьмянійте	потьмянів	потьмяніла	потьмяніло	потьмяніли
потягатися	потягаюсь	потягаєшся	потягається	потягаємось	потягаєтесь	потягаються	потягайсь	потягаймось	потягайтесь	потягавсь	потягалась	потягалось	потягались
потягнути	потягну	потягнеш	потягне	потягнем	потягнете	потягнуть	потягни	потягнім	потягніть	потягнув	потягнула	потягнуло	потягнули
потягнутися	потягнусь	потягнешся	потягнеться	потягнемось	потягнетесь	потягнуться	потягнись	потягнімось	потягніться	потягнувсь	потягнулась	потягнулось	потягнулись
потягти	потягну	потягнеш	потягне	потягнем	потягнете	потягнуть	потягни	потягнім	потягніть	потяг	потягла	потягло	потягли
потягтися	потягнусь	потягнешся	потягнеться	потягнемось	потягнетесь	потягнуться	потягнись	потягнімось	потягніться	потягся	потяглась	потяглось	потяглись
потягуватися	потягуюсь	потягуєшся	потягується	потягуємось	потягуєтесь	потягуються	потягуйсь	потягуймось	потягуйтесь	потягувавсь	потягувалась	потягувалось	потягувались
потіти	потію	потієш	потіє	потієм	потієте	потіють	потій	потіймо	потійте	потів	потіла	потіло	потіли
похвалятися	похваляюсь	похваляєшся	похваляється	похваляємось	похваляєтесь	похваляються	похваляйсь	похваляймось	похваляйтесь	похвалявсь	похвалялась	похвалялось	похвалялись
похитнути	похитну	похитнеш	похитне	похитнем	похитнете	похитнуть	похитни	похитнім	похитніть	похитнув	похитнула	похитнуло	похитнули
похитнутися	похитнусь	похитнешся	похитнеться	похитнемось	похитнетесь	похитнуться	похитнись	похитнімось	похитніться	похитнувсь	похитнулась	похитнулось	похитнулись
поцікавитися	поцікавлюсь	поцікавишся	поцікавиться	поцікавимось	поцікавитесь	поцікавляться	поцікався	поцікавмось	поцікавтесь	поцікавивсь	поцікавилась	поцікавилось	поцікавились
почати	почну	почнеш	почне	почнем	почнете	почнуть	почни	почнім	почніте	почав	почала	почало	почали
початися	почнусь	почнешся	почнеться	почнемось	почнетесь	почнуться	почнись	почнімось	почніться	почавсь	почалась	почалось	почались
почервоніти	почервонію	почервонієш	почервоніє	почервонієм	почервонієте	почервоніють	почервоній	почервоніймо	почервонійте	почервонів	почервоніла	почервоніло	почервоніли
починатися	починаюсь	починаєшся	починається	починаємось	починаєтесь	починаються	починайсь	починаймось	починайтесь	починавсь	починалась	починалось	починались
почити	почину	починеш	почине	починем	починете	починуть	починь	починьмо	починьте	почив	почила	почило	почили
почорніти	почорнію	почорнієш	почорніє	почорнієм	почорнієте	почорніють	почорній	почорніймо	почорнійте	почорнів	почорніла	почорніло	почорніли
почувати	почуваю	почуваєш	почуває	почуваєм	почуваєте	почувають	почувай	почуваймо	почувайте	почував	почувала	почувало	почували
почуватися	почуваюсь	почуваєшся	почувається	почуваємось	почуваєтесь	почуваються	почувайсь	почуваймось	почувайтесь	почувавсь	почувалась	почувалось	почувались
почутися	почуюсь	почуєшся	почується	почуємось	почуєтесь	почуються	почуйсь	почуймось	почуйтесь	почувсь	почулась	почулось	почулись
поширити	поширю	пошириш	поширить	поширим	поширите	поширять	пошир	поширмо	поширте	поширив	поширила	поширило	поширили
поширюватися	поширююсь	поширюєшся	поширюється	поширюємось	поширюєтесь	поширюються	поширюйсь	поширюймось	поширюйтесь	поширювавсь	поширювалась	поширювалось	поширювались
пошкодити	пошкоджу	пошкодиш	пошкодить	пошкодим	пошкодите	пошкодять	пошкодь	пошкодьмо	пошкодьте	пошкодив	пошкодила	пошкодило	пошкодили
появлятися	появляюсь	появляєшся	появляється	появляємось	появляєтесь	появляються	появляйсь	появляймось	появляйтесь	появлявсь	появлялась	появлялось	появлялись
поїсти	поїм	поїси	поїсть	поїмо	поїсте	поїдять	поїж	поїжмо	поїжте	поїв	поїла	поїло	поїли
поїти	пою	поїш	поїть	поїм	поїте	поять	пій	піймо	пійте	поїв	поїла	поїло	поїли
поїхати	поїду	поїдеш	поїде	поїдем	поїдете	поїдуть	поїдь	поїдьмо	поїдьте	поїхав	поїхала	поїхало	поїхали
правити	правлю	правиш	править	правим	правите	правлять	прав	правмо	правте	правив	правила	правило	правили
прагнути	прагну	прагнеш	прагне	прагнем	прагнете	прагнуть	прагни	прагнім	прагніть	прагнув	прагнула	прагнуло	прагнули
практикуватися	практикуюсь	практикуєшся	практикується	практикуємось	практикуєтесь	практикуються	практикуйсь	практикуймось	практикуйтесь	практикувавсь	практикувалась	практикувалось	практикувались
прати	перу	переш	пере	перем	перете	перуть	пери	перім	періть	прав	прала	прало	прали
працевлаштуватися	працевлаштуюсь	працевлаштуєшся	працевлаштується	працевлаштуємось	працевлаштуєтесь	працевлаштуються	працевлаштуйсь	працевлаштуймось	працевлаштуйтесь	працевлаштувавсь	працевлаштувалась	працевлаштувалось	працевлаштувались
представити	представлю	представиш	представить	представим	представите	представлять	представ	представмо	представте	представив	представила	представило	представили
представитися	представлюсь	представишся	представиться	представимось	представитесь	представляться	представся	представмось	представтесь	представивсь	представилась	представилось	представились
представлятися	представляюсь	представляєшся	представляється	представляємось	представляєтесь	представляються	представляйсь	представляймось	представляйтесь	представлявсь	представлялась	представлялось	представлялись
приберегти	прибережу	прибережеш	прибереже	прибережем	прибережете	прибережуть	прибережи	прибережім	прибережіть	приберіг	приберегла	приберегло	приберегли
прибити	приб'ю	приб'єш	приб'є	приб'єм	приб'єте	приб'ють	прибий	прибиймо	прибийте	прибив	прибила	прибило	прибили
прибрати	приберу	прибереш	прибере	приберем	приберете	приберуть	прибери	приберім	приберіть	прибрав	прибрала	прибрало	прибрали
прибувати	прибуваю	прибуваєш	прибуває	прибуваєм	прибуваєте	прибувають	прибувай	прибуваймо	прибувайте	прибував	прибувала	прибувало	прибували
прибути	прибуду	прибудеш	прибуде	прибудем	прибудете	прибудуть	прибудь	прибудьмо	прибудьте	прибув	прибула	прибуло	прибули
прибігти	прибіжу	прибіжиш	прибіжить	прибіжим	прибіжите	прибіжать	прибіжи	прибіжім	прибіжіть	прибіг	прибігла	прибігло	прибігли
прив'язати	прив'яжу	прив'яжеш	прив'яже	прив'яжем	прив'яжете	прив'яжуть	прив'яжи	прив'яжім	прив'яжіть	прив'язав	прив'язала	прив'язало	прив'язали
привабити	приваблю	привабиш	привабить	привабим	привабите	приваблять	приваб	привабмо	привабте	привабив	привабила	привабило	привабили
привезти	привезу	привезеш	привезе	привезем	привезете	привезуть	привези	привезім	привезіть	привіз	привезла	привезло	привезли
привернути	приверну	привернеш	приверне	привернем	привернете	привернуть	приверни	привернім	приверніть	привернув	привернула	привернуло	привернули
привести	приведу	приведеш	приведе	приведем	приведете	приведуть	приведи	приведім	приведіте	привів	привела	привело	привели
приводити	приводжу	приводиш	приводить	приводим	приводите	приводять	приводь	приводьмо	приводьте	приводив	приводила	приводило	приводили
привозити	привожу	привозиш	привозить	привозим	привозите	привозять	привозь	привозьмо	привозьте	привозив	привозила	привозило	привозили
привітатися	привітаюсь	привітаєшся	привітається	привітаємось	привітаєтесь	привітаються	привітайсь	привітаймось	привітайтесь	привітавсь	привіталась	привіталось	привітались
придавати	придаю	придаєш	придає	придаєм	придаєте	придають	придавай	придаваймо	придавайте	придавав	придавала	придавало	придавали
придати	придам	придаси	придасть	придамо	придасте	придадуть	придай	придаймо	придайте	придав	придала	придало	придали
придивлятися	придивляюсь	придивляєшся	придивляється	придивляємось	придивляєтесь	придивляються	придивляйсь	придивляймось	придивляйтесь	придивлявсь	придивлялась	придивлялось	придивлялись
приживатися	приживаюсь	приживаєшся	приживається	приживаємось	приживаєтесь	приживаються	приживайсь	приживаймось	приживайтесь	приживавсь	приживалась	приживалось	приживались
прижитися	приживусь	приживешся	приживеться	приживемось	приживетесь	приживуться	приживись	приживімось	приживіться	приживсь	прижилась	прижилось	прижились
призвести	призведу	призведеш	призведе	призведем	призведете	призведуть	призведи	призведім	призведіть	призвів	призвела	призвело	призвели
