# Ukrainian irregular verbs — mined from the kaikki ∩ VESUM oracle
# agreement (scripts/ukr/mine_verbs.py). Rows the rule engine misses.
# Regenerate: sh scripts/ukr/capture_irregulars.sh && python3 scripts/ukr/mine_verbs.py
# lemma	pres1sg	pres2sg	pres3sg	pres1pl	pres2pl	pres3pl	imp2sg	imp1pl	imp2pl	pastM	pastF	pastN	pastPl
ахнути	ахну	ахнеш	ахне	ахнем	ахнете	ахнуть	ахни	ахнім	ахніть	ахнув	ахнула	ахнуло	ахнули
вдягатися	вдягаюсь	вдягаєшся	вдягається	вдягаємось	вдягаєтесь	вдягаються	вдягайсь	вдягаймось	вдягайтесь	вдягавсь	вдягалась	вдягалось	вдягались
вдягнути	вдягну	вдягнеш	вдягне	вдягнем	вдягнете	вдягнуть	вдягни	вдягнім	вдягніте	вдягнув	вдягнула	вдягнуло	вдягнули
вдягнутися	вдягнусь	вдягнешся	вдягнеться	вдягнемось	вдягнетесь	вдягнуться	вдягнись	вдягнімось	вдягнітесь	вдягнувсь	вдягнулась	вдягнулось	вдягнулись
вдягти	вдягну	вдягнеш	вдягне	вдягнем	вдягнете	вдягнуть	вдягни	вдягнім	вдягніть	вдяг	вдягла	вдягло	вдягли
вдіяти	вдію	вдієш	вдіє	вдієм	вдієте	вдіють	вдій	вдіймо	вдійте	вдіяв	вдіяла	вдіяло	вдіяли
везти	везу	везеш	везе	везем	везете	везуть	вези	везім	везіте	віз	везла	везло	везли
величатися	величаюсь	величаєшся	величається	величаємось	величаєтесь	величаються	величайсь	величаймось	величайтесь	величавсь	величалась	величалось	величались
вергнути	вергну	вергнеш	вергне	вергнем	вергнете	вергнуть	вергни	вергнім	вергніть	вергнув	вергнула	вергнуло	вергнули
верещати	верещу	верещиш	верещить	верещим	верещите	верещать	верещи	верещім	верещіть	верещав	верещала	верещало	верещали
верзти	верзу	верзеш	верзе	верзем	верзете	верзуть	верзи	верзім	верзіть	верз	верзла	верзло	верзли
вернути	верну	вернеш	верне	вернем	вернете	вернуть	верни	вернім	верніте	вернув	вернула	вернуло	вернули
вертатися	вертаюсь	вертаєшся	вертається	вертаємось	вертаєтесь	вертаються	вертайсь	вертаймось	вертайтесь	вертавсь	верталась	верталось	вертались
вести	веду	ведеш	веде	ведем	ведете	ведуть	веди	ведім	ведіте	вів	вела	вело	вели
вестися	ведусь	ведешся	ведеться	ведемось	ведетесь	ведуться	ведись	ведімось	ведіться	вівсь	велась	велось	велись
вештатися	вештаюсь	вештаєшся	вештається	вештаємось	вештаєтесь	вештаються	вештайсь	вештаймось	вештайтесь	вештавсь	вешталась	вешталось	вештались
вжити	вживу	вживеш	вживе	вживем	вживете	вживуть	вживи	вживім	вживіть	вжив	вжила	вжило	вжили
взаємодіяти	взаємодію	взаємодієш	взаємодіє	взаємодієм	взаємодієте	взаємодіють	взаємодій	взаємодіймо	взаємодійте	взаємодіяв	взаємодіяла	взаємодіяло	взаємодіяли
взаємопов'язати	взаємопов'яжу	взаємопов'яжеш	взаємопов'яже	взаємопов'яжем	взаємопов'яжете	взаємопов'яжуть	взаємопов'яжи	взаємопов'яжім	взаємопов'яжіть	взаємопов'язав	взаємопов'язала	взаємопов'язало	взаємопов'язали
взувати	взуваю	взуваєш	взуває	взуваєм	взуваєте	взувають	взувай	взуваймо	взувайте	взував	взувала	взувало	взували
взуватися	взуваюсь	взуваєшся	взувається	взуваємось	взуваєтесь	взуваються	взувайсь	взуваймось	взувайтесь	взувавсь	взувалась	взувалось	взувались
взутися	взуюсь	взуєшся	взується	взуємось	взуєтесь	взуються	взуйсь	взуймось	взуйтесь	взувсь	взулась	взулось	взулись
взяти	візьму	візьмеш	візьме	візьмем	візьмете	візьмуть	візьми	візьмім	візьміте	взяв	взяла	взяло	взяли
взятися	візьмусь	візьмешся	візьметься	візьмемось	візьметесь	візьмуться	візьмись	візьмімось	візьмітеся	взявсь	взялась	взялось	взялись
вибачатися	вибачаюсь	вибачаєшся	вибачається	вибачаємось	вибачаєтесь	вибачаються	вибачайсь	вибачаймось	вибачайтесь	вибачавсь	вибачалась	вибачалось	вибачались
вибачити	вибачу	вибачиш	вибачить	вибачим	вибачите	вибачать	вибач	вибачмо	вибачте	вибачив	вибачила	вибачило	вибачили
вибачитися	вибачусь	вибачишся	вибачиться	вибачимось	вибачитесь	вибачаться	вибачся	вибачмось	вибачтесь	вибачивсь	вибачилась	вибачилось	вибачились
вибиратися	вибираюсь	вибираєшся	вибирається	вибираємось	вибираєтесь	вибираються	вибирайсь	вибираймось	вибирайтесь	вибиравсь	вибиралась	вибиралось	вибирались
вибити	виб'ю	виб'єш	виб'є	виб'єм	виб'єте	виб'ють	вибий	вибиймо	вибийте	вибив	вибила	вибило	вибили
вибороти	виборю	вибореш	виборе	виборем	виборете	виборють	вибори	виборім	виборіте	виборов	виборола	вибороло	вибороли
вибрати	виберу	вибереш	вибере	виберем	виберете	виберуть	вибери	виберім	виберіть	вибрав	вибрала	вибрало	вибрали
вибратися	виберусь	виберешся	вибереться	виберемось	виберетесь	виберуться	виберись	виберімось	виберіться	вибравсь	вибралась	вибралось	вибрались
вибухнути	вибухну	вибухнеш	вибухне	вибухнем	вибухнете	вибухнуть	вибухни	вибухнім	вибухніть	вибухнув	вибухла	вибухло	вибухли
вибігти	вибіжу	вибіжиш	вибіжить	вибіжим	вибіжите	вибіжать	вибіжи	вибіжім	вибіжіть	вибіг	вибігла	вибігло	вибігли
вивезти	вивезу	вивезеш	вивезе	вивезем	вивезете	вивезуть	вивези	вивезім	вивезіть	вивіз	вивезла	вивезло	вивезли
вивергнути	вивергну	вивергнеш	вивергне	вивергнем	вивергнете	вивергнуть	вивергни	вивергнім	вивергніть	вивергнув	вивергнула	вивергнуло	вивергнули
вивернути	виверну	вивернеш	виверне	вивернем	вивернете	вивернуть	виверни	вивернім	виверніть	вивернув	вивернула	вивернуло	вивернули
вивести	виведу	виведеш	виведе	виведем	виведете	виведуть	виведи	виведім	виведіть	вивів	вивела	вивело	вивели
виглянути	вигляну	виглянеш	вигляне	виглянем	виглянете	виглянуть	виглянь	вигляньмо	вигляньте	виглянув	виглянула	виглянуло	виглянули
вигнати	вижену	виженеш	вижене	виженем	виженете	виженуть	вижени	виженім	виженіть	вигнав	вигнала	вигнало	вигнали
вигнути	вигну	вигнеш	вигне	вигнем	вигнете	вигнуть	вигни	вигнім	вигніть	вигнув	вигнула	вигнуло	вигнули
виготовити	виготовлю	виготовиш	виготовить	виготовим	виготовите	виготовлять	виготов	виготовмо	виготовте	виготовив	виготовила	виготовило	виготовили
вигоїти	вигою	вигоїш	вигоїть	вигоїм	вигоїте	вигоять	вигой	вигоймо	вигойте	вигоїв	вигоїла	вигоїло	вигоїли
вигребти	вигребу	вигребеш	вигребе	вигребем	вигребете	вигребуть	вигреби	вигребім	вигребіть	вигріб	вигребла	вигребло	вигребли
вигукнути	вигукну	вигукнеш	вигукне	вигукнем	вигукнете	вигукнуть	вигукни	вигукнім	вигукніть	вигукнув	вигукнула	вигукнуло	вигукнули
видавати	видаю	видаєш	видає	видаєм	видаєте	видають	видавай	видаваймо	видавайте	видавав	видавала	видавало	видавали
видаватися	видаюсь	видаєшся	видається	видаємось	видаєтесь	видаються	видавайсь	видаваймось	видавайтесь	видававсь	видавалась	видавалось	видавались
видержати	видержу	видержиш	видержить	видержим	видержите	видержать	видержи	видержім	видержіть	видержав	видержала	видержало	видержали
видерти	видеру	видереш	видере	видерем	видерете	видеруть	видери	видерім	видеріть	видер	видерла	видерло	видерли
видихнути	видихну	видихнеш	видихне	видихнем	видихнете	видихнуть	видихни	видихнім	видихніть	видихнув	видихнула	видихнуло	видихнули
виднітися	-	-	видніється	-	-	видніються	виднійсь	-	виднійтесь	виднівсь	виднілась	виднілось	виднілись
видобувати	видобуваю	видобуваєш	видобуває	видобуваєм	видобуваєте	видобувають	видобувай	видобуваймо	видобувайте	видобував	видобувала	видобувало	видобували
видобути	видобуду	видобудеш	видобуде	видобудем	видобудете	видобудуть	видобудь	видобудьмо	видобудьте	видобув	видобула	видобуло	видобули
видовжити	видовжу	видовжиш	видовжить	видовжим	видовжите	видовжать	видовж	видовжмо	видовжте	видовжив	видовжила	видовжило	видовжили
видохнути	видохну	видохнеш	видохне	видохнем	видохнете	видохнуть	видохни	видохнім	видохніть	видохнув	видохнула	видохнуло	видохнули
виділятися	виділяюсь	виділяєшся	виділяється	виділяємось	виділяєтесь	виділяються	виділяйсь	виділяймось	виділяйтесь	виділявсь	виділялась	виділялось	виділялись
видіти	виджу	видиш	видить	видим	видите	видять	видь	видьмо	видьте	видів	виділа	виділо	виділи
виждати	вижду	виждеш	вижде	виждем	виждете	виждуть	вижди	виждім	виждіть	виждав	виждала	виждало	виждали
вижити	виживу	виживеш	виживе	виживем	виживете	виживуть	виживи	виживім	виживіть	вижив	вижила	вижило	вижили
визволятися	визволяюсь	визволяєшся	визволяється	визволяємось	визволяєтесь	визволяються	визволяйсь	визволяймось	визволяйтесь	визволявсь	визволялась	визволялось	визволялись
визнавати	визнаю	визнаєш	визнає	визнаєм	визнаєте	визнають	визнавай	визнаваймо	визнавайте	визнавав	визнавала	визнавало	визнавали
